<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DO.US,D,20220401,000000,7.47,7.47,6.83,6.89,2011591,0
DO.US,D,20220404,000000,7.09,7.16,6.86,7,2095758,0
DO.US,D,20220405,000000,7.18,7.1889,6.71,6.78,1591649,0
DO.US,D,20220406,000000,6.75,6.84,6.65,6.75,1164762,0
DO.US,D,20220407,000000,6.95,6.95,6.7,6.76,904993,0
DO.US,D,20220408,000000,6.92,6.94,6.58,6.64,1506745,0
DO.US,D,20220411,000000,6.65,6.97,6.6,6.97,789724,0
DO.US,D,20220412,000000,7.115,7.25,6.74,7,1943179,0
DO.US,D,20220413,000000,7,7.64,6.88,7.62,2702445,0
DO.US,D,20220414,000000,7.5,7.525,7.26,7.48,2069916,0
DO.US,D,20220418,000000,7.6,7.7,7.4,7.43,1091784,0
DO.US,D,20220419,000000,7.5,7.99,7.43,7.93,1918315,0
DO.US,D,20220420,000000,7.95,7.995,7.68,7.79,1007619,0
DO.US,D,20220421,000000,7.9,7.93,7.345,7.45,1025717,0
DO.US,D,20220422,000000,7.45,7.56,7.06,7.33,721608,0
DO.US,D,20220425,000000,7.01,7.29,6.84,7.26,952035,0
DO.US,D,20220426,000000,7.3,7.49,7.19,7.21,574690,0
DO.US,D,20220427,000000,7.24,7.44,7.225,7.38,844575,0
DO.US,D,20220428,000000,7.4,7.95,7.3412,7.95,1160349,0
DO.US,D,20220429,000000,7.94,8.02,7.69,7.85,1372734,0
DO.US,D,20220502,000000,7.78,7.82,7.34,7.41,821131,0
DO.US,D,20220503,000000,7.36,7.88,7.33,7.85,1350418,0
DO.US,D,20220504,000000,8.05,8.26,7.7839,7.99,3180917,0
DO.US,D,20220505,000000,8.11,8.16,7.65,7.89,1179712,0
DO.US,D,20220506,000000,7.92,7.99,7.76,7.79,2117126,0
DO.US,D,20220509,000000,7.7,7.78,6.92,7.05,1484694,0
DO.US,D,20220510,000000,7.15,7.3,6.65,6.69,1149099,0
DO.US,D,20220511,000000,6.69,7.11,6.69,6.75,1161157,0
DO.US,D,20220512,000000,6.72,6.79,6.37,6.64,1368773,0
DO.US,D,20220513,000000,6.64,7.19,6.64,7.06,1156214,0
DO.US,D,20220516,000000,7.06,7.5,6.925,7.25,1664611,0
DO.US,D,20220517,000000,7.3,7.72,7.25,7.68,1345772,0
DO.US,D,20220518,000000,7.61,7.6742,7.17,7.4,977948,0
DO.US,D,20220519,000000,7.28,7.505,7.2,7.32,836783,0
DO.US,D,20220520,000000,7.35,7.46,7,7.19,869428,0
DO.US,D,20220523,000000,7.42,7.48,7.25,7.4,1528025,0
DO.US,D,20220524,000000,7.34,7.39,7.05,7.28,1332141,0
DO.US,D,20220525,000000,7.34,7.64,7.22,7.56,1622860,0
DO.US,D,20220526,000000,7.64,8.05,7.41,7.97,4911673,0
DO.US,D,20220527,000000,7.84,8.16,7.75,8.1,4748010,0
DO.US,D,20220531,000000,8.23,8.45,7.91,7.96,2774951,0
DO.US,D,20220601,000000,8.12,8.199,7.84,8.07,4097630,0
DO.US,D,20220602,000000,8.08,8.08,7.8,7.9,2578663,0
DO.US,D,20220603,000000,7.82,8.19,7.63,8.16,1614928,0
DO.US,D,20220606,000000,8.45,8.92,8.245,8.71,4064731,0
DO.US,D,20220607,000000,8.73,9.07,8.6,8.81,3007590,0
DO.US,D,20220608,000000,8.88,9.9799,8.86,9.83,6212678,0
DO.US,D,20220609,000000,9.73,9.73,9.26,9.27,2716621,0
DO.US,D,20220610,000000,9.12,9.24,8.36,8.63,1768508,0
DO.US,D,20220613,000000,8.28,8.41,7.92,7.98,2397225,0
DO.US,D,20220614,000000,8.15,8.24,7.56,7.68,2978655,0
DO.US,D,20220615,000000,7.65,8.07,7.65,7.85,2521789,0
DO.US,D,20220616,000000,7.7,7.92,7.38,7.75,3015451,0
DO.US,D,20220617,000000,7.65,7.96,7.41,7.55,8348752,0
DO.US,D,20220621,000000,7.7132,8.01,7.43,7.47,5735188,0
DO.US,D,20220622,000000,7.12,7.25,6.82,7.1,6174985,0
DO.US,D,20220623,000000,7.02,7.24,6.57,6.74,2931977,0
DO.US,D,20220624,000000,6.77,7.12,6.52,6.54,15175023,0
DO.US,D,20220627,000000,6.65,6.845,6.53,6.81,2110363,0
DO.US,D,20220628,000000,7,7.18,6.69,6.71,2730662,0
DO.US,D,20220629,000000,6.73,6.73,6.245,6.31,1784043,0
DO.US,D,20220630,000000,6.14,6.235,5.855,5.89,2109265,0
DO.US,D,20220701,000000,5.86,6.09,5.63,6.09,2127901,0
DO.US,D,20220705,000000,5.98,5.99,5.41,5.72,2365271,0
DO.US,D,20220706,000000,5.65,5.77,5.38,5.48,1277275,0
DO.US,D,20220707,000000,5.6,5.975,5.5839,5.9,813550,0
DO.US,D,20220708,000000,5.9,6.395,5.76,6.35,1593041,0
DO.US,D,20220711,000000,6,6.32,6,6.1,1345791,0
DO.US,D,20220712,000000,6.01,6.1,5.615,5.65,927000,0
DO.US,D,20220713,000000,5.53,5.71,5.51,5.6,1106104,0
DO.US,D,20220714,000000,5.49,5.53,5.17,5.35,1140325,0
DO.US,D,20220715,000000,5.53,5.61,5.37,5.61,1337026,0
DO.US,D,20220718,000000,5.68,5.925,5.66,5.7,787381,0
DO.US,D,20220719,000000,5.75,5.95,5.715,5.94,591307,0
DO.US,D,20220720,000000,5.85,5.93,5.68,5.91,579128,0
DO.US,D,20220721,000000,5.75,5.79,5.43,5.59,886722,0
DO.US,D,20220722,000000,5.58,5.71,5.395,5.41,1245980,0
DO.US,D,20220725,000000,5.47,5.88,5.4,5.88,809866,0
DO.US,D,20220726,000000,5.98,6.06,5.77,5.99,732126,0
DO.US,D,20220727,000000,6.04,6.6808,5.98,6.64,1653168,0
DO.US,D,20220728,000000,6.76,6.79,6.45,6.54,698388,0
DO.US,D,20220729,000000,6.7,6.79,6.5,6.75,941305,0
DO.US,D,20220801,000000,6.64,6.725,6.48,6.66,690601,0
DO.US,D,20220802,000000,6.7,7.38,6.7,7.31,2656271,0
DO.US,D,20220803,000000,7.3,7.3,6.62,6.72,1253690,0
DO.US,D,20220804,000000,6.61,6.81,6.4,6.4,568463,0
DO.US,D,20220805,000000,6.32,6.88,6.29,6.71,521827,0
DO.US,D,20220808,000000,6.68,6.84,6.485,6.63,790949,0
DO.US,D,20220809,000000,6.75,6.93,6.71,6.79,972491,0
DO.US,D,20220810,000000,6.85,7,6.7614,6.99,1205916,0
DO.US,D,20220811,000000,7.13,7.242,6.798,7.05,1738746,0
DO.US,D,20220812,000000,7.03,7.445,7.02,7.28,989177,0
DO.US,D,20220815,000000,6.95,6.97,6.5313,6.9,1015969,0
DO.US,D,20220816,000000,6.93,7.06,6.81,6.94,495437,0
DO.US,D,20220817,000000,6.83,6.97,6.7,6.89,500995,0
DO.US,D,20220818,000000,7.05,7.54,7,7.42,1602541,0
DO.US,D,20220819,000000,7.36,7.55,7.17,7.31,1086553,0
DO.US,D,20220822,000000,7.19,7.3,6.93,7.15,771616,0
DO.US,D,20220823,000000,7.34,7.57,7.22,7.27,816317,0
DO.US,D,20220824,000000,7.3,7.47,7.13,7.29,1026059,0
DO.US,D,20220825,000000,7.3,7.455,7.235,7.37,1097097,0
DO.US,D,20220826,000000,7.34,7.52,7.155,7.22,765823,0
DO.US,D,20220829,000000,7.11,7.55,7.09,7.37,1081534,0
DO.US,D,20220830,000000,7.25,7.285,6.8,6.9,1136433,0
DO.US,D,20220831,000000,6.8,7.29,6.66,7.11,1287176,0
DO.US,D,20220901,000000,7,7.02,6.8,6.94,704255,0
DO.US,D,20220902,000000,7.15,7.495,7.05,7.37,1208240,0
DO.US,D,20220906,000000,7.52,7.54,6.97,6.99,637897,0
DO.US,D,20220907,000000,6.8,7.1,6.71,7.01,864272,0
DO.US,D,20220908,000000,7,7.52,6.94,7.4,819339,0
DO.US,D,20220909,000000,7.59,7.8,7.47,7.71,897051,0
DO.US,D,20220912,000000,7.83,8.04,7.78,8.03,1052972,0
DO.US,D,20220913,000000,7.78,8.17,7.78,7.93,1684265,0
DO.US,D,20220914,000000,8.01,8.415,8.01,8.36,1483104,0
DO.US,D,20220915,000000,8.19,8.4396,8.14,8.32,1239075,0
DO.US,D,20220916,000000,8.18,8.23,7.47,7.6,3533757,0
DO.US,D,20220919,000000,7.28,7.55,7.27,7.43,818959,0
DO.US,D,20220920,000000,7.29,7.4,7.04,7.17,994704,0
DO.US,D,20220921,000000,7.36,7.48,6.96,6.98,969503,0
DO.US,D,20220922,000000,7.04,7.3,6.71,6.73,1081518,0
DO.US,D,20220923,000000,6.45,6.47,6.14,6.33,1529414,0
DO.US,D,20220926,000000,6.27,6.52,6.12,6.25,858829,0
DO.US,D,20220927,000000,6.41,6.7286,6.31,6.43,1100511,0
DO.US,D,20220928,000000,6.54,7.045,6.44,7.02,913964,0
DO.US,D,20220929,000000,6.93,6.93,6.72,6.92,756060,0
DO.US,D,20220930,000000,6.86,7.135,6.6,6.63,1222152,0
DO.US,D,20221003,000000,7.03,7.5,6.98,7.4,1091355,0
DO.US,D,20221004,000000,7.65,7.7,7.41,7.61,864943,0
DO.US,D,20221005,000000,7.54,7.745,7.455,7.73,698220,0
DO.US,D,20221006,000000,7.68,8.075,7.66,7.94,753716,0
DO.US,D,20221007,000000,7.93,8.14,7.81,7.91,743447,0
DO.US,D,20221010,000000,7.89,8.05,7.65,7.94,689316,0
DO.US,D,20221011,000000,7.74,8.07,7.63,7.91,491466,0
DO.US,D,20221012,000000,7.85,8.05,7.76,7.91,586179,0
DO.US,D,20221013,000000,7.79,8.2,7.77,8.1,1105885,0
DO.US,D,20221014,000000,8.09,8.18,7.72,8,882842,0
DO.US,D,20221017,000000,8.18,8.3,8.09,8.22,1975423,0
DO.US,D,20221018,000000,8.33,8.46,8.18,8.3,2146338,0
DO.US,D,20221019,000000,8.29,8.545,8.245,8.53,1643073,0
DO.US,D,20221020,000000,8.65,8.96,8.36,8.47,1290227,0
DO.US,D,20221021,000000,8.53,8.91,8.49,8.78,1140432,0
DO.US,D,20221024,000000,8.79,9.05,8.67,9.04,1107860,0
DO.US,D,20221025,000000,9.07,9.5,9.02,9.39,1147318,0
DO.US,D,20221026,000000,9.5,9.75,9.26,9.44,991710,0
DO.US,D,20221027,000000,9.65,9.84,9.285,9.38,1221557,0
DO.US,D,20221028,000000,9.5,9.7,9.29,9.68,701036,0
DO.US,D,20221031,000000,9.6,9.95,9.5365,9.85,1081558,0
DO.US,D,20221101,000000,10.06,10.06,9.69,9.72,969686,0
DO.US,D,20221102,000000,9.79,10.03,9.56,9.61,1135492,0
DO.US,D,20221103,000000,9.64,10.01,9.47,9.97,1111327,0
DO.US,D,20221104,000000,10.1,10.19,9.715,10,1665957,0
DO.US,D,20221107,000000,10.1,10.15,9.79,10.13,1709660,0
DO.US,D,20221108,000000,10.24,10.25,9.81,10.03,1213359,0
DO.US,D,20221109,000000,9.94,10.01,9.36,9.41,1232643,0
DO.US,D,20221110,000000,9.68,9.74,9.36,9.55,1057955,0
DO.US,D,20221111,000000,9.75,10.01,9.74,9.9,1086771,0
DO.US,D,20221114,000000,9.8,10.08,9.77,9.88,1034112,0
DO.US,D,20221115,000000,9.87,10.105,9.7,10.01,1116015,0
DO.US,D,20221116,000000,9.98,10.05,9.88,9.95,621170,0
DO.US,D,20221117,000000,9.73,9.94,9.6,9.86,524672,0
DO.US,D,20221118,000000,9.72,9.8,9.42,9.6,824449,0
DO.US,D,20221121,000000,9.4,9.47,8.795,9.19,1191733,0
DO.US,D,20221122,000000,9.35,9.67,9.28,9.57,860679,0
DO.US,D,20221123,000000,9.37,9.59,9.23,9.5,858259,0
DO.US,D,20221125,000000,9.47,9.64,9.33,9.41,363499,0
DO.US,D,20221128,000000,9.08,9.335,8.92,9.07,881208,0
DO.US,D,20221129,000000,9.19,9.5,9.05,9.18,1444035,0
DO.US,D,20221130,000000,9.37,9.66,9.15,9.57,3539167,0
DO.US,D,20221201,000000,9.65,9.9,9.64,9.8,1154171,0
DO.US,D,20221202,000000,9.7,9.955,9.56,9.94,826480,0
DO.US,D,20221205,000000,9.96,9.99,9.22,9.26,741642,0
