<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BITC.US,D,20230322,000000,25.5094,25.88,23.94,23.94,10983,0
BITC.US,D,20230323,000000,24.63,25.86,24.6299,25.52,2142,0
BITC.US,D,20230324,000000,25.13,25.155,24.64,24.9715,6485,0
BITC.US,D,20230327,000000,24.99,25.6875,23.9,24.2255,2555,0
BITC.US,D,20230328,000000,24.1189,24.5901,24.1189,24.5901,1912,0
BITC.US,D,20230329,000000,25.42,25.526,25.4,25.4794,1919,0
BITC.US,D,20230330,000000,25.67,25.67,24.82,25.0734,5973,0
BITC.US,D,20230331,000000,25.41,25.7,25.4099,25.5532,1783,0
BITC.US,D,20230403,000000,25.38,25.38,25.1097,25.1097,1117,0
BITC.US,D,20230404,000000,25.2,25.24,25.1,25.1937,938,0
BITC.US,D,20230405,000000,24.9787,25.25,24.9787,25.21,1623,0
BITC.US,D,20230406,000000,25.0121,25.0121,25.0121,25.0121,261,0
BITC.US,D,20230410,000000,25.67,26.3,25.28,26.11,7046,0
BITC.US,D,20230411,000000,27,27.26,26.89,26.9337,3918,0
BITC.US,D,20230412,000000,26.91,26.93,26.6138,26.6138,1387,0
BITC.US,D,20230413,000000,27.1156,27.1156,27.1156,27.1156,253,0
BITC.US,D,20230414,000000,26.95,27.0664,26.95,27.0664,140,0
BITC.US,D,20230417,000000,26.18,26.34,26.18,26.2806,1916,0
BITC.US,D,20230418,000000,27.01,27.01,26.8486,26.946,1219,0
BITC.US,D,20230419,000000,25.9901,26.0381,25.9901,26.0381,371,0
BITC.US,D,20230420,000000,25.1601,25.1601,25.0197,25.0197,348,0
BITC.US,D,20230421,000000,25.14,25.14,24.2129,24.2129,2056,0
BITC.US,D,20230424,000000,24.28,24.528,24.28,24.3056,1321,0
BITC.US,D,20230425,000000,24.33,24.5446,24.3,24.5446,1166,0
BITC.US,D,20230426,000000,26.48,26.48,24.81,24.81,4968,0
BITC.US,D,20230427,000000,22.55,26.4209,21.95,26.4209,1949,0
BITC.US,D,20230428,000000,25.77,26.0304,25.7699,26.0304,524,0
BITC.US,D,20230501,000000,25.37,25.37,24.6552,24.6552,1863,0
BITC.US,D,20230502,000000,24.929,25.61,24.929,25.4687,6606,0
BITC.US,D,20230503,000000,25.11,25.42,25.06,25.087,1192,0
BITC.US,D,20230504,000000,25.64,25.64,25.5591,25.6078,1199,0
BITC.US,D,20230505,000000,25.75,26.28,25.75,26.28,799,0
BITC.US,D,20230508,000000,24.7,24.7,24.1827,24.1827,286,0
BITC.US,D,20230509,000000,24.36,24.5105,24.36,24.5105,611,0
BITC.US,D,20230510,000000,24.96,24.99,24.5365,24.5365,1518,0
BITC.US,D,20230511,000000,24,24,23.7403,23.7403,199,0
BITC.US,D,20230512,000000,23.4693,23.4693,23.1,23.3649,299,0
BITC.US,D,20230515,000000,24.33,24.33,24.2844,24.2844,226,0
BITC.US,D,20230516,000000,23.8397,23.8397,23.8397,23.8397,68,0
BITC.US,D,20230517,000000,22.52,24.2896,20.37,24.2896,2823,0
BITC.US,D,20230518,000000,23.6636,23.6636,23.6636,23.6636,10,0
BITC.US,D,20230519,000000,23.805,24.03,23.7,23.7555,3217,0
BITC.US,D,20230522,000000,23.9,23.9,23.76,23.7951,2231,0
BITC.US,D,20230523,000000,24.16,24.16,24.1234,24.1234,102,0
BITC.US,D,20230524,000000,23.242,23.242,23.242,23.242,20,0
BITC.US,D,20230525,000000,23.29,23.43,23.29,23.3529,392,0
BITC.US,D,20230526,000000,23.6927,23.6927,23.6742,23.6742,257,0
BITC.US,D,20230530,000000,24.6552,24.6552,24.6552,24.6552,105,0
BITC.US,D,20230531,000000,23.8811,23.8811,23.8811,23.8811,173,0
BITC.US,D,20230601,000000,23.805,23.8332,23.7108,23.7108,596,0
BITC.US,D,20230602,000000,24.17,24.1733,24.1668,24.1668,707,0
BITC.US,D,20230605,000000,23.32,23.32,22.5801,22.5801,797,0
BITC.US,D,20230606,000000,23.01,24.0116,23.01,24.0116,875,0
BITC.US,D,20230607,000000,23.489,23.489,23.27,23.4223,332,0
BITC.US,D,20230608,000000,23.42,23.444,23.42,23.444,669,0
BITC.US,D,20230609,000000,23.42,23.4366,23.2854,23.2854,3355,0
BITC.US,D,20230612,000000,22.85,22.85,22.72,22.7936,2444,0
BITC.US,D,20230613,000000,23,23.04,22.73,22.8234,1178,0
BITC.US,D,20230614,000000,22.7994,22.7994,22.7994,22.7994,168,0
BITC.US,D,20230615,000000,21.9601,22.4154,21.96,22.4154,364,0
BITC.US,D,20230616,000000,22.61,23.2669,22.6099,23.2669,3088,0
BITC.US,D,20230620,000000,24.0999,24.8623,24.0999,24.8623,2015,0
BITC.US,D,20230621,000000,25.83,26.77,25.79,26.7109,4554,0
BITC.US,D,20230622,000000,26.91,26.91,26.26,26.7158,1113,0
BITC.US,D,20230623,000000,26.669,27.685,26.669,27.4427,3412,0
BITC.US,D,20230626,000000,26.97,26.97,26.6733,26.81,2791,0
BITC.US,D,20230627,000000,27.15,27.389,27,27.1585,9619,0
BITC.US,D,20230628,000000,26.72,26.96,26.61,26.6504,2227,0
BITC.US,D,20230629,000000,27.22,27.32,27.05,27.15,10626,0
BITC.US,D,20230630,000000,26.62,27.11,26.44,26.83,2645,0
BITC.US,D,20230703,000000,27.04,27.56,27.04,27.4638,2575,0
BITC.US,D,20230705,000000,26.7382,26.8535,26.71,26.8535,1158,0
BITC.US,D,20230706,000000,26.671,26.679,26.511,26.6698,2212,0
BITC.US,D,20230707,000000,26.559,26.5637,26.54,26.5637,1031,0
BITC.US,D,20230710,000000,26.67,27.1517,26.6699,27.1517,608,0
BITC.US,D,20230711,000000,26.721,26.9,26.721,26.8999,1236,0
BITC.US,D,20230712,000000,27.11,27.1361,26.6062,26.6062,6764,0
BITC.US,D,20230713,000000,26.97,27.9913,26.97,27.89,4491,0
BITC.US,D,20230714,000000,27.44,27.5,26.4355,26.4355,3031,0
BITC.US,D,20230717,000000,26.595,26.595,26.2,26.2191,1722,0
BITC.US,D,20230718,000000,26.2579,26.2579,26.0724,26.0724,915,0
BITC.US,D,20230719,000000,26.241,26.3626,26.241,26.3626,1796,0
BITC.US,D,20230720,000000,26.109,26.11,26,26.08,5410,0
BITC.US,D,20230721,000000,26.06,26.1235,26.06,26.1235,281,0
BITC.US,D,20230724,000000,25.3,25.431,25.3,25.431,1206,0
BITC.US,D,20230725,000000,25.46,25.66,25.46,25.5388,870,0
BITC.US,D,20230726,000000,25.71,25.71,25.5742,25.66,2234,0
BITC.US,D,20230727,000000,25.74,25.809,25.3559,25.3559,1643,0
BITC.US,D,20230728,000000,25.42,25.5648,25.42,25.5648,686,0
BITC.US,D,20230731,000000,25.4,25.512,25.4,25.4233,3040,0
BITC.US,D,20230801,000000,25.445,25.5139,25.445,25.5139,369,0
BITC.US,D,20230802,000000,25.625,25.625,25.3626,25.3626,1041,0
BITC.US,D,20230803,000000,25.4802,25.4802,25.4802,25.4802,105,0
BITC.US,D,20230804,000000,25.421,25.421,25.421,25.421,126,0
