<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SGLC.US,D,20230403,000000,25.3701,25.5582,25.3701,25.5582,2294,0
SGLC.US,D,20230404,000000,25.34,25.3809,25.33,25.3809,198641,0
SGLC.US,D,20230405,000000,25.38,25.38,25,25.3208,159613,0
SGLC.US,D,20230406,000000,25.46,25.46,25.41,25.447,275379,0
SGLC.US,D,20230410,000000,25.269,25.4837,25.269,25.4837,52122,0
SGLC.US,D,20230411,000000,25.53,25.57,25.4939,25.4939,74455,0
SGLC.US,D,20230412,000000,25.52,25.54,25.3534,25.3534,1835,0
SGLC.US,D,20230413,000000,25.12,25.9063,25.12,25.9063,1304,0
SGLC.US,D,20230414,000000,25.795,25.82,25.637,25.637,2597,0
SGLC.US,D,20230417,000000,25.6,25.7675,25.57,25.7675,222305,0
SGLC.US,D,20230418,000000,25.8,25.8287,25.67,25.7614,63045,0
SGLC.US,D,20230419,000000,25.68,25.71,25.662,25.662,144944,0
SGLC.US,D,20230420,000000,25.6,25.72,25.5109,25.5976,9020,0
SGLC.US,D,20230421,000000,25.5399,25.68,25.5399,25.6136,152634,0
SGLC.US,D,20230424,000000,25.6,25.64,25.52,25.6217,20704,0
SGLC.US,D,20230425,000000,25.46,25.4717,25.2503,25.26,20417,0
SGLC.US,D,20230426,000000,25.31,25.33,25.1201,25.1577,14306,0
SGLC.US,D,20230427,000000,25.35,25.72,25.35,25.72,279116,0
SGLC.US,D,20230428,000000,25.8101,25.91,25.8101,25.91,3210,0
SGLC.US,D,20230501,000000,25.94,25.95,25.83,25.8617,6290,0
SGLC.US,D,20230502,000000,25.29,25.5299,25.29,25.5117,3326,0
SGLC.US,D,20230503,000000,25.42,25.58,25.2401,25.2401,129495,0
SGLC.US,D,20230504,000000,25.13,25.13,24.91,25.05,23057,0
SGLC.US,D,20230505,000000,25.3151,25.5,25.3151,25.4698,2441,0
SGLC.US,D,20230508,000000,25.48,25.5589,25.44,25.5589,9280,0
SGLC.US,D,20230509,000000,25.43,25.47,25.408,25.408,982,0
SGLC.US,D,20230510,000000,25.5,25.59,25.4106,25.5188,2831,0
SGLC.US,D,20230511,000000,25.46,25.56,25.45,25.51,12901,0
SGLC.US,D,20230512,000000,25.48,25.51,25.34,25.4723,1786,0
SGLC.US,D,20230515,000000,25.51,25.58,25.505,25.55,2445,0
SGLC.US,D,20230516,000000,25.52,25.54,25.4087,25.4087,5477,0
SGLC.US,D,20230517,000000,25.52,25.81,25.52,25.7832,5096,0
SGLC.US,D,20230518,000000,25.81,26.04,25.8,26.04,3765,0
SGLC.US,D,20230519,000000,26.13,26.13,25.95,25.9988,162327,0
SGLC.US,D,20230522,000000,26.12,26.12,25.97,25.97,19456,0
SGLC.US,D,20230523,000000,25.93,25.95,25.7,25.7,7716,0
SGLC.US,D,20230524,000000,25.48,25.58,25.37,25.46,5180,0
SGLC.US,D,20230525,000000,25.75,25.76,25.69,25.69,3332,0
SGLC.US,D,20230526,000000,26.0044,26.08,25.99,25.99,3776,0
SGLC.US,D,20230530,000000,25.81,26.08,25.81,26.04,2000,0
SGLC.US,D,20230531,000000,25.8601,25.92,25.76,25.84,6374,0
SGLC.US,D,20230601,000000,25.92,26.1698,25.92,26.11,4601,0
SGLC.US,D,20230602,000000,26.4,26.63,26.4,26.56,4147,0
SGLC.US,D,20230605,000000,26.63,26.65,26.53,26.53,7091,0
SGLC.US,D,20230606,000000,26.6,26.6,26.52,26.56,3561,0
SGLC.US,D,20230607,000000,26.55,26.55,26.38,26.38,2693,0
SGLC.US,D,20230608,000000,26.5799,26.5799,26.44,26.49,3042,0
SGLC.US,D,20230609,000000,26.59,26.64,26.516,26.516,6319,0
SGLC.US,D,20230612,000000,26.59,26.6873,26.515,26.6873,7464,0
SGLC.US,D,20230613,000000,26.86,26.93,26.8,26.88,3728,0
SGLC.US,D,20230614,000000,26.86,26.91,26.8,26.81,4812,0
SGLC.US,D,20230615,000000,26.86,27.27,26.78,27.22,338921,0
SGLC.US,D,20230616,000000,27.43,27.43,27.13,27.13,15430,0
SGLC.US,D,20230620,000000,27.09,27.09,26.91,27.05,16863,0
SGLC.US,D,20230621,000000,26.68,27.0201,26.68,26.93,3524,0
SGLC.US,D,20230622,000000,26.96,26.9944,26.8794,26.9944,5531,0
SGLC.US,D,20230623,000000,26.8,26.9,26.74,26.76,5794,0
SGLC.US,D,20230626,000000,26.75,26.75,26.6809,26.6809,3843,0
SGLC.US,D,20230627,000000,26.45,27.0007,26.45,26.97,3579,0
SGLC.US,D,20230628,000000,26.96,26.9699,26.84,26.9,2555,0
SGLC.US,D,20230629,000000,26.94,27.01,26.94,27,3652,0
SGLC.US,D,20230630,000000,27.31,27.3667,27.31,27.3667,1647,0
SGLC.US,D,20230703,000000,27.3737,27.3809,27.3737,27.3809,1108,0
SGLC.US,D,20230705,000000,27.41,27.4199,27.35,27.363,3528,0
SGLC.US,D,20230706,000000,27.07,27.22,27.04,27.19,5039,0
SGLC.US,D,20230707,000000,27.27,27.3527,27.1666,27.1666,4278,0
SGLC.US,D,20230710,000000,27.23,27.2423,27.1574,27.2423,2787,0
SGLC.US,D,20230711,000000,27.39,27.59,27.39,27.57,2989,0
SGLC.US,D,20230712,000000,27.8,27.88,27.69,27.69,3911,0
SGLC.US,D,20230713,000000,27.9,27.99,27.85,27.97,16732,0
SGLC.US,D,20230714,000000,28.05,28.07,27.95,27.95,6887,0
SGLC.US,D,20230717,000000,28.02,28.228,28.02,28.09,319974,0
SGLC.US,D,20230718,000000,28.26,28.38,28.22,28.33,14217,0
SGLC.US,D,20230719,000000,28.47,28.51,28.4301,28.4588,4474,0
SGLC.US,D,20230720,000000,28.11,28.42,28.11,28.3115,21475,0
SGLC.US,D,20230721,000000,28.33,28.39,28.23,28.23,19636,0
SGLC.US,D,20230724,000000,28.3115,28.42,28.3115,28.3342,16984,0
SGLC.US,D,20230725,000000,28.4,28.53,28.4,28.4782,6087,0
SGLC.US,D,20230726,000000,28.53,28.53,28.4501,28.5058,4231,0
SGLC.US,D,20230727,000000,28.7306,28.74,28.4028,28.4028,8234,0
SGLC.US,D,20230728,000000,28.63,28.676,28.5502,28.6155,2662,0
SGLC.US,D,20230731,000000,28.65,28.69,28.6101,28.6247,203809,0
SGLC.US,D,20230801,000000,28.62,28.68,28.57,28.68,399030,0
SGLC.US,D,20230802,000000,28.23,28.23,28.1601,28.2052,2092,0
SGLC.US,D,20230803,000000,27.71,28.19,27.71,28.15,16515,0
SGLC.US,D,20230804,000000,28.225,28.27,27.87,27.871,13675,0
