<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KPOP.US,D,20220906,000000,20.69,20.69,19.4076,19.4076,13519,0
KPOP.US,D,20220907,000000,19.045,19.3728,19.045,19.3728,2124,0
KPOP.US,D,20220908,000000,19.3,19.3,19.06,19.1718,5514,0
KPOP.US,D,20220909,000000,19.461,19.58,19.461,19.5529,3899,0
KPOP.US,D,20220912,000000,19.88,19.88,19.7298,19.78,8683,0
KPOP.US,D,20220913,000000,19.195,19.195,18.88,18.97,2793,0
KPOP.US,D,20220914,000000,19.1,19.1,18.795,18.8358,1616,0
KPOP.US,D,20220915,000000,18.65,18.71,18.5,18.5044,1443,0
KPOP.US,D,20220916,000000,18.59,18.73,18.59,18.7136,748,0
KPOP.US,D,20220919,000000,18.7,18.7,18.3,18.4,1789,0
KPOP.US,D,20220920,000000,18.18,18.26,18.18,18.22,4924,0
KPOP.US,D,20220921,000000,18.08,18.39,18.08,18.0803,1038,0
KPOP.US,D,20220922,000000,17.55,17.5583,17.4,17.5278,1815,0
KPOP.US,D,20220923,000000,16.7581,16.7581,16.7581,16.7581,283,0
KPOP.US,D,20220926,000000,16.44,16.44,16.1187,16.1187,188,0
KPOP.US,D,20220927,000000,16.0642,16.0642,16.0642,16.0642,89,0
KPOP.US,D,20220928,000000,15.62,15.6832,15.47,15.6832,2092,0
KPOP.US,D,20220929,000000,15.41,15.4927,15.41,15.4927,574,0
KPOP.US,D,20220930,000000,15.4455,15.4455,15.4455,15.4455,194,0
KPOP.US,D,20221003,000000,15.8,15.8524,15.8,15.8524,664,0
KPOP.US,D,20221004,000000,16.205,16.2509,16.205,16.2509,568,0
KPOP.US,D,20221005,000000,15.3987,15.3987,15.3987,15.3987,135,0
KPOP.US,D,20221006,000000,15.624,15.624,15.624,15.624,25,0
KPOP.US,D,20221007,000000,14.9153,14.9153,14.9153,14.9153,81,0
KPOP.US,D,20221010,000000,14.7155,14.7155,14.7155,14.7155,172,0
KPOP.US,D,20221011,000000,14.57,14.57,13.29,14.2562,724,0
KPOP.US,D,20221012,000000,14.387,14.387,14.387,14.387,96,0
KPOP.US,D,20221013,000000,13.9,14.15,13.9,14.15,661,0
KPOP.US,D,20221014,000000,14.68,14.71,14.4947,14.4947,1971,0
KPOP.US,D,20221017,000000,14.66,14.8046,14.66,14.8046,642,0
KPOP.US,D,20221018,000000,14.65,14.9915,14.65,14.9915,159,0
KPOP.US,D,20221019,000000,14.77,14.8281,14.74,14.8281,341,0
KPOP.US,D,20221020,000000,14.5477,14.65,14.5477,14.5477,201,0
KPOP.US,D,20221021,000000,14.5975,14.5975,14.5975,14.5975,98,0
KPOP.US,D,20221024,000000,14.5397,14.5397,14.5397,14.5397,128,0
KPOP.US,D,20221025,000000,14.92,16.33,14.8799,14.9421,5739,0
KPOP.US,D,20221026,000000,14.821,14.821,14.821,14.821,41,0
KPOP.US,D,20221027,000000,14.85,14.8958,14.85,14.8958,143,0
KPOP.US,D,20221028,000000,14.8654,14.97,14.8654,14.97,655,0
KPOP.US,D,20221031,000000,14.9137,14.9137,14.9137,14.9137,94,0
KPOP.US,D,20221101,000000,14.953,14.953,14.953,14.953,897,0
KPOP.US,D,20221102,000000,14.8141,14.8141,14.8141,14.8141,73,0
KPOP.US,D,20221103,000000,14.6646,14.6646,14.6646,14.6646,45,0
KPOP.US,D,20221104,000000,14.83,15.0516,14.83,15.0516,1034,0
KPOP.US,D,20221107,000000,15.23,15.32,15.23,15.2459,1877,0
KPOP.US,D,20221108,000000,16.04,16.109,15.9178,15.9178,2781,0
KPOP.US,D,20221109,000000,15.92,15.96,15.7151,15.7151,3813,0
KPOP.US,D,20221110,000000,16.625,16.625,16.625,16.625,181,0
KPOP.US,D,20221111,000000,17.6856,17.6856,17.6856,17.6856,18,0
KPOP.US,D,20221114,000000,17.42,17.58,17.3954,17.444,1854,0
KPOP.US,D,20221115,000000,18.035,18.035,17.9165,17.9165,1230,0
KPOP.US,D,20221116,000000,17.87,17.89,17.6873,17.6873,2569,0
KPOP.US,D,20221117,000000,17.7484,17.7484,17.7484,17.7484,77,0
KPOP.US,D,20221118,000000,17.5,17.65,17.5,17.5341,4274,0
KPOP.US,D,20221121,000000,17.08,17.08,16.84,16.9845,4035,0
KPOP.US,D,20221122,000000,17.25,17.25,16.9641,16.9641,244,0
KPOP.US,D,20221123,000000,18.0462,18.0462,18.0462,18.0462,107,0
KPOP.US,D,20221125,000000,18.22,18.3073,18.21,18.3073,819,0
KPOP.US,D,20221128,000000,18.4,18.41,18.0734,18.0734,939,0
KPOP.US,D,20221129,000000,18.6856,18.6856,18.6856,18.6856,1427,0
KPOP.US,D,20221130,000000,18.89,19.06,18.54,19.06,925,0
KPOP.US,D,20221201,000000,19.3648,19.3648,19.3648,19.3648,151,0
KPOP.US,D,20221202,000000,19.67,19.67,19.4917,19.5384,1259,0
KPOP.US,D,20221205,000000,19.35,19.35,19.1,19.1139,1474,0
KPOP.US,D,20221206,000000,18.48,18.64,18.48,18.559,444,0
KPOP.US,D,20221207,000000,18.7,18.9331,18.7,18.9331,1115,0
KPOP.US,D,20221208,000000,18.969,18.969,18.969,18.969,143,0
KPOP.US,D,20221209,000000,19.8261,19.8261,19.8261,19.8261,20,0
KPOP.US,D,20221212,000000,20.1391,20.1391,20.1391,20.1391,137,0
KPOP.US,D,20221213,000000,20.34,20.34,19.9646,19.9646,215,0
KPOP.US,D,20221214,000000,19.8537,19.8537,19.8537,19.8537,99,0
KPOP.US,D,20221215,000000,18.6991,18.6991,18.6991,18.6991,14,0
KPOP.US,D,20221216,000000,19.2,19.2,19.1325,19.1325,234,0
KPOP.US,D,20221219,000000,19.6844,19.6844,19.6844,19.6844,27,0
KPOP.US,D,20221220,000000,19.3733,19.3733,19.3733,19.3733,94,0
KPOP.US,D,20221221,000000,19.6705,19.6705,19.6705,19.6705,81,0
KPOP.US,D,20221222,000000,19.5137,19.5137,19.5137,19.5137,201,0
KPOP.US,D,20221223,000000,19.4203,19.4203,19.4203,19.4203,25,0
KPOP.US,D,20221227,000000,20,20,19.5274,19.5274,511,0
KPOP.US,D,20221228,000000,19.27,19.27,19.1435,19.1435,168,0
KPOP.US,D,20221229,000000,19.7,19.7732,19.7,19.7732,166,0
KPOP.US,D,20221230,000000,19.5662,19.5662,19.5662,19.5662,162,0
KPOP.US,D,20230103,000000,19.4468,19.4468,19.4468,19.4468,112,0
