<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HCMT.US,D,20230623,000000,25.17,25.18,24.9621,24.9621,2475,0
HCMT.US,D,20230626,000000,25.01,25.01,24.5546,24.5546,219061,0
HCMT.US,D,20230627,000000,24.7399,25.27,24.7399,25.2021,4970928,0
HCMT.US,D,20230628,000000,25.44,25.44,25.0599,25.154,189689,0
HCMT.US,D,20230629,000000,25.19,25.3123,25.14,25.2619,41123,0
HCMT.US,D,20230630,000000,25.7292,26.03,25.7292,25.9861,39143,0
HCMT.US,D,20230703,000000,25.94,25.9815,25.8501,25.9815,9082,0
HCMT.US,D,20230705,000000,25.9201,26.04,25.84,25.9307,68862,0
HCMT.US,D,20230706,000000,25.39,25.6,25.25,25.58,226992,0
HCMT.US,D,20230707,000000,25.51,25.8901,25.4,25.4,51720,0
HCMT.US,D,20230710,000000,25.43,25.45,25.31,25.433,8202,0
HCMT.US,D,20230711,000000,25.41,25.7136,25.3301,25.7109,16602,0
HCMT.US,D,20230712,000000,26.31,26.32,26.02,26.1729,12464,0
HCMT.US,D,20230713,000000,26.56,26.818,26.55,26.818,326093,0
HCMT.US,D,20230714,000000,26.91,27.05,26.67,26.7261,7197,0
HCMT.US,D,20230717,000000,26.99,27.1501,26.82,27.1213,96072,0
HCMT.US,D,20230718,000000,26.975,27.6799,26.97,27.5394,44540,0
HCMT.US,D,20230719,000000,27.86,27.86,27.43,27.69,33265,0
HCMT.US,D,20230720,000000,27.43,27.43,26.62,26.77,15686,0
HCMT.US,D,20230721,000000,26.92,26.95,26.6801,26.7,6911,0
HCMT.US,D,20230724,000000,26.7999,26.87,26.7599,26.7733,9869,0
HCMT.US,D,20230725,000000,26.93,27.21,26.93,27.1061,8192,0
HCMT.US,D,20230726,000000,26.85,27,26.7,26.9,11898,0
HCMT.US,D,20230727,000000,27.29,27.53,26.67,26.7008,24225,0
HCMT.US,D,20230728,000000,27.11,27.49,27.11,27.3925,11546,0
HCMT.US,D,20230731,000000,27.4201,27.5317,27.32,27.3972,34597,0
HCMT.US,D,20230801,000000,27.3,27.41,27.23,27.32,66327,0
HCMT.US,D,20230802,000000,26.71,26.82,26.26,26.31,75326,0
HCMT.US,D,20230803,000000,26.21,26.45,26.21,26.28,8517,0
HCMT.US,D,20230804,000000,26.55,26.61,25.9116,25.95,13345,0
