<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MNTN-WS.US,D,20220118,000000,0.45,0.47,0.45,0.45,13800,0
MNTN-WS.US,D,20220119,000000,0.45,0.45,0.4401,0.4401,16121,0
MNTN-WS.US,D,20220120,000000,0.44,0.44,0.439899,0.439899,854,0
MNTN-WS.US,D,20220121,000000,0.3901,0.3901,0.2866,0.2866,43146,0
MNTN-WS.US,D,20220124,000000,0.3,0.35,0.3,0.35,48833,0
MNTN-WS.US,D,20220125,000000,0.308,0.31,0.26,0.26,199596,0
MNTN-WS.US,D,20220126,000000,0.2782,0.2782,0.26,0.26,91262,0
MNTN-WS.US,D,20220127,000000,0.25,0.311,0.25,0.311,51200,0
MNTN-WS.US,D,20220128,000000,0.2739,0.2739,0.2739,0.2739,252,0
MNTN-WS.US,D,20220201,000000,0.37,0.37,0.31,0.3398,11557,0
MNTN-WS.US,D,20220202,000000,0.3599,0.418,0.3599,0.36,100100,0
MNTN-WS.US,D,20220203,000000,0.3384,0.3384,0.3384,0.3384,502,0
MNTN-WS.US,D,20220204,000000,0.36,0.36,0.34,0.34,200700,0
MNTN-WS.US,D,20220207,000000,0.32,0.34,0.32,0.34,128800,0
MNTN-WS.US,D,20220208,000000,0.34,0.34,0.34,0.34,18774,0
MNTN-WS.US,D,20220209,000000,0.3201,0.3201,0.32,0.32,3800,0
MNTN-WS.US,D,20220210,000000,0.34,0.34,0.34,0.34,54000,0
MNTN-WS.US,D,20220211,000000,0.34,0.34,0.3399,0.3399,32201,0
MNTN-WS.US,D,20220216,000000,0.2701,0.2701,0.2701,0.2701,500,0
MNTN-WS.US,D,20220217,000000,0.2701,0.2701,0.27,0.27,800,0
MNTN-WS.US,D,20220218,000000,0.2377,0.25,0.2377,0.25,2800,0
MNTN-WS.US,D,20220303,000000,0.22,0.22,0.22,0.22,133,0
MNTN-WS.US,D,20220309,000000,0.22,0.22,0.22,0.22,5982,0
MNTN-WS.US,D,20220323,000000,0.24,0.24,0.24,0.24,300,0
MNTN-WS.US,D,20220324,000000,0.24,0.24,0.22,0.22,20100,0
MNTN-WS.US,D,20220331,000000,0.2,0.2,0.2,0.2,300,0
MNTN-WS.US,D,20220401,000000,0.2,0.2,0.188,0.1999,7448,0
MNTN-WS.US,D,20220413,000000,0.2,0.2,0.2,0.2,5155,0
MNTN-WS.US,D,20220418,000000,0.2,0.2,0.2,0.2,94178,0
MNTN-WS.US,D,20220419,000000,0.181,0.181,0.181,0.181,2000,0
MNTN-WS.US,D,20220422,000000,0.19,0.19,0.19,0.19,4488,0
MNTN-WS.US,D,20220425,000000,0.2,0.2,0.2,0.2,10000,0
MNTN-WS.US,D,20220427,000000,0.25,0.2875,0.2299,0.2299,13900,0
MNTN-WS.US,D,20220428,000000,0.3099,0.3099,0.3099,0.3099,800,0
MNTN-WS.US,D,20220502,000000,0.285,0.285,0.27,0.27,700,0
MNTN-WS.US,D,20220506,000000,0.23,0.23,0.225,0.23,5060,0
MNTN-WS.US,D,20220518,000000,0.2024,0.21435,0.2024,0.21435,2800,0
MNTN-WS.US,D,20220519,000000,0.18,0.18,0.17,0.1772,22698,0
MNTN-WS.US,D,20220520,000000,0.0623,0.1091,0.0623,0.1,4206,0
MNTN-WS.US,D,20220523,000000,0.1642,0.1642,0.1465,0.1547,1100,0
MNTN-WS.US,D,20220524,000000,0.0147,0.115,0.0146,0.1,3302,0
MNTN-WS.US,D,20220526,000000,0.125,0.1349,0.125,0.1349,6000,0
MNTN-WS.US,D,20220527,000000,0.04,0.1277,0.04,0.1277,4107,0
MNTN-WS.US,D,20220531,000000,0.1201,0.1331,0.12,0.13,26400,0
MNTN-WS.US,D,20220603,000000,0.13,0.13,0.13,0.13,50000,0
MNTN-WS.US,D,20220606,000000,0.13,0.1582,0.13,0.1561,4965,0
MNTN-WS.US,D,20220614,000000,0.13,0.13,0.13,0.13,500,0
MNTN-WS.US,D,20220623,000000,0.13,0.13,0.1,0.1,1535,0
MNTN-WS.US,D,20220624,000000,0.1095,0.1095,0.1095,0.1095,500,0
MNTN-WS.US,D,20220627,000000,0.1199,0.1199,0.1,0.1,12400,0
MNTN-WS.US,D,20220628,000000,0.1095,0.1095,0.09,0.1,12955,0
MNTN-WS.US,D,20220629,000000,0.1095,0.1199,0.1,0.1,700,0
MNTN-WS.US,D,20220630,000000,0.1095,0.1199,0.1,0.1,51800,0
MNTN-WS.US,D,20220701,000000,0.1,0.1,0.1,0.1,100,0
MNTN-WS.US,D,20220705,000000,0.1095,0.13,0.1,0.1,700,0
MNTN-WS.US,D,20220706,000000,0.1095,0.1199,0.1,0.1,700,0
MNTN-WS.US,D,20220707,000000,0.1095,0.1199,0.1,0.1,700,0
MNTN-WS.US,D,20220708,000000,0.1095,0.13,0.1,0.1,900,0
MNTN-WS.US,D,20220711,000000,0.1095,0.1199,0.1,0.1,700,0
MNTN-WS.US,D,20220712,000000,0.1095,0.1199,0.1,0.1,700,0
MNTN-WS.US,D,20220713,000000,0.1199,0.1199,0.07,0.07,5330,0
MNTN-WS.US,D,20220714,000000,0.0766,0.0838,0.07,0.07,600,0
MNTN-WS.US,D,20220715,000000,0.0766,0.0917,0.07,0.07,1200,0
MNTN-WS.US,D,20220718,000000,0.0766,0.0838,0.07,0.07,86160,0
MNTN-WS.US,D,20220721,000000,0.08,0.0801,0.08,0.08,800,0
MNTN-WS.US,D,20220725,000000,0.08,0.0801,0.08,0.08,2501,0
