<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BBAI.US,D,20210406,000000,9.56,9.72,9.56,9.71,1613,0
BBAI.US,D,20210407,000000,9.67,9.72,9.57,9.62,38797,0
BBAI.US,D,20210412,000000,9.71,9.71,9.7,9.7,6655,0
BBAI.US,D,20210414,000000,9.76,9.84,9.74,9.8,278774,0
BBAI.US,D,20210415,000000,9.751,9.83,9.75,9.77,627247,0
BBAI.US,D,20210416,000000,9.75,9.78,9.75,9.78,64695,0
BBAI.US,D,20210419,000000,9.75,9.84,9.7,9.79,63740,0
BBAI.US,D,20210420,000000,9.85,9.85,9.73,9.79,51759,0
BBAI.US,D,20210421,000000,9.82,9.82,9.736,9.77,51505,0
BBAI.US,D,20210422,000000,9.8,9.81,9.75,9.77,89937,0
BBAI.US,D,20210423,000000,9.73,9.77,9.73,9.77,8832,0
BBAI.US,D,20210426,000000,9.7301,9.7482,9.71,9.72,5626,0
BBAI.US,D,20210427,000000,9.73,9.74,9.71,9.73,4212,0
BBAI.US,D,20210428,000000,9.74,9.74,9.68,9.73,55341,0
BBAI.US,D,20210429,000000,9.73,9.734,9.7,9.73,88985,0
BBAI.US,D,20210430,000000,9.73,9.73,9.7,9.71,3524,0
BBAI.US,D,20210503,000000,9.73,9.73,9.71,9.73,1873,0
BBAI.US,D,20210504,000000,9.73,9.73,9.66,9.71,14516,0
BBAI.US,D,20210505,000000,9.68,9.69,9.66,9.67,23136,0
BBAI.US,D,20210506,000000,9.7,9.7,9.66,9.7,27308,0
BBAI.US,D,20210507,000000,9.7,9.72,9.67,9.68,27274,0
BBAI.US,D,20210510,000000,9.67,9.72,9.66,9.71,15863,0
BBAI.US,D,20210511,000000,9.67,9.69,9.6101,9.68,28568,0
BBAI.US,D,20210512,000000,9.7,9.7,9.67,9.7,80519,0
BBAI.US,D,20210513,000000,9.71,9.71,9.645,9.66,14212,0
BBAI.US,D,20210514,000000,9.7,9.7,9.64,9.66,37177,0
BBAI.US,D,20210517,000000,9.7,9.7,9.66,9.7,7318,0
BBAI.US,D,20210518,000000,9.72,9.72,9.66,9.67,7200,0
BBAI.US,D,20210519,000000,9.72,9.72,9.61,9.62,42746,0
BBAI.US,D,20210520,000000,9.62,9.66,9.62,9.65,39017,0
