<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GFOR.US,D,20210714,000000,10,10,9.9975,10,19752,0
GFOR.US,D,20210715,000000,9.9,9.9,9.78,9.78,12201,0
GFOR.US,D,20210716,000000,9.78,9.78,9.78,9.78,1009,0
GFOR.US,D,20210720,000000,9.8,9.84,9.8,9.84,1927,0
GFOR.US,D,20210723,000000,9.71,9.73,9.71,9.73,250,0
GFOR.US,D,20210726,000000,9.73,9.73,9.73,9.73,250,0
GFOR.US,D,20210727,000000,9.93,9.93,9.7211,9.8,1362,0
GFOR.US,D,20210728,000000,9.8,9.8,9.8,9.8,200,0
GFOR.US,D,20210730,000000,9.75,9.75,9.75,9.75,50000,0
GFOR.US,D,20210802,000000,9.74,9.74,9.74,9.74,150,0
GFOR.US,D,20210803,000000,9.83,9.83,9.74,9.74,1000,0
GFOR.US,D,20210804,000000,9.77,9.77,9.77,9.77,50012,0
GFOR.US,D,20210805,000000,9.93,9.93,9.77,9.77,396,0
GFOR.US,D,20210806,000000,9.76,9.76,9.76,9.76,1400,0
GFOR.US,D,20210813,000000,9.73,9.73,9.73,9.73,200056,0
GFOR.US,D,20210816,000000,9.93,9.93,9.76,9.76,365984,0
GFOR.US,D,20210817,000000,9.76,9.76,9.72,9.75,1506,0
GFOR.US,D,20210820,000000,9.68,9.68,9.68,9.68,100,0
GFOR.US,D,20210909,000000,9.67,9.78,9.67,9.77,10355,0
GFOR.US,D,20210910,000000,9.7378,9.7378,9.64,9.65,26678,0
GFOR.US,D,20210913,000000,9.68,9.84,9.68,9.72,5560,0
GFOR.US,D,20210914,000000,9.69,9.69,9.69,9.69,100,0
GFOR.US,D,20210916,000000,9.63,9.76,9.63,9.76,1873,0
GFOR.US,D,20210917,000000,9.63,9.72,9.63,9.67,2336,0
GFOR.US,D,20210920,000000,9.75,9.75,9.75,9.75,1333,0
GFOR.US,D,20210922,000000,9.715,9.715,9.715,9.715,24768,0
GFOR.US,D,20210924,000000,9.78,9.78,9.78,9.78,118,0
GFOR.US,D,20210928,000000,9.7,9.7,9.7,9.7,531,0
GFOR.US,D,20210930,000000,9.69,9.71,9.69,9.69,1646,0
GFOR.US,D,20211004,000000,9.93,9.93,9.68,9.75,6998,0
GFOR.US,D,20211013,000000,9.76,9.76,9.76,9.76,634,0
GFOR.US,D,20211015,000000,9.71,9.75,9.7,9.71,300410,0
GFOR.US,D,20211021,000000,9.73,9.78,9.73,9.78,500,0
GFOR.US,D,20211027,000000,9.7151,9.7151,9.7151,9.7151,103,0
GFOR.US,D,20211028,000000,9.83,9.83,9.76,9.76,343,0
GFOR.US,D,20211103,000000,9.72,9.72,9.72,9.72,500,0
GFOR.US,D,20211109,000000,9.69,9.72,9.69,9.7,51869,0
GFOR.US,D,20211110,000000,9.68,9.68,9.68,9.68,301,0
GFOR.US,D,20211117,000000,9.7,9.7,9.7,9.7,220,0
GFOR.US,D,20211119,000000,9.7,9.7,9.7,9.7,850,0
GFOR.US,D,20211124,000000,9.7,9.71,9.7,9.71,255107,0
GFOR.US,D,20211126,000000,9.7,9.7,9.7,9.7,1040,0
GFOR.US,D,20211129,000000,9.69,9.75,9.69,9.7,1575,0
GFOR.US,D,20211202,000000,9.8,9.8,9.8,9.8,254,0
GFOR.US,D,20211203,000000,9.71,9.71,9.7,9.7,10769,0
GFOR.US,D,20211208,000000,9.7,9.75,9.7,9.75,360504,0
GFOR.US,D,20211209,000000,9.8,9.8,9.8,9.8,100,0
GFOR.US,D,20211210,000000,9.72,9.75,9.7,9.75,3113,0
GFOR.US,D,20211214,000000,9.8,9.8,9.8,9.8,1369,0
GFOR.US,D,20211215,000000,9.8,9.8,9.77,9.78,3679,0
GFOR.US,D,20211222,000000,9.69,9.73,9.65,9.73,16560,0
GFOR.US,D,20211223,000000,9.68,9.68,9.66,9.66,151383,0
GFOR.US,D,20211227,000000,9.725,9.725,9.66,9.66,2500,0
GFOR.US,D,20211230,000000,9.66,9.69,9.66,9.69,200,0
GFOR.US,D,20220103,000000,9.69,9.69,9.68,9.68,1238,0
GFOR.US,D,20220106,000000,9.8,9.8,9.72,9.72,700,0
GFOR.US,D,20220107,000000,9.72,9.72,9.72,9.72,510,0
GFOR.US,D,20220111,000000,9.72,9.72,9.72,9.72,230,0
GFOR.US,D,20220113,000000,9.76,9.76,9.76,9.76,100,0
GFOR.US,D,20220118,000000,9.72,9.72,9.65,9.68,144020,0
GFOR.US,D,20220119,000000,9.65,9.68,9.65,9.68,7436,0
GFOR.US,D,20220121,000000,9.65,9.67,9.65,9.67,2200,0
GFOR.US,D,20220124,000000,9.65,9.66,9.63,9.66,20328,0
GFOR.US,D,20220125,000000,9.63,9.68,9.63,9.66,6301,0
GFOR.US,D,20220127,000000,9.65,9.65,9.65,9.65,205,0
GFOR.US,D,20220128,000000,9.65,9.65,9.65,9.65,102,0
GFOR.US,D,20220131,000000,9.69,9.69,9.69,9.69,446,0
GFOR.US,D,20220207,000000,9.7,9.72,9.7,9.72,1688,0
GFOR.US,D,20220214,000000,9.7,9.72,9.7,9.72,707,0
GFOR.US,D,20220215,000000,9.72,9.72,9.72,9.72,106,0
GFOR.US,D,20220301,000000,9.7,10.01,9.65,9.68,64974,0
GFOR.US,D,20220302,000000,9.68,9.68,9.65,9.66,4583,0
GFOR.US,D,20220303,000000,9.68,9.75,9.68,9.73,14526,0
GFOR.US,D,20220304,000000,9.69,9.69,9.68,9.68,1519,0
GFOR.US,D,20220307,000000,9.66,9.68,9.66,9.67,7276,0
GFOR.US,D,20220310,000000,9.67,9.67,9.67,9.67,656,0
GFOR.US,D,20220314,000000,9.66,9.68,9.66,9.68,7544,0
GFOR.US,D,20220315,000000,9.66,9.67,9.66,9.67,5100,0
GFOR.US,D,20220316,000000,9.71,9.71,9.7,9.71,5000,0
GFOR.US,D,20220317,000000,9.67,9.71,9.6686,9.68,5801,0
GFOR.US,D,20220318,000000,9.68,9.68,9.68,9.68,1000,0
GFOR.US,D,20220323,000000,9.67,9.67,9.67,9.67,829,0
GFOR.US,D,20220324,000000,9.68,9.68,9.68,9.68,1100,0
GFOR.US,D,20220325,000000,9.7,9.7,9.7,9.7,4000,0
GFOR.US,D,20220328,000000,9.7,9.7,9.7,9.7,42528,0
GFOR.US,D,20220329,000000,9.7,9.7,9.7,9.7,62005,0
GFOR.US,D,20220401,000000,9.71,9.73,9.71,9.73,2764,0
GFOR.US,D,20220418,000000,9.75,9.75,9.75,9.75,2513,0
