<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DIP.US,D,20221214,000000,25.25,30.35,25.1721,26.135,22445,0
DIP.US,D,20221215,000000,25.5,25.5,24.36,24.373,35939,0
DIP.US,D,20221216,000000,24.4,24.4,24.0001,24.25,9027,0
DIP.US,D,20221219,000000,24.49,24.49,23.79,23.88,7669,0
DIP.US,D,20221220,000000,23.7,23.97,23.7,23.9272,2583,0
DIP.US,D,20221221,000000,24.2511,24.35,24.17,24.246,2644,0
DIP.US,D,20221222,000000,23.89,24.0608,23.76,24.0608,6121,0
DIP.US,D,20221223,000000,23.8969,24.1603,23.8969,24.1603,1932,0
DIP.US,D,20221227,000000,24.79,24.79,23.9546,24.0764,4577,0
DIP.US,D,20221228,000000,24.05,24.05,23.682,23.682,3843,0
DIP.US,D,20221229,000000,23.9451,24.26,23.9451,24.2583,3506,0
DIP.US,D,20221230,000000,24.12,24.2056,23.95,24.2056,2271,0
DIP.US,D,20230103,000000,24.0785,24.1918,24.0785,24.1918,404,0
DIP.US,D,20230104,000000,24.55,24.6653,24.43,24.5502,979,0
DIP.US,D,20230105,000000,24.5,24.5299,24.47,24.5299,1585,0
DIP.US,D,20230106,000000,24.96,25.0962,24.625,25.0625,2629,0
DIP.US,D,20230109,000000,25.25,25.37,25.11,25.1562,2843,0
DIP.US,D,20230110,000000,25.26,25.3718,25.17,25.3718,2777,0
DIP.US,D,20230111,000000,25.5,25.6364,25.42,25.6364,2351,0
DIP.US,D,20230112,000000,25.9,25.9,25.555,25.7047,3028,0
DIP.US,D,20230113,000000,25.4895,25.6663,25.4895,25.6663,804,0
DIP.US,D,20230117,000000,25.74,25.74,25.5565,25.5565,2190,0
DIP.US,D,20230118,000000,25.76,25.76,25.0982,25.0982,3226,0
DIP.US,D,20230119,000000,24.86,24.8701,24.7694,24.7694,1485,0
DIP.US,D,20230120,000000,25.01,25.0347,25.01,25.0347,1235,0
DIP.US,D,20230123,000000,25.2001,25.2001,25.1216,25.1216,447,0
DIP.US,D,20230124,000000,25.02,25.2,25.02,25.1785,631,0
DIP.US,D,20230125,000000,25.1703,25.2839,25.1703,25.2839,1913,0
DIP.US,D,20230126,000000,25.3,25.3,25.0801,25.2404,1537,0
DIP.US,D,20230127,000000,25.2,25.3225,25.2,25.3225,474,0
DIP.US,D,20230130,000000,25.4,25.4,25.3487,25.3487,178,0
DIP.US,D,20230131,000000,25.419,25.6908,25.419,25.6908,6531,0
DIP.US,D,20230201,000000,25.5,26.0531,25.5,26.0531,1174,0
DIP.US,D,20230202,000000,26.1546,26.1546,26.025,26.0938,456,0
DIP.US,D,20230203,000000,26.09,26.09,25.992,25.992,1614,0
DIP.US,D,20230206,000000,25.87,25.87,25.8485,25.8485,998,0
DIP.US,D,20230207,000000,26.0244,26.2008,26.0244,26.2008,513,0
DIP.US,D,20230208,000000,26.25,26.25,25.53,25.53,758,0
DIP.US,D,20230209,000000,26.2,26.2,25.8071,25.8071,1540,0
DIP.US,D,20230210,000000,25.83,25.9356,25.74,25.9356,1234,0
DIP.US,D,20230213,000000,26.18,26.199,26.17,26.199,483,0
DIP.US,D,20230214,000000,26.25,26.35,26.06,26.3399,2425,0
DIP.US,D,20230215,000000,26.57,26.57,26.23,26.4663,2050,0
DIP.US,D,20230216,000000,26.19,26.36,26.19,26.2395,1135,0
DIP.US,D,20230217,000000,26,26.1199,26,26.1199,728,0
DIP.US,D,20230221,000000,25.75,25.8,25.5401,25.5438,1854,0
DIP.US,D,20230222,000000,25.63,25.71,25.5641,25.5641,583,0
DIP.US,D,20230223,000000,26.07,26.07,25.6822,25.6822,767,0
DIP.US,D,20230224,000000,25.3647,25.5103,25.3647,25.5103,1168,0
DIP.US,D,20230227,000000,25.765,25.765,25.47,25.4948,837,0
DIP.US,D,20230228,000000,25.35,25.5698,25.35,25.4517,621,0
DIP.US,D,20230301,000000,25.36,25.36,25.21,25.2872,835,0
DIP.US,D,20230302,000000,25.56,25.6014,25.56,25.6014,238,0
DIP.US,D,20230303,000000,25.61,25.9754,25.61,25.9754,359,0
DIP.US,D,20230306,000000,26.1,26.1,25.9284,25.9284,653,0
DIP.US,D,20230307,000000,25.4678,25.4678,25.4678,25.4678,268,0
DIP.US,D,20230308,000000,25.46,25.5078,25.44,25.5078,967,0
DIP.US,D,20230309,000000,25,25,24.8688,24.8688,551,0
DIP.US,D,20230310,000000,24.76,24.76,24.2655,24.2655,952,0
DIP.US,D,20230313,000000,24.53,24.53,23.3201,23.5996,2285,0
DIP.US,D,20230314,000000,24.36,24.37,23.8866,23.9073,1538,0
DIP.US,D,20230315,000000,23.3319,23.3319,23.3319,23.3319,259,0
DIP.US,D,20230316,000000,23.47,23.6349,23.46,23.6349,2607,0
DIP.US,D,20230317,000000,23.06,23.18,23.06,23.1373,689,0
DIP.US,D,20230320,000000,23.58,23.58,23.4582,23.4582,512,0
DIP.US,D,20230321,000000,23.86,23.9041,23.86,23.9041,399,0
DIP.US,D,20230322,000000,23.5628,23.5628,23.5628,23.5628,434,0
DIP.US,D,20230323,000000,23.81,23.81,23.5168,23.5168,147,0
DIP.US,D,20230324,000000,23.56,23.7338,23.56,23.7338,1113,0
DIP.US,D,20230327,000000,23.97,24.05,23.96,23.9731,558,0
DIP.US,D,20230328,000000,23.9322,23.9322,23.9322,23.9322,5,0
DIP.US,D,20230329,000000,24.14,24.26,24.14,24.257,1633,0
DIP.US,D,20230330,000000,24.35,24.46,24.27,24.3524,1471,0
DIP.US,D,20230331,000000,24.51,24.5742,24.51,24.5742,280,0
DIP.US,D,20230403,000000,24.29,24.7,24.29,24.6748,1112,0
DIP.US,D,20230404,000000,24.39,24.44,24.39,24.4373,319,0
DIP.US,D,20230405,000000,24.38,24.4015,24.38,24.4015,467,0
DIP.US,D,20230406,000000,24.26,24.4055,24.26,24.4055,628,0
DIP.US,D,20230410,000000,24.5,24.56,24.5,24.5549,431,0
DIP.US,D,20230411,000000,24.6201,24.63,24.5547,24.5547,1105,0
DIP.US,D,20230412,000000,24.68,24.68,24.4501,24.4501,215,0
DIP.US,D,20230413,000000,24.6,24.751,24.5999,24.751,1253,0
DIP.US,D,20230414,000000,24.71,24.71,24.7001,24.7001,494,0
DIP.US,D,20230417,000000,24.96,24.96,24.705,24.8119,238,0
DIP.US,D,20230418,000000,24.93,24.93,24.7799,24.7799,164,0
