<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RYLG.US,D,20221019,000000,25.47,25.47,25.4,25.4557,221,0
RYLG.US,D,20221020,000000,25.64,25.669,25.2357,25.2357,954,0
RYLG.US,D,20221021,000000,25.7062,25.7062,25.7062,25.7062,104,0
RYLG.US,D,20221024,000000,25.615,25.615,25.54,25.61,332,0
RYLG.US,D,20221025,000000,26.05,26.0835,26.0374,26.0835,293,0
RYLG.US,D,20221026,000000,26.1876,26.1876,26.1876,26.1876,82,0
RYLG.US,D,20221027,000000,26.23,26.23,26.2123,26.2123,208,0
RYLG.US,D,20221028,000000,26.585,26.585,26.585,26.585,145,0
RYLG.US,D,20221031,000000,26.6016,26.6016,26.6016,26.6016,404,0
RYLG.US,D,20221101,000000,26.68,26.68,26.6713,26.6713,1053,0
RYLG.US,D,20221102,000000,26.4399,26.4399,26.1049,26.1049,126,0
RYLG.US,D,20221103,000000,26.0201,26.0418,26.02,26.0418,239,0
RYLG.US,D,20221104,000000,26.25,26.25,26.2276,26.2276,153,0
RYLG.US,D,20221107,000000,26.2799,26.3419,26.2799,26.3378,1579,0
RYLG.US,D,20221108,000000,26.33,26.3452,26.33,26.3452,129,0
RYLG.US,D,20221109,000000,25.8995,25.8995,25.8995,25.8995,106,0
RYLG.US,D,20221110,000000,26.6842,26.8681,26.6842,26.8681,708,0
RYLG.US,D,20221111,000000,27.01,27.01,26.9605,26.9605,230,0
RYLG.US,D,20221114,000000,26.9299,26.93,26.8049,26.8049,584,0
RYLG.US,D,20221115,000000,27.092,27.15,27.0513,27.0513,13679,0
RYLG.US,D,20221116,000000,26.7207,26.7207,26.7207,26.7207,146,0
RYLG.US,D,20221117,000000,26.4601,26.6109,26.4601,26.6109,140,0
RYLG.US,D,20221118,000000,26.53,26.5315,26.53,26.5315,347,0
RYLG.US,D,20221121,000000,26.3257,26.3257,26.2964,26.2964,304,0
