<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SEIV.US,D,20220519,000000,24.6495,24.6495,24.5291,24.5291,37802.101714447,0
SEIV.US,D,20220520,000000,24.4918,24.4918,24.4918,24.4918,59.551532659199,0
SEIV.US,D,20220524,000000,24.6545,24.6545,24.6545,24.6545,50.467400558644,0
SEIV.US,D,20220525,000000,24.7388,25.1715,24.7388,25.0803,778.20731661428,0
SEIV.US,D,20220526,000000,25.6502,25.6502,25.5808,25.6305,2705.0526699433,0
SEIV.US,D,20220527,000000,26.0459,26.1684,26.0459,26.1684,505.68335359761,0
SEIV.US,D,20220531,000000,25.9996,25.9996,25.9996,25.9996,1.0093480111729,0
SEIV.US,D,20220601,000000,25.7838,25.7838,25.7838,25.7838,20.186960223457,0
SEIV.US,D,20220602,000000,25.9833,25.9833,25.9833,25.9833,58.542184648027,0
SEIV.US,D,20220603,000000,25.6095,25.6095,25.6095,25.6095,169.57046587704,0
SEIV.US,D,20220606,000000,25.7213,25.7213,25.7213,25.7213,1.0093480111729,0
SEIV.US,D,20220607,000000,25.961,25.961,25.961,25.961,3.0280440335186,0
SEIV.US,D,20220608,000000,25.5242,25.5242,25.5242,25.5242,18.168264201112,0
SEIV.US,D,20220609,000000,25.4917,25.4917,24.97,24.97,5059.8615800096,0
SEIV.US,D,20220610,000000,24.4713,24.6793,24.2863,24.2863,446.13182093841,0
SEIV.US,D,20220613,000000,23.4706,23.4706,23.1737,23.1737,324.00071158649,0
SEIV.US,D,20220614,000000,23.2625,23.2823,23.1139,23.1743,2872.604439798,0
SEIV.US,D,20220615,000000,23.4507,23.5003,23.2725,23.4805,2757.5387665243,0
SEIV.US,D,20220616,000000,22.6582,22.6582,22.46,22.5492,3658.8865405017,0
SEIV.US,D,20220617,000000,24.8081,24.8081,22.6681,22.7817,4215.0372946579,0
