<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EICA.US,D,20211028,000000,25.4,25.46,25.36,25.37,56682,0
EICA.US,D,20211029,000000,25.4325,25.435,25.32,25.4,19491,0
EICA.US,D,20211101,000000,25.4,25.45,25.38,25.38,17833,0
EICA.US,D,20211102,000000,25.415,25.46,25.37,25.45,41438,0
EICA.US,D,20211103,000000,25.475,25.53,25.43,25.4995,28903,0
EICA.US,D,20211104,000000,25.4,25.5,25.4,25.41,5077,0
EICA.US,D,20211105,000000,25.49,25.4997,25.43,25.43,11602,0
EICA.US,D,20211108,000000,25.465,25.4841,25.37,25.4,27764,0
EICA.US,D,20211109,000000,25.32,25.39,25.25,25.39,26677,0
EICA.US,D,20211110,000000,25.35,25.4,25.31,25.37,33845,0
EICA.US,D,20211111,000000,25.355,25.37,25.3399,25.37,3602,0
EICA.US,D,20211115,000000,25.3398,25.39,25.22,25.26,14677,0
EICA.US,D,20211116,000000,25.3121,25.36,25.145,25.2992,38818,0
EICA.US,D,20211117,000000,25.3,25.36,25.26,25.3,3125,0
EICA.US,D,20211118,000000,25.268,25.36,25.17,25.36,10280,0
EICA.US,D,20211119,000000,25.21,25.3,25.18,25.2889,7584,0
EICA.US,D,20211122,000000,25.29,25.39,25.29,25.373,7573,0
EICA.US,D,20211123,000000,25.26,25.36,25.26,25.36,2944,0
EICA.US,D,20211124,000000,25.3599,25.3599,25.21,25.22,2702,0
EICA.US,D,20211126,000000,25.21,25.28,25.21,25.24,1230,0
EICA.US,D,20211129,000000,25.222,25.2498,25.16,25.22,4554,0
EICA.US,D,20211130,000000,25.21,25.22,25.18,25.2,1518,0
EICA.US,D,20211201,000000,25.18,25.2,25.16,25.1995,4937,0
EICA.US,D,20211202,000000,25.19,25.39,25.04,25.05,17898,0
EICA.US,D,20211203,000000,25.15,25.2,25.05,25.05,6256,0
EICA.US,D,20211206,000000,25,25.18,24.86,25.03,8564,0
EICA.US,D,20211207,000000,25.09,25.18,25.06,25.152,4404,0
EICA.US,D,20211208,000000,25.29,25.33,25.1584,25.33,2740,0
EICA.US,D,20211209,000000,25.2842,25.3886,25.0467,25.2999,10768,0
EICA.US,D,20211210,000000,25.07,25.16,25.07,25.16,700,0
EICA.US,D,20211213,000000,25.17,25.35,25.11,25.3485,4426,0
EICA.US,D,20211214,000000,25.3299,25.3299,25.3299,25.3299,300,0
EICA.US,D,20211215,000000,25.1215,25.25,25.1215,25.25,1200,0
EICA.US,D,20211216,000000,25.05,25.2869,25.05,25.2869,1335,0
EICA.US,D,20211217,000000,25.15,25.29,25.15,25.28,1400,0
EICA.US,D,20211221,000000,25.25,25.3,25.25,25.3,1643,0
EICA.US,D,20211223,000000,25.2858,25.34,25.2858,25.33,5426,0
EICA.US,D,20211227,000000,25.4056,25.59,25.285,25.3101,2730,0
EICA.US,D,20211228,000000,25.35,25.61,25.35,25.57,3305,0
EICA.US,D,20211229,000000,25.61,25.61,25.61,25.61,100,0
EICA.US,D,20211230,000000,25.59,26.86,25.46,25.59,2510,0
EICA.US,D,20211231,000000,25.42,25.59,25.42,25.59,301,0
EICA.US,D,20220103,000000,25.2742,25.6,25.22,25.59,6178,0
