<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FEEM.US,D,20220427,000000,47.6153,47.8217,47.6153,47.8217,1075,0
FEEM.US,D,20220428,000000,48.3745,48.3745,48.3745,48.3745,71,0
FEEM.US,D,20220502,000000,48.6604,48.6604,48.6604,48.6604,4,0
FEEM.US,D,20220503,000000,49.19,49.21,49.06,49.0882,541,0
FEEM.US,D,20220504,000000,49.6926,49.6926,48.5,49.6926,100,0
FEEM.US,D,20220505,000000,47.6993,47.6993,47.6993,47.6993,4,0
FEEM.US,D,20220506,000000,47.145,47.145,47.145,47.145,2,0
FEEM.US,D,20220509,000000,45.7068,45.7068,45.7068,45.7068,4,0
FEEM.US,D,20220510,000000,45.9158,45.9158,45.9158,45.9158,8,0
FEEM.US,D,20220511,000000,45.5911,45.5911,45.5911,45.5911,2,0
FEEM.US,D,20220512,000000,45.3944,45.3944,45.3944,45.3944,11,0
FEEM.US,D,20220513,000000,46.6215,46.6215,46.6215,46.6215,8,0
FEEM.US,D,20220516,000000,46.4329,46.4329,46.4329,46.4329,4,0
FEEM.US,D,20220517,000000,47.7286,47.7286,47.7286,47.7286,5,0
FEEM.US,D,20220518,000000,46.509,46.509,46.509,46.509,4,0
FEEM.US,D,20220519,000000,47.1482,47.1482,47.1482,47.1482,4,0
FEEM.US,D,20220520,000000,47.2926,47.2926,47.2926,47.2926,4,0
FEEM.US,D,20220523,000000,47.7129,47.7129,47.7129,47.7129,4,0
FEEM.US,D,20220524,000000,46.7654,46.7654,46.7654,46.7654,4,0
FEEM.US,D,20220525,000000,46.8099,46.8099,46.8099,46.8099,4,0
FEEM.US,D,20220526,000000,47.6766,47.6766,47.6766,47.6766,1,0
FEEM.US,D,20220527,000000,48.3206,48.3206,48.3206,48.3206,4,0
FEEM.US,D,20220531,000000,49.47,49.47,49.1029,49.1029,203,0
FEEM.US,D,20220601,000000,48.6032,48.6032,48.6032,48.6032,35,0
FEEM.US,D,20220602,000000,49.448,49.448,49.448,49.448,2,0
FEEM.US,D,20220603,000000,48.5407,48.5407,48.5407,48.5407,3,0
FEEM.US,D,20220606,000000,48.8205,48.8205,48.8205,48.8205,1,0
FEEM.US,D,20220607,000000,48.7,49.0135,48.7,49.0135,200,0
FEEM.US,D,20220608,000000,49.4484,49.4484,49.4484,49.4484,2,0
FEEM.US,D,20220609,000000,48.2115,48.2115,48.2115,48.2115,1,0
FEEM.US,D,20220610,000000,47.6236,47.6236,47.6236,47.6236,1,0
FEEM.US,D,20220613,000000,45.8664,45.8664,45.8664,45.8664,26,0
FEEM.US,D,20220614,000000,46.5385,46.5385,46.5385,46.5385,57,0
FEEM.US,D,20220615,000000,47.2887,47.2887,47.2887,47.2887,26,0
FEEM.US,D,20220616,000000,45.7451,45.7451,45.7451,45.7451,26,0
FEEM.US,D,20220617,000000,45.8552,45.8552,45.8552,45.8552,26,0
FEEM.US,D,20220621,000000,46.7578,46.7578,46.7578,46.7578,26,0
FEEM.US,D,20220622,000000,46.0264,46.0264,46.0264,46.0264,26,0
FEEM.US,D,20220623,000000,46.1634,46.1634,46.1634,46.1634,85,0
FEEM.US,D,20220624,000000,47.254,47.254,47.254,47.254,26,0
FEEM.US,D,20220627,000000,47.275,47.275,47.275,47.275,3,0
FEEM.US,D,20220628,000000,46.8818,46.8818,46.8818,46.8818,2,0
FEEM.US,D,20220629,000000,46.6806,46.6806,46.6806,46.6806,31,0
FEEM.US,D,20220630,000000,46.3214,46.3214,46.3214,46.3214,2,0
FEEM.US,D,20220701,000000,46.1602,46.1602,46.1602,46.1602,40,0
FEEM.US,D,20220705,000000,45.8366,45.8366,45.8366,45.8366,1,0
FEEM.US,D,20220706,000000,45.5666,45.5666,45.5666,45.5666,2,0
FEEM.US,D,20220707,000000,46.5843,46.5843,46.5843,46.5843,1,0
FEEM.US,D,20220708,000000,46.4609,46.4609,46.4609,46.4609,2,0
FEEM.US,D,20220711,000000,45.0939,45.0939,45.0939,45.0939,2,0
FEEM.US,D,20220712,000000,45.0231,45.0231,45.0231,45.0231,36,0
FEEM.US,D,20220713,000000,45.0194,45.0194,45.0194,45.0194,2,0
FEEM.US,D,20220714,000000,44.5373,44.5373,44.5373,44.5373,2,0
FEEM.US,D,20220715,000000,44.7816,44.7816,44.7816,44.7816,2,0
FEEM.US,D,20220718,000000,45.0852,45.0852,45.0852,45.0852,16,0
FEEM.US,D,20220719,000000,45.7763,45.7763,45.7763,45.7763,25,0
FEEM.US,D,20220720,000000,45.5481,45.5481,45.5481,45.5481,2,0
FEEM.US,D,20220721,000000,46.1337,46.1337,46.1337,46.1337,2,0
FEEM.US,D,20220722,000000,45.6138,45.6138,45.6138,45.6138,2,0
FEEM.US,D,20220725,000000,45.8343,45.8343,45.8343,45.8343,28,0
FEEM.US,D,20220726,000000,45.4407,45.4407,45.4407,45.4407,3,0
FEEM.US,D,20220727,000000,46.3049,46.3049,46.3049,46.3049,3,0
FEEM.US,D,20220728,000000,46.4904,46.4904,46.4904,46.4904,3,0
FEEM.US,D,20220729,000000,46.02,46.02,46.02,46.02,3,0
FEEM.US,D,20220801,000000,45.6817,45.6817,45.6817,45.6817,3,0
FEEM.US,D,20220802,000000,45.541,45.541,45.541,45.541,3,0
FEEM.US,D,20220803,000000,45.9726,45.9726,45.9726,45.9726,3,0
FEEM.US,D,20220804,000000,46.3364,46.3364,46.3364,46.3364,3,0
FEEM.US,D,20220805,000000,46.2771,46.2771,46.2771,46.2771,3,0
FEEM.US,D,20220808,000000,46.3941,46.3941,46.3941,46.3941,3,0
FEEM.US,D,20220809,000000,46.221,46.221,46.221,46.221,3,0
FEEM.US,D,20220810,000000,46.9071,46.9071,46.9071,46.9071,7,0
FEEM.US,D,20220811,000000,47.1021,47.1021,47.1021,47.1021,1,0
FEEM.US,D,20220812,000000,47.5061,47.5061,47.5061,47.5061,1,0
FEEM.US,D,20220815,000000,47.3041,47.3041,47.3041,47.3041,1,0
FEEM.US,D,20220816,000000,47.3173,47.3173,47.3173,47.3173,1,0
FEEM.US,D,20220817,000000,47.0917,47.0917,47.0917,47.0917,1,0
FEEM.US,D,20220818,000000,46.7159,46.7159,46.7159,46.7159,1,0
FEEM.US,D,20220819,000000,46.1091,46.1091,46.1091,46.1091,1,0
FEEM.US,D,20220822,000000,45.7894,45.7894,45.7894,45.7894,1,0
FEEM.US,D,20220823,000000,45.9225,45.9225,45.9225,45.9225,1,0
FEEM.US,D,20220824,000000,46.0365,46.0365,46.0365,46.0365,2,0
FEEM.US,D,20220825,000000,47.0827,47.0827,47.0827,47.0827,2,0
FEEM.US,D,20220826,000000,46.3899,46.3899,46.3899,46.3899,2,0
FEEM.US,D,20220829,000000,46.0905,46.0905,46.0905,46.0905,2,0
FEEM.US,D,20220830,000000,45.5032,45.5032,45.5032,45.5032,2,0
FEEM.US,D,20220831,000000,45.6948,45.6948,45.6948,45.6948,2,0
FEEM.US,D,20220901,000000,45.2924,45.2924,45.2924,45.2924,22,0
