<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KCGI-U.US,D,20210816,000000,10.2,10.2,10.08,10.14,205899,0
KCGI-U.US,D,20210817,000000,10.12,10.12,10.06,10.1,390948,0
KCGI-U.US,D,20210818,000000,10.07,10.11,10.07,10.07,62194,0
KCGI-U.US,D,20210819,000000,10.06,10.1,10.04,10.08,184656,0
KCGI-U.US,D,20210820,000000,10.05,10.0728,10.05,10.07,46409,0
KCGI-U.US,D,20210823,000000,10.05,10.1,10.05,10.06,71346,0
KCGI-U.US,D,20210824,000000,10.0844,10.12,10.05,10.12,103907,0
KCGI-U.US,D,20210825,000000,10.12,10.13,10.08,10.1,40801,0
KCGI-U.US,D,20210827,000000,10.1,10.1,10.08,10.08,11423,0
KCGI-U.US,D,20210830,000000,10.0638,10.12,10.06,10.08,4850,0
KCGI-U.US,D,20210831,000000,10.15,10.15,10.05,10.1,22913,0
KCGI-U.US,D,20210901,000000,10.07,10.1,10.06,10.08,25652,0
KCGI-U.US,D,20210902,000000,10.08,10.0999,10.068,10.07,7335,0
KCGI-U.US,D,20210903,000000,10.0501,10.1,10.05,10.1,87641,0
KCGI-U.US,D,20210907,000000,10.1,10.1,10.1,10.1,2500,0
KCGI-U.US,D,20210908,000000,10.15,10.15,10.1091,10.1091,5921,0
KCGI-U.US,D,20210909,000000,10.13,10.13,10.11,10.13,29400,0
KCGI-U.US,D,20210910,000000,10.13,10.1303,10.1209,10.1303,4262,0
KCGI-U.US,D,20210913,000000,10.13,10.18,10.1,10.1,30873,0
KCGI-U.US,D,20210914,000000,10.1,10.14,10.1,10.13,39848,0
KCGI-U.US,D,20210915,000000,10.13,10.13,10.1298,10.13,2397,0
KCGI-U.US,D,20210916,000000,10.1,10.12,10.1,10.11,22716,0
KCGI-U.US,D,20210920,000000,10.11,10.11,10.1,10.1,10001,0
KCGI-U.US,D,20210921,000000,10.1327,10.19,10.13,10.18,53140,0
KCGI-U.US,D,20210922,000000,10.1896,10.2,10.13,10.13,13647,0
KCGI-U.US,D,20210923,000000,10.18,10.19,10.15,10.1885,34332,0
KCGI-U.US,D,20210924,000000,10.15,10.15,10.14,10.15,24300,0
