<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AWEG.US,D,20230307,000000,19.94,19.94,19.69,19.6918,55100,0
AWEG.US,D,20230310,000000,18.56,18.7,18.56,18.61,1200,0
AWEG.US,D,20230313,000000,18.56,18.56,18.435,18.435,1200,0
AWEG.US,D,20230314,000000,18.87,18.88,18.6599,18.7033,54325,0
AWEG.US,D,20230316,000000,18.82,19.07,18.82,18.9846,2404,0
AWEG.US,D,20230317,000000,18.6307,18.6307,18.6307,18.6307,5,0
AWEG.US,D,20230320,000000,19.05,19.21,18.86,18.9194,56327,0
AWEG.US,D,20230329,000000,18.9691,19.31,18.92,19.23,6757,0
AWEG.US,D,20230330,000000,19.14,19.14,19.14,19.14,108,0
AWEG.US,D,20230331,000000,19.57,19.5946,19.57,19.5946,100,0
AWEG.US,D,20230403,000000,19.5643,19.5643,19.5643,19.5643,2,0
AWEG.US,D,20230404,000000,19.1989,19.1989,19.1989,19.1989,1,0
AWEG.US,D,20230405,000000,18.9566,18.9566,18.9566,18.9566,1,0
AWEG.US,D,20230406,000000,19.045,19.045,19.045,19.045,1,0
AWEG.US,D,20230410,000000,19.2622,19.2622,19.2622,19.2622,1,0
AWEG.US,D,20230411,000000,19.4333,19.4333,19.4333,19.4333,1,0
AWEG.US,D,20230412,000000,19.449,19.449,19.449,19.449,1,0
AWEG.US,D,20230413,000000,19.7936,19.7936,19.7936,19.7936,2,0
AWEG.US,D,20230414,000000,19.6096,19.6096,19.6096,19.6096,2,0
AWEG.US,D,20230417,000000,19.7746,19.7746,19.7746,19.7746,76,0
AWEG.US,D,20230418,000000,19.5795,19.5795,19.5795,19.5795,6,0
AWEG.US,D,20230419,000000,19.8828,19.8828,19.8828,19.8828,75,0
AWEG.US,D,20230420,000000,19.8517,19.8517,19.8517,19.8517,75,0
AWEG.US,D,20230421,000000,20.0191,20.0191,20.0191,20.0191,75,0
AWEG.US,D,20230424,000000,19.8777,19.8777,19.8777,19.8777,12,0
AWEG.US,D,20230425,000000,19.3852,19.3852,19.3852,19.3852,1,0
AWEG.US,D,20230426,000000,19.63,19.63,19.3561,19.3561,23279,0
AWEG.US,D,20230427,000000,19.6083,19.6083,19.6083,19.6083,11,0
AWEG.US,D,20230428,000000,19.7909,19.7909,19.7909,19.7909,1,0
AWEG.US,D,20230501,000000,19.77,19.77,19.77,19.77,58,0
AWEG.US,D,20230502,000000,19.71,19.71,19.035,19.035,762,0
AWEG.US,D,20230503,000000,19.3068,19.3068,19.3068,19.3068,3,0
AWEG.US,D,20230504,000000,19.0787,19.0787,19.0787,19.0787,58,0
AWEG.US,D,20230505,000000,19.3416,19.3416,19.3416,19.3416,58,0
AWEG.US,D,20230508,000000,19.3082,19.3082,19.3082,19.3082,58,0
AWEG.US,D,20230509,000000,19.5642,19.5642,19.5642,19.5642,58,0
AWEG.US,D,20230510,000000,19.7454,19.7454,19.7454,19.7454,58,0
AWEG.US,D,20230511,000000,19.45,19.584,19.45,19.584,261,0
AWEG.US,D,20230512,000000,19.5524,19.5524,19.5524,19.5524,4,0
AWEG.US,D,20230515,000000,19.7834,19.7834,19.7834,19.7834,58,0
AWEG.US,D,20230516,000000,19.6895,19.6895,19.6895,19.6895,1,0
AWEG.US,D,20230517,000000,19.8945,19.8945,19.8945,19.8945,1,0
AWEG.US,D,20230518,000000,19.9039,19.9039,19.9039,19.9039,58,0
AWEG.US,D,20230519,000000,19.8922,19.8922,19.8922,19.8922,3,0
AWEG.US,D,20230522,000000,20,20.0799,20,20.0799,259,0
AWEG.US,D,20230523,000000,19.7914,19.7914,19.7914,19.7914,58,0
AWEG.US,D,20230524,000000,19.6818,19.6818,19.6818,19.6818,58,0
AWEG.US,D,20230525,000000,19.5256,19.5256,19.5256,19.5256,1,0
AWEG.US,D,20230526,000000,19.631,19.631,19.631,19.631,58,0
AWEG.US,D,20230530,000000,19.5453,19.5453,19.5453,19.5453,58,0
AWEG.US,D,20230531,000000,19.4326,19.4326,19.4326,19.4326,58,0
AWEG.US,D,20230601,000000,19.6719,19.6719,19.6719,19.6719,58,0
AWEG.US,D,20230602,000000,20.4936,20.4936,20.4936,20.4936,58,0
AWEG.US,D,20230605,000000,20.33,20.33,20.23,20.23,248,0
AWEG.US,D,20230606,000000,20.3335,20.3335,20.3335,20.3335,2,0
