<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MRDB.US,D,20221220,000000,6.5,6.5,4.75,5.28,64500,0
MRDB.US,D,20221221,000000,5.31,5.81,4.3,4.41,77069,0
MRDB.US,D,20221222,000000,4.3,4.9,3.9674,4.7838,67119,0
MRDB.US,D,20221223,000000,4.86,4.86,4,4.11,117257,0
MRDB.US,D,20221227,000000,4.47,4.47,3.85,3.97,45068,0
MRDB.US,D,20221228,000000,4.18,4.2,3.4,3.65,110069,0
MRDB.US,D,20221229,000000,3.5101,3.8864,3.27,3.73,51805,0
MRDB.US,D,20221230,000000,3.7,4.6,3.55,3.99,184330,0
MRDB.US,D,20230103,000000,4.09,4.09,3.56,3.63,59018,0
MRDB.US,D,20230104,000000,3.6584,3.9397,3.62,3.89,33509,0
MRDB.US,D,20230105,000000,3.88,3.88,3.52,3.79,38036,0
MRDB.US,D,20230106,000000,3.58,3.75,3.35,3.7199,204820,0
MRDB.US,D,20230109,000000,3.69,3.98,3.59,3.68,100561,0
MRDB.US,D,20230110,000000,3.78,3.79,3.52,3.79,35237,0
MRDB.US,D,20230111,000000,3.8,3.9899,3.6,3.86,111311,0
MRDB.US,D,20230112,000000,3.97,4.08,3.84,3.87,42503,0
MRDB.US,D,20230113,000000,4,4,3.8,3.99,17809,0
MRDB.US,D,20230117,000000,4.04,4.04,3.75,3.779,78904,0
MRDB.US,D,20230118,000000,3.8,3.8,3.45,3.45,64874,0
MRDB.US,D,20230119,000000,3.55,3.63,3.25,3.33,38297,0
MRDB.US,D,20230120,000000,3.6,3.7,3.32,3.38,104608,0
MRDB.US,D,20230123,000000,3.54,3.6,3.44,3.56,60362,0
MRDB.US,D,20230124,000000,3.67,3.78,3.46,3.47,38212,0
MRDB.US,D,20230125,000000,3.44,3.47,3.32,3.41,70387,0
MRDB.US,D,20230126,000000,3.54,3.68,3.2,3.35,113236,0
MRDB.US,D,20230127,000000,3.29,3.65,3.29,3.63,34397,0
MRDB.US,D,20230130,000000,3.6,3.6,3.48,3.49,15832,0
MRDB.US,D,20230131,000000,3.59,3.6,3.49,3.55,34580,0
MRDB.US,D,20230201,000000,3.5,3.68,3.4,3.55,54859,0
MRDB.US,D,20230202,000000,3.7,3.7,3.431,3.5,44378,0
MRDB.US,D,20230203,000000,3.3,3.61,3.3,3.5,110627,0
MRDB.US,D,20230206,000000,3.45,3.5,3.31,3.48,66220,0
MRDB.US,D,20230207,000000,3.43,3.5,3.41,3.48,47450,0
MRDB.US,D,20230208,000000,3.39,3.45,3.32,3.36,19395,0
MRDB.US,D,20230209,000000,3.36,3.49,3.31,3.37,21949,0
MRDB.US,D,20230210,000000,3.41,3.41,3.2,3.29,19289,0
MRDB.US,D,20230213,000000,3.31,3.48,3.14,3.37,17102,0
MRDB.US,D,20230214,000000,3.49,3.49,3.2338,3.3,9807,0
MRDB.US,D,20230215,000000,3.262,3.36,3.24,3.35,27700,0
MRDB.US,D,20230216,000000,3.26,3.31,2.8,2.93,206490,0
MRDB.US,D,20230217,000000,2.99,2.99,2.6,2.8,83161,0
MRDB.US,D,20230221,000000,2.92,2.92,2.52,2.78,60872,0
MRDB.US,D,20230222,000000,2.7,2.89,2.63,2.76,42893,0
MRDB.US,D,20230223,000000,2.8116,2.9,2.63,2.75,37179,0
MRDB.US,D,20230224,000000,2.67,2.94,2.47,2.66,189590,0
MRDB.US,D,20230227,000000,2.79,2.8,2.55,2.66,59505,0
MRDB.US,D,20230228,000000,2.56,2.71,2.525,2.64,78961,0
MRDB.US,D,20230301,000000,2.65,2.65,2.21,2.38,117911,0
MRDB.US,D,20230302,000000,2.32,2.38,2.22,2.3,26633,0
MRDB.US,D,20230303,000000,2.26,2.51,2.1,2.16,236494,0
MRDB.US,D,20230306,000000,2.16,2.78,2.16,2.5,311616,0
MRDB.US,D,20230307,000000,2.6,3.4427,2.41,2.88,545987,0
MRDB.US,D,20230308,000000,2.62,3,2.55,2.97,119470,0
MRDB.US,D,20230309,000000,2.81,3.1764,2.75,2.75,139033,0
MRDB.US,D,20230310,000000,2.75,2.79,2.33,2.34,117745,0
MRDB.US,D,20230313,000000,2.35,2.52,2.298,2.36,121767,0
MRDB.US,D,20230314,000000,2.4,2.5,2.19,2.26,132833,0
MRDB.US,D,20230315,000000,2.21,2.38,2,2.13,176498,0
MRDB.US,D,20230316,000000,2.18,2.3433,2.1,2.1,105016,0
MRDB.US,D,20230317,000000,2.35,2.35,1.8,1.9,569631,0
MRDB.US,D,20230320,000000,1.88,1.917,1.6,1.64,263943,0
MRDB.US,D,20230321,000000,1.6,1.7789,1.6,1.62,180614,0
MRDB.US,D,20230322,000000,1.58,1.649,1.38,1.4,102967,0
MRDB.US,D,20230323,000000,1.3,1.52,1.3,1.43,78615,0
MRDB.US,D,20230324,000000,1.47,1.47,1.3,1.31,127280,0
MRDB.US,D,20230327,000000,1.4,1.4,1.11,1.21,150730,0
MRDB.US,D,20230328,000000,1.19,1.23,1.13,1.22,105867,0
MRDB.US,D,20230329,000000,1.26,1.35,1.21,1.31,61451,0
MRDB.US,D,20230330,000000,1.36,1.44,1.32,1.36,66967,0
MRDB.US,D,20230331,000000,1.41,1.41,1.27,1.38,20922,0
MRDB.US,D,20230403,000000,1.43,1.43,1.3,1.32,13947,0
MRDB.US,D,20230404,000000,1.3483,1.3499,1.25,1.29,35692,0
MRDB.US,D,20230405,000000,1.2966,1.3,1.2,1.22,22009,0
MRDB.US,D,20230406,000000,1.24,1.32,1.2,1.24,64413,0
MRDB.US,D,20230410,000000,1.24,1.32,1.2,1.3,171021,0
MRDB.US,D,20230411,000000,1.26,1.3,1.24,1.24,33698,0
MRDB.US,D,20230412,000000,1.29,1.29,1.2,1.23,45856,0
MRDB.US,D,20230413,000000,1.29,1.38,1.25,1.31,83807,0
MRDB.US,D,20230414,000000,1.42,1.42,1.3,1.33,28700,0
MRDB.US,D,20230417,000000,1.36,1.42,1.31,1.37,43078,0
MRDB.US,D,20230418,000000,1.48,1.48,1.3,1.37,21075,0
MRDB.US,D,20230419,000000,1.31,1.345,1.22,1.29,114311,0
MRDB.US,D,20230420,000000,1.3,1.56,1.3,1.56,154408,0
MRDB.US,D,20230421,000000,1.51,1.6182,1.42,1.51,60784,0
MRDB.US,D,20230424,000000,1.6,1.6,1.41,1.44,28781,0
MRDB.US,D,20230425,000000,1.51,1.51,1.26,1.32,19159,0
MRDB.US,D,20230426,000000,1.3,1.3,1.28,1.28,35347,0
MRDB.US,D,20230427,000000,1.3,1.3,1.25,1.3,31772,0
MRDB.US,D,20230428,000000,1.3,1.3,1.24,1.24,27079,0
MRDB.US,D,20230501,000000,1.3,1.3,1.21,1.27,14197,0
MRDB.US,D,20230502,000000,1.3,1.3,1.2,1.28,44579,0
MRDB.US,D,20230503,000000,1.3,1.3,1.2,1.22,26647,0
MRDB.US,D,20230504,000000,1.23,1.28,1.16,1.16,26632,0
MRDB.US,D,20230505,000000,1.24,1.24,1.15,1.23,36810,0
MRDB.US,D,20230508,000000,1.2,1.24,1.16,1.23,37805,0
MRDB.US,D,20230509,000000,1.19,1.19,1.13,1.18,18881,0
MRDB.US,D,20230510,000000,1.16,1.19,1.1,1.12,90340,0
MRDB.US,D,20230511,000000,1.1,1.12,1.02,1.1,139073,0
MRDB.US,D,20230512,000000,1.19,1.19,1.01,1.04,42234,0
MRDB.US,D,20230515,000000,1.01,1.03,0.9201,0.9911,154593,0
MRDB.US,D,20230516,000000,0.9614,0.99,0.9401,0.97,50614,0
MRDB.US,D,20230517,000000,1,1,0.94,0.98,52570,0
MRDB.US,D,20230518,000000,0.99,0.9999,0.98,0.9873,3534,0
MRDB.US,D,20230519,000000,1,1,0.8424,0.8901,111125,0
MRDB.US,D,20230522,000000,0.97,0.97,0.87,0.9,81415,0
MRDB.US,D,20230523,000000,0.95,0.95,0.85,0.89,50541,0
MRDB.US,D,20230524,000000,0.8801,0.8801,0.85,0.878,19506,0
MRDB.US,D,20230525,000000,0.85,0.88,0.841,0.85,38144,0
MRDB.US,D,20230526,000000,0.95,0.95,0.87,0.8701,47033,0
MRDB.US,D,20230530,000000,0.95,0.95,0.85,0.88,133320,0
MRDB.US,D,20230531,000000,0.9,1,0.87,0.87,111177,0
MRDB.US,D,20230601,000000,0.87,0.8726,0.84,0.85,34856,0
MRDB.US,D,20230602,000000,0.9569,0.9569,0.8869,0.95,71886,0
MRDB.US,D,20230605,000000,1,1.09,0.96,1.08,58934,0
MRDB.US,D,20230606,000000,1.1,1.15,1.06,1.1079,76523,0
MRDB.US,D,20230607,000000,1.05,1.1,1,1.04,131571,0
MRDB.US,D,20230608,000000,1,1.0299,0.9,0.9,67667,0
MRDB.US,D,20230609,000000,0.87,0.97,0.8644,0.92,81149,0
MRDB.US,D,20230612,000000,0.92,1,0.92,0.9662,117024,0
MRDB.US,D,20230613,000000,0.9372,1.02,0.9372,0.99,29163,0
MRDB.US,D,20230614,000000,0.991,1.06,0.9861,1.03,86663,0
MRDB.US,D,20230615,000000,1,1.04,0.9593,0.9842,22811,0
MRDB.US,D,20230616,000000,1.0196,1.07,0.98,1.05,52304,0
MRDB.US,D,20230620,000000,0.95,0.96,0.93,0.95,46805,0
MRDB.US,D,20230621,000000,0.97,0.9752,0.936,0.9462,65749,0
MRDB.US,D,20230622,000000,0.9,0.9,0.8678,0.8987,57569,0
MRDB.US,D,20230623,000000,0.8887,0.93,0.8716,0.8946,50277,0
MRDB.US,D,20230626,000000,0.9,0.92,0.8793,0.92,43725,0
MRDB.US,D,20230627,000000,0.93,0.93,0.91,0.93,34746,0
MRDB.US,D,20230628,000000,0.9,0.9,0.87,0.89,28765,0
MRDB.US,D,20230629,000000,0.89,0.895,0.82,0.856,114986,0
MRDB.US,D,20230630,000000,0.8603,0.8899,0.8603,0.8603,3250,0
MRDB.US,D,20230703,000000,0.822,0.8605,0.781,0.8603,26243,0
MRDB.US,D,20230705,000000,0.86,0.8799,0.844,0.8799,31961,0
MRDB.US,D,20230706,000000,0.85,0.9,0.85,0.8999,13563,0
MRDB.US,D,20230707,000000,0.9,0.9,0.86,0.87,37230,0
MRDB.US,D,20230710,000000,0.95,1.01,0.9105,0.97,48101,0
MRDB.US,D,20230711,000000,0.98,1.03,0.9527,0.97,54646,0
MRDB.US,D,20230712,000000,0.92,0.95,0.9,0.941499,41293,0
MRDB.US,D,20230713,000000,0.93,0.99,0.913,0.99,27207,0
MRDB.US,D,20230714,000000,0.99,0.99,0.9584,0.9798,20980,0
MRDB.US,D,20230717,000000,0.9383,0.98,0.93,0.94,5777,0
MRDB.US,D,20230718,000000,0.95,0.97,0.8701,0.9497,32568,0
MRDB.US,D,20230719,000000,0.92,0.92,0.902,0.902,3105,0
MRDB.US,D,20230720,000000,0.9,0.92,0.865,0.92,31181,0
MRDB.US,D,20230721,000000,0.9199,0.92,0.8958,0.8958,5569,0
MRDB.US,D,20230724,000000,0.93,0.9515,0.8902,0.9515,26501,0
MRDB.US,D,20230725,000000,0.9699,0.9699,0.924025,0.966,8385,0
MRDB.US,D,20230726,000000,0.956,0.966,0.936099,0.9361,2787,0
MRDB.US,D,20230727,000000,1.02,1.02,0.903,0.9166,25290,0
MRDB.US,D,20230728,000000,0.9166,0.9498,0.9166,0.9236,3145,0
MRDB.US,D,20230731,000000,0.95,0.9595,0.9103,0.9289,13619,0
MRDB.US,D,20230801,000000,0.93,0.93,0.8998,0.9298,9941,0
MRDB.US,D,20230802,000000,0.94,0.94,0.89,0.9125,14352,0
MRDB.US,D,20230803,000000,0.9201,0.9798,0.9201,0.9347,65315,0
MRDB.US,D,20230804,000000,0.95,0.9999,0.93,0.9319,7356,0
