<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AVGE.US,D,20221003,000000,50.55,51.28,50.55,51.2111,6157,0
AVGE.US,D,20221004,000000,52.4,53.04,52.337,53.0064,22561,0
AVGE.US,D,20221005,000000,52.21,53.075,52.1475,52.8342,24060,0
AVGE.US,D,20221006,000000,52.6965,52.9967,52.4211,52.4211,19963,0
AVGE.US,D,20221007,000000,52.21,52.21,51.1707,51.2778,14968,0
AVGE.US,D,20221010,000000,51.53,51.53,50.71,51,12295,0
AVGE.US,D,20221011,000000,50.92,51.1899,50.48,50.7018,16572,0
AVGE.US,D,20221012,000000,50.88,50.88,50.4999,50.6131,16329,0
AVGE.US,D,20221013,000000,49.9,51.92,49.5076,51.7696,18084,0
AVGE.US,D,20221014,000000,52.2,52.24,50.61,50.61,26978,0
AVGE.US,D,20221017,000000,51.73,51.91,51.69,51.7943,20532,0
AVGE.US,D,20221018,000000,52.89,52.91,52,52.2635,21409,0
AVGE.US,D,20221019,000000,51.84,52.15,51.4799,51.7747,28662,0
AVGE.US,D,20221020,000000,52.07,52.3899,51.38,51.484,12567,0
AVGE.US,D,20221021,000000,51.6,52.69,51.465,52.5948,18076,0
AVGE.US,D,20221024,000000,52.79,52.88,52.37,52.8376,9804,0
AVGE.US,D,20221025,000000,53.45,53.7109,53.01,53.7109,15007,0
AVGE.US,D,20221026,000000,54.47,54.47,53.51,54.0084,27258,0
AVGE.US,D,20221027,000000,54.25,54.39,53.6999,53.6999,12147,0
AVGE.US,D,20221028,000000,53.9,54.63,53.74,54.5963,17283,0
AVGE.US,D,20221031,000000,54.49,54.6,54.269,54.3978,37133,0
AVGE.US,D,20221101,000000,55.15,55.15,54.5,54.7073,119399,0
AVGE.US,D,20221102,000000,54.75,55,53.5502,53.5502,51264,0
AVGE.US,D,20221103,000000,53.5,53.6,52.9487,53.2967,48187,0
AVGE.US,D,20221104,000000,54.6,54.73,53.74,54.4189,11890,0
AVGE.US,D,20221107,000000,54.99,55.04,54.5,54.9,16448,0
AVGE.US,D,20221108,000000,55.11,55.64,54.9,55.386,41584,0
AVGE.US,D,20221109,000000,54.88,55.09,54.1095,54.1095,82186,0
AVGE.US,D,20221110,000000,55.9,56.89,55.81,56.72,39893,0
AVGE.US,D,20221111,000000,57.37,57.67,57.03,57.64,61484,0
AVGE.US,D,20221114,000000,57.4,57.71,57.09,57.14,26385,0
AVGE.US,D,20221115,000000,58.1,58.1,57.295,57.53,41738,0
AVGE.US,D,20221116,000000,57.62,57.62,56.77,56.8991,43851,0
AVGE.US,D,20221117,000000,56.35,56.77,56.105,56.74,40329,0
AVGE.US,D,20221118,000000,57.46,57.46,56.7051,56.91,32993,0
AVGE.US,D,20221121,000000,56.98,56.98,56.36,56.76,26677,0
