<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BROS.US,D,20210915,000000,32.5,40.1,32.42,36.68,15620667,0
BROS.US,D,20210916,000000,42.405,52,40.5,48,12215815,0
BROS.US,D,20210917,000000,48.66,54.39,42,43.55,10074484,0
BROS.US,D,20210920,000000,42.26,52,41.1,51.56,4817951,0
BROS.US,D,20210921,000000,51.81,62,47.39,54.89,10088471,0
BROS.US,D,20210922,000000,56.4,59.25,49.31,50.88,5088673,0
BROS.US,D,20210923,000000,52.2465,54.9,50.03,52.01,1952900,0
BROS.US,D,20210924,000000,52.93,54.6899,50.13,52.89,1853365,0
BROS.US,D,20210927,000000,52.8,53.438,47.34,47.45,3525026,0
BROS.US,D,20210928,000000,47,47.3492,42.84,43.9,3578775,0
BROS.US,D,20210929,000000,44.9999,48.37,43.75,44.95,2319933,0
BROS.US,D,20210930,000000,45.24,45.34,41.48,43.32,2160164,0
BROS.US,D,20211001,000000,43.75,46.8,42.82,46.06,2133856,0
BROS.US,D,20211004,000000,45.86,47.92,44.475,44.97,1250474,0
BROS.US,D,20211005,000000,45,45.3,42.35,43.07,1594653,0
BROS.US,D,20211006,000000,42.4,43.4999,41.32,41.69,1442164,0
BROS.US,D,20211007,000000,42.31,44.78,42.1,42.82,1069339,0
BROS.US,D,20211008,000000,43.41,43.5,42.5,42.65,448183,0
BROS.US,D,20211011,000000,43.5,50.25,43.5,49,4044105,0
BROS.US,D,20211012,000000,48.27,49.9,46.85,47.72,1959261,0
BROS.US,D,20211013,000000,48.17,52.1,47.87,50.9,2773206,0
BROS.US,D,20211014,000000,51.69,55.87,51.25,53,2626470,0
BROS.US,D,20211015,000000,54.8899,56.87,51.62,53.03,2599531,0
BROS.US,D,20211018,000000,53.2,59.07,53,57.35,2725827,0
BROS.US,D,20211019,000000,58.95,65.8,57.7545,64.73,5039373,0
BROS.US,D,20211020,000000,65.88,67.29,59.4,61.42,3641784,0
BROS.US,D,20211021,000000,61.11,64.74,59.25,60.58,2100291,0
BROS.US,D,20211022,000000,60.83,69.54,60.51,68.86,3742764,0
BROS.US,D,20211025,000000,69.5,72.5,64.52,66.94,3054451,0
BROS.US,D,20211026,000000,68,72.06,67.0024,70.41,2239263,0
BROS.US,D,20211027,000000,70.66,70.689,67.1,67.87,1385542,0
BROS.US,D,20211028,000000,68.7,74.2,68.5,68.98,2159637,0
BROS.US,D,20211029,000000,69.24,76.77,69.1,76.24,2360624,0
BROS.US,D,20211101,000000,77.5,81.4,73.75,76.25,3080612,0
BROS.US,D,20211102,000000,77.26,77.75,69.02,71.6,2892963,0
BROS.US,D,20211103,000000,71.6,72.554,66.6688,67.78,2215735,0
BROS.US,D,20211104,000000,67.78,71.7499,67.54,69.71,1622332,0
BROS.US,D,20211105,000000,70.74,71,64.1001,67.98,2290112,0
BROS.US,D,20211108,000000,67.7,70.05,65.8001,67.8,1279464,0
BROS.US,D,20211109,000000,67.98,68.3342,62.78,64.58,1713644,0
BROS.US,D,20211110,000000,62.72,66,60.61,62.3,2219653,0
BROS.US,D,20211111,000000,68.65,72.59,62.3101,66,4614847,0
BROS.US,D,20211112,000000,66.28,66.51,61.26,62.06,2538053,0
BROS.US,D,20211115,000000,63.49,63.805,60.85,62.56,2034022,0
BROS.US,D,20211116,000000,61.93,62.4399,57.9,60.54,3288740,0
BROS.US,D,20211117,000000,59.5,59.8,55.67,56.86,3550393,0
BROS.US,D,20211118,000000,57.14,57.4,53.81,53.97,2574377,0
BROS.US,D,20211119,000000,53.57,55.48,52.185,54.99,2121790,0
BROS.US,D,20211122,000000,55.8,56.2,49.84,51.28,2192764,0
BROS.US,D,20211123,000000,51.83,54.1,50.2713,52.16,1853124,0
BROS.US,D,20211124,000000,51.5,54.98,51.2,54.08,1363825,0
BROS.US,D,20211126,000000,52.2,54.69,50.7849,54.27,978945,0
BROS.US,D,20211129,000000,55.1,55.75,50.77,52.87,1642251,0
