<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SYII.US,D,20220621,000000,37.25,37.25,37.25,37.25,101,0
SYII.US,D,20220622,000000,37.2733,37.2733,37.2733,37.2733,2,0
SYII.US,D,20220624,000000,38.59,38.7959,38.59,38.7959,5592,0
SYII.US,D,20220627,000000,39.09,39.09,38.9032,38.9032,30866,0
SYII.US,D,20220628,000000,38.2451,38.2451,38.2451,38.2451,8,0
SYII.US,D,20220629,000000,38.0205,38.0205,38.0205,38.0205,13,0
SYII.US,D,20220630,000000,37.6591,37.6591,37.6591,37.6591,6,0
SYII.US,D,20220701,000000,38.1904,38.1904,38.1904,38.1904,25,0
SYII.US,D,20220705,000000,38.1178,38.1178,38.1178,38.1178,1,0
SYII.US,D,20220706,000000,38.0909,38.0909,38.0909,38.0909,1,0
SYII.US,D,20220707,000000,38.7307,38.7307,38.7307,38.7307,4,0
SYII.US,D,20220708,000000,38.6335,38.6335,38.6335,38.6335,1,0
SYII.US,D,20220711,000000,38.1784,38.1784,38.1784,38.1784,1,0
SYII.US,D,20220712,000000,38.036,38.036,38.036,38.036,1,0
SYII.US,D,20220713,000000,37.9512,37.9512,37.9512,37.9512,1,0
SYII.US,D,20220714,000000,37.631,37.631,37.631,37.631,1,0
SYII.US,D,20220715,000000,38.2677,38.2677,38.2677,38.2677,1,0
SYII.US,D,20220718,000000,38.1333,38.1333,38.1333,38.1333,1,0
SYII.US,D,20220719,000000,39.2192,39.2192,39.2192,39.2192,1,0
SYII.US,D,20220720,000000,39.4606,39.4606,39.4606,39.4606,1,0
SYII.US,D,20220721,000000,39.6585,39.6585,39.6585,39.6585,1,0
SYII.US,D,20220722,000000,39.3858,39.3858,39.3858,39.3858,1,0
SYII.US,D,20220725,000000,39.5235,39.5235,39.5235,39.5235,2,0
SYII.US,D,20220726,000000,39.2138,39.2138,39.2138,39.2138,1,0
SYII.US,D,20220727,000000,40.0125,40.0125,40.0125,40.0125,1,0
SYII.US,D,20220728,000000,40.5662,40.5662,40.5662,40.5662,176,0
SYII.US,D,20220729,000000,40.8893,40.8893,40.8893,40.8893,1,0
SYII.US,D,20220801,000000,40.848,40.848,40.848,40.848,1,0
SYII.US,D,20220802,000000,40.5815,40.5815,40.5815,40.5815,1,0
SYII.US,D,20220803,000000,41.0584,41.0584,41.0584,41.0584,1,0
SYII.US,D,20220804,000000,40.8462,40.8462,40.8462,40.8462,1,0
SYII.US,D,20220805,000000,40.9034,40.9034,40.9034,40.9034,1,0
SYII.US,D,20220808,000000,41.0629,41.0629,41.0629,41.0629,5,0
SYII.US,D,20220809,000000,40.7247,40.7247,40.7247,40.7247,1,0
SYII.US,D,20220810,000000,41.593,41.593,41.593,41.593,1,0
SYII.US,D,20220811,000000,41.7644,41.7644,41.7644,41.7644,2,0
SYII.US,D,20220812,000000,42.4066,42.4066,42.4066,42.4066,2,0
SYII.US,D,20220815,000000,42.5242,42.5242,42.5242,42.5242,2,0
SYII.US,D,20220816,000000,42.7259,42.7259,42.7259,42.7259,1,0
SYII.US,D,20220817,000000,42.3049,42.3049,42.3049,42.3049,1,0
SYII.US,D,20220818,000000,42.4508,42.4508,42.4508,42.4508,3,0
SYII.US,D,20220819,000000,41.9311,41.9311,41.9311,41.9311,1,0
SYII.US,D,20220822,000000,41.0263,41.0263,41.0263,41.0263,1,0
SYII.US,D,20220823,000000,41.0162,41.0162,41.0162,41.0162,3,0
SYII.US,D,20220824,000000,41.2039,41.2039,41.2039,41.2039,2,0
SYII.US,D,20220825,000000,41.7577,41.7577,41.7577,41.7577,1,0
SYII.US,D,20220826,000000,40.5176,40.5176,40.5176,40.5176,2,0
SYII.US,D,20220829,000000,40.23,40.3051,40.22,40.3051,304,0
SYII.US,D,20220830,000000,39.792,39.792,39.792,39.792,1,0
SYII.US,D,20220831,000000,39.5668,39.5668,39.5668,39.5668,1,0
SYII.US,D,20220901,000000,39.4603,39.4603,39.4603,39.4603,1,0
SYII.US,D,20220902,000000,39.66,39.66,39.1506,39.1506,100,0
SYII.US,D,20220906,000000,38.949,38.949,38.949,38.949,1,0
SYII.US,D,20220907,000000,39.8246,39.8246,39.8246,39.8246,1,0
SYII.US,D,20220908,000000,40.0992,40.0992,40.0992,40.0992,1,0
SYII.US,D,20220909,000000,40.731,40.731,40.731,40.731,6,0
SYII.US,D,20220912,000000,41.0464,41.0464,41.0464,41.0464,1,0
SYII.US,D,20220913,000000,40.85,40.85,39.4907,39.4907,100,0
SYII.US,D,20220914,000000,39.5443,39.5443,39.4525,39.4525,5590,0
SYII.US,D,20220915,000000,39.37,39.37,39.125,39.1816,500,0
SYII.US,D,20220916,000000,39,39,38.6,38.8466,201,0
SYII.US,D,20220919,000000,38.67,39.1534,38.67,39.1534,401,0
SYII.US,D,20220920,000000,38.96,38.96,38.36,38.5765,403,0
SYII.US,D,20220921,000000,38.0659,38.0659,38.0659,38.0659,2,0
SYII.US,D,20220922,000000,37.5441,37.5441,37.5441,37.5441,1,0
SYII.US,D,20220923,000000,37.34,37.34,36.7261,36.7261,100,0
SYII.US,D,20220926,000000,36.3067,36.3067,36.3067,36.3067,1,0
SYII.US,D,20220927,000000,36.48,36.48,36.1763,36.1763,101,0
SYII.US,D,20220928,000000,37.0982,37.0982,37.0982,37.0982,1,0
SYII.US,D,20220929,000000,36.92,36.92,36.3032,36.3032,100,0
SYII.US,D,20220930,000000,35.8867,35.8867,35.8867,35.8867,1,0
SYII.US,D,20221003,000000,36.07,36.8836,36.07,36.8836,201,0
SYII.US,D,20221004,000000,37.07,38.1352,37.07,38.1352,100,0
SYII.US,D,20221005,000000,37.94,38.0353,37.94,38.0353,100,0
SYII.US,D,20221006,000000,37.6786,37.6786,37.6786,37.6786,1,0
SYII.US,D,20221007,000000,37.49,37.49,36.7337,36.7337,100,0
SYII.US,D,20221010,000000,36.5832,36.5832,36.5832,36.5832,1,0
SYII.US,D,20221011,000000,36.4606,36.4606,36.4606,36.4606,1,0
SYII.US,D,20221012,000000,36.3274,36.3274,36.3274,36.3274,166,0
SYII.US,D,20221013,000000,36.15,37.199,36.15,37.199,100,0
SYII.US,D,20221014,000000,36.3132,36.3132,36.3132,36.3132,1,0
SYII.US,D,20221017,000000,36.49,37.14,36.49,37.1299,101057,0
SYII.US,D,20221018,000000,37.7,37.7,37.5667,37.5667,37165,0
SYII.US,D,20221019,000000,36.95,37.2946,36.95,37.2946,957,0
SYII.US,D,20221020,000000,36.8559,36.8559,36.8559,36.8559,1,0
SYII.US,D,20221021,000000,37.6987,37.6987,37.6987,37.6987,1,0
SYII.US,D,20221024,000000,38.0537,38.0537,38.0537,38.0537,1,0
