<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WAVC.US,D,20211018,000000,10,10,10,10,207,0
WAVC.US,D,20211019,000000,9.65,9.85,9.65,9.8,1600,0
WAVC.US,D,20211020,000000,9.7232,9.7232,9.7232,9.7232,604,0
WAVC.US,D,20211021,000000,9.79,9.79,9.79,9.79,100,0
WAVC.US,D,20211025,000000,9.85,9.85,9.85,9.85,100,0
WAVC.US,D,20211026,000000,9.85,9.85,9.73,9.73,206,0
WAVC.US,D,20211028,000000,9.7271,9.7271,9.7271,9.7271,100,0
WAVC.US,D,20211101,000000,9.68,9.68,9.65,9.65,1600,0
WAVC.US,D,20211104,000000,9.68,9.69,9.64,9.67,34706,0
WAVC.US,D,20211105,000000,9.68,9.68,9.68,9.68,169,0
WAVC.US,D,20211108,000000,9.68,9.69,9.68,9.69,270,0
WAVC.US,D,20211109,000000,9.69,9.69,9.65,9.665,12402,0
WAVC.US,D,20211110,000000,9.65,9.67,9.64,9.67,5487,0
WAVC.US,D,20211111,000000,9.67,9.68,9.665,9.68,35223,0
WAVC.US,D,20211112,000000,9.67,9.76,9.67,9.76,25805,0
WAVC.US,D,20211115,000000,9.71,9.73,9.71,9.71,14845,0
WAVC.US,D,20211116,000000,9.75,9.75,9.75,9.75,1100,0
WAVC.US,D,20211117,000000,9.76,9.76,9.75,9.75,1214,0
WAVC.US,D,20211118,000000,9.7,9.71,9.68,9.7,21930,0
WAVC.US,D,20211119,000000,9.63,9.71,9.63,9.68,199500,0
WAVC.US,D,20211122,000000,9.7,9.71,9.7,9.71,6142,0
WAVC.US,D,20211129,000000,9.7,9.7101,9.7,9.7101,425949,0
WAVC.US,D,20211202,000000,9.77,9.77,9.77,9.77,102,0
WAVC.US,D,20211206,000000,9.74,9.74,9.69,9.74,300,0
WAVC.US,D,20211207,000000,9.74,9.74,9.74,9.74,101,0
WAVC.US,D,20211208,000000,9.71,9.74,9.7,9.74,101200,0
WAVC.US,D,20211210,000000,9.72,9.72,9.68,9.68,1352,0
WAVC.US,D,20211213,000000,9.68,9.68,9.68,9.68,103,0
WAVC.US,D,20211214,000000,9.69,9.69,9.69,9.69,1846,0
WAVC.US,D,20211216,000000,9.69,9.73,9.68,9.7299,60989,0
WAVC.US,D,20211217,000000,9.7,9.72,9.7,9.71,1462,0
WAVC.US,D,20211220,000000,9.7,9.73,9.7,9.7,2493,0
WAVC.US,D,20211221,000000,9.71,9.71,9.71,9.71,200,0
WAVC.US,D,20211222,000000,9.705,9.73,9.6801,9.73,5498,0
WAVC.US,D,20211223,000000,9.72,9.72,9.72,9.72,200,0
WAVC.US,D,20211231,000000,9.68,9.7,9.68,9.7,701,0
WAVC.US,D,20220103,000000,9.7,9.7,9.7,9.7,136,0
WAVC.US,D,20220105,000000,9.71,9.73,9.71,9.72,6647,0
WAVC.US,D,20220106,000000,9.73,9.73,9.73,9.73,301,0
WAVC.US,D,20220107,000000,9.7,9.7,9.68,9.68,501,0
WAVC.US,D,20220110,000000,9.68,9.69,9.64,9.64,252616,0
WAVC.US,D,20220111,000000,9.66,9.66,9.66,9.66,330,0
WAVC.US,D,20220112,000000,9.69,9.69,9.66,9.66,202,0
WAVC.US,D,20220127,000000,9.6,9.64,9.575,9.64,16548,0
WAVC.US,D,20220131,000000,9.6,9.65,9.6,9.64,1343,0
WAVC.US,D,20220201,000000,9.63,9.63,9.63,9.63,404,0
WAVC.US,D,20220203,000000,9.5,9.63,9.5,9.6,672,0
WAVC.US,D,20220204,000000,9.6,9.68,9.6,9.68,9400,0
WAVC.US,D,20220207,000000,9.68,9.73,9.68,9.73,1202,0
WAVC.US,D,20220210,000000,9.73,9.73,9.73,9.73,186,0
WAVC.US,D,20220211,000000,9.6,9.63,9.6,9.63,600,0
WAVC.US,D,20220214,000000,9.99,9.99,9.99,9.99,160,0
WAVC.US,D,20220215,000000,9.98,9.98,9.72,9.72,2028,0
WAVC.US,D,20220216,000000,9.72,9.72,9.72,9.72,245,0
WAVC.US,D,20220222,000000,9.72,9.72,9.72,9.72,618,0
WAVC.US,D,20220224,000000,9.6441,9.6441,9.6441,9.6441,118,0
WAVC.US,D,20220225,000000,9.61,9.63,9.61,9.63,36843,0
WAVC.US,D,20220301,000000,9.61,9.625,9.61,9.61,312,0
WAVC.US,D,20220302,000000,9.6101,9.62,9.6101,9.62,1001,0
WAVC.US,D,20220303,000000,9.64,9.64,9.64,9.64,75384,0
WAVC.US,D,20220304,000000,9.65,9.65,9.65,9.65,101,0
WAVC.US,D,20220307,000000,9.64,9.64,9.64,9.64,224616,0
WAVC.US,D,20220315,000000,9.635,9.64,9.63,9.64,18725,0
WAVC.US,D,20220318,000000,9.64,9.64,9.64,9.64,530,0
WAVC.US,D,20220322,000000,9.65,9.66,9.65,9.66,22261,0
WAVC.US,D,20220323,000000,9.61,9.61,9.61,9.61,100,0
WAVC.US,D,20220325,000000,9.67,9.67,9.67,9.67,15100,0
WAVC.US,D,20220329,000000,9.67,9.67,9.66,9.67,31483,0
WAVC.US,D,20220330,000000,9.67,9.68,9.67,9.68,7252,0
WAVC.US,D,20220405,000000,9.69,9.69,9.69,9.69,10400,0
WAVC.US,D,20220406,000000,9.63,9.65,9.63,9.65,9200,0
WAVC.US,D,20220411,000000,9.7,9.7,9.69,9.69,2100,0
WAVC.US,D,20220413,000000,9.69,9.7,9.69,9.7,4840,0
WAVC.US,D,20220414,000000,9.71,9.72,9.71,9.72,8714,0
WAVC.US,D,20220418,000000,9.66,9.73,9.66,9.73,402,0
WAVC.US,D,20220420,000000,9.7,9.7,9.69,9.7,5572,0
WAVC.US,D,20220421,000000,9.7,9.7,9.7,9.7,500,0
WAVC.US,D,20220425,000000,9.71,9.71,9.71,9.71,29120,0
