<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QGRW.US,D,20221216,000000,24,24.037,23.95,24.037,1202,0
QGRW.US,D,20221220,000000,23.6219,23.6219,23.6219,23.6219,6,0
QGRW.US,D,20221221,000000,24.0004,24.0004,24.0004,24.0004,3,0
QGRW.US,D,20221222,000000,23.2574,23.4568,23.2574,23.4568,1549,0
QGRW.US,D,20221223,000000,23.5,23.5211,23.5,23.5211,180,0
QGRW.US,D,20221227,000000,23.25,23.25,23.2152,23.2152,100,0
QGRW.US,D,20221228,000000,23.0599,23.0599,22.9264,22.9264,2153,0
QGRW.US,D,20221229,000000,23.2357,23.55,23.2357,23.5342,10603,0
QGRW.US,D,20221230,000000,23.1827,23.468,23.1827,23.4672,39081,0
QGRW.US,D,20230103,000000,23.2422,23.2958,23.1899,23.2958,1210,0
QGRW.US,D,20230104,000000,23.29,23.3902,23.29,23.3902,919,0
QGRW.US,D,20230105,000000,23.11,23.11,22.9877,22.9877,430,0
QGRW.US,D,20230106,000000,23.32,23.615,23.32,23.535,1287,0
QGRW.US,D,20230109,000000,23.9908,24.03,23.7196,23.7196,9119,0
QGRW.US,D,20230110,000000,23.77,23.932,23.75,23.932,4144,0
QGRW.US,D,20230111,000000,24.2816,24.4096,24.2816,24.4096,137,0
QGRW.US,D,20230112,000000,24.3799,24.6,24.3799,24.5974,2366,0
QGRW.US,D,20230113,000000,24.66,24.73,24.66,24.7155,3338,0
QGRW.US,D,20230117,000000,24.78,24.85,24.78,24.7804,3495,0
QGRW.US,D,20230118,000000,24.9855,25.09,24.49,24.49,8223,0
QGRW.US,D,20230119,000000,24.4368,24.4368,24.3141,24.3141,403,0
QGRW.US,D,20230120,000000,24.9876,24.9876,24.9876,24.9876,70,0
QGRW.US,D,20230123,000000,25.5409,25.5409,25.4899,25.4899,514,0
QGRW.US,D,20230124,000000,25.48,25.49,25.4596,25.4596,611,0
QGRW.US,D,20230125,000000,25.42,25.42,25.3869,25.3869,3572,0
QGRW.US,D,20230126,000000,25.78,25.8743,25.78,25.8743,1494,0
QGRW.US,D,20230127,000000,25.99,26.2215,25.99,26.2215,1604,0
QGRW.US,D,20230130,000000,25.76,25.76,25.6829,25.6829,387,0
QGRW.US,D,20230131,000000,26.0323,26.0882,26.0323,26.0882,503,0
QGRW.US,D,20230201,000000,26.149,26.74,26.0799,26.6852,2263,0
QGRW.US,D,20230202,000000,27.73,27.78,27.33,27.5856,8578,0
QGRW.US,D,20230203,000000,27.11,27.31,27.05,27.2313,1986,0
QGRW.US,D,20230206,000000,26.9721,27.02,26.96,26.98,673,0
QGRW.US,D,20230207,000000,27.15,27.6,27.15,27.52,1836,0
QGRW.US,D,20230208,000000,27.2,27.2,27.07,27.0818,6372,0
QGRW.US,D,20230209,000000,27.29,27.29,26.8,26.8575,783,0
QGRW.US,D,20230210,000000,26.705,26.705,26.565,26.63,340,0
QGRW.US,D,20230213,000000,27.0159,27.0159,27.0159,27.0159,10,0
QGRW.US,D,20230214,000000,26.8758,27.2718,26.8758,27.2718,580,0
QGRW.US,D,20230215,000000,27.34,27.413,27.34,27.413,9153,0
QGRW.US,D,20230216,000000,26.923,26.923,26.923,26.923,90,0
QGRW.US,D,20230217,000000,26.6934,26.6934,26.6934,26.6934,1,0
QGRW.US,D,20230221,000000,26.0466,26.0466,26.0466,26.0466,124,0
QGRW.US,D,20230222,000000,26.0292,26.0383,26.0292,26.0383,1006,0
QGRW.US,D,20230223,000000,26.3396,26.3396,26.3396,26.3396,2,0
QGRW.US,D,20230224,000000,25.8499,25.8725,25.83,25.8725,539,0
QGRW.US,D,20230227,000000,26.24,26.24,26.057,26.057,1046,0
QGRW.US,D,20230228,000000,26.0999,26.0999,26.0999,26.0999,52,0
QGRW.US,D,20230301,000000,25.9,25.9,25.8314,25.8314,1940,0
QGRW.US,D,20230302,000000,25.74,26.0612,25.74,26.0612,574,0
QGRW.US,D,20230303,000000,26.595,26.6734,26.59,26.6734,9345,0
QGRW.US,D,20230306,000000,26.95,26.95,26.737,26.737,376,0
QGRW.US,D,20230307,000000,26.5362,26.5362,26.3911,26.3911,387,0
QGRW.US,D,20230308,000000,26.3899,26.55,26.3,26.4881,1390,0
QGRW.US,D,20230309,000000,26.66,26.66,26.021,26.0391,1332,0
QGRW.US,D,20230310,000000,25.7879,25.7879,25.5762,25.5762,995,0
QGRW.US,D,20230313,000000,25.7879,25.7879,25.7632,25.7632,3,0
QGRW.US,D,20230314,000000,26.3741,26.3741,26.3741,26.3741,3,0
QGRW.US,D,20230315,000000,26.12,26.46,26.12,26.46,238,0
QGRW.US,D,20230316,000000,27.162,27.162,27.162,27.162,1,0
QGRW.US,D,20230317,000000,27.0177,27.0177,27.0177,27.0177,2,0
QGRW.US,D,20230320,000000,27.02,27.1035,27.02,27.1035,923,0
QGRW.US,D,20230321,000000,27.31,27.5945,27.28,27.5945,1650,0
QGRW.US,D,20230322,000000,27.69,27.69,27.2876,27.2876,863,0
QGRW.US,D,20230323,000000,27.71,27.8299,27.551,27.551,700,0
QGRW.US,D,20230324,000000,27.428,27.5118,27.36,27.5118,783,0
QGRW.US,D,20230327,000000,27.7,27.7,27.3573,27.3858,3890,0
QGRW.US,D,20230328,000000,27.1499,27.2101,27.09,27.2101,658,0
QGRW.US,D,20230329,000000,27.575,27.67,27.575,27.653,12582,0
QGRW.US,D,20230330,000000,27.85,27.89,27.85,27.8771,5053,0
QGRW.US,D,20230331,000000,27.96,28.3886,27.96,28.3886,8102,0
QGRW.US,D,20230403,000000,28.28,28.4048,28.28,28.4048,2940,0
QGRW.US,D,20230404,000000,28.4127,28.4127,28.225,28.2709,22906,0
QGRW.US,D,20230405,000000,28.08,28.08,27.91,28,50976,0
QGRW.US,D,20230406,000000,28.1,28.19,28.1,28.1742,19490,0
QGRW.US,D,20230410,000000,27.98,28.15,27.8159,28.1471,22618,0
QGRW.US,D,20230411,000000,28.1,28.16,28.031,28.031,2674,0
QGRW.US,D,20230412,000000,28.12,28.12,27.8329,27.8329,13040,0
QGRW.US,D,20230413,000000,28.32,28.45,28.32,28.4217,17749,0
QGRW.US,D,20230414,000000,28.31,28.3822,28.28,28.3822,3999,0
QGRW.US,D,20230417,000000,28.41,28.41,28.3,28.3982,3108,0
QGRW.US,D,20230418,000000,28.4528,28.4796,28.44,28.4796,22779,0
QGRW.US,D,20230419,000000,28.28,28.4988,28.28,28.4276,41703,0
QGRW.US,D,20230420,000000,28.1,28.4,28.1,28.2262,19543,0
QGRW.US,D,20230421,000000,28.1432,28.29,28.1432,28.2483,5451,0
QGRW.US,D,20230424,000000,28.19,28.19,28.1818,28.1818,24471,0
QGRW.US,D,20230425,000000,27.97,27.9812,27.6435,27.6435,18818,0
QGRW.US,D,20230426,000000,27.9,28.04,27.758,27.81,40862,0
QGRW.US,D,20230427,000000,28.1921,28.5757,28.1921,28.5717,188703,0
QGRW.US,D,20230428,000000,28.6842,28.81,28.6842,28.81,2591,0
QGRW.US,D,20230501,000000,28.81,28.91,28.775,28.8135,30149,0
QGRW.US,D,20230502,000000,28.81,28.81,28.42,28.52,13081,0
QGRW.US,D,20230503,000000,28.54,28.6,28.29,28.29,8474,0
QGRW.US,D,20230504,000000,28.16,28.27,28.117,28.117,22548,0
QGRW.US,D,20230505,000000,28.7399,28.7439,28.7399,28.7439,3897,0
QGRW.US,D,20230508,000000,28.6785,28.87,28.6785,28.85,11555,0
