<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMPD.US,D,20230522,000000,24.83,24.83,24.69,24.69,271,0
AMPD.US,D,20230523,000000,24.2951,24.2951,24.2951,24.2951,20,0
AMPD.US,D,20230524,000000,24.27,24.27,24.235,24.235,150,0
AMPD.US,D,20230525,000000,24.1957,24.1957,24.1957,24.1957,18,0
AMPD.US,D,20230526,000000,23.97,23.97,23.97,23.97,102,0
AMPD.US,D,20230530,000000,23.555,23.555,23.555,23.555,28,0
AMPD.US,D,20230531,000000,23.2617,23.2617,23.2617,23.2617,10,0
AMPD.US,D,20230601,000000,22.89,22.89,22.885,22.885,224,0
AMPD.US,D,20230602,000000,22.7,22.7,22.63,22.635,100131,0
AMPD.US,D,20230605,000000,22.9,22.9,22.855,22.855,101,0
AMPD.US,D,20230606,000000,23.175,23.175,23.175,23.175,1,0
AMPD.US,D,20230607,000000,23.0699,23.07,23.0699,23.07,100,0
AMPD.US,D,20230608,000000,23.18,23.18,23.145,23.145,1144,0
AMPD.US,D,20230609,000000,22.9713,22.9713,22.9563,22.9563,100,0
AMPD.US,D,20230612,000000,22.77,22.77,22.77,22.77,11,0
AMPD.US,D,20230613,000000,22.7728,22.7728,22.7728,22.7728,1,0
AMPD.US,D,20230614,000000,22.89,22.89,22.89,22.89,20,0
AMPD.US,D,20230615,000000,23.2,23.2,23.2,23.2,147,0
AMPD.US,D,20230616,000000,23.4582,23.488,23.4582,23.488,134,0
AMPD.US,D,20230620,000000,23.58,23.61,23.58,23.61,126,0
AMPD.US,D,20230621,000000,23.69,23.7591,23.69,23.7591,1610,0
AMPD.US,D,20230622,000000,24.059,24.059,23.972,23.972,214,0
AMPD.US,D,20230623,000000,24.02,24.0962,24.02,24.0962,167,0
AMPD.US,D,20230626,000000,24.16,24.24,24.1409,24.1409,408,0
AMPD.US,D,20230627,000000,24.23,24.23,24.1101,24.1517,712,0
AMPD.US,D,20230628,000000,23.9252,23.9252,23.9252,23.9252,50,0
AMPD.US,D,20230629,000000,23.785,23.785,23.785,23.785,70,0
AMPD.US,D,20230630,000000,23.73,23.73,23.73,23.73,50,0
AMPD.US,D,20230703,000000,23.6924,23.6924,23.6924,23.6924,4,0
AMPD.US,D,20230705,000000,23.5,23.5,23.5,23.5,10,0
AMPD.US,D,20230706,000000,23.51,23.54,23.51,23.54,565,0
AMPD.US,D,20230707,000000,23.63,23.63,23.63,23.63,10,0
AMPD.US,D,20230710,000000,23.815,23.815,23.815,23.815,14,0
AMPD.US,D,20230711,000000,23.96,23.96,23.96,23.96,44,0
AMPD.US,D,20230712,000000,24.155,24.155,24.155,24.155,25,0
AMPD.US,D,20230713,000000,24.1762,24.1762,24.1762,24.1762,20,0
AMPD.US,D,20230714,000000,24.25,24.3374,24.25,24.3374,120,0
AMPD.US,D,20230717,000000,24.4799,24.4799,24.431,24.44,1620,0
AMPD.US,D,20230718,000000,24.3001,24.32,24.3001,24.32,534,0
AMPD.US,D,20230719,000000,24.37,24.37,24.305,24.305,270,0
AMPD.US,D,20230720,000000,24.2411,24.2887,24.2411,24.265,266,0
AMPD.US,D,20230721,000000,24.26,24.26,24.26,24.26,124,0
AMPD.US,D,20230724,000000,24.17,24.17,24.17,24.17,40,0
AMPD.US,D,20230725,000000,24.17,24.17,24.17,24.17,38,0
AMPD.US,D,20230726,000000,24.26,24.2795,24.1919,24.2795,594,0
AMPD.US,D,20230727,000000,24.265,24.265,24.265,24.265,187,0
AMPD.US,D,20230728,000000,24.1692,24.2,24.122,24.2,1669,0
AMPD.US,D,20230731,000000,24.22,24.22,24.175,24.175,317,0
AMPD.US,D,20230801,000000,23.93,23.93,23.93,23.93,106,0
AMPD.US,D,20230802,000000,23.65,23.65,23.65,23.65,172,0
AMPD.US,D,20230803,000000,23.64,23.64,23.64,23.64,127,0
AMPD.US,D,20230804,000000,23.83,23.83,23.83,23.83,360,0
