<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TSLH.US,D,20220727,000000,24.86,25.16,24.7705,25.1415,18496,0
TSLH.US,D,20220728,000000,25.33,25.4,25.0725,25.3122,16264,0
TSLH.US,D,20220729,000000,25.4,25.77,25.37,25.77,9729,0
TSLH.US,D,20220801,000000,25.93,26.03,25.687,25.687,6653,0
TSLH.US,D,20220802,000000,25.92,25.92,25.7899,25.81,5455,0
TSLH.US,D,20220803,000000,25.8689,25.98,25.8689,25.909,7038,0
TSLH.US,D,20220804,000000,25.9001,26.08,25.9001,25.9315,2896,0
TSLH.US,D,20220805,000000,25.74,25.74,25.5242,25.5242,3152,0
TSLH.US,D,20220808,000000,25.8243,25.8936,25.47,25.58,3358,0
TSLH.US,D,20220809,000000,25.41,25.41,25.23,25.3611,1024,0
TSLH.US,D,20220810,000000,25.5,25.73,25.5,25.6882,3668,0
TSLH.US,D,20220811,000000,25.61,25.61,25.4875,25.4875,693,0
TSLH.US,D,20220812,000000,25.675,25.88,25.65,25.8429,8351,0
TSLH.US,D,20220815,000000,26.03,26.125,25.86,26.1165,11393,0
TSLH.US,D,20220816,000000,25.99,26.09,25.99,26.0427,1254,0
TSLH.US,D,20220817,000000,25.97,26.01,25.97,26.01,2554,0
TSLH.US,D,20220818,000000,26.05,26.05,26,26,1247,0
TSLH.US,D,20220819,000000,25.95,25.95,25.86,25.8813,572,0
TSLH.US,D,20220822,000000,25.89,25.89,25.64,25.7092,2608,0
TSLH.US,D,20220823,000000,25.95,25.95,25.8962,25.8962,470,0
TSLH.US,D,20220824,000000,25.91,25.9495,25.91,25.9495,494,0
TSLH.US,D,20220825,000000,25.9401,25.9647,25.9,25.9285,1120,0
TSLH.US,D,20220826,000000,25.83,25.83,25.7337,25.7337,624,0
TSLH.US,D,20220829,000000,25.69,25.69,25.61,25.6673,1487,0
TSLH.US,D,20220830,000000,25.4059,25.4059,25.4059,25.4059,177,0
TSLH.US,D,20220831,000000,25.4,25.4,25.29,25.3781,898,0
TSLH.US,D,20220901,000000,25.081,25.4196,25.081,25.4196,1188,0
TSLH.US,D,20220902,000000,25.48,25.48,25.1251,25.1251,258,0
TSLH.US,D,20220906,000000,25.27,25.42,25.25,25.3389,3521,0
TSLH.US,D,20220907,000000,25.65,25.78,25.65,25.7448,822,0
TSLH.US,D,20220908,000000,25.85,26.0132,25.85,26.0132,278,0
TSLH.US,D,20220909,000000,26.25,26.4193,26.25,26.4193,448,0
TSLH.US,D,20220912,000000,26.6052,26.6052,26.6052,26.6052,137,0
TSLH.US,D,20220913,000000,26.36,26.36,26.2002,26.2002,7460,0
TSLH.US,D,20220914,000000,26.54,26.5763,26.54,26.5414,291,0
TSLH.US,D,20220915,000000,26.6499,26.65,26.5806,26.5806,420,0
TSLH.US,D,20220916,000000,26.395,26.617,26.395,26.617,3056,0
TSLH.US,D,20220919,000000,26.65,26.815,26.65,26.815,611,0
TSLH.US,D,20220920,000000,26.83,26.865,26.7493,26.8062,3502,0
TSLH.US,D,20220921,000000,26.6937,26.6937,26.6937,26.6937,62,0
TSLH.US,D,20220922,000000,26.88,26.88,26.185,26.3334,5914,0
TSLH.US,D,20220923,000000,25.65,25.79,25.45,25.5645,11422,0
TSLH.US,D,20220926,000000,25.78,25.78,25.78,25.78,156,0
TSLH.US,D,20220927,000000,26.0882,26.1704,26.0882,26.1704,1624,0
TSLH.US,D,20220928,000000,26.0278,26.5475,26.0278,26.5475,1535,0
TSLH.US,D,20220929,000000,26.36,26.36,24.89,25.0302,6213,0
TSLH.US,D,20220930,000000,25.19,25.34,24.7648,24.7648,934,0
TSLH.US,D,20221003,000000,24.3,24.34,24.21,24.2172,3955,0
TSLH.US,D,20221004,000000,24.57,24.57,24.33,24.3841,2174,0
TSLH.US,D,20221005,000000,24.33,24.33,24.09,24.1638,1260,0
TSLH.US,D,20221006,000000,24.01,24.1202,24.01,24.1202,929,0
TSLH.US,D,20221007,000000,23.675,23.6973,23.675,23.6973,191,0
TSLH.US,D,20221010,000000,23.6763,23.6763,23.6763,23.6763,211,0
TSLH.US,D,20221011,000000,23.48,23.515,23.48,23.515,146,0
TSLH.US,D,20221012,000000,23.521,23.521,23.521,23.521,82,0
TSLH.US,D,20221013,000000,23.6124,23.6124,23.6124,23.6124,35,0
TSLH.US,D,20221014,000000,23.27,23.295,23.2297,23.2297,2415,0
TSLH.US,D,20221017,000000,23.56,23.56,23.5417,23.5417,136,0
TSLH.US,D,20221018,000000,23.67,23.67,23.5321,23.5321,203,0
TSLH.US,D,20221019,000000,23.6,23.6,23.55,23.5853,512,0
TSLH.US,D,20221020,000000,23.04,23.17,23.03,23.1345,4315,0
TSLH.US,D,20221021,000000,23.2868,23.2868,23.2868,23.2868,15,0
TSLH.US,D,20221024,000000,23.08,23.2118,23.06,23.2118,3592,0
TSLH.US,D,20221025,000000,23.4738,23.4738,23.4738,23.4738,105,0
TSLH.US,D,20221026,000000,23.518,23.518,23.518,23.518,66,0
TSLH.US,D,20221027,000000,23.5219,23.5219,23.5219,23.5219,92,0
TSLH.US,D,20221028,000000,23.52,23.61,23.52,23.5907,1019,0
TSLH.US,D,20221031,000000,23.37,23.545,23.37,23.545,302,0
TSLH.US,D,20221101,000000,23.49,23.5418,23.49,23.5418,309,0
TSLH.US,D,20221102,000000,23.1923,23.1923,23.1923,23.1923,23,0
TSLH.US,D,20221103,000000,23.18,23.205,23.1753,23.1753,3766,0
TSLH.US,D,20221104,000000,23,23,22.9566,22.9566,270,0
TSLH.US,D,20221107,000000,22.85,22.85,22.8023,22.8023,1156,0
TSLH.US,D,20221108,000000,22.68,22.73,22.66,22.705,2304,0
TSLH.US,D,20221109,000000,22.5936,22.5978,22.5936,22.5978,455,0
TSLH.US,D,20221110,000000,22.7062,22.7062,22.7062,22.7062,49,0
TSLH.US,D,20221111,000000,22.65,22.7598,22.65,22.7598,220,0
TSLH.US,D,20221114,000000,22.7209,22.7209,22.685,22.685,154,0
TSLH.US,D,20221115,000000,22.6701,22.7043,22.67,22.7043,1010,0
TSLH.US,D,20221116,000000,22.6285,22.6285,22.6285,22.6285,19,0
TSLH.US,D,20221117,000000,22.59,22.59,22.59,22.59,52,0
TSLH.US,D,20221118,000000,22.565,22.565,22.565,22.565,36,0
TSLH.US,D,20221121,000000,22.525,22.525,22.525,22.525,26,0
TSLH.US,D,20221122,000000,22.552,22.552,22.552,22.552,32,0
TSLH.US,D,20221123,000000,22.5721,22.5721,22.51,22.51,244,0
TSLH.US,D,20221125,000000,22.5653,22.5653,22.5653,22.5653,81,0
TSLH.US,D,20221128,000000,22.5639,22.5639,22.5639,22.5639,6,0
TSLH.US,D,20221129,000000,22.5201,22.545,22.52,22.545,203,0
TSLH.US,D,20221130,000000,22.59,22.59,22.59,22.59,3,0
TSLH.US,D,20221201,000000,22.5988,22.5988,22.5988,22.5988,3,0
TSLH.US,D,20221202,000000,22.5876,22.5876,22.5876,22.5876,19,0
TSLH.US,D,20221205,000000,22.59,22.59,22.58,22.59,839,0
TSLH.US,D,20221206,000000,22.48,22.57,22.48,22.545,1403,0
TSLH.US,D,20221207,000000,22.535,22.535,22.535,22.535,3,0
TSLH.US,D,20221208,000000,22.535,22.535,22.535,22.535,5,0
TSLH.US,D,20221209,000000,22.54,22.54,22.54,22.54,2,0
TSLH.US,D,20221212,000000,22.535,22.535,22.535,22.535,9,0
TSLH.US,D,20221213,000000,22.5345,22.5345,22.5345,22.5345,9,0
TSLH.US,D,20221214,000000,22.48,22.48,22.48,22.48,101,0
TSLH.US,D,20221215,000000,22.48,22.535,22.48,22.535,101,0
TSLH.US,D,20221216,000000,22.4801,22.535,22.4801,22.535,175,0
TSLH.US,D,20221219,000000,22.48,22.5187,22.48,22.5187,319,0
TSLH.US,D,20221220,000000,22.48,22.5344,22.48,22.5344,167,0
