<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AKA.US,D,20210922,000000,9.5,10.88,9.3,9.99,7448454,0
AKA.US,D,20210923,000000,9.9,9.97,9.5,9.7,1223174,0
AKA.US,D,20210924,000000,9.81,10.35,9.55,10,1376455,0
AKA.US,D,20210927,000000,9.99,10.18,9.52,9.93,1024565,0
AKA.US,D,20210928,000000,9.72,9.92,9.38,9.49,800544,0
AKA.US,D,20210929,000000,9.6,9.6,8.88,9,851726,0
AKA.US,D,20210930,000000,8.95,9.2016,8.36,8.56,527414,0
AKA.US,D,20211001,000000,8.53,8.76,8.01,8.6,893834,0
AKA.US,D,20211004,000000,8.45,8.67,7.95,8.43,941397,0
AKA.US,D,20211005,000000,8.43,8.72,8.31,8.47,227064,0
AKA.US,D,20211006,000000,8.3,8.42,7.975,8.22,327182,0
AKA.US,D,20211007,000000,8.2,8.35,7.79,8.2,596961,0
AKA.US,D,20211008,000000,8.06,8.44,8.01,8.21,329143,0
AKA.US,D,20211011,000000,8.2,8.57,8.2,8.29,192070,0
AKA.US,D,20211012,000000,8.35,8.49,8.16,8.43,219160,0
AKA.US,D,20211013,000000,8.5,8.57,8.3,8.4,245012,0
AKA.US,D,20211014,000000,8.39,8.52,8.33,8.41,132259,0
AKA.US,D,20211015,000000,8.37,8.64,8.31,8.52,187411,0
AKA.US,D,20211018,000000,8.75,8.92,8.57,8.92,861001,0
AKA.US,D,20211019,000000,9.08,9.89,8.99,9.86,1188755,0
AKA.US,D,20211020,000000,9.88,10.57,9.83,10.47,830398,0
AKA.US,D,20211021,000000,10.31,10.78,9.95,10.73,727057,0
AKA.US,D,20211022,000000,10.77,10.77,10.3101,10.32,266755,0
AKA.US,D,20211025,000000,10.38,10.41,9.69,9.77,499462,0
AKA.US,D,20211026,000000,9.66,10.2,9.65,9.79,282385,0
AKA.US,D,20211027,000000,9.66,10.28,9.59,10,177380,0
AKA.US,D,20211028,000000,9.96,10.247,9.86,9.89,178997,0
AKA.US,D,20211029,000000,9.91,10.18,9.77,10.17,180030,0
AKA.US,D,20211101,000000,10.11,10.39,10.07,10.14,176543,0
AKA.US,D,20211102,000000,10.16,10.83,10.16,10.83,240834,0
AKA.US,D,20211103,000000,10.8,11.58,10.8,11.45,321814,0
AKA.US,D,20211104,000000,11.5,11.95,11.5,11.88,401989,0
AKA.US,D,20211105,000000,11.95,11.99,10.99,11.6,572805,0
AKA.US,D,20211108,000000,11.59,11.97,11.39,11.49,145339,0
AKA.US,D,20211109,000000,11.28,11.62,11.05,11.36,277310,0
AKA.US,D,20211110,000000,12,12.1,11.38,11.85,593413,0
AKA.US,D,20211111,000000,11.97,12.42,11.78,12.41,352066,0
AKA.US,D,20211112,000000,12.45,12.94,12.41,12.73,288325,0
AKA.US,D,20211115,000000,13,14.37,12.99,14.27,411788,0
AKA.US,D,20211116,000000,13.85,15.23,13.6034,15.19,590939,0
AKA.US,D,20211117,000000,14.87,15.07,14.6,14.76,579866,0
