<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BKDT.US,D,20221130,000000,47.62,49,47.62,49,7901,0
BKDT.US,D,20221201,000000,49.5,49.5,49.4,49.5,58001,0
BKDT.US,D,20221202,000000,50.31,51.65,50.23,51.65,21827,0
BKDT.US,D,20221205,000000,51.4,52.37,51.4,52.16,89050,0
BKDT.US,D,20221206,000000,51.16,51.16,51.16,51.16,170400,0
BKDT.US,D,20221207,000000,47.61,47.61,47.61,47.61,213263,0
BKDT.US,D,20221208,000000,47.5,47.6,47.36,47.6,28987,0
BKDT.US,D,20221209,000000,47.25,47.48,46.12,46.15,116621,0
BKDT.US,D,20221212,000000,45.95,45.95,43.86,43.8601,124824,0
BKDT.US,D,20221215,000000,45.1912,45.1912,44.85,44.91,600,0
BKDT.US,D,20221216,000000,44.04,44.04,43.75,43.75,876,0
BKDT.US,D,20221220,000000,43.85,45.21,43.85,45.21,2102,0
BKDT.US,D,20221221,000000,45.4501,45.4501,45.2,45.21,1050,0
BKDT.US,D,20221222,000000,43.75,43.75,43.75,43.75,200,0
BKDT.US,D,20221227,000000,43.64,44.745,43.6,43.665,5439,0
BKDT.US,D,20221229,000000,44.55,44.5501,44.41,44.5501,1107,0
BKDT.US,D,20221230,000000,44.44,44.44,44.23,44.23,1222,0
BKDT.US,D,20230103,000000,45.04,45.0401,45.04,45.0401,15400,0
BKDT.US,D,20230109,000000,46.36,46.36,46.36,46.36,341,0
BKDT.US,D,20230112,000000,46.1,46.1,45.5,45.5,1790,0
BKDT.US,D,20230113,000000,44.85,44.85,44.85,44.85,232,0
BKDT.US,D,20230117,000000,44.48,44.48,42.27,42.27,1746,0
BKDT.US,D,20230118,000000,42,42,41,41,761,0
BKDT.US,D,20230119,000000,41.01,41.01,40.405,40.405,1127,0
BKDT.US,D,20230120,000000,40.72,42.8,40.42,42.8,111620,0
BKDT.US,D,20230123,000000,43.24,45.36,43.24,45.36,130336,0
BKDT.US,D,20230124,000000,45.83,45.91,45.83,45.91,300,0
BKDT.US,D,20230125,000000,44.73,44.73,44.73,44.73,200,0
BKDT.US,D,20230127,000000,45.71,45.71,45.71,45.71,255622,0
BKDT.US,D,20230201,000000,45.98,45.98,45.91,45.91,5324,0
BKDT.US,D,20230206,000000,45.33,45.33,45.33,45.33,10204,0
BKDT.US,D,20230207,000000,42.515,42.515,42.515,42.515,8054,0
BKDT.US,D,20230208,000000,43.5,43.5,43.5,43.5,101,0
BKDT.US,D,20230209,000000,43.94,43.94,42.43,42.56,3550,0
BKDT.US,D,20230213,000000,43.58,45.7,43.58,45.69,647,0
BKDT.US,D,20230214,000000,45.59,45.5901,44.87,44.87,1420,0
BKDT.US,D,20230215,000000,45.37,45.755,45.37,45.755,320,0
BKDT.US,D,20230216,000000,46.23,46.23,46.23,46.23,815,0
BKDT.US,D,20230217,000000,47.5,47.5,47.5,47.5,120,0
BKDT.US,D,20230221,000000,46.95,46.95,46.95,46.95,124,0
BKDT.US,D,20230222,000000,48.99,52.98,48.99,51.73,4766,0
BKDT.US,D,20230223,000000,50.88,50.88,50.88,50.88,20200,0
BKDT.US,D,20230224,000000,50.94,50.94,50,50,895,0
BKDT.US,D,20230227,000000,51,51.2001,50.8,50.8,1100,0
BKDT.US,D,20230301,000000,48.96,48.9601,46.02,46.02,3044,0
BKDT.US,D,20230302,000000,46.72,51.12,46.72,50.7301,2105,0
BKDT.US,D,20230306,000000,49.96,49.96,48.5,49.33,5850,0
BKDT.US,D,20230308,000000,50.84,50.8401,50.84,50.8401,600,0
BKDT.US,D,20230309,000000,49.14,49.14,49.14,49.14,6000,0
BKDT.US,D,20230310,000000,47.88,47.88,47.88,47.88,10123,0
BKDT.US,D,20230315,000000,43.75,43.75,43.75,43.75,25120,0
BKDT.US,D,20230317,000000,44,44,44,44,207,0
BKDT.US,D,20230320,000000,41.38,41.38,41.38,41.38,167,0
BKDT.US,D,20230323,000000,39.64,39.64,38.79,38.79,25800,0
BKDT.US,D,20230324,000000,39.13,39.13,39.13,39.13,400,0
BKDT.US,D,20230328,000000,42,44.41,42,44.41,429,0
BKDT.US,D,20230404,000000,45.63,45.63,45.63,45.63,237,0
BKDT.US,D,20230411,000000,47.5,59.89,47.5,59,26504,0
BKDT.US,D,20230412,000000,59.74,62.32,59.71,61.5701,2074,0
BKDT.US,D,20230413,000000,61.61,61.61,61.6,61.6,1004,0
