<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NANC.US,D,20230209,000000,25.45,25.45,24.85,24.88,49504,0
NANC.US,D,20230210,000000,24.74,24.77,24.57,24.6925,27729,0
NANC.US,D,20230213,000000,24.84,25.09,24.79,25.0365,22643,0
NANC.US,D,20230214,000000,25,25.2491,24.835,25.15,22635,0
NANC.US,D,20230215,000000,25.03,25.25,25,25.23,18743,0
NANC.US,D,20230216,000000,25,25.1997,24.86,24.86,14000,0
NANC.US,D,20230217,000000,24.8,24.8,24.5421,24.7263,9738,0
NANC.US,D,20230221,000000,24.5,24.5,24.1701,24.1737,14912,0
NANC.US,D,20230222,000000,24.16,24.33,24.1006,24.1773,5942,0
NANC.US,D,20230223,000000,24.5,24.5,24.1387,24.3853,6468,0
NANC.US,D,20230224,000000,24.1,24.1,23.93,24.0768,7342,0
NANC.US,D,20230227,000000,24.35,24.35,24.1424,24.1424,3771,0
NANC.US,D,20230228,000000,25.27,25.27,24.1656,24.1656,4149,0
NANC.US,D,20230301,000000,24.13,24.15,23.96,23.96,2548,0
NANC.US,D,20230302,000000,23.97,24.3011,23.95,24.3011,3952,0
NANC.US,D,20230303,000000,24.49,24.7,24.4625,24.6802,4388,0
NANC.US,D,20230306,000000,24.82,24.89,24.6456,24.6456,4655,0
NANC.US,D,20230307,000000,24.69,24.69,24.3028,24.3028,5310,0
NANC.US,D,20230308,000000,24.4,24.4013,24.3,24.4013,4065,0
NANC.US,D,20230309,000000,24.75,24.75,23.9109,23.9109,4601,0
NANC.US,D,20230310,000000,23.9,23.9,23.3313,23.3911,6206,0
NANC.US,D,20230313,000000,23.12,23.6593,23.03,23.3783,8130,0
NANC.US,D,20230314,000000,23.72,23.8801,23.71,23.813,4103,0
NANC.US,D,20230315,000000,23.5101,23.5901,23.4001,23.5901,2245,0
NANC.US,D,20230316,000000,23.5,24.2623,23.5,24.2623,3099,0
NANC.US,D,20230317,000000,24.27,24.2701,23.95,24.0275,1727,0
NANC.US,D,20230320,000000,23.3,24.025,23.3,24.025,1990,0
NANC.US,D,20230321,000000,24.39,24.5638,24.3212,24.5638,2063,0
NANC.US,D,20230322,000000,24.8,24.8,24.2446,24.2446,2592,0
NANC.US,D,20230323,000000,24.36,24.3885,24.2044,24.3086,1162,0
NANC.US,D,20230324,000000,24.07,24.3044,24.035,24.3044,2880,0
NANC.US,D,20230327,000000,24.31,24.5,24.3,24.3537,3114,0
NANC.US,D,20230328,000000,24.37,24.37,24.26,24.2848,1143,0
NANC.US,D,20230329,000000,24.59,24.6814,24.2001,24.6814,4995,0
NANC.US,D,20230330,000000,24.94,24.94,24.76,24.8466,3710,0
NANC.US,D,20230331,000000,24.85,25.2101,24.85,25.2101,3552,0
NANC.US,D,20230403,000000,25.49,25.49,25.1001,25.2498,2659,0
NANC.US,D,20230404,000000,25.35,25.35,25,25.0739,2705,0
NANC.US,D,20230405,000000,24.8612,24.8834,24.75,24.8834,1447,0
NANC.US,D,20230406,000000,24.75,24.9968,24.75,24.9968,1535,0
NANC.US,D,20230410,000000,24.88,25.0202,24.8681,25.0202,1994,0
NANC.US,D,20230411,000000,25.09,25.1,24.94,24.9875,3595,0
NANC.US,D,20230412,000000,25.12,25.12,24.8311,24.8311,2351,0
NANC.US,D,20230413,000000,25,25.2237,25,25.2237,1756,0
NANC.US,D,20230414,000000,25.12,25.25,24.9855,25.1754,1335,0
NANC.US,D,20230417,000000,25.19,25.271,25.09,25.271,2770,0
NANC.US,D,20230418,000000,25.48,25.48,25.24,25.3279,3839,0
NANC.US,D,20230419,000000,25.2,25.33,25.2,25.3233,1179,0
NANC.US,D,20230420,000000,25.17,25.2632,25.1688,25.1688,1574,0
NANC.US,D,20230421,000000,25.15,25.2279,25.15,25.2279,509,0
NANC.US,D,20230424,000000,25.22,25.26,25.13,25.2002,2212,0
