<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PPEM.US,D,20230123,000000,20.6574,20.6574,20.6574,20.6574,4,0
PPEM.US,D,20230125,000000,20.5321,20.5321,20.5321,20.5321,98,0
PPEM.US,D,20230126,000000,20.8096,20.8096,20.8096,20.8096,5,0
PPEM.US,D,20230131,000000,20.2219,20.2219,20.2219,20.2219,5,0
PPEM.US,D,20230203,000000,20.045,20.045,20.045,20.045,1,0
PPEM.US,D,20230214,000000,20.38,20.38,20.0044,20.0044,1,0
PPEM.US,D,20230215,000000,19.715,19.741,19.71,19.741,1225,0
PPEM.US,D,20230216,000000,19.8,19.8,19.72,19.7376,515,0
PPEM.US,D,20230221,000000,19.38,19.38,19.3478,19.3478,516,0
PPEM.US,D,20230222,000000,19.19,19.19,19.1888,19.1888,2479,0
PPEM.US,D,20230223,000000,19.4,19.4,19.3323,19.3323,100,0
PPEM.US,D,20230224,000000,18.84,18.8913,18.84,18.8913,1380,0
PPEM.US,D,20230227,000000,18.93,18.9636,18.93,18.9636,500,0
PPEM.US,D,20230228,000000,18.89,18.89,18.7845,18.7845,2441,0
PPEM.US,D,20230301,000000,18.89,19.2116,18.89,19.2116,2441,0
PPEM.US,D,20230308,000000,19.08,19.104,19.04,19.104,2065,0
PPEM.US,D,20230309,000000,18.88,18.88,18.6742,18.6742,309,0
PPEM.US,D,20230310,000000,18.73,18.73,18.5985,18.5985,4658,0
PPEM.US,D,20230313,000000,18.65,18.71,18.65,18.6964,3437,0
PPEM.US,D,20230314,000000,18.76,18.7623,18.76,18.7623,954,0
PPEM.US,D,20230315,000000,18.31,18.378,18.31,18.378,2351,0
PPEM.US,D,20230316,000000,18.6,18.741,18.6,18.741,622,0
PPEM.US,D,20230317,000000,18.67,18.728,18.67,18.728,2063,0
PPEM.US,D,20230320,000000,18.755,18.755,18.7472,18.7472,882,0
PPEM.US,D,20230321,000000,18.78,18.9014,18.78,18.9014,636,0
PPEM.US,D,20230322,000000,19.04,19.08,18.9718,18.9718,1093,0
PPEM.US,D,20230323,000000,19.42,19.42,19.2663,19.2663,4027,0
PPEM.US,D,20230327,000000,19.015,19.13,19.015,19.0532,4272,0
PPEM.US,D,20230328,000000,19.355,19.4078,19.34,19.4078,2238,0
PPEM.US,D,20230329,000000,19.4722,19.4722,19.4722,19.4722,1,0
PPEM.US,D,20230330,000000,19.66,19.66,19.646,19.646,728,0
PPEM.US,D,20230331,000000,19.63,19.63,19.5421,19.5421,30279,0
PPEM.US,D,20230403,000000,19.47,19.5493,19.47,19.5493,1014,0
PPEM.US,D,20230404,000000,19.54,19.54,19.5399,19.5399,1059,0
PPEM.US,D,20230405,000000,19.37,19.3893,19.37,19.3893,250,0
PPEM.US,D,20230406,000000,19.4,19.4778,19.39,19.4778,2017,0
PPEM.US,D,20230410,000000,19.365,19.4495,19.365,19.4495,237,0
PPEM.US,D,20230411,000000,19.67,19.67,19.5839,19.5839,814,0
PPEM.US,D,20230412,000000,19.5,19.5,19.4583,19.4583,604,0
PPEM.US,D,20230413,000000,19.67,19.6903,19.67,19.6903,256,0
PPEM.US,D,20230414,000000,19.59,19.59,19.5609,19.5609,145,0
PPEM.US,D,20230417,000000,19.59,19.669,19.59,19.669,1614,0
PPEM.US,D,20230418,000000,19.65,19.6576,19.65,19.6576,458,0
PPEM.US,D,20230419,000000,19.49,19.49,19.49,19.49,1,0
PPEM.US,D,20230420,000000,19.66,19.685,19.5333,19.5333,841,0
PPEM.US,D,20230421,000000,19.3304,19.3304,19.3199,19.3199,104,0
PPEM.US,D,20230424,000000,19.3,19.3025,19.29,19.3025,2578,0
PPEM.US,D,20230425,000000,19,19,18.9692,18.9692,1071,0
PPEM.US,D,20230426,000000,19.09,19.11,19.0593,19.0593,1436,0
PPEM.US,D,20230427,000000,19.27,19.41,19.27,19.368,564,0
PPEM.US,D,20230428,000000,19.415,19.4559,19.415,19.4559,388,0
PPEM.US,D,20230501,000000,19.37,19.379,19.37,19.379,1710,0
PPEM.US,D,20230502,000000,19.14,19.2308,19.14,19.2308,2971,0
PPEM.US,D,20230503,000000,19.2513,19.2513,19.2513,19.2513,101,0
PPEM.US,D,20230504,000000,19.425,19.446,19.38,19.446,356,0
PPEM.US,D,20230505,000000,19.54,19.66,19.54,19.6513,3217,0
PPEM.US,D,20230508,000000,19.68,19.69,19.68,19.69,2616,0
PPEM.US,D,20230509,000000,19.54,19.61,19.51,19.5709,2037,0
PPEM.US,D,20230510,000000,19.49,19.52,19.49,19.52,1845,0
PPEM.US,D,20230511,000000,19.35,19.471,19.35,19.471,776,0
PPEM.US,D,20230512,000000,19.24,19.24,19.21,19.21,209,0
PPEM.US,D,20230515,000000,19.618,19.618,19.618,19.618,14,0
PPEM.US,D,20230516,000000,19.48,19.51,19.4726,19.4726,1909,0
PPEM.US,D,20230517,000000,19.5697,19.5697,19.5697,19.5697,4,0
PPEM.US,D,20230518,000000,19.5098,19.5098,19.5098,19.5098,51,0
PPEM.US,D,20230519,000000,19.52,19.52,19.5175,19.5175,2203,0
PPEM.US,D,20230522,000000,19.67,19.67,19.6343,19.6343,978,0
PPEM.US,D,20230523,000000,19.49,19.49,19.3099,19.3099,1111,0
PPEM.US,D,20230524,000000,19.19,19.19,19.19,19.19,1,0
PPEM.US,D,20230525,000000,19.23,19.23,19.23,19.23,262,0
PPEM.US,D,20230526,000000,19.53,19.59,19.53,19.554,2437,0
PPEM.US,D,20230530,000000,19.35,19.38,19.3408,19.3408,3850,0
PPEM.US,D,20230531,000000,19.09,19.2145,19.05,19.2145,2252,0
PPEM.US,D,20230601,000000,19.41,19.4927,19.41,19.4927,4698,0
PPEM.US,D,20230602,000000,19.81,19.81,19.75,19.76,1434,0
PPEM.US,D,20230605,000000,19.64,19.73,19.64,19.7224,2259,0
PPEM.US,D,20230606,000000,19.76,19.9417,19.76,19.9417,1350,0
PPEM.US,D,20230607,000000,19.98,19.98,19.813,19.813,182,0
PPEM.US,D,20230608,000000,19.88,19.9675,19.88,19.9675,1275,0
PPEM.US,D,20230609,000000,20.18,20.18,20.0709,20.0709,196,0
PPEM.US,D,20230612,000000,20.06,20.1391,20.06,20.1391,683,0
PPEM.US,D,20230613,000000,20.36,20.36,20.3074,20.3074,2214,0
PPEM.US,D,20230614,000000,20.43,20.43,20.4233,20.4233,2347,0
PPEM.US,D,20230615,000000,20.48,20.5597,20.48,20.5597,684,0
PPEM.US,D,20230616,000000,20.53,20.53,20.4924,20.4924,320,0
PPEM.US,D,20230620,000000,20.18,20.18,20.0878,20.0878,117,0
PPEM.US,D,20230621,000000,19.93,19.9907,19.93,19.9907,451,0
PPEM.US,D,20230622,000000,20.01,20.01,19.9997,19.9997,1684,0
PPEM.US,D,20230623,000000,19.78,19.78,19.7611,19.7611,1150,0
PPEM.US,D,20230626,000000,19.7766,19.7766,19.7766,19.7766,1,0
