<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RRAC.US,D,20211228,000000,9.82,9.82,9.802,9.82,1441,0
RRAC.US,D,20211229,000000,9.8,9.8,9.8,9.8,915,0
RRAC.US,D,20211230,000000,10.3,10.46,9.8,9.86,13262,0
RRAC.US,D,20211231,000000,9.76,9.8,9.76,9.8,400,0
RRAC.US,D,20220103,000000,9.8,9.83,9.79,9.83,208608,0
RRAC.US,D,20220104,000000,9.83,9.86,9.83,9.86,209195,0
RRAC.US,D,20220105,000000,9.87,9.87,9.85,9.86,245756,0
RRAC.US,D,20220106,000000,9.86,9.91,9.855,9.86,18829,0
RRAC.US,D,20220112,000000,9.8898,9.9,9.8898,9.9,10048,0
RRAC.US,D,20220113,000000,9.9,9.9,9.9,9.9,125,0
RRAC.US,D,20220118,000000,9.965,9.965,9.86,9.86,13308,0
RRAC.US,D,20220119,000000,9.84,9.86,9.8,9.86,17300,0
RRAC.US,D,20220120,000000,9.86,9.86,9.86,9.86,502,0
RRAC.US,D,20220121,000000,9.86,9.91,9.86,9.88,99441,0
RRAC.US,D,20220124,000000,9.87,9.89,9.87,9.88,30422,0
RRAC.US,D,20220125,000000,9.88,9.88,9.85,9.86,10497,0
RRAC.US,D,20220128,000000,9.84,9.84,9.84,9.84,8851,0
RRAC.US,D,20220201,000000,9.94,9.94,9.89,9.9,18325,0
RRAC.US,D,20220202,000000,9.9,9.9,9.9,9.9,178,0
RRAC.US,D,20220203,000000,9.85,9.86,9.85,9.86,193211,0
RRAC.US,D,20220208,000000,9.85,9.85,9.85,9.85,3583,0
RRAC.US,D,20220210,000000,9.845,9.845,9.845,9.845,50000,0
RRAC.US,D,20220215,000000,9.9,9.9,9.9,9.9,2599,0
RRAC.US,D,20220223,000000,9.88,9.88,9.88,9.88,100,0
RRAC.US,D,20220301,000000,9.89,9.91,9.89,9.91,126303,0
RRAC.US,D,20220302,000000,9.93,9.93,9.92,9.92,950,0
RRAC.US,D,20220303,000000,9.92,9.92,9.92,9.92,616,0
RRAC.US,D,20220307,000000,9.93,9.93,9.9,9.92,3602,0
RRAC.US,D,20220308,000000,9.93,9.93,9.9,9.9,10632,0
RRAC.US,D,20220309,000000,9.91,9.91,9.91,9.91,1800,0
RRAC.US,D,20220310,000000,9.9,9.9,9.9,9.9,404,0
