<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GDEF.US,D,20230125,000000,42.29,42.5,42.29,42.495,4244,0
GDEF.US,D,20230126,000000,42.5203,42.5203,42.5203,42.5203,21,0
GDEF.US,D,20230127,000000,42.79,42.8,42.4852,42.4852,2510,0
GDEF.US,D,20230130,000000,42.5,42.5,42.4,42.4441,503,0
GDEF.US,D,20230131,000000,42.75,42.8856,42.75,42.8856,122,0
GDEF.US,D,20230201,000000,43.0833,43.0833,43.0833,43.0833,6,0
GDEF.US,D,20230202,000000,43.1107,43.1107,43.1107,43.1107,1,0
GDEF.US,D,20230203,000000,43.01,43.01,42.9954,42.9954,101,0
GDEF.US,D,20230206,000000,42.9154,42.9154,42.9154,42.9154,3,0
GDEF.US,D,20230207,000000,43.1014,43.1014,43.1014,43.1014,3,0
GDEF.US,D,20230208,000000,42.9107,42.9107,42.9107,42.9107,3,0
GDEF.US,D,20230209,000000,42.91,42.91,42.794,42.794,101,0
GDEF.US,D,20230210,000000,42.9348,42.9348,42.9348,42.9348,20,0
GDEF.US,D,20230213,000000,43.1691,43.1691,43.1691,43.1691,1,0
GDEF.US,D,20230214,000000,43.21,43.21,43.1657,43.1657,250,0
GDEF.US,D,20230215,000000,43.2219,43.2219,43.2219,43.2219,5,0
GDEF.US,D,20230216,000000,43.0347,43.0347,43.0347,43.0347,4,0
GDEF.US,D,20230217,000000,43.0853,43.0853,43.0853,43.0853,41,0
GDEF.US,D,20230221,000000,42.74,42.74,42.5733,42.5733,616,0
GDEF.US,D,20230222,000000,42.4901,42.5512,42.49,42.5271,1109,0
GDEF.US,D,20230223,000000,42.4621,42.4621,42.4621,42.4621,55,0
GDEF.US,D,20230224,000000,42.1767,42.1767,42.113,42.113,360,0
GDEF.US,D,20230227,000000,42.24,42.24,42.1251,42.1251,150,0
GDEF.US,D,20230228,000000,42.15,42.15,42.051,42.051,506,0
GDEF.US,D,20230301,000000,42.15,42.15,42.0449,42.0449,43,0
GDEF.US,D,20230302,000000,42.1551,42.1551,42.1551,42.1551,55,0
GDEF.US,D,20230303,000000,42.3627,42.3627,42.3627,42.3627,9,0
GDEF.US,D,20230306,000000,42.4649,42.4649,42.4649,42.4649,5,0
GDEF.US,D,20230307,000000,42.2067,42.2067,42.2067,42.2067,45,0
GDEF.US,D,20230308,000000,42.44,42.44,42.2547,42.2547,441,0
GDEF.US,D,20230309,000000,41.9774,41.9774,41.9774,41.9774,7,0
GDEF.US,D,20230310,000000,41.671,41.671,41.671,41.671,1,0
GDEF.US,D,20230313,000000,42.44,42.44,41.7687,41.7687,31,0
GDEF.US,D,20230314,000000,41.985,41.985,41.985,41.985,10,0
GDEF.US,D,20230315,000000,41.45,41.8507,41.45,41.8507,114,0
GDEF.US,D,20230316,000000,42.1645,42.1645,42.1645,42.1645,1,0
GDEF.US,D,20230317,000000,41.8884,41.8884,41.8884,41.8884,4,0
GDEF.US,D,20230320,000000,42.299,42.299,42.2532,42.2532,210,0
GDEF.US,D,20230321,000000,42.42,42.47,42.355,42.4367,775,0
GDEF.US,D,20230322,000000,42.54,42.54,42.0972,42.0972,4125,0
GDEF.US,D,20230323,000000,42.0848,42.0848,42.0848,42.0848,10,0
GDEF.US,D,20230324,000000,42.2777,42.2777,42.2777,42.2777,50,0
GDEF.US,D,20230327,000000,42.49,42.49,42.2839,42.2839,200,0
GDEF.US,D,20230328,000000,42.2017,42.2017,42.2017,42.2017,50,0
GDEF.US,D,20230329,000000,42.7124,42.7124,42.7124,42.7124,1,0
GDEF.US,D,20230330,000000,42.9081,42.9081,42.9081,42.9081,50,0
GDEF.US,D,20230331,000000,43.1432,43.1432,43.1432,43.1432,1,0
GDEF.US,D,20230403,000000,42.61,43.2702,42.6,43.2702,1101,0
GDEF.US,D,20230404,000000,43.17,43.17,43.17,43.17,50,0
GDEF.US,D,20230405,000000,43.225,43.225,43.225,43.225,50,0
GDEF.US,D,20230406,000000,43.2301,43.2301,43.2301,43.2301,50,0
GDEF.US,D,20230410,000000,43.2706,43.2706,43.2706,43.2706,20,0
GDEF.US,D,20230411,000000,43.3605,43.3605,43.3605,43.3605,20,0
GDEF.US,D,20230412,000000,43.26,43.3209,43.25,43.3209,1010,0
GDEF.US,D,20230413,000000,43.6101,43.6101,43.6101,43.6101,20,0
GDEF.US,D,20230414,000000,43.6081,43.6081,43.6081,43.6081,20,0
GDEF.US,D,20230417,000000,43.6751,43.6751,43.6751,43.6751,20,0
GDEF.US,D,20230418,000000,43.7099,43.7099,43.7099,43.7099,2,0
GDEF.US,D,20230419,000000,43.7047,43.7047,43.7047,43.7047,20,0
GDEF.US,D,20230420,000000,43.7425,43.7425,43.7425,43.7425,20,0
GDEF.US,D,20230421,000000,43.8737,43.8737,43.8737,43.8737,20,0
GDEF.US,D,20230424,000000,43.9521,43.9521,43.9521,43.9521,20,0
GDEF.US,D,20230425,000000,43.5934,43.5934,43.5934,43.5934,20,0
GDEF.US,D,20230426,000000,43.2452,43.2452,43.2452,43.2452,4,0
GDEF.US,D,20230427,000000,43.8289,43.8289,43.8289,43.8289,20,0
GDEF.US,D,20230428,000000,43.9054,43.9054,43.9054,43.9054,20,0
GDEF.US,D,20230501,000000,43.9759,43.9759,43.9759,43.9759,250,0
GDEF.US,D,20230502,000000,43.9399,43.9399,43.9399,43.9399,4,0
GDEF.US,D,20230503,000000,43.849,43.849,43.849,43.849,20,0
GDEF.US,D,20230504,000000,43.768,43.768,43.768,43.768,50,0
GDEF.US,D,20230505,000000,44.0503,44.0503,44.0503,44.0503,50,0
GDEF.US,D,20230508,000000,44.0709,44.0709,44.0709,44.0709,50,0
GDEF.US,D,20230509,000000,44.0179,44.0179,44.0179,44.0179,12,0
GDEF.US,D,20230510,000000,44.14,44.14,44.14,44.14,50,0
GDEF.US,D,20230511,000000,44.1387,44.1387,44.1387,44.1387,24,0
GDEF.US,D,20230512,000000,44.1701,44.1701,44.1701,44.1701,50,0
GDEF.US,D,20230515,000000,44.1818,44.1818,44.1818,44.1818,50,0
GDEF.US,D,20230516,000000,44.0192,44.0192,44.0192,44.0192,15,0
GDEF.US,D,20230517,000000,44.1192,44.1192,44.1192,44.1192,30,0
GDEF.US,D,20230518,000000,44.219,44.219,44.219,44.219,1,0
GDEF.US,D,20230519,000000,44.27,44.27,44.27,44.27,30,0
GDEF.US,D,20230522,000000,44.15,44.15,44.15,44.15,4,0
GDEF.US,D,20230523,000000,43.8537,43.8537,43.8537,43.8537,10,0
GDEF.US,D,20230524,000000,43.6752,43.6752,43.6752,43.6752,20,0
GDEF.US,D,20230525,000000,43.6598,43.6598,43.6598,43.6598,20,0
GDEF.US,D,20230526,000000,43.7701,43.7701,43.7701,43.7701,62,0
GDEF.US,D,20230530,000000,43.7852,43.7852,43.7852,43.7852,5,0
GDEF.US,D,20230531,000000,43.7922,43.7922,43.7922,43.7922,10,0
GDEF.US,D,20230601,000000,44.1017,44.1017,44.1017,44.1017,1,0
GDEF.US,D,20230602,000000,44.2151,44.2151,44.2151,44.2151,2,0
GDEF.US,D,20230605,000000,44.2501,44.2501,44.2501,44.2501,1,0
GDEF.US,D,20230606,000000,44.1568,44.1568,44.1568,44.1568,20,0
GDEF.US,D,20230607,000000,44.0802,44.0802,44.0802,44.0802,20,0
GDEF.US,D,20230608,000000,44.16,44.16,44.16,44.16,1,0
GDEF.US,D,20230609,000000,44.1298,44.1298,44.1298,44.1298,20,0
GDEF.US,D,20230612,000000,44.1599,44.1599,44.1599,44.1599,2,0
