<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RHCB.US,D,20220330,000000,50.3074,50.3074,50.3074,50.3074,2.0069406338,0
RHCB.US,D,20220331,000000,50.3144,50.3144,50.3144,50.3144,2.0069406338,0
RHCB.US,D,20220401,000000,50.3164,50.3164,50.3164,50.3164,1.0034703169,0
RHCB.US,D,20220404,000000,50.3951,50.4051,50.3881,50.3881,501.73515845,0
RHCB.US,D,20220405,000000,49.8666,49.8666,49.8666,49.8666,2.0069406338,0
RHCB.US,D,20220406,000000,49.5853,49.5853,49.5853,49.5853,1.0034703169,0
RHCB.US,D,20220407,000000,49.4357,49.4357,49.4357,49.4357,1.0034703169,0
RHCB.US,D,20220408,000000,49.0672,49.0672,49.0672,49.0672,1.0034703169,0
RHCB.US,D,20220411,000000,48.6441,48.6441,48.6441,48.6441,1.0034703169,0
RHCB.US,D,20220412,000000,48.7448,48.7448,48.7448,48.7448,1.0034703169,0
RHCB.US,D,20220413,000000,48.8202,48.8202,48.8202,48.8202,1.0034703169,0
RHCB.US,D,20220414,000000,48.4459,48.4459,48.4459,48.4459,1.0034703169,0
RHCB.US,D,20220418,000000,48.23,48.23,48.23,48.23,1.0034703169,0
RHCB.US,D,20220419,000000,47.9209,47.9209,47.9209,47.9209,1.0034703169,0
RHCB.US,D,20220420,000000,48.257,48.257,48.257,48.257,2.0069406338,0
RHCB.US,D,20220421,000000,47.9495,47.9495,47.9495,47.9495,1.0034703169,0
RHCB.US,D,20220422,000000,47.7407,47.7407,47.7407,47.7407,2.0069406338,0
RHCB.US,D,20220426,000000,48.1613,48.1613,48.1613,48.1613,1.0034703169,0
RHCB.US,D,20220427,000000,47.8981,47.8981,47.8981,47.8981,1.0034703169,0
RHCB.US,D,20220428,000000,47.7965,47.7965,47.7965,47.7965,1.0034703169,0
RHCB.US,D,20220429,000000,47.4716,47.4716,47.4716,47.4716,1.0034703169,0
RHCB.US,D,20220502,000000,47.0655,47.0655,47.0655,47.0655,1.0034703169,0
RHCB.US,D,20220503,000000,47.1994,47.1994,47.1994,47.1994,1.0034703169,0
RHCB.US,D,20220504,000000,47.4893,47.4893,47.4893,47.4893,1.0034703169,0
RHCB.US,D,20220505,000000,47.0582,47.0582,47.0582,47.0582,1.0034703169,0
RHCB.US,D,20220506,000000,46.7836,46.7836,46.7836,46.7836,1.0034703169,0
RHCB.US,D,20220509,000000,46.7951,46.7951,46.7951,46.7951,2.0069406338,0
RHCB.US,D,20220510,000000,46.9889,46.9889,46.9889,46.9889,1.0034703169,0
RHCB.US,D,20220511,000000,47.2154,47.2154,47.2154,47.2154,14.0485844366,0
RHCB.US,D,20220512,000000,47.2763,47.2763,47.2763,47.2763,14.0485844366,0
RHCB.US,D,20220513,000000,46.9924,46.9924,46.9924,46.9924,14.0485844366,0
RHCB.US,D,20220516,000000,47.007,47.007,47.007,47.007,14.0485844366,0
RHCB.US,D,20220517,000000,46.7957,46.7957,46.7957,46.7957,14.0485844366,0
RHCB.US,D,20220518,000000,46.8244,46.8244,46.8244,46.8244,14.0485844366,0
RHCB.US,D,20220519,000000,47.0245,47.0245,47.0245,47.0245,14.0485844366,0
RHCB.US,D,20220520,000000,47.2054,47.2054,47.2054,47.2054,14.0485844366,0
RHCB.US,D,20220523,000000,46.9832,46.9832,46.9832,46.9832,14.0485844366,0
RHCB.US,D,20220524,000000,47.364,47.364,47.364,47.364,14.0485844366,0
RHCB.US,D,20220525,000000,47.6795,47.6795,47.6795,47.6795,14.0485844366,0
RHCB.US,D,20220526,000000,47.8141,47.8141,47.8141,47.8141,14.0485844366,0
RHCB.US,D,20220527,000000,48.0338,48.0383,48.0338,48.0383,115.3990864435,0
RHCB.US,D,20220531,000000,47.6002,47.6002,47.6002,47.6002,14.0485844366,0
RHCB.US,D,20220601,000000,47.476,47.476,47.476,47.476,123.4268489787,0
RHCB.US,D,20220602,000000,47.5655,47.5655,47.5655,47.5655,14.0485844366,0
RHCB.US,D,20220603,000000,47.3357,47.3672,47.3357,47.3672,215.7461181335,0
RHCB.US,D,20220606,000000,47.1686,47.1686,47.1686,47.1686,1.0034703169,0
RHCB.US,D,20220607,000000,47.3258,47.3258,47.3258,47.3258,14.0485844366,0
RHCB.US,D,20220608,000000,47.1155,47.1155,47.1155,47.1155,2.0069406338,0
RHCB.US,D,20220609,000000,46.9919,46.9919,46.9919,46.9919,20.069406338,0
RHCB.US,D,20220610,000000,46.6056,46.6056,46.6056,46.6056,5.0173515845,0
RHCB.US,D,20220613,000000,45.6554,45.6554,45.6554,45.6554,1.0034703169,0
RHCB.US,D,20220614,000000,45.4477,45.4477,45.4477,45.4477,1.0034703169,0
RHCB.US,D,20220615,000000,45.9793,45.9793,45.9793,45.9793,1.0034703169,0
RHCB.US,D,20220616,000000,45.9366,45.9366,45.9366,45.9366,1.0034703169,0
RHCB.US,D,20220617,000000,45.9854,45.9854,45.9854,45.9854,1.0034703169,0
RHCB.US,D,20220621,000000,45.7712,45.7712,45.7712,45.7712,1.0034703169,0
RHCB.US,D,20220622,000000,46.1026,46.1026,46.1026,46.1026,1.0034703169,0
RHCB.US,D,20220623,000000,46.2699,46.2699,46.2699,46.2699,1.0034703169,0
RHCB.US,D,20220624,000000,46.2047,46.2047,46.2047,46.2047,1.0034703169,0
RHCB.US,D,20220627,000000,45.8858,45.8858,45.8858,45.8858,1.0034703169,0
RHCB.US,D,20220628,000000,45.8909,45.8909,45.8909,45.8909,2.0069406338,0
RHCB.US,D,20220629,000000,46.1428,46.1428,46.1428,46.1428,2.0069406338,0
RHCB.US,D,20220630,000000,46.3033,46.3033,46.3033,46.3033,2.0069406338,0
RHCB.US,D,20220701,000000,46.4801,46.4801,46.4801,46.4801,2.0069406338,0
RHCB.US,D,20220705,000000,46.5202,46.5202,46.5202,46.5202,2.0069406338,0
RHCB.US,D,20220706,000000,46.2095,46.2095,46.2095,46.2095,2.0069406338,0
RHCB.US,D,20220707,000000,46.2445,46.2445,46.2445,46.2445,2.0069406338,0
RHCB.US,D,20220708,000000,46.1459,46.1459,46.1459,46.1459,6.0208219014,0
RHCB.US,D,20220711,000000,46.3387,46.3387,46.3387,46.3387,1.0034703169,0
RHCB.US,D,20220712,000000,46.493,46.493,46.493,46.493,1.0034703169,0
RHCB.US,D,20220713,000000,46.5744,46.5744,46.5744,46.5744,1.0034703169,0
RHCB.US,D,20220714,000000,46.4382,46.4382,46.4382,46.4382,1.0034703169,0
RHCB.US,D,20220715,000000,46.5634,46.5634,46.5634,46.5634,1.0034703169,0
RHCB.US,D,20220718,000000,46.4189,46.4189,46.4189,46.4189,1.0034703169,0
RHCB.US,D,20220719,000000,46.4969,46.4969,46.4969,46.4969,1.0034703169,0
RHCB.US,D,20220720,000000,46.4787,46.4787,46.4787,46.4787,1.0034703169,0
RHCB.US,D,20220721,000000,46.9233,46.9233,46.9233,46.9233,1.0034703169,0
RHCB.US,D,20220722,000000,47.2918,47.2918,47.2918,47.2918,1.0034703169,0
RHCB.US,D,20220725,000000,47.0731,47.0731,47.0731,47.0731,10.034703169,0
RHCB.US,D,20220726,000000,47.0298,47.0298,47.0298,47.0298,11.0381734859,0
RHCB.US,D,20220727,000000,47.1724,47.1724,47.1724,47.1724,1.0034703169,0
RHCB.US,D,20220728,000000,47.5121,47.5121,47.5121,47.5121,1.0034703169,0
RHCB.US,D,20220729,000000,47.6154,47.6154,47.6154,47.6154,10.034703169,0
RHCB.US,D,20220801,000000,47.8367,47.8367,47.8367,47.8367,1.0034703169,0
RHCB.US,D,20220802,000000,47.3656,47.3656,47.3656,47.3656,17.0589953873,0
RHCB.US,D,20220803,000000,47.6578,47.6578,47.6578,47.6578,6.0208219014,0
RHCB.US,D,20220804,000000,47.7484,47.7484,47.7484,47.7484,6.0208219014,0
RHCB.US,D,20220805,000000,47.226,47.226,47.226,47.226,6.0208219014,0
RHCB.US,D,20220808,000000,47.4225,47.4225,47.4225,47.4225,32.1110501408,0
RHCB.US,D,20220809,000000,47.3009,47.3009,47.3009,47.3009,1.0034703169,0
RHCB.US,D,20220810,000000,47.5364,47.5364,47.5364,47.5364,1.0034703169,0
RHCB.US,D,20220811,000000,47.1992,47.1992,47.1992,47.1992,1.0034703169,0
RHCB.US,D,20220812,000000,47.554,47.554,47.554,47.554,1.0034703169,0
RHCB.US,D,20220815,000000,47.6607,47.6607,47.6607,47.6607,1.0034703169,0
RHCB.US,D,20220816,000000,47.5651,47.5651,47.5651,47.5651,1.0034703169,0
RHCB.US,D,20220817,000000,47.2537,47.2537,47.2537,47.2537,1.0034703169,0
RHCB.US,D,20220818,000000,47.3443,47.3443,47.3443,47.3443,1.0034703169,0
RHCB.US,D,20220819,000000,46.9122,46.9122,46.9122,46.9122,1.0034703169,0
RHCB.US,D,20220822,000000,46.5692,46.5692,46.5692,46.5692,1.0034703169,0
RHCB.US,D,20220823,000000,46.5517,46.5517,46.5517,46.5517,1.0034703169,0
RHCB.US,D,20220824,000000,46.4556,46.4556,46.4556,46.4556,1.0034703169,0
RHCB.US,D,20220825,000000,46.8128,46.8128,46.8128,46.8128,1.0034703169,0
RHCB.US,D,20220826,000000,46.6859,46.6859,46.6859,46.6859,1.0034703169,0
RHCB.US,D,20220829,000000,46.4162,46.4162,46.4162,46.4162,1.0034703169,0
RHCB.US,D,20220830,000000,46.41,46.41,46.41,46.41,1.0034703169,0
RHCB.US,D,20220831,000000,46.1053,46.1053,46.1053,46.1053,1.0034703169,0
RHCB.US,D,20220901,000000,45.81,45.81,45.81,45.81,1,0
RHCB.US,D,20220902,000000,45.9931,45.9931,45.9931,45.9931,1,0
RHCB.US,D,20220906,000000,45.4809,45.4809,45.4809,45.4809,1,0
RHCB.US,D,20220907,000000,45.8379,45.8379,45.8379,45.8379,1,0
RHCB.US,D,20220908,000000,45.767,45.767,45.767,45.767,1,0
RHCB.US,D,20220909,000000,45.8632,45.8632,45.8632,45.8632,2,0
RHCB.US,D,20220912,000000,45.78,45.78,45.78,45.78,1,0
RHCB.US,D,20220913,000000,47.5,47.5,45.4758,45.4758,1,0
RHCB.US,D,20220914,000000,45.6182,45.6182,45.6182,45.6182,1,0
RHCB.US,D,20220915,000000,45.4964,45.4964,45.4964,45.4964,1,0
RHCB.US,D,20220916,000000,45.3724,45.3724,45.3724,45.3724,1,0
RHCB.US,D,20220919,000000,45.3338,45.3338,45.3338,45.3338,1,0
RHCB.US,D,20220920,000000,45.0652,45.0652,45.0652,45.0652,2,0
RHCB.US,D,20220921,000000,45.2222,45.2222,45.2222,45.2222,1,0
RHCB.US,D,20220922,000000,44.7102,44.7102,44.7102,44.7102,1,0
RHCB.US,D,20220923,000000,44.4601,44.5973,44.4601,44.5973,350,0
RHCB.US,D,20220926,000000,44.0021,44.0021,44.0021,44.0021,1,0
RHCB.US,D,20220927,000000,43.525,43.525,43.525,43.525,30,0
RHCB.US,D,20220928,000000,44.1005,44.1005,44.1005,44.1005,30,0
RHCB.US,D,20220929,000000,43.7644,43.7644,43.7644,43.7644,30,0
RHCB.US,D,20220930,000000,43.7225,43.7225,43.7225,43.7225,1,0
RHCB.US,D,20221003,000000,44.0806,44.0806,44.0806,44.0806,30,0
RHCB.US,D,20221004,000000,44.3532,44.3532,44.3532,44.3532,30,0
RHCB.US,D,20221005,000000,44.006,44.006,44.006,44.006,7,0
RHCB.US,D,20221006,000000,43.942,43.942,43.942,43.942,7,0
RHCB.US,D,20221007,000000,43.6832,43.6832,43.6832,43.6832,7,0
RHCB.US,D,20221010,000000,43.4795,43.4795,43.4795,43.4795,1,0
RHCB.US,D,20221011,000000,43.3192,43.3192,43.3192,43.3192,1,0
RHCB.US,D,20221012,000000,43.3094,43.3094,43.3094,43.3094,1,0
RHCB.US,D,20221013,000000,43.2346,43.2346,43.2346,43.2346,1,0
RHCB.US,D,20221014,000000,43.0218,43.0218,43.0218,43.0218,1,0
RHCB.US,D,20221017,000000,43.0871,43.0871,43.0871,43.0871,1,0
RHCB.US,D,20221018,000000,43.1488,43.1488,43.1488,43.1488,1,0
RHCB.US,D,20221019,000000,42.8127,42.8127,42.8127,42.8127,1,0
RHCB.US,D,20221020,000000,42.5404,42.5404,42.5404,42.5404,2,0
RHCB.US,D,20221021,000000,42.5828,42.5828,42.5828,42.5828,1,0
RHCB.US,D,20221024,000000,42.5305,42.5305,42.5305,42.5305,1,0
RHCB.US,D,20221025,000000,42.975,42.975,42.975,42.975,1,0
RHCB.US,D,20221026,000000,43.1165,43.1165,43.1165,43.1165,2,0
RHCB.US,D,20221027,000000,43.31,43.31,43.31,43.31,1,0
RHCB.US,D,20221028,000000,43.29,43.29,43.29,43.29,1,0
RHCB.US,D,20221031,000000,43.106,43.106,43.106,43.106,1,0
RHCB.US,D,20221101,000000,43.1804,43.1804,43.1804,43.1804,1,0
RHCB.US,D,20221102,000000,43.126,43.126,43.126,43.126,1,0
RHCB.US,D,20221103,000000,42.9536,42.9536,42.9536,42.9536,1,0
RHCB.US,D,20221104,000000,43.015,43.015,43.015,43.015,1,0
RHCB.US,D,20221107,000000,42.895,42.895,42.895,42.895,1,0
RHCB.US,D,20221108,000000,43.0942,43.0942,43.0942,43.0942,1,0
RHCB.US,D,20221109,000000,43.0502,43.0502,43.0502,43.0502,8,0
RHCB.US,D,20221110,000000,44.0767,44.0767,44.0767,44.0767,1,0
RHCB.US,D,20221111,000000,44.1405,44.1405,44.1405,44.1405,1,0
RHCB.US,D,20221114,000000,44.0286,44.0286,44.0286,44.0286,1,0
RHCB.US,D,20221115,000000,44.5,44.5,44.5,44.5,1,0
RHCB.US,D,20221116,000000,44.7968,44.7968,44.7968,44.7968,1,0
RHCB.US,D,20221117,000000,44.6171,44.6171,44.6171,44.6171,1,0
RHCB.US,D,20221118,000000,44.6077,44.6077,44.6077,44.6077,1,0
RHCB.US,D,20221121,000000,44.6323,44.6323,44.6323,44.6323,1,0
RHCB.US,D,20221122,000000,44.831,44.9254,44.831,44.9254,1000,0
RHCB.US,D,20221123,000000,45.2281,45.2281,45.2281,45.2281,1,0
RHCB.US,D,20221125,000000,45.2631,45.2631,45.2631,45.2631,1,0
RHCB.US,D,20221128,000000,45.1498,45.1498,45.1498,45.1498,1,0
RHCB.US,D,20221129,000000,45.05,45.06,44.9872,44.9872,901,0
RHCB.US,D,20221130,000000,45.2433,45.2433,45.2433,45.2433,1,0
RHCB.US,D,20221201,000000,45.6938,45.6938,45.6938,45.6938,1,0
RHCB.US,D,20221202,000000,45.8406,45.8406,45.8406,45.8406,1,0
RHCB.US,D,20221205,000000,45.5329,45.5329,45.5329,45.5329,1,0
RHCB.US,D,20221206,000000,45.7547,45.7547,45.7547,45.7547,1,0
RHCB.US,D,20221207,000000,46.0875,46.0875,46.0875,46.0875,6,0
RHCB.US,D,20221208,000000,46.05,46.05,46.05,46.05,1,0
RHCB.US,D,20221209,000000,45.7315,45.7315,45.7315,45.7315,1,0
RHCB.US,D,20221212,000000,45.7396,45.7396,45.7396,45.7396,1,0
RHCB.US,D,20221213,000000,46.0771,46.0771,46.0771,46.0771,2,0
RHCB.US,D,20221214,000000,46.0977,46.0977,46.0977,46.0977,1,0
RHCB.US,D,20221215,000000,46.131,46.131,46.131,46.131,1,0
RHCB.US,D,20221216,000000,46.0105,46.0105,46.0105,46.0105,1,0
RHCB.US,D,20221219,000000,45.6493,45.6493,45.6493,45.6493,1,0
RHCB.US,D,20221220,000000,45.287,45.287,45.287,45.287,1,0
RHCB.US,D,20221221,000000,45.4635,45.4635,45.4635,45.4635,1,0
RHCB.US,D,20221222,000000,45.4654,45.4654,45.4654,45.4654,1,0
RHCB.US,D,20221223,000000,45.3089,45.3089,45.3089,45.3089,1,0
RHCB.US,D,20221227,000000,45.01,45.01,44.9433,44.9433,250,0
RHCB.US,D,20221228,000000,44.4772,44.4772,44.4772,44.4772,1,0
RHCB.US,D,20221229,000000,44.685,44.685,44.685,44.685,1,0
RHCB.US,D,20221230,000000,44.5079,44.5079,44.5079,44.5079,5,0
RHCB.US,D,20230103,000000,44.7347,44.7347,44.7347,44.7347,1,0
RHCB.US,D,20230104,000000,44.9753,44.9753,44.9753,44.9753,1,0
RHCB.US,D,20230105,000000,44.945,44.945,44.945,44.945,3,0
RHCB.US,D,20230106,000000,45.4986,45.4986,45.4986,45.4986,1,0
RHCB.US,D,20230109,000000,45.6161,45.6161,45.6161,45.6161,1,0
RHCB.US,D,20230110,000000,45.47,45.47,45.47,45.47,1,0
RHCB.US,D,20230111,000000,45.8107,45.8107,45.8107,45.8107,3,0
RHCB.US,D,20230112,000000,46.1884,46.1884,46.1884,46.1884,1,0
RHCB.US,D,20230113,000000,46.0606,46.0606,46.0606,46.0606,1,0
RHCB.US,D,20230117,000000,45.9,46.022,45.9,46.022,1006,0
RHCB.US,D,20230118,000000,46.4992,46.4992,46.4992,46.4992,2,0
RHCB.US,D,20230119,000000,46.3421,46.3421,46.3421,46.3421,6,0
RHCB.US,D,20230120,000000,46.1304,46.1304,46.1304,46.1304,6,0
RHCB.US,D,20230123,000000,46.055,46.055,46.055,46.055,6,0
RHCB.US,D,20230124,000000,46.2821,46.2821,46.2821,46.2821,6,0
RHCB.US,D,20230125,000000,46.3055,46.3055,46.3055,46.3055,6,0
RHCB.US,D,20230126,000000,46.3083,46.3083,46.3083,46.3083,6,0
RHCB.US,D,20230127,000000,46.2377,46.2377,46.2377,46.2377,6,0
RHCB.US,D,20230130,000000,46.1191,46.1191,46.1191,46.1191,6,0
RHCB.US,D,20230131,000000,46.3288,46.3288,46.3288,46.3288,6,0
RHCB.US,D,20230201,000000,46.72,46.72,46.72,46.72,6,0
RHCB.US,D,20230202,000000,46.8519,46.8519,46.8519,46.8519,6,0
RHCB.US,D,20230203,000000,46.3972,46.3972,46.3972,46.3972,6,0
RHCB.US,D,20230206,000000,46.1375,46.1375,46.1375,46.1375,6,0
RHCB.US,D,20230207,000000,46.0434,46.0434,46.0434,46.0434,6,0
RHCB.US,D,20230208,000000,46.0564,46.0564,46.0564,46.0564,6,0
RHCB.US,D,20230209,000000,45.835,45.835,45.835,45.835,6,0
RHCB.US,D,20230210,000000,45.5581,45.5581,45.5581,45.5581,6,0
RHCB.US,D,20230213,000000,45.646,45.646,45.646,45.646,6,0
RHCB.US,D,20230214,000000,45.9,45.9,45.5608,45.5608,6,0
RHCB.US,D,20230215,000000,45.4281,45.4281,45.4281,45.4281,6,0
RHCB.US,D,20230216,000000,45.2108,45.2108,45.2108,45.2108,6,0
RHCB.US,D,20230217,000000,45.2909,45.2909,45.2909,45.2909,6,0
