<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MNTN.US,D,20220118,000000,9.89,9.97,9.89,9.92,15851,0
MNTN.US,D,20220119,000000,9.89,9.9,9.89,9.9,63744,0
MNTN.US,D,20220120,000000,9.89,9.89,9.86,9.86,72747,0
MNTN.US,D,20220121,000000,9.91,9.91,9.89,9.89,197809,0
MNTN.US,D,20220124,000000,9.88,9.88,9.88,9.88,1830,0
MNTN.US,D,20220125,000000,9.91,9.91,9.88,9.91,102260,0
MNTN.US,D,20220126,000000,9.88,9.88,9.87,9.87,2904,0
MNTN.US,D,20220127,000000,9.88,9.88,9.88,9.88,1221,0
MNTN.US,D,20220128,000000,9.87,9.87,9.87,9.87,2750,0
MNTN.US,D,20220201,000000,9.91,9.91,9.9,9.91,6354,0
MNTN.US,D,20220202,000000,9.93,9.93,9.93,9.93,102,0
MNTN.US,D,20220204,000000,9.89,9.902,9.89,9.902,2250,0
MNTN.US,D,20220209,000000,9.9,9.9,9.89,9.89,6830,0
MNTN.US,D,20220216,000000,9.92,9.92,9.9098,9.9098,279,0
MNTN.US,D,20220217,000000,9.9,9.9,9.89,9.89,5556,0
MNTN.US,D,20220218,000000,9.9,9.9,9.9,9.9,1751,0
MNTN.US,D,20220222,000000,9.93,9.93,9.9,9.9,15400,0
MNTN.US,D,20220223,000000,9.93,9.93,9.93,9.93,2023,0
MNTN.US,D,20220224,000000,9.91,9.91,9.91,9.91,5110,0
MNTN.US,D,20220303,000000,9.91,9.95,9.9,9.95,12730,0
MNTN.US,D,20220307,000000,9.92,9.92,9.92,9.92,1700,0
MNTN.US,D,20220308,000000,9.95,9.95,9.95,9.95,100,0
MNTN.US,D,20220309,000000,9.97,9.97,9.97,9.97,127,0
MNTN.US,D,20220310,000000,9.97,9.97,9.97,9.97,103,0
MNTN.US,D,20220311,000000,9.96,9.97,9.92,9.92,2480,0
MNTN.US,D,20220318,000000,9.93,9.93,9.93,9.93,101,0
MNTN.US,D,20220328,000000,9.97,9.97,9.93,9.93,227,0
MNTN.US,D,20220329,000000,9.955,9.955,9.93,9.93,831,0
MNTN.US,D,20220401,000000,9.94,9.94,9.94,9.94,13500,0
MNTN.US,D,20220407,000000,9.96,9.96,9.96,9.96,101,0
MNTN.US,D,20220408,000000,9.96,9.96,9.95,9.96,9046,0
MNTN.US,D,20220411,000000,9.96,9.96,9.96,9.96,578,0
MNTN.US,D,20220413,000000,9.98,9.99,9.97,9.98,468076,0
MNTN.US,D,20220414,000000,9.99,9.99,9.99,9.99,800,0
MNTN.US,D,20220418,000000,9.99,9.99,9.98,9.98,3636,0
MNTN.US,D,20220421,000000,10.04,10.04,10,10,906,0
