<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HEAT.US,D,20230503,000000,24.96,24.96,24.96,24.96,100,0
HEAT.US,D,20230504,000000,24.7942,24.7942,24.7942,24.7942,10,0
HEAT.US,D,20230505,000000,25.1,25.2189,25.1,25.2189,180,0
HEAT.US,D,20230508,000000,25.2,25.2,25.1816,25.1816,134,0
HEAT.US,D,20230509,000000,25.27,25.27,25.26,25.26,200313,0
HEAT.US,D,20230510,000000,25.2966,25.2966,25.28,25.28,592,0
HEAT.US,D,20230511,000000,25.2088,25.2088,25.18,25.18,807,0
HEAT.US,D,20230512,000000,25.4067,25.4067,25.4067,25.4067,10,0
HEAT.US,D,20230515,000000,25.61,25.61,25.61,25.61,304,0
HEAT.US,D,20230516,000000,25.43,25.43,25.2228,25.2228,100050,0
HEAT.US,D,20230517,000000,25.52,25.52,25.38,25.38,302,0
HEAT.US,D,20230518,000000,25.4621,25.4621,25.4621,25.4621,2,0
HEAT.US,D,20230519,000000,25.58,25.58,25.4725,25.4725,254,0
HEAT.US,D,20230522,000000,25.5542,25.5542,25.5542,25.5542,13,0
HEAT.US,D,20230523,000000,25.51,25.51,25.2384,25.2384,100018,0
HEAT.US,D,20230524,000000,24.8846,24.8846,24.8846,24.8846,7,0
HEAT.US,D,20230525,000000,24.875,25.0066,24.875,25.0066,225,0
HEAT.US,D,20230526,000000,25.2223,25.2223,25.2223,25.2223,6,0
HEAT.US,D,20230530,000000,25.2058,25.2058,25.2058,25.2058,2,0
HEAT.US,D,20230531,000000,24.9816,24.9816,24.9816,24.9816,16,0
HEAT.US,D,20230601,000000,25.4,25.4,25.3092,25.3092,218,0
HEAT.US,D,20230602,000000,25.7377,25.7377,25.7377,25.7377,2,0
HEAT.US,D,20230605,000000,25.6913,25.6913,25.6913,25.6913,17,0
HEAT.US,D,20230606,000000,25.8725,25.8725,25.8725,25.8725,2,0
HEAT.US,D,20230607,000000,26.03,26.03,25.9108,25.9108,399,0
HEAT.US,D,20230608,000000,26.01,26.0973,26.01,26.0973,720,0
HEAT.US,D,20230609,000000,26.1075,26.1075,26.1075,26.1075,59,0
HEAT.US,D,20230612,000000,26.3472,26.3472,26.3472,26.3472,69,0
HEAT.US,D,20230613,000000,26.6252,26.6252,26.6252,26.6252,30,0
HEAT.US,D,20230614,000000,26.5639,26.5639,26.5639,26.5639,81,0
HEAT.US,D,20230615,000000,26.8356,26.8356,26.8356,26.8356,8,0
HEAT.US,D,20230616,000000,26.69,26.69,26.69,26.69,27,0
HEAT.US,D,20230620,000000,26.4,26.4,26.3388,26.3388,115,0
HEAT.US,D,20230621,000000,26.2754,26.2754,26.2754,26.2754,8,0
HEAT.US,D,20230622,000000,26.1512,26.1512,26.1512,26.1512,14,0
HEAT.US,D,20230623,000000,25.7662,25.7662,25.7662,25.7662,15,0
HEAT.US,D,20230626,000000,25.9011,25.9555,25.9011,25.9555,556,0
HEAT.US,D,20230627,000000,26.3211,26.3211,26.3211,26.3211,8,0
HEAT.US,D,20230628,000000,26.3235,26.3235,26.2387,26.2387,158,0
HEAT.US,D,20230629,000000,26.2425,26.2425,26.2425,26.2425,68,0
HEAT.US,D,20230630,000000,26.46,26.7561,26.46,26.7561,217,0
HEAT.US,D,20230703,000000,26.9427,26.9427,26.9427,26.9427,19,0
HEAT.US,D,20230705,000000,26.48,26.4861,26.4496,26.4496,332,0
HEAT.US,D,20230706,000000,26.2,26.2,25.9499,25.9645,524,0
HEAT.US,D,20230707,000000,25.97,26.26,25.97,26.1366,1293,0
HEAT.US,D,20230710,000000,26.3614,26.3614,26.3614,26.3614,12,0
HEAT.US,D,20230711,000000,26.6248,26.6248,26.6248,26.6248,28,0
HEAT.US,D,20230712,000000,26.979,26.979,26.979,26.979,15,0
HEAT.US,D,20230713,000000,27.31,27.31,27.277,27.277,213,0
HEAT.US,D,20230714,000000,27.0607,27.0607,27.0607,27.0607,11,0
HEAT.US,D,20230717,000000,27,27.2556,27,27.2556,130,0
HEAT.US,D,20230718,000000,27.286,27.286,27.286,27.286,83,0
HEAT.US,D,20230719,000000,27.295,27.295,27.2104,27.2104,111,0
HEAT.US,D,20230720,000000,26.9442,26.9442,26.9442,26.9442,11,0
HEAT.US,D,20230721,000000,26.9257,26.9257,26.9257,26.9257,2,0
HEAT.US,D,20230724,000000,26.9184,26.9184,26.9184,26.9184,23,0
HEAT.US,D,20230725,000000,27.1052,27.1052,27.1052,27.1052,96,0
HEAT.US,D,20230726,000000,26.9912,26.9912,26.9912,26.9912,57,0
HEAT.US,D,20230727,000000,26.98,26.98,26.7479,26.7479,344,0
HEAT.US,D,20230728,000000,26.7817,26.7817,26.7817,26.7817,75,0
HEAT.US,D,20230731,000000,26.8343,26.8343,26.8343,26.8343,61,0
HEAT.US,D,20230801,000000,26.69,26.69,26.69,26.69,7,0
HEAT.US,D,20230802,000000,26.1048,26.1048,26.1048,26.1048,1,0
HEAT.US,D,20230803,000000,25.8806,25.8806,25.8806,25.8806,94,0
