<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GRND-WS.US,D,20221121,000000,1.13,1.44,0.7746,0.7746,584052,0
GRND-WS.US,D,20221122,000000,0.62,0.95,0.62,0.75,334122,0
GRND-WS.US,D,20221123,000000,0.8,0.839,0.6125,0.7,164335,0
GRND-WS.US,D,20221125,000000,0.6501,0.7,0.6501,0.69,19381,0
GRND-WS.US,D,20221128,000000,0.66,0.66,0.44,0.47,347211,0
GRND-WS.US,D,20221129,000000,0.5,0.52,0.45,0.46,188380,0
GRND-WS.US,D,20221130,000000,0.499899,0.59,0.45,0.55,67423,0
GRND-WS.US,D,20221201,000000,0.57,0.66,0.57,0.61,44236,0
GRND-WS.US,D,20221202,000000,0.64,0.7175,0.6016,0.68,46804,0
GRND-WS.US,D,20221205,000000,0.650101,0.7225,0.650101,0.67,700,0
GRND-WS.US,D,20221206,000000,0.7,0.7478,0.66,0.7,24076,0
GRND-WS.US,D,20221207,000000,0.7,0.7088,0.6,0.64,78038,0
GRND-WS.US,D,20221208,000000,0.657173,0.7,0.65,0.7,6860,0
GRND-WS.US,D,20221209,000000,0.61,0.65,0.61,0.64,16482,0
GRND-WS.US,D,20221212,000000,0.642857,0.65,0.5,0.510957,117085,0
GRND-WS.US,D,20221213,000000,0.551,0.6,0.551,0.551,45064,0
GRND-WS.US,D,20221214,000000,0.551,0.6,0.511,0.52,17355,0
GRND-WS.US,D,20221215,000000,0.511,0.56,0.511,0.521,16705,0
GRND-WS.US,D,20221216,000000,0.6,0.63,0.55,0.57,4336,0
GRND-WS.US,D,20221219,000000,0.5701,0.6,0.51,0.51,1854,0
GRND-WS.US,D,20221220,000000,0.51,0.51,0.44,0.44,30329,0
GRND-WS.US,D,20221221,000000,0.471,0.5,0.471,0.5,4986,0
GRND-WS.US,D,20221222,000000,0.559,0.559,0.5,0.5,26625,0
GRND-WS.US,D,20221223,000000,0.471,0.471,0.471,0.471,235,0
GRND-WS.US,D,20221227,000000,0.442601,0.4655,0.442601,0.451,7916,0
GRND-WS.US,D,20221228,000000,0.601,0.601,0.4511,0.511,1425,0
GRND-WS.US,D,20221229,000000,0.5,0.5,0.5,0.5,130,0
GRND-WS.US,D,20221230,000000,0.4652,0.49,0.4652,0.48,460,0
GRND-WS.US,D,20230103,000000,0.475,0.49,0.463,0.463,2787,0
GRND-WS.US,D,20230104,000000,0.48,0.483,0.48,0.483,1223,0
GRND-WS.US,D,20230105,000000,0.456,0.6103,0.45,0.45,23193,0
GRND-WS.US,D,20230106,000000,0.4559,0.6148,0.45,0.5547,13444,0
GRND-WS.US,D,20230109,000000,0.6375,0.6375,0.5468,0.5469,3051,0
GRND-WS.US,D,20230110,000000,0.533001,0.6164,0.51,0.5122,50429,0
GRND-WS.US,D,20230111,000000,0.5999,0.5999,0.5999,0.5999,170,0
GRND-WS.US,D,20230112,000000,0.6096,0.610438,0.6095,0.6102,8657,0
GRND-WS.US,D,20230113,000000,0.6,0.63,0.6,0.63,7400,0
GRND-WS.US,D,20230117,000000,0.6475,0.6517,0.6475,0.65,39374,0
GRND-WS.US,D,20230119,000000,0.65001,0.65001,0.65,0.65,1304,0
GRND-WS.US,D,20230120,000000,0.6663,0.6825,0.65,0.65,12424,0
GRND-WS.US,D,20230123,000000,0.6494,0.65,0.6487,0.6499,447,0
GRND-WS.US,D,20230124,000000,0.64,0.65,0.54,0.65,45632,0
GRND-WS.US,D,20230125,000000,0.65,0.6525,0.6074,0.6431,19485,0
GRND-WS.US,D,20230126,000000,0.634999,0.65,0.5794,0.5794,9238,0
GRND-WS.US,D,20230127,000000,0.6498,0.6498,0.6498,0.6498,186,0
GRND-WS.US,D,20230130,000000,0.6,0.64,0.4925,0.5601,16639,0
GRND-WS.US,D,20230210,000000,1.01,1.045,0.995,1,41865,0
GRND-WS.US,D,20230213,000000,0.97,1.06,0.97,1,16369,0
GRND-WS.US,D,20230214,000000,1,1,1,1,2997,0
GRND-WS.US,D,20230215,000000,0.9,0.9099,0.81,0.82,31388,0
GRND-WS.US,D,20230216,000000,0.81,1.04,0.77,1.04,42952,0
GRND-WS.US,D,20230217,000000,1.04,1.05,1,1,225822,0
GRND-WS.US,D,20230221,000000,1,1.02,1,1,67122,0
GRND-WS.US,D,20230223,000000,1,1,0.9999,0.9999,4675,0
GRND-WS.US,D,20230224,000000,1,1,0.995,0.995,4342,0
GRND-WS.US,D,20230228,000000,1,1.12,1,1.07,14907,0
GRND-WS.US,D,20230301,000000,1.05,1.05,0.96,1,12000,0
GRND-WS.US,D,20230302,000000,0.95,1.07,0.95,1.07,68662,0
GRND-WS.US,D,20230303,000000,1.01,1.08,0.96,1.04,38676,0
GRND-WS.US,D,20230306,000000,1.01,1.35,1.0075,1.33,86045,0
GRND-WS.US,D,20230307,000000,1,1.14,0.9,1.1399,390739,0
GRND-WS.US,D,20230308,000000,0.92,1,0.92,0.95,6430,0
GRND-WS.US,D,20230309,000000,0.95,0.951,0.9,0.9,35690,0
GRND-WS.US,D,20230310,000000,0.85,0.95,0.85,0.8801,3020,0
GRND-WS.US,D,20230313,000000,0.96,0.99,0.91,0.95,3607,0
GRND-WS.US,D,20230314,000000,0.979999,0.979999,0.930602,0.930602,200,0
GRND-WS.US,D,20230315,000000,0.95,0.95,0.87,0.9096,2850,0
GRND-WS.US,D,20230316,000000,0.929,0.929,0.9,0.9,1108,0
GRND-WS.US,D,20230317,000000,0.86,0.9,0.86,0.8842,1207,0
GRND-WS.US,D,20230320,000000,0.85,0.94,0.85,0.9,15759,0
GRND-WS.US,D,20230321,000000,0.9,0.92,0.89,0.89,6723,0
GRND-WS.US,D,20230322,000000,0.86,0.8601,0.85,0.85,1662,0
GRND-WS.US,D,20230323,000000,0.8731,0.9,0.87,0.9,577,0
GRND-WS.US,D,20230324,000000,0.85,0.85,0.82,0.84,6284,0
GRND-WS.US,D,20230327,000000,0.84,0.88,0.84,0.88,915,0
GRND-WS.US,D,20230328,000000,0.850101,0.865,0.850101,0.865,900,0
GRND-WS.US,D,20230329,000000,0.89,0.9,0.89,0.8982,661,0
GRND-WS.US,D,20230330,000000,0.9,0.9,0.891,0.9,86727,0
GRND-WS.US,D,20230331,000000,0.88,0.89,0.85,0.89,2500,0
GRND-WS.US,D,20230403,000000,0.8552,0.86,0.8552,0.86,1404,0
GRND-WS.US,D,20230404,000000,0.87,0.88,0.7763,0.78,34651,0
GRND-WS.US,D,20230405,000000,0.73,0.76,0.73,0.7533,5684,0
GRND-WS.US,D,20230406,000000,0.792,0.82,0.77,0.82,4569,0
GRND-WS.US,D,20230410,000000,0.82,0.82,0.7416,0.7708,1480,0
GRND-WS.US,D,20230411,000000,0.75,0.770001,0.75,0.77,1220,0
GRND-WS.US,D,20230412,000000,0.76,0.79,0.75,0.79,1300,0
GRND-WS.US,D,20230413,000000,0.71,0.749999,0.71,0.74,15357,0
GRND-WS.US,D,20230414,000000,0.700101,0.700101,0.700101,0.700101,400,0
GRND-WS.US,D,20230417,000000,0.73,0.74,0.73,0.73,1600,0
GRND-WS.US,D,20230419,000000,0.8811,0.8811,0.8811,0.8811,125,0
GRND-WS.US,D,20230420,000000,0.85,0.850933,0.84,0.850933,5600,0
