<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TRIS-U.US,D,20211015,000000,9.92,9.94,9.91,9.92,306397,0
TRIS-U.US,D,20211018,000000,9.9,9.97,9.88,9.96,32453,0
TRIS-U.US,D,20211019,000000,9.96,9.96,9.95,9.96,171039,0
TRIS-U.US,D,20211020,000000,9.9,9.95,9.9,9.94,136553,0
TRIS-U.US,D,20211021,000000,9.925,9.9385,9.89,9.925,7654,0
TRIS-U.US,D,20211022,000000,9.92,9.93,9.92,9.93,7546,0
TRIS-U.US,D,20211025,000000,9.9432,9.95,9.935,9.95,5503,0
TRIS-U.US,D,20211026,000000,9.97,9.97,9.95,9.97,124417,0
TRIS-U.US,D,20211028,000000,9.97,9.98,9.93,9.97,194788,0
TRIS-U.US,D,20211029,000000,9.97,9.98,9.94,9.95,176316,0
TRIS-U.US,D,20211102,000000,9.93,9.93,9.93,9.93,1301,0
TRIS-U.US,D,20211103,000000,9.97,9.97,9.97,9.97,263,0
TRIS-U.US,D,20211104,000000,10,10,9.97,9.97,71811,0
TRIS-U.US,D,20211108,000000,9.97,9.97,9.97,9.97,24631,0
TRIS-U.US,D,20211109,000000,9.87,9.97,9.87,9.97,8300,0
TRIS-U.US,D,20211110,000000,9.97,9.98,9.96,9.96,40777,0
TRIS-U.US,D,20211112,000000,9.97,9.97,9.97,9.97,120,0
TRIS-U.US,D,20211115,000000,9.9794,9.99,9.97,9.99,902805,0
TRIS-U.US,D,20211116,000000,9.99,10.01,9.98,10,28596,0
TRIS-U.US,D,20211117,000000,10,10,10,10,14300,0
TRIS-U.US,D,20211118,000000,10,10,9.97,10,123561,0
TRIS-U.US,D,20211119,000000,10,10.01,9.92,10.01,21765,0
TRIS-U.US,D,20211123,000000,10.09,10.09,10.02,10.04,3218,0
TRIS-U.US,D,20211202,000000,10.02,10.045,10.0167,10.0167,3810,0
TRIS-U.US,D,20211206,000000,10.036,10.036,10.036,10.036,105,0
TRIS-U.US,D,20211207,000000,10.03,10.04,9.98,9.99,9031,0
TRIS-U.US,D,20211208,000000,9.9911,10.01,9.9911,10.01,300,0
TRIS-U.US,D,20211210,000000,9.91,10.0176,9.91,9.9404,1550,0
TRIS-U.US,D,20211214,000000,9.94,10.01,9.9,10,96677,0
TRIS-U.US,D,20211215,000000,10.008,10.03,9.98,10,30073,0
TRIS-U.US,D,20211216,000000,9.89,10,9.89,10,26865,0
TRIS-U.US,D,20211217,000000,10,10,9.98,9.99,19330,0
TRIS-U.US,D,20211220,000000,9.99,10.08,9.99,10.08,23346,0
TRIS-U.US,D,20211221,000000,10.01,10.04,10.01,10.04,1119,0
TRIS-U.US,D,20211222,000000,9.955,10,9.955,10,2706,0
TRIS-U.US,D,20211230,000000,10.0974,10.0974,10.0974,10.0974,2000,0
TRIS-U.US,D,20220103,000000,9.9,9.9,9.9,9.9,104,0
TRIS-U.US,D,20220107,000000,10.07,10.07,10.07,10.07,1800,0
TRIS-U.US,D,20220110,000000,10.07,10.07,9.96,9.98,901,0
TRIS-U.US,D,20220111,000000,9.97,9.97,9.97,9.97,401,0
TRIS-U.US,D,20220112,000000,9.95,9.98,9.95,9.98,3608,0
TRIS-U.US,D,20220113,000000,9.98,10.04,9.95,10.04,29312,0
TRIS-U.US,D,20220114,000000,10,10.0001,9.97,9.975,9400,0
TRIS-U.US,D,20220118,000000,9.96,9.9771,9.96,9.96,22436,0
TRIS-U.US,D,20220121,000000,9.95,9.95,9.94,9.95,5012,0
TRIS-U.US,D,20220125,000000,9.94,9.94,9.93,9.93,4015,0
