<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ELBM.US,D,20220428,000000,4.85,4.85,4.22,4.46,243154,0
ELBM.US,D,20220429,000000,4.46,5.58,4.22,4.38,1377503,0
ELBM.US,D,20220502,000000,4.4,4.4315,4.07,4.2162,213859,0
ELBM.US,D,20220503,000000,4.13,4.22,4.11,4.14,104248,0
ELBM.US,D,20220504,000000,4.19,4.2932,4.1,4.19,62513,0
ELBM.US,D,20220505,000000,4.15,4.3699,4.02,4.0763,76027,0
ELBM.US,D,20220506,000000,4.05,4.07,3.9,3.975,110382,0
ELBM.US,D,20220509,000000,4.07,4.07,3.4701,3.5843,129024,0
ELBM.US,D,20220510,000000,3.54,3.8299,3.53,3.71,76167,0
ELBM.US,D,20220511,000000,4.4,4.6499,3.75,3.93,1966919,0
ELBM.US,D,20220512,000000,3.96,3.96,3.33,3.48,307562,0
ELBM.US,D,20220513,000000,3.6,3.7535,3.5,3.69,72074,0
ELBM.US,D,20220516,000000,3.69,3.815,3.549,3.79,42729,0
ELBM.US,D,20220517,000000,3.61,3.92,3.61,3.88,38111,0
ELBM.US,D,20220518,000000,3.85,3.91,3.61,3.75,69966,0
ELBM.US,D,20220519,000000,3.83,3.9102,3.7,3.85,79143,0
ELBM.US,D,20220520,000000,3.75,3.89,3.71,3.82,48369,0
ELBM.US,D,20220523,000000,3.82,3.88,3.55,3.76,93001,0
ELBM.US,D,20220524,000000,3.82,3.82,3.6,3.65,61516,0
ELBM.US,D,20220525,000000,3.67,3.75,3.57,3.73,19732,0
ELBM.US,D,20220526,000000,3.65,3.85,3.6375,3.83,38087,0
ELBM.US,D,20220527,000000,4.09,4.09,3.8301,4,35082,0
ELBM.US,D,20220531,000000,4,4,3.9,3.93,33777,0
ELBM.US,D,20220601,000000,3.9,3.97,3.8,3.88,34772,0
ELBM.US,D,20220602,000000,3.95,3.95,3.84,3.85,12866,0
ELBM.US,D,20220603,000000,3.8,3.88,3.76,3.85,57650,0
ELBM.US,D,20220606,000000,3.85,4.02,3.8001,3.92,47166,0
ELBM.US,D,20220607,000000,3.92,3.9899,3.8526,3.93,18118,0
ELBM.US,D,20220608,000000,3.95,4,3.8101,3.84,67272,0
ELBM.US,D,20220609,000000,3.79,3.81,3.7,3.76,53500,0
ELBM.US,D,20220610,000000,3.7,3.8656,3.6,3.76,75547,0
ELBM.US,D,20220613,000000,3.8,3.84,3.6,3.61,72057,0
ELBM.US,D,20220614,000000,3.63,3.63,3.4,3.425,161832,0
ELBM.US,D,20220615,000000,3.48,3.48,3.4,3.44,20354,0
ELBM.US,D,20220616,000000,3.46,3.46,3.221,3.25,42801,0
ELBM.US,D,20220617,000000,3.27,3.38,3.0701,3.28,65672,0
ELBM.US,D,20220621,000000,3.29,3.49,3.28,3.4,33376,0
ELBM.US,D,20220622,000000,3.67,3.67,3.18,3.23,37196,0
ELBM.US,D,20220623,000000,3.2401,3.38,3.18,3.26,38788,0
ELBM.US,D,20220624,000000,3.26,3.41,3.26,3.41,13637,0
ELBM.US,D,20220627,000000,3.47,3.47,3.26,3.33,43303,0
ELBM.US,D,20220628,000000,3.34,3.355,3.19,3.2,30743,0
ELBM.US,D,20220629,000000,3.2,3.3,2.86,2.92,65701,0
ELBM.US,D,20220630,000000,2.91,2.9125,2.75,2.79,54611,0
ELBM.US,D,20220701,000000,2.73,3.06,2.69,2.87,30677,0
ELBM.US,D,20220705,000000,2.91,3.05,2.85,3.02,39090,0
ELBM.US,D,20220706,000000,3.03,3.15,2.87,2.9,23659,0
ELBM.US,D,20220707,000000,2.89,3.03,2.89,2.97,25118,0
ELBM.US,D,20220708,000000,2.99,2.99,2.9,2.92,16067,0
ELBM.US,D,20220711,000000,2.85,2.93,2.7926,2.87,21474,0
ELBM.US,D,20220712,000000,2.99,2.99,2.54,2.6,306173,0
ELBM.US,D,20220713,000000,2.6,2.805,2.59,2.805,50306,0
ELBM.US,D,20220714,000000,2.72,2.7799,2.65,2.65,31157,0
ELBM.US,D,20220715,000000,2.66,2.68,2.62,2.62,46013,0
ELBM.US,D,20220718,000000,2.64,2.8499,2.64,2.75,49760,0
ELBM.US,D,20220719,000000,2.79,2.89,2.75,2.78,37084,0
ELBM.US,D,20220720,000000,2.81,2.87,2.7601,2.78,33373,0
ELBM.US,D,20220721,000000,2.89,2.9,2.81,2.87,31686,0
ELBM.US,D,20220722,000000,2.8,2.97,2.8,2.97,18279,0
ELBM.US,D,20220725,000000,3.05,3.27,2.9801,3.18,30077,0
ELBM.US,D,20220726,000000,3.3,3.4905,3.2,3.41,61627,0
ELBM.US,D,20220727,000000,3.79,3.79,3.42,3.6,82573,0
ELBM.US,D,20220728,000000,3.7,3.93,3.6201,3.92,71674,0
ELBM.US,D,20220729,000000,3.95,4.36,3.88,3.97,127691,0
ELBM.US,D,20220801,000000,4.1,4.39,4.1,4.2,64794,0
ELBM.US,D,20220802,000000,4.2,4.2,4.04,4.15,51813,0
ELBM.US,D,20220803,000000,4.1,4.1,3.72,3.82,82266,0
ELBM.US,D,20220804,000000,3.74,4.1,3.7,3.8,62871,0
ELBM.US,D,20220805,000000,3.89,4,3.791,3.94,35851,0
ELBM.US,D,20220808,000000,3.94,4.25,3.9195,4.15,66739,0
