<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INM.US,D,20201113,000000,92.5,93.75,83,84.25,4468.52,0
INM.US,D,20201116,000000,97.25,97.25,81.25,85,3970.76,0
INM.US,D,20201117,000000,86,86,81.5,82.25,2877.4,0
INM.US,D,20201118,000000,84,89.5,82.5,88.25,2431.6,0
INM.US,D,20201119,000000,87.5,90.75,84.75,85.75,1628.48,0
INM.US,D,20201120,000000,90,90,80,80.25,3895.72,0
INM.US,D,20201123,000000,82.5,86.25,76.25,80.5,5147.84,0
INM.US,D,20201124,000000,82.5,82.5,75.5,77.75,2301.28,0
INM.US,D,20201125,000000,81.25,81.5,78,80.875,1755.92,0
INM.US,D,20201127,000000,81.5,87.75,81.25,86.875,2218.6,0
INM.US,D,20201130,000000,93,96.685,82.5,90.5,21305.16,0
INM.US,D,20201201,000000,94.25,94.75,81.5,86.25,6901.8,0
INM.US,D,20201202,000000,91.5,91.5,84.5,87.48,2931.32,0
INM.US,D,20201203,000000,87,95.2875,82.5,84.25,18585.88,0
INM.US,D,20201204,000000,83.25,88.5,80,83.25,13868.44,0
INM.US,D,20201207,000000,84.25,84.5,79.5,81,4159.24,0
INM.US,D,20201208,000000,81.25,82.57,78.75,80,2232.8,0
INM.US,D,20201209,000000,80,80.6525,78.25,79.25,2754.16,0
INM.US,D,20201210,000000,79.25,81.25,78,79.25,1841.28,0
INM.US,D,20201211,000000,80,81.2475,77,78,2853.72,0
INM.US,D,20201214,000000,80.25,80.575,74.3525,76.75,3850.36,0
INM.US,D,20201215,000000,77.25,77.97,74.25,74.75,4051.2,0
INM.US,D,20201216,000000,76.5,80.5,74.25,74.75,2852.12,0
INM.US,D,20201217,000000,75,75.6375,73.75,74.375,2746.96,0
INM.US,D,20201218,000000,76.75,84.25,74.75,80.5,7800.6,0
INM.US,D,20201221,000000,82.5,82.5,74,78,3231.8,0
INM.US,D,20201222,000000,76.5,77.25,74.25,76.5,2123.96,0
INM.US,D,20201223,000000,78.75,85,77.85,80.5,16263.56,0
INM.US,D,20201224,000000,83.25,86,77.5,78.5,3500.88,0
INM.US,D,20201228,000000,80.25,87,77.5,81.25,8157.96,0
INM.US,D,20201229,000000,81.25,81.25,76.5,77.75,5352.4,0
INM.US,D,20201230,000000,79.75,84.75,78.75,82.25,5866.68,0
INM.US,D,20201231,000000,81.75,83.75,80.875,82.25,4133.08,0
INM.US,D,20210104,000000,84.5,87.5,82.75,87.25,4062.88,0
INM.US,D,20210105,000000,87.71,89.4175,85.5,87.7475,2838.68,0
INM.US,D,20210106,000000,89.75,99,85.75,90.25,20439.76,0
INM.US,D,20210107,000000,94.5,116.5,91.525,114.5,31484.2,0
INM.US,D,20210108,000000,110,133,110,121.75,12952.12,0
INM.US,D,20210111,000000,124.5,124.5,101.25,103.25,10782.12,0
INM.US,D,20210112,000000,100.5,102.608,92,95.5,6956.36,0
INM.US,D,20210113,000000,103.5,108,99.5,104.5,5725.28,0
INM.US,D,20210114,000000,104.5,111.375,103.75,108.25,3177.2,0
INM.US,D,20210115,000000,109.5,111.75,100.75,103.5,2861.32,0
INM.US,D,20210119,000000,105,109,103.25,108.5,2174.32,0
INM.US,D,20210120,000000,111.5,111.5,101.75,104.25,1639.88,0
INM.US,D,20210121,000000,108.25,109.15,101.28,103.875,941.96,0
INM.US,D,20210122,000000,104.75,104.75,100.25,101.25,1064.76,0
INM.US,D,20210125,000000,108,108,98.1575,103.298,5304.96,0
