<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HYZNW.US,D,20201215,000000,1.6943,2,1.6,1.61,52645,0
HYZNW.US,D,20201216,000000,1.98,2,1.72,1.78,43111,0
HYZNW.US,D,20201217,000000,1.83,1.92,1.71,1.7416,58205,0
HYZNW.US,D,20201218,000000,1.8,1.8,1.55,1.55,107281,0
HYZNW.US,D,20201221,000000,1.75,1.75,1.3,1.6,93414,0
HYZNW.US,D,20201222,000000,1.6498,1.7,1.625,1.68,66964,0
HYZNW.US,D,20201223,000000,1.79,1.8,1.71,1.8,243668,0
HYZNW.US,D,20201224,000000,1.92,2.15,1.76,1.95,171435,0
HYZNW.US,D,20201228,000000,2.08,2.0999,1.9,1.9499,81321,0
HYZNW.US,D,20201229,000000,1.95,1.95,1.85,1.8504,31993,0
HYZNW.US,D,20201230,000000,1.8998,1.93,1.8,1.8,73198,0
HYZNW.US,D,20201231,000000,1.825,1.87,1.8,1.839,40412,0
HYZNW.US,D,20210104,000000,1.8,1.86,1.8,1.8499,15332,0
HYZNW.US,D,20210105,000000,1.8,1.83,1.79,1.8,99862,0
HYZNW.US,D,20210106,000000,1.84,1.89,1.8,1.8,20291,0
HYZNW.US,D,20210107,000000,1.86,1.94,1.8,1.94,197187,0
HYZNW.US,D,20210108,000000,1.9299,2.05,1.9,2.05,36610,0
HYZNW.US,D,20210111,000000,2.05,2.24,2.05,2.13,84320,0
HYZNW.US,D,20210112,000000,2.38,2.97,2.17,2.7,162928,0
HYZNW.US,D,20210113,000000,2.8,2.8,2.22,2.59,224025,0
HYZNW.US,D,20210114,000000,2.8,3,2.56,2.6,137939,0
HYZNW.US,D,20210115,000000,2.61,2.85,2.31,2.52,114340,0
HYZNW.US,D,20210119,000000,2.6,2.75,2.44,2.75,270493,0
HYZNW.US,D,20210120,000000,2.9,3.1,2.9,3.04,94625,0
HYZNW.US,D,20210121,000000,3.02,3.25,3.02,3.22,76659,0
HYZNW.US,D,20210122,000000,3.38,4,3.31,3.55,185969,0
HYZNW.US,D,20210125,000000,4.2,4.24,3.2,3.7498,150611,0
HYZNW.US,D,20210126,000000,3.75,3.75,3.29,3.485,126539,0
HYZNW.US,D,20210127,000000,3.1,3.1,2.22,2.99,380234,0
HYZNW.US,D,20210128,000000,2.85,2.85,2.53,2.71,134978,0
HYZNW.US,D,20210129,000000,2.84,3.1,2.68,2.76,87304,0
HYZNW.US,D,20210201,000000,3,3.2,2.52,2.75,106521,0
HYZNW.US,D,20210202,000000,2.8,3.15,2.8,2.97,83776,0
HYZNW.US,D,20210203,000000,3.05,3.25,2.82,2.9,189595,0
HYZNW.US,D,20210204,000000,3,3.26,3,3.01,217348,0
HYZNW.US,D,20210205,000000,4.52,4.65,4.07,4.65,1510004,0
HYZNW.US,D,20210208,000000,5.88,6.05,5.25,5.32,846948,0
HYZNW.US,D,20210209,000000,5.51,5.51,4.65,4.72,1136309,0
HYZNW.US,D,20210210,000000,5.3,5.3,4.35,4.5,562022,0
HYZNW.US,D,20210211,000000,4.6,4.83,4.25,4.48,358073,0
HYZNW.US,D,20210212,000000,4.62,4.7,4.33,4.39,324191,0
HYZNW.US,D,20210216,000000,4.49,4.56,4.11,4.2,211866,0
HYZNW.US,D,20210217,000000,4.53,4.53,3.83,3.89,384093,0
HYZNW.US,D,20210218,000000,3.95,4,3.76,3.8,320351,0
HYZNW.US,D,20210219,000000,4.31,4.31,3.76,3.7601,397404,0
HYZNW.US,D,20210222,000000,4,4.035,3.57,3.6,216872,0
HYZNW.US,D,20210223,000000,3.5,3.6,2.71,3.18,243553,0
HYZNW.US,D,20210224,000000,3.33,3.3688,3.03,3.08,165569,0
HYZNW.US,D,20210225,000000,3.25,3.25,2.65,2.66,262271,0
HYZNW.US,D,20210226,000000,2.87,2.93,2.6601,2.8,200772,0
HYZNW.US,D,20210301,000000,3.34,3.34,2.95,3,248670,0
HYZNW.US,D,20210302,000000,3.37,3.37,2.83,2.89,195054,0
HYZNW.US,D,20210303,000000,2.88,2.89,2.63,2.67,196738,0
HYZNW.US,D,20210304,000000,2.6,2.64,1.9,2.18,283063,0
HYZNW.US,D,20210305,000000,2.2,2.2,1.81,2.02,362738,0
HYZNW.US,D,20210308,000000,2.29,2.4,2.0299,2.2,293351,0
HYZNW.US,D,20210309,000000,2.11,2.21,2.1,2.11,202920,0
HYZNW.US,D,20210310,000000,2.2,2.33,2.1201,2.19,163998,0
HYZNW.US,D,20210311,000000,2.3,2.35,2.23,2.29,368558,0
HYZNW.US,D,20210312,000000,2.44,2.44,2.23,2.34,127316,0
HYZNW.US,D,20210315,000000,2.33,2.51,2.33,2.43,413856,0
HYZNW.US,D,20210316,000000,2.42,2.494,2.27,2.37,84086,0
HYZNW.US,D,20210317,000000,2.32,2.365,2.18,2.35,125106,0
HYZNW.US,D,20210318,000000,2.23,2.4,2.2,2.26,104073,0
HYZNW.US,D,20210319,000000,2.45,2.45,2.14,2.25,82275,0
