<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GOODO.US,D,20210629,000000,25.35,25.42,25.31,25.35,182168,0
GOODO.US,D,20210630,000000,25.395,25.59,25.32,25.43,105630,0
GOODO.US,D,20210701,000000,25.55,25.69,25.45,25.6,30172,0
GOODO.US,D,20210702,000000,25.6,25.72,25.57,25.6775,22517,0
GOODO.US,D,20210706,000000,25.68,25.77,25.6,25.66,38570,0
GOODO.US,D,20210707,000000,25.77,25.77,25.6,25.71,48353,0
GOODO.US,D,20210708,000000,25.69,25.75,25.6,25.67,31132,0
GOODO.US,D,20210709,000000,25.7499,26.38,25.73,26.36,40566,0
GOODO.US,D,20210712,000000,26.35,26.85,26.35,26.45,69432,0
GOODO.US,D,20210713,000000,26.64,27,26.5001,26.78,20039,0
GOODO.US,D,20210714,000000,26.42,28.99,26.4,26.83,16124,0
GOODO.US,D,20210715,000000,27.13,27.48,26.9,27.15,7656,0
GOODO.US,D,20210716,000000,27.16,27.25,27.1,27.24,11151,0
GOODO.US,D,20210719,000000,27.145,27.45,26.95,27.225,13799,0
GOODO.US,D,20210720,000000,27.25,27.5,27.1,27.35,18554,0
GOODO.US,D,20210722,000000,27.195,27.5,27.195,27.34,8949,0
GOODO.US,D,20210726,000000,27.34,27.34,26.89,27.34,2205,0
GOODO.US,D,20210727,000000,27,27,26.71,26.82,39658,0
GOODO.US,D,20210728,000000,26.86,26.9,26.47,26.58,63342,0
GOODO.US,D,20210729,000000,26.8,26.8,26.66,26.66,81094,0
GOODO.US,D,20210730,000000,26.65,26.9,26.36,26.73,386417,0
GOODO.US,D,20210802,000000,26.77,26.77,26.77,26.77,1403,0
GOODO.US,D,20210803,000000,26.65,26.65,26.53,26.55,13329,0
GOODO.US,D,20210804,000000,26.55,26.55,26.49,26.52,23832,0
GOODO.US,D,20210805,000000,26.4301,26.5037,26.37,26.4,21993,0
GOODO.US,D,20210806,000000,26.36,26.39,26.01,26.05,47191,0
GOODO.US,D,20210809,000000,26.22,26.22,26,26,16074,0
GOODO.US,D,20210810,000000,26.08,26.09,26.08,26.09,368,0
GOODO.US,D,20210811,000000,26.09,26.19,26,26.0499,9528,0
GOODO.US,D,20210812,000000,26.04,26.195,25.99,26.06,30884,0
GOODO.US,D,20210813,000000,26.225,26.45,26.06,26.29,25131,0
GOODO.US,D,20210816,000000,26.3,26.42,26.3,26.38,1177,0
GOODO.US,D,20210817,000000,26.47,26.86,26.42,26.86,23405,0
GOODO.US,D,20210818,000000,26.8363,26.8363,26.8363,26.8363,2149,0
GOODO.US,D,20210819,000000,26.75,26.8,26.74,26.8,3729,0
