<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FIXT.US,D,20220602,000000,24.8506,25.2559,24.8506,25.2559,1978.928393895,0
FIXT.US,D,20220603,000000,24.9604,24.9898,24.9604,24.9898,239.4753853878,0
FIXT.US,D,20220606,000000,25.0823,25.0823,25.0823,25.0823,166.3301839932,0
FIXT.US,D,20220607,000000,25.0202,25.1553,25.0202,25.1553,210.417702642,0
FIXT.US,D,20220608,000000,24.8705,24.8705,24.7078,24.7078,628.2471407454,0
FIXT.US,D,20220609,000000,24.2917,24.2917,24.2917,24.2917,60.119343612,0
FIXT.US,D,20220610,000000,23.7028,23.7228,23.7028,23.7028,1047.078567909,0
FIXT.US,D,20220613,000000,23.2438,23.2438,22.7197,22.7197,681.352560936,0
FIXT.US,D,20220614,000000,22.625,22.625,22.1559,22.2892,858.7046245914,0
FIXT.US,D,20220615,000000,22.3955,22.5695,22.3955,22.5695,1305.5917454406,0
FIXT.US,D,20220616,000000,22.136,22.136,21.5914,21.5914,202.4017901604,0
FIXT.US,D,20220617,000000,21.617,21.6836,21.597,21.6836,500.9945301,0
FIXT.US,D,20220621,000000,22.0561,22.0561,21.9349,21.9349,265.527100953,0
FIXT.US,D,20220622,000000,21.9013,21.9013,21.9013,21.9013,63.1253107926,0
FIXT.US,D,20220623,000000,21.7966,21.9104,21.7867,21.9104,321.6384883242,0
FIXT.US,D,20220624,000000,22.5845,22.5845,22.5845,22.5845,6.0119343612,0
FIXT.US,D,20220627,000000,22.663,22.663,22.663,22.663,35.069617107,0
FIXT.US,D,20220628,000000,22.8146,22.8146,22.2968,22.2968,840.6688215078,0
FIXT.US,D,20220629,000000,22.0162,22.0894,22.0162,22.0894,608.2073595414,0
FIXT.US,D,20220630,000000,21.9563,22.0718,21.6574,22.0718,654.2988563106,0
FIXT.US,D,20220701,000000,22.0861,22.2957,22.0843,22.2957,1408.7966186412,0
FIXT.US,D,20220705,000000,21.7375,22.0554,21.7375,22.0554,377.7498756954,0
FIXT.US,D,20220706,000000,22.0561,22.0971,22.0561,22.0971,483.9607160766,0
FIXT.US,D,20220707,000000,22.565,22.5701,22.4953,22.5701,462.9189458124,0
FIXT.US,D,20220708,000000,22.44,22.5415,22.44,22.5387,216.4296370032,0
FIXT.US,D,20220711,000000,22.156,22.156,22.1392,22.1392,114.2267528628,0
FIXT.US,D,20220712,000000,22.3655,22.3755,22.0828,22.0828,610.2113376618,0
FIXT.US,D,20220713,000000,21.9663,22.0229,21.9663,22.0229,718.4261561634,0
FIXT.US,D,20220714,000000,21.5372,21.7527,21.5372,21.7527,102.2028841404,0
FIXT.US,D,20220715,000000,22.1327,22.1327,22.1327,22.1327,1.0019890602,0
FIXT.US,D,20220718,000000,22.3955,22.3955,22.1815,22.1815,226.4495276052,0
FIXT.US,D,20220719,000000,22.7448,22.9044,22.7348,22.8999,897.7821979392,0
FIXT.US,D,20220720,000000,23.047,23.047,23.047,23.047,32.0636499264,0
FIXT.US,D,20220721,000000,23.3212,23.3212,23.3212,23.3212,28.0556936856,0
FIXT.US,D,20220722,000000,23.219,23.219,23.219,23.219,5.009945301,0
FIXT.US,D,20220725,000000,23.3243,23.3243,23.3243,23.3243,15.029835903,0
FIXT.US,D,20220726,000000,23.044,23.044,23.044,23.044,3.0059671806,0
FIXT.US,D,20220727,000000,23.134,23.4413,23.114,23.4413,9924.701641281,0
FIXT.US,D,20220728,000000,23.8144,23.8144,23.8144,23.8144,12.0238687224,0
FIXT.US,D,20220729,000000,23.9623,24.0851,23.9623,24.0851,114.2267528628,0
FIXT.US,D,20220801,000000,24.0722,24.0722,24.0722,24.0722,24.0477374448,0
FIXT.US,D,20220802,000000,23.8624,23.8624,23.7746,23.7746,121.2406762842,0
FIXT.US,D,20220803,000000,23.9524,23.9524,23.9438,23.9438,147.2923918494,0
FIXT.US,D,20220804,000000,23.9876,23.9876,23.9876,23.9876,18.0358030836,0
FIXT.US,D,20220805,000000,23.7927,23.9167,23.7927,23.9167,176.3500745952,0
FIXT.US,D,20220808,000000,24.0556,24.0556,24.0556,24.0556,11.0218796622,0
FIXT.US,D,20220809,000000,23.7528,23.7702,23.7528,23.7702,134.2665340668,0
FIXT.US,D,20220810,000000,24.385,24.385,24.385,24.385,37.0735952274,0
FIXT.US,D,20220811,000000,24.4823,24.4823,24.4657,24.4657,100.19890602,0
FIXT.US,D,20220812,000000,24.8514,24.8514,24.8514,24.8514,209.4157135818,0
FIXT.US,D,20220815,000000,24.8579,24.8653,24.8579,24.8653,241.4793635082,0
FIXT.US,D,20220816,000000,25.0096,25.0096,25.0096,25.0096,7.0139234214,0
FIXT.US,D,20220817,000000,24.7149,24.7149,24.7149,24.7149,283.5629040366,0
FIXT.US,D,20220818,000000,24.7744,24.7744,24.7744,24.7744,19.0377921438,0
FIXT.US,D,20220819,000000,24.3406,24.3406,24.3406,24.3406,5.009945301,0
FIXT.US,D,20220822,000000,23.9524,23.9524,23.7577,23.7577,624.2391845046,0
FIXT.US,D,20220823,000000,23.7278,23.7278,23.7278,23.7278,22.0437593244,0
FIXT.US,D,20220824,000000,23.8214,23.8214,23.8214,23.8214,53.1054201906,0
FIXT.US,D,20220825,000000,24.0612,24.0612,24.0612,24.0612,46.0914967692,0
FIXT.US,D,20220826,000000,23.2646,23.2646,23.2646,23.2646,179.3560417758,0
FIXT.US,D,20220829,000000,23.1639,23.164,23.1261,23.1261,909.8060666616,0
FIXT.US,D,20220830,000000,23.0042,23.0042,22.8868,22.8868,208.4137245216,0
FIXT.US,D,20220831,000000,22.8146,22.8146,22.8146,22.8146,29.0576827458,0
FIXT.US,D,20220901,000000,22.4887,22.4887,22.4887,22.4887,74.1471904548,0
FIXT.US,D,20220902,000000,22.3057,22.3057,22.2616,22.2616,113.2247638026,0
FIXT.US,D,20220906,000000,22.2008,22.2524,22.2008,22.2524,124.2466434648,0
FIXT.US,D,20220907,000000,22.5901,22.5901,22.5901,22.5901,12.0238687224,0
FIXT.US,D,20220908,000000,22.7205,22.7205,22.7205,22.7205,18.0358030836,0
FIXT.US,D,20220909,000000,22.9735,23.149,22.9735,23.149,109.2168075618,0
FIXT.US,D,20220912,000000,23.3436,23.4379,23.3436,23.4379,113.2247638026,0
FIXT.US,D,20220913,000000,22.9444,23.0342,22.5187,22.5187,781.551466956,0
FIXT.US,D,20220914,000000,22.4744,22.4744,22.4744,22.4744,25.049726505,0
FIXT.US,D,20220915,000000,22.3033,22.3033,22.3033,22.3033,49.0974639498,0
FIXT.US,D,20220916,000000,22.0976,22.0976,22.0976,22.0976,47.0934858294,0
FIXT.US,D,20220919,000000,22.2998,22.2998,22.2998,22.2998,25.049726505,0
FIXT.US,D,20220920,000000,21.9863,21.9863,21.6619,21.6619,2506.9766286204,0
FIXT.US,D,20220921,000000,22.0561,22.0561,21.5446,21.5446,633.2570860464,0
FIXT.US,D,20220922,000000,21.2577,21.2677,21.1399,21.1399,279.5549477958,0
FIXT.US,D,20220923,000000,20.7587,20.7587,20.5886,20.5886,916.819990083,0
FIXT.US,D,20220926,000000,20.6988,20.7088,20.3095,20.377,2021.0119344234,0
FIXT.US,D,20220927,000000,20.589,20.6389,20.0601,20.11,6715.3306814604,0
FIXT.US,D,20220928,000000,20.28,20.98,20.28,20.9107,19782,0
FIXT.US,D,20220929,000000,20.67,20.67,20.1933,20.3554,5344,0
FIXT.US,D,20220930,000000,20.6,20.7,20.3551,20.3551,3075,0
FIXT.US,D,20221003,000000,20.6431,20.9787,20.6431,20.9787,3268,0
FIXT.US,D,20221004,000000,21.58,21.84,21.43,21.8142,5549,0
FIXT.US,D,20221005,000000,21.5097,21.5925,21.26,21.5925,2220,0
FIXT.US,D,20221006,000000,21.5599,21.5599,21.2194,21.2194,633,0
FIXT.US,D,20221007,000000,21.03,21.03,20.2801,20.4344,5397,0
FIXT.US,D,20221010,000000,20.66,20.72,20.5169,20.6017,4586,0
FIXT.US,D,20221011,000000,20.65,20.82,20.5429,20.5429,2493,0
FIXT.US,D,20221012,000000,20.46,20.46,20.22,20.242,1756,0
