<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FRLA.US,D,20211228,000000,9.9,9.92,9.9,9.92,2100,0
FRLA.US,D,20211229,000000,9.93,9.98,9.88,9.94,191001,0
FRLA.US,D,20211230,000000,9.9,9.95,9.9,9.94,42711,0
FRLA.US,D,20211231,000000,9.94,9.95,9.9399,9.945,14651,0
FRLA.US,D,20220103,000000,9.94,9.94,9.94,9.94,752,0
FRLA.US,D,20220104,000000,9.94,9.94,9.93,9.93,100382,0
FRLA.US,D,20220105,000000,9.93,9.93,9.93,9.93,125000,0
FRLA.US,D,20220106,000000,9.9484,9.95,9.94,9.94,2020,0
FRLA.US,D,20220107,000000,9.94,9.95,9.94,9.95,9730,0
FRLA.US,D,20220110,000000,9.94,9.94,9.94,9.94,200,0
FRLA.US,D,20220111,000000,9.96,9.96,9.95,9.95,908640,0
FRLA.US,D,20220112,000000,9.96,9.96,9.96,9.96,7501,0
FRLA.US,D,20220113,000000,9.96,9.96,9.96,9.96,2545,0
FRLA.US,D,20220114,000000,9.97,9.97,9.93,9.97,18795,0
FRLA.US,D,20220118,000000,9.96,9.96,9.96,9.96,2500,0
FRLA.US,D,20220120,000000,9.95,9.95,9.95,9.95,27600,0
FRLA.US,D,20220121,000000,9.94,9.97,9.94,9.94,41057,0
FRLA.US,D,20220124,000000,9.94,9.95,9.93,9.93,14344,0
FRLA.US,D,20220127,000000,9.95,9.97,9.95,9.97,72598,0
FRLA.US,D,20220128,000000,9.95,9.97,9.95,9.97,1000,0
FRLA.US,D,20220131,000000,9.98,9.98,9.97,9.97,7658,0
FRLA.US,D,20220201,000000,9.98,9.98,9.98,9.98,100,0
FRLA.US,D,20220202,000000,9.98,10,9.98,10,22252,0
FRLA.US,D,20220203,000000,10,10,9.99,9.99,4654,0
FRLA.US,D,20220207,000000,10,10,10,10,100,0
FRLA.US,D,20220208,000000,9.98,10,9.98,10,138773,0
FRLA.US,D,20220209,000000,10,10,9.99,9.99,3976,0
FRLA.US,D,20220210,000000,9.99,9.99,9.99,9.99,100,0
FRLA.US,D,20220211,000000,9.975,9.98,9.96,9.98,110822,0
FRLA.US,D,20220214,000000,9.98,9.985,9.97,9.985,3700,0
FRLA.US,D,20220215,000000,9.99,9.99,9.99,9.99,101,0
FRLA.US,D,20220222,000000,9.97,9.99,9.97,9.99,25102,0
FRLA.US,D,20220302,000000,9.99,10.02,9.99,10,5661,0
FRLA.US,D,20220303,000000,10.01,10.02,10.01,10.02,20191,0
FRLA.US,D,20220304,000000,10.03,10.03,10.03,10.03,2013,0
FRLA.US,D,20220310,000000,10.01,10.02,10.01,10.02,501,0
