<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WLDS.US,D,20220913,000000,4.7,5.85,2.46,2.85,8863766,0
WLDS.US,D,20220914,000000,2.65,3.0298,2.27,2.95,2616924,0
WLDS.US,D,20220915,000000,2.48,2.84,2.45,2.72,1309554,0
WLDS.US,D,20220916,000000,2.46,2.6453,2.2105,2.34,583863,0
WLDS.US,D,20220919,000000,2.11,2.36,1.77,1.81,863755,0
WLDS.US,D,20220920,000000,1.68,1.945,1.68,1.72,595916,0
WLDS.US,D,20220921,000000,1.71,1.78,1.37,1.37,439396,0
WLDS.US,D,20220922,000000,1.36,1.53,1.27,1.33,427491,0
WLDS.US,D,20220923,000000,1.24,1.2899,1.12,1.16,422760,0
WLDS.US,D,20220926,000000,1.12,1.15,1.02,1.06,304441,0
WLDS.US,D,20220927,000000,1.05,1.33,1.05,1.12,348755,0
WLDS.US,D,20220928,000000,1.18,1.24,1.03,1.05,290552,0
WLDS.US,D,20220929,000000,1.02,1.045,0.94,0.9533,225150,0
WLDS.US,D,20220930,000000,0.96,0.99,0.88,0.88,110584,0
WLDS.US,D,20221003,000000,1.09,1.45,1.08,1.31,22187079,0
WLDS.US,D,20221004,000000,1.18,1.27,1.01,1.08,1406134,0
WLDS.US,D,20221005,000000,1.03,1.08,1,1.06,332545,0
WLDS.US,D,20221006,000000,1.05,1.07,0.931,0.96,548900,0
WLDS.US,D,20221007,000000,0.972,1.0968,0.96,0.9688,215439,0
WLDS.US,D,20221010,000000,0.98,1.0481,0.96,1,149101,0
WLDS.US,D,20221011,000000,1.06,1.06,0.95,1.03,276836,0
WLDS.US,D,20221012,000000,1.05,1.05,0.97,1,147712,0
WLDS.US,D,20221013,000000,0.97,1,0.96,0.98,49449,0
WLDS.US,D,20221014,000000,0.96,1.038,0.96,0.9707,75315,0
WLDS.US,D,20221017,000000,0.97,0.99,0.932,0.98,100268,0
WLDS.US,D,20221018,000000,1,1,0.941,0.96,150864,0
WLDS.US,D,20221019,000000,0.9485,0.965049,0.9,0.9212,94591,0
WLDS.US,D,20221020,000000,0.9375,0.94,0.88,0.9193,97732,0
WLDS.US,D,20221021,000000,0.93,0.938,0.870101,0.8901,38405,0
WLDS.US,D,20221024,000000,0.87,0.9,0.87,0.870201,71882,0
WLDS.US,D,20221025,000000,0.8725,0.916,0.87,0.88,33937,0
WLDS.US,D,20221026,000000,0.88,0.9,0.8587,0.8741,44712,0
WLDS.US,D,20221027,000000,0.872551,0.8963,0.85,0.865,60651,0
WLDS.US,D,20221028,000000,0.8874,0.8874,0.834,0.849899,64913,0
WLDS.US,D,20221031,000000,0.8126,0.8403,0.750201,0.7816,127163,0
WLDS.US,D,20221101,000000,0.82,0.82,0.79,0.8099,59814,0
WLDS.US,D,20221102,000000,0.8,0.829,0.77,0.7959,25958,0
WLDS.US,D,20221103,000000,0.77,0.8035,0.7511,0.796,47157,0
WLDS.US,D,20221104,000000,0.7999,0.7999,0.7325,0.7698,39522,0
WLDS.US,D,20221107,000000,0.741,0.7625,0.67,0.6778,49082,0
WLDS.US,D,20221108,000000,0.6441,0.707911,0.64,0.645,105718,0
WLDS.US,D,20221109,000000,0.6617,0.7198,0.6501,0.6773,42839,0
WLDS.US,D,20221110,000000,0.67,0.6773,0.6011,0.6399,205309,0
WLDS.US,D,20221111,000000,0.6396,0.6773,0.6396,0.6421,46991,0
WLDS.US,D,20221114,000000,0.667,0.6725,0.632,0.6679,44286,0
WLDS.US,D,20221115,000000,0.6302,0.6784,0.6155,0.640499,48126,0
WLDS.US,D,20221116,000000,0.6262,0.64,0.6225,0.639599,13399,0
WLDS.US,D,20221117,000000,0.638,0.6593,0.6296,0.6399,19411,0
WLDS.US,D,20221118,000000,0.651249,0.68,0.6325,0.655,47341,0
WLDS.US,D,20221121,000000,0.670598,0.678,0.6403,0.6699,41933,0
WLDS.US,D,20221122,000000,0.6913,0.74,0.6513,0.699899,135301,0
WLDS.US,D,20221123,000000,0.7,0.7289,0.67,0.6997,25786,0
WLDS.US,D,20221125,000000,0.71,0.719,0.675094,0.6948,31182,0
WLDS.US,D,20221128,000000,0.69,0.69,0.64,0.668899,43785,0
WLDS.US,D,20221129,000000,0.63,0.6999,0.63,0.6811,47732,0
WLDS.US,D,20221130,000000,0.7,0.7,0.650101,0.660051,74024,0
WLDS.US,D,20221201,000000,0.66,0.95,0.66,0.7139,2336398,0
WLDS.US,D,20221202,000000,0.699,0.7096,0.62,0.6211,208472,0
WLDS.US,D,20221205,000000,0.61,0.66,0.591,0.62,232630,0
WLDS.US,D,20221206,000000,0.6599,0.684599,0.61,0.65,481647,0
WLDS.US,D,20221207,000000,0.71,0.74,0.58,0.6078,1002626,0
WLDS.US,D,20221208,000000,0.6788,0.69,0.6203,0.6553,661450,0
WLDS.US,D,20221209,000000,0.68,0.78,0.64,0.7349,1009012,0
WLDS.US,D,20221212,000000,0.7175,0.7347,0.6,0.639501,407349,0
WLDS.US,D,20221213,000000,0.6249,0.73,0.61,0.6173,324329,0
WLDS.US,D,20221214,000000,0.618,0.6499,0.6,0.60775,164399,0
WLDS.US,D,20221215,000000,0.5887,0.61,0.5031,0.5378,308359,0
WLDS.US,D,20221216,000000,0.5379,0.5446,0.4752,0.51,213327,0
WLDS.US,D,20221219,000000,0.4947,0.499899,0.4623,0.4711,39968,0
WLDS.US,D,20221220,000000,0.4712,0.51,0.4634,0.4894,127359,0
WLDS.US,D,20221221,000000,0.5064,0.5064,0.48,0.503959,52313,0
WLDS.US,D,20221222,000000,0.4956,0.4956,0.451,0.4751,83345,0
WLDS.US,D,20221223,000000,0.458,0.469899,0.457944,0.46,42137,0
WLDS.US,D,20221227,000000,0.4509,0.5745,0.4255,0.53,451766,0
WLDS.US,D,20221228,000000,0.58,0.58,0.477,0.48,191194,0
WLDS.US,D,20221229,000000,0.4656,0.4918,0.44,0.46,81652,0
WLDS.US,D,20221230,000000,0.46,0.4915,0.43,0.436415,82360,0
WLDS.US,D,20230103,000000,0.475,0.528,0.431,0.4705,126610,0
WLDS.US,D,20230104,000000,0.48,0.515999,0.48,0.491,72315,0
WLDS.US,D,20230105,000000,0.487301,0.575,0.48,0.5091,136312,0
WLDS.US,D,20230106,000000,0.534,0.549899,0.495,0.51,84218,0
WLDS.US,D,20230109,000000,0.54,0.55,0.5015,0.515,79931,0
WLDS.US,D,20230110,000000,0.56,0.6099,0.5269,0.55755,376951,0
WLDS.US,D,20230111,000000,0.58,0.5896,0.5316,0.566,244242,0
WLDS.US,D,20230112,000000,0.574999,0.6399,0.55,0.5546,219568,0
WLDS.US,D,20230113,000000,0.56,0.62,0.56,0.58,79813,0
WLDS.US,D,20230117,000000,0.6,0.6,0.561,0.584,61881,0
WLDS.US,D,20230118,000000,0.59005,0.6189,0.497,0.497,203460,0
WLDS.US,D,20230119,000000,0.49,0.56,0.49,0.5251,92882,0
WLDS.US,D,20230120,000000,0.55,0.55,0.502501,0.5272,76023,0
WLDS.US,D,20230123,000000,0.5619,0.6005,0.54,0.54,70249,0
WLDS.US,D,20230124,000000,0.539,0.5399,0.4823,0.5104,68558,0
WLDS.US,D,20230125,000000,0.5359,0.5399,0.5055,0.5107,25746,0
WLDS.US,D,20230126,000000,0.52,0.56,0.52,0.523,31836,0
WLDS.US,D,20230127,000000,0.56,0.769,0.53,0.6634,3829193,0
WLDS.US,D,20230130,000000,0.6399,0.7333,0.6011,0.651,592148,0
WLDS.US,D,20230131,000000,0.7,0.8799,0.6701,0.79,1313874,0
WLDS.US,D,20230201,000000,0.85,0.8599,0.701,0.79,1804094,0
WLDS.US,D,20230202,000000,0.8054,0.84,0.66,0.688,530673,0
WLDS.US,D,20230203,000000,0.6674,0.6841,0.6207,0.6676,164430,0
WLDS.US,D,20230206,000000,0.6544,0.67,0.611501,0.621,246898,0
WLDS.US,D,20230207,000000,0.64,0.6504,0.5807,0.6427,217164,0
WLDS.US,D,20230208,000000,0.6427,0.643,0.6,0.6295,73505,0
WLDS.US,D,20230209,000000,1.12,1.29,0.865,0.91,63549571,0
WLDS.US,D,20230210,000000,0.83,0.96,0.8,0.9401,2112623,0
WLDS.US,D,20230213,000000,0.8908,0.98,0.84,0.9391,1284093,0
WLDS.US,D,20230214,000000,0.9,0.94,0.87,0.901,328133,0
WLDS.US,D,20230215,000000,0.92,1.02,0.87,0.951101,455259,0
WLDS.US,D,20230216,000000,0.931,0.97975,0.8901,0.9007,266956,0
WLDS.US,D,20230217,000000,0.8965,0.92,0.85,0.88,109613,0
WLDS.US,D,20230221,000000,0.92,0.92,0.7122,0.7415,256954,0
WLDS.US,D,20230222,000000,0.7325,0.7325,0.659,0.7109,118159,0
WLDS.US,D,20230223,000000,0.6896,0.7,0.65,0.674168,104799,0
WLDS.US,D,20230224,000000,0.695,0.695,0.635,0.6483,66871,0
WLDS.US,D,20230227,000000,0.6082,0.68,0.6082,0.625,69994,0
WLDS.US,D,20230228,000000,0.61,0.61,0.551,0.569,205204,0
WLDS.US,D,20230301,000000,0.56,0.7,0.56,0.64,231469,0
WLDS.US,D,20230302,000000,0.617,0.63,0.5655,0.591,115496,0
WLDS.US,D,20230303,000000,0.5901,0.618,0.55,0.5896,82762,0
WLDS.US,D,20230306,000000,0.5878,0.6279,0.5653,0.61,54863,0
WLDS.US,D,20230307,000000,0.61,0.6105,0.5728,0.6,63202,0
WLDS.US,D,20230308,000000,0.6,0.6513,0.5665,0.6449,83553,0
WLDS.US,D,20230309,000000,0.6428,0.6428,0.6,0.6,55965,0
WLDS.US,D,20230310,000000,0.5696,0.6,0.551,0.5574,71472,0
WLDS.US,D,20230313,000000,0.55,0.6,0.55,0.6,46331,0
WLDS.US,D,20230314,000000,0.6,0.63,0.5513,0.5885,46070,0
WLDS.US,D,20230315,000000,0.5702,0.5971,0.5515,0.583,48574,0
WLDS.US,D,20230316,000000,0.58,0.58,0.511,0.5598,81119,0
WLDS.US,D,20230317,000000,0.545,0.5772,0.54,0.5771,35917,0
WLDS.US,D,20230320,000000,0.5447,0.5714,0.5403,0.5405,39421,0
WLDS.US,D,20230321,000000,0.54,0.58,0.515,0.58,59468,0
WLDS.US,D,20230322,000000,0.55,0.57,0.5151,0.57,9866,0
WLDS.US,D,20230323,000000,0.555,0.57,0.513,0.57,23165,0
WLDS.US,D,20230324,000000,0.5599,0.57,0.5,0.533049,46437,0
WLDS.US,D,20230327,000000,0.575,0.5799,0.5026,0.543,39640,0
WLDS.US,D,20230328,000000,0.5262,0.545,0.5026,0.5348,9828,0
WLDS.US,D,20230329,000000,0.5318,0.5348,0.5005,0.5299,41667,0
WLDS.US,D,20230330,000000,0.51,0.520051,0.5,0.5199,45387,0
WLDS.US,D,20230331,000000,0.4935,0.5196,0.4935,0.515,19997,0
WLDS.US,D,20230403,000000,0.4951,0.519,0.4584,0.46,32070,0
WLDS.US,D,20230404,000000,0.49,0.5,0.465,0.4998,54858,0
WLDS.US,D,20230405,000000,0.499,0.51,0.47,0.49,67361,0
WLDS.US,D,20230406,000000,0.49,0.51,0.489501,0.49,39476,0
WLDS.US,D,20230410,000000,0.51,0.5998,0.499949,0.535,147975,0
WLDS.US,D,20230411,000000,0.5698,0.5795,0.535,0.54,57754,0
WLDS.US,D,20230412,000000,0.58,0.58,0.51,0.5375,34492,0
WLDS.US,D,20230413,000000,0.565,0.6373,0.5514,0.6138,416735,0
WLDS.US,D,20230414,000000,0.62,0.6532,0.57,0.64,240386,0
WLDS.US,D,20230417,000000,0.66,0.6799,0.62,0.65,72525,0
WLDS.US,D,20230418,000000,0.635,0.65,0.6025,0.6338,55954,0
