<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HTIBP.US,D,20211008,000000,25.25,25.25,25.06,25.1125,65381,0
HTIBP.US,D,20211011,000000,25.12,25.1799,24.98,25.15,28801,0
HTIBP.US,D,20211012,000000,25.1,25.28,25.08,25.27,37921,0
HTIBP.US,D,20211013,000000,25.27,25.4,25.25,25.2999,47717,0
HTIBP.US,D,20211014,000000,25.28,25.31,25.23,25.3,46612,0
HTIBP.US,D,20211015,000000,25.29,25.35,25.29,25.33,59479,0
HTIBP.US,D,20211018,000000,25.33,25.3796,25,25.379,27539,0
HTIBP.US,D,20211019,000000,25.25,25.31,25.11,25.2,25816,0
HTIBP.US,D,20211020,000000,25.4,25.4,25.25,25.27,27067,0
HTIBP.US,D,20211021,000000,25.4,25.4,25.24,25.27,17777,0
HTIBP.US,D,20211022,000000,25.25,25.25,25.15,25.15,13833,0
HTIBP.US,D,20211025,000000,25.25,25.3,25.2499,25.28,15254,0
HTIBP.US,D,20211026,000000,25.2999,25.3,25.15,25.15,25598,0
HTIBP.US,D,20211027,000000,25.2,25.25,25.14,25.2153,19481,0
HTIBP.US,D,20211028,000000,25.1601,25.2836,25.1601,25.28,8776,0
HTIBP.US,D,20211029,000000,25.28,25.3,25.1,25.1,15569,0
HTIBP.US,D,20211101,000000,25.28,25.28,25.09,25.15,10318,0
HTIBP.US,D,20211102,000000,25.2,25.2,25.04,25.07,8106,0
HTIBP.US,D,20211103,000000,25.15,25.165,25.1,25.15,26247,0
HTIBP.US,D,20211104,000000,25.3,25.3,25.07,25.21,10469,0
HTIBP.US,D,20211105,000000,25.285,25.3,25.2,25.2,10670,0
HTIBP.US,D,20211108,000000,25.2,25.3,25.15,25.3,6988,0
HTIBP.US,D,20211109,000000,25.3,25.3,25.2,25.2999,17135,0
HTIBP.US,D,20211110,000000,25.3,25.3,25.15,25.179,26199,0
HTIBP.US,D,20211111,000000,25.225,25.3,25.2,25.2,6982,0
HTIBP.US,D,20211112,000000,25.2999,25.3,25.02,25.23,14208,0
HTIBP.US,D,20211115,000000,25.27,25.3,25.15,25.185,18774,0
HTIBP.US,D,20211116,000000,25.26,25.27,25.23,25.23,4637,0
HTIBP.US,D,20211117,000000,25.2581,25.2581,25.2,25.21,2157,0
HTIBP.US,D,20211118,000000,25.2,25.25,25.1601,25.25,10741,0
HTIBP.US,D,20211119,000000,25.24,25.25,25.15,25.15,12537,0
HTIBP.US,D,20211122,000000,25.16,25.17,25.12,25.12,9736,0
HTIBP.US,D,20211123,000000,25.25,25.3,25.185,25.2,10983,0
