<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DH.US,D,20210915,000000,37.25,44.24,37,43.29,7843447,0
DH.US,D,20210916,000000,40.66,48.43,40.6,47.22,1699909,0
DH.US,D,20210917,000000,48.07,50.3,45.42,48.99,1667445,0
DH.US,D,20210920,000000,46.72,46.8,42.15,44.96,811385,0
DH.US,D,20210921,000000,45.21,45.97,42.5,43.5,1824564,0
DH.US,D,20210922,000000,43.5,45.77,42.06,44.3,498278,0
DH.US,D,20210923,000000,45,45.69,42.2628,42.95,331963,0
DH.US,D,20210924,000000,42.44,44.84,40.85,44.25,388964,0
DH.US,D,20210927,000000,43.88,46.69,43.14,46.14,218877,0
DH.US,D,20210928,000000,44.85,45.195,41.98,42.02,1059067,0
DH.US,D,20210929,000000,41.89,42.95,41.285,42.25,141813,0
DH.US,D,20210930,000000,42.66,44.81,41.51,42.83,259188,0
DH.US,D,20211001,000000,42.5,42.79,39.16,40.54,314734,0
DH.US,D,20211004,000000,39.85,41.49,39.12,40.21,181091,0
DH.US,D,20211005,000000,40,41.99,39.1,40.95,487512,0
DH.US,D,20211006,000000,40.56,42.48,39.57,41.34,167987,0
DH.US,D,20211007,000000,40.9,44.75,40.435,43.31,222346,0
DH.US,D,20211008,000000,43.08,45.69,42.35,45.31,154493,0
DH.US,D,20211011,000000,44.18,44.18,40.6,41.14,467714,0
DH.US,D,20211012,000000,41.1,42,37.55,39.1,434043,0
DH.US,D,20211013,000000,39.01,40.49,38.435,39.33,296737,0
DH.US,D,20211014,000000,39.61,40.91,39.0706,40.5,480251,0
DH.US,D,20211015,000000,40.5,42.5,40.39,42.3,287415,0
DH.US,D,20211018,000000,41.52,42.5,40.65,40.78,169226,0
DH.US,D,20211019,000000,40.73,40.73,38.9,39.04,149982,0
DH.US,D,20211020,000000,39.04,39.52,37.64,38.44,202253,0
DH.US,D,20211021,000000,38.56,40.28,38.56,39.93,49860,0
DH.US,D,20211022,000000,39.98,40.2,38.41,39.075,220672,0
DH.US,D,20211025,000000,39.29,39.98,38.55,39.43,89506,0
DH.US,D,20211026,000000,39.37,39.495,37.78,38,116251,0
DH.US,D,20211027,000000,38.06,38.16,35.04,36.05,328901,0
DH.US,D,20211028,000000,35.97,37.16,35.85,37.15,165748,0
DH.US,D,20211029,000000,36.83,40.43,36.51,40.14,188763,0
DH.US,D,20211101,000000,40.23,40.63,39.62,39.86,102850,0
DH.US,D,20211102,000000,39.9,40.53,39.18,39.35,119902,0
DH.US,D,20211103,000000,39.67,41.17,39.04,40.62,162282,0
DH.US,D,20211104,000000,40.45,42.01,40.095,40.43,149294,0
DH.US,D,20211105,000000,40.57,42.5,40.24,41.83,177775,0
DH.US,D,20211108,000000,41.75,42.2799,40.13,40.51,282275,0
DH.US,D,20211109,000000,40.61,41.355,37.9104,39.42,382545,0
DH.US,D,20211110,000000,38.53,39.895,38.53,39.4,373816,0
DH.US,D,20211111,000000,39.7,43.62,39.255,42.59,165481,0
DH.US,D,20211112,000000,42.75,43.36,41.53,41.9,180149,0
DH.US,D,20211115,000000,42.04,44.09,41.4901,43.92,161050,0
DH.US,D,20211116,000000,41.35,41.79,37.5,39.58,973005,0
DH.US,D,20211117,000000,39.76,39.76,33.7101,37.64,1080599,0
DH.US,D,20211118,000000,35.98,36,32.87,32.93,4944042,0
DH.US,D,20211119,000000,33.16,35.06,32.6,34.76,1287425,0
DH.US,D,20211122,000000,34.74,35.38,30,30.62,785537,0
DH.US,D,20211123,000000,30.15,31.82,28.73,29.29,829882,0
DH.US,D,20211124,000000,29.21,30.99,27.86,30.1,582653,0
DH.US,D,20211126,000000,29.91,30.56,29.14,29.91,163585,0
DH.US,D,20211129,000000,30.01,30.96,29.07,30.15,440821,0
DH.US,D,20211130,000000,29.9,30.45,28.135,29.31,676006,0
DH.US,D,20211201,000000,29.68,30.56,28.18,28.65,741305,0
DH.US,D,20211202,000000,28.87,29.8182,27.66,28.63,418904,0
DH.US,D,20211203,000000,28.89,29.34,27.135,28.78,616004,0
DH.US,D,20211206,000000,28.53,29.28,26.69,29.11,611277,0
DH.US,D,20211207,000000,29.61,30.87,29.61,30.3,551596,0
DH.US,D,20211208,000000,30.3,32.67,29.9,32.08,773240,0
DH.US,D,20211209,000000,31.77,33.195,31.38,32.03,757198,0
DH.US,D,20211210,000000,31.91,33.39,29.75,30.09,1162372,0
DH.US,D,20211213,000000,30.07,31.06,27.17,27.26,560333,0
DH.US,D,20211214,000000,27.16,27.6,25.25,25.53,614574,0
DH.US,D,20211215,000000,25.65,26.9,25.3875,26.7,641453,0
DH.US,D,20211216,000000,28.02,28.71,26.28,26.7,1281326,0
DH.US,D,20211217,000000,26.37,28.07,24.66,27.42,3011900,0
DH.US,D,20211220,000000,27.06,27.79,26.14,27.18,400206,0
DH.US,D,20211221,000000,27.61,28.28,27.37,28.01,275110,0
DH.US,D,20211222,000000,28.01,28.57,27.385,27.78,245114,0
DH.US,D,20211223,000000,28,28.83,27.44,28.35,181440,0
DH.US,D,20211227,000000,28.66,29.16,28.065,28.33,102299,0
DH.US,D,20211228,000000,28.17,28.7205,27.0702,27.27,124000,0
DH.US,D,20211229,000000,27.06,27.81,26.43,27.32,141121,0
DH.US,D,20211230,000000,27.37,28.54,27.255,27.84,131883,0
