<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AFRM.US,D,20210113,000000,90.9,103,90.01,97.24,25158900,0
AFRM.US,D,20210114,000000,103.5,137.98,101,114.94,20858687,0
AFRM.US,D,20210115,000000,123.054,127.24,107,117,8310663,0
AFRM.US,D,20210119,000000,117,117.675,108,110.99,3304914,0
AFRM.US,D,20210120,000000,110,112,103.25,106.21,5091417,0
AFRM.US,D,20210121,000000,107.1599,109.9,104.3,108.97,1735307,0
AFRM.US,D,20210122,000000,107.19,121,107.19,119.95,4343451,0
AFRM.US,D,20210125,000000,117.11,123.4489,108,112.7,2660045,0
AFRM.US,D,20210126,000000,113.84,114,109.51,110.08,1287386,0
AFRM.US,D,20210127,000000,105.74,108.9,100.8,105.29,2259264,0
AFRM.US,D,20210128,000000,105,106.29,97.205,99.42,2097386,0
AFRM.US,D,20210129,000000,100,104.5839,97.6,99.59,1836348,0
AFRM.US,D,20210201,000000,100,107.65,99.6236,107.61,1266007,0
AFRM.US,D,20210202,000000,110,118.8,110,113,1875593,0
AFRM.US,D,20210203,000000,115.9513,115.99,109.1,110.95,1451665,0
AFRM.US,D,20210204,000000,110.06,110.5,106.38,108.77,1695856,0
AFRM.US,D,20210205,000000,108.83,109.413,101.25,103.45,2932280,0
AFRM.US,D,20210208,000000,109.46,123.5,109,122.76,3428040,0
AFRM.US,D,20210209,000000,121.49,144.9,117.04,131,4056830,0
AFRM.US,D,20210210,000000,141.95,146.9,129,136.23,2352964,0
AFRM.US,D,20210211,000000,140,140.5,131.16,139.99,2285556,0
AFRM.US,D,20210212,000000,129.6397,131.67,123.01,125.89,4903543,0
AFRM.US,D,20210216,000000,129.3,129.3,115,119.15,5642287,0
AFRM.US,D,20210217,000000,116.63,117.5,110.8,112.53,2786719,0
AFRM.US,D,20210218,000000,109.64,109.95,104.61,105.55,3589181,0
AFRM.US,D,20210219,000000,110.29,110.75,105,105.99,2973935,0
AFRM.US,D,20210222,000000,105.01,105.72,102,104.83,2955607,0
AFRM.US,D,20210223,000000,99.26,102.35,91.1,102.01,4105234,0
AFRM.US,D,20210224,000000,99.28,103.75,98.705,102.49,1894111,0
AFRM.US,D,20210225,000000,99.93,101,90,94.195,5471956,0
AFRM.US,D,20210226,000000,92.18,97.82,91.03,93.06,2596725,0
AFRM.US,D,20210301,000000,95.5,96.35,90.81,91.44,2922364,0
AFRM.US,D,20210302,000000,92.7,98.19,91,91.8,3733471,0
AFRM.US,D,20210303,000000,91.65,92.38,83.93,86.31,6083902,0
AFRM.US,D,20210304,000000,85,85.45,77.1,84.46,5611140,0
AFRM.US,D,20210305,000000,82.825,83.04,70.05,81.14,5385269,0
AFRM.US,D,20210308,000000,80.0841,80.25,72.95,74.31,3771904,0
AFRM.US,D,20210309,000000,77.25,81.18,75.78,79.66,3712837,0
AFRM.US,D,20210310,000000,82.705,85.19,78.3,80.76,2130933,0
AFRM.US,D,20210311,000000,82.36,83.5,80.25,81.25,2228912,0
AFRM.US,D,20210312,000000,78,80.075,76.01,79.57,2276793,0
AFRM.US,D,20210315,000000,80,82.78,79.0001,81.35,1886730,0
AFRM.US,D,20210316,000000,82.22,84.2,79.5,80.8,1609330,0
AFRM.US,D,20210317,000000,78.99,81.34,76.77,81.09,1424660,0
AFRM.US,D,20210318,000000,79.87,80.47,73.1,74.39,4233832,0
AFRM.US,D,20210319,000000,74.1591,78.51,71.51,77.37,3185248,0
AFRM.US,D,20210322,000000,77.81,83.46,77.81,81.99,2158026,0
AFRM.US,D,20210323,000000,81.22,81.75,78.2,78.87,963814,0
AFRM.US,D,20210324,000000,79.48,79.8,72.52,72.63,1554964,0
AFRM.US,D,20210325,000000,70.62,71.3,67.72,69.56,2244422,0
AFRM.US,D,20210326,000000,70,72.37,67.02,69.72,1474147,0
AFRM.US,D,20210329,000000,69.72,73.92,68.67,69.99,1984354,0
AFRM.US,D,20210330,000000,69.687,69.7414,65.77,66.39,2254727,0
AFRM.US,D,20210331,000000,67.7135,71.2,65.65,70.72,2295961,0
AFRM.US,D,20210401,000000,73,74.97,70.37,71.45,1660959,0
AFRM.US,D,20210405,000000,71.74,72.4079,68.4,69.39,1154770,0
AFRM.US,D,20210406,000000,70.37,73.5,69.7,73,1909061,0
AFRM.US,D,20210407,000000,72.731,72.731,69.75,71.5,1264480,0
AFRM.US,D,20210408,000000,72.77,72.9,68.97,69.81,1091174,0
AFRM.US,D,20210409,000000,69.43,71.2,68.38,70.71,1070750,0
AFRM.US,D,20210412,000000,71.43,71.47,66.73,67.93,1890903,0
AFRM.US,D,20210413,000000,67.99,70.1799,65.31,70.11,2493434,0
AFRM.US,D,20210414,000000,70.18,72.2,68.63,68.73,1540554,0
AFRM.US,D,20210415,000000,70.35,70.59,67.48,68.67,1222597,0
AFRM.US,D,20210416,000000,70,70.14,67.18,69.72,1315317,0
AFRM.US,D,20210419,000000,68.5,69.56,65.16,66.02,1948254,0
AFRM.US,D,20210420,000000,65.41,67.1899,63.0236,65,1855187,0
AFRM.US,D,20210421,000000,64.47,67.64,63.79,67.55,1160386,0
AFRM.US,D,20210422,000000,67.73,70.37,67.1,68.62,1309765,0
AFRM.US,D,20210423,000000,68.65,74.6,68.65,74.12,2681627,0
AFRM.US,D,20210426,000000,74.5,78.76,73.7,77.97,2272911,0
AFRM.US,D,20210427,000000,78.19,78.35,74.72,76.37,959068,0
AFRM.US,D,20210428,000000,75.31,77.7078,75.31,77.21,1145135,0
AFRM.US,D,20210429,000000,78.89,79.3,72.8,74.02,1886821,0
AFRM.US,D,20210430,000000,72.63,74.295,70.23,70.5,1764870,0
AFRM.US,D,20210503,000000,71.7,71.75,66.31,66.78,1533978,0
AFRM.US,D,20210504,000000,65.77,66,60.13,62.17,4054431,0
AFRM.US,D,20210505,000000,62.86,63.7,55.85,57.6,4970437,0
AFRM.US,D,20210506,000000,57.82,57.9098,52.48,54.44,3874799,0
AFRM.US,D,20210507,000000,57.04,58.7018,53.78,54,3332294,0
AFRM.US,D,20210510,000000,52.65,57.67,52.13,57,5777308,0
AFRM.US,D,20210511,000000,49.88,55.9,46.5,55.45,7339251,0
AFRM.US,D,20210512,000000,54.4444,54.55,48.63,49.82,5248209,0
AFRM.US,D,20210513,000000,50.02,50.75,47.12,48.37,4045961,0
AFRM.US,D,20210514,000000,49.38,54.61,49.06,54,3886591,0
AFRM.US,D,20210517,000000,52.57,52.81,50.01,50.6,3853933,0
AFRM.US,D,20210518,000000,50.86,53.27,50.23,51.64,2006633,0
AFRM.US,D,20210519,000000,48.69,50.98,48.67,50.45,2545103,0
