<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FCUV.US,D,20210831,000000,4,4.62,3.07333,3.4,2148511.5,0
FCUV.US,D,20210901,000000,4.14667,16.32,3.8,12.8533,61098601.5,0
FCUV.US,D,20210902,000000,14.28,16.8333,11.0267,11.94,57963355.5,0
FCUV.US,D,20210903,000000,11.5072,11.866,8.66,9.30667,8590119,0
FCUV.US,D,20210907,000000,9.04667,11.6267,8.97933,9.77333,5726376,0
FCUV.US,D,20210908,000000,9.72667,10.9267,9.00667,9.95333,2925942,0
FCUV.US,D,20210909,000000,9.95333,10.8533,9.58673,9.87333,2142889.5,0
FCUV.US,D,20210910,000000,10,10.5,9.05333,9.66,1152633,0
FCUV.US,D,20210913,000000,9.47333,9.58667,8.69333,8.80667,451726.5,0
FCUV.US,D,20210914,000000,8.8,8.96667,6.56667,6.6,755323.5,0
FCUV.US,D,20210915,000000,6.84,8.56,6.53333,7.46667,4508658,0
FCUV.US,D,20210916,000000,7.14667,9.54667,7.13667,8.5,1516440,0
FCUV.US,D,20210917,000000,8.49333,8.8,7.9,8.58667,678535.5,0
FCUV.US,D,20210920,000000,8.01333,8.28887,7.46667,7.71333,350401.5,0
FCUV.US,D,20210921,000000,8.03333,8.16667,7.26667,7.27333,469201.5,0
FCUV.US,D,20210922,000000,7.36,7.83327,7.14667,7.26667,258901.5,0
FCUV.US,D,20210923,000000,7.16667,7.49927,7.02,7.15333,252361.5,0
FCUV.US,D,20210924,000000,7.60667,8.65333,7.34667,7.54,3113695.5,0
FCUV.US,D,20210927,000000,7.36,7.5,6.80667,7.04,641110.5,0
FCUV.US,D,20210928,000000,7.04,7.2914,6.74667,7.1,557404.5,0
FCUV.US,D,20210929,000000,6.84,6.93333,6,6.03333,620602.5,0
FCUV.US,D,20210930,000000,6.13333,6.26,5.58,5.77333,542355,0
FCUV.US,D,20211001,000000,5.77333,5.77333,5.02,5.16667,769239,0
FCUV.US,D,20211004,000000,5.26,6.45333,5.16667,5.65333,3608548.5,0
FCUV.US,D,20211005,000000,5.67333,5.86667,5.22667,5.49333,992310,0
FCUV.US,D,20211006,000000,5.27333,5.50667,5.12,5.26667,496941,0
FCUV.US,D,20211007,000000,5.35333,5.43333,5.17333,5.25333,286012.5,0
FCUV.US,D,20211008,000000,5.31333,5.56,4.90693,5.00667,363580.5,0
FCUV.US,D,20211011,000000,4.92,5.56,4.88667,5.21333,333934.5,0
FCUV.US,D,20211012,000000,5.16667,6.12667,5.00267,5.47333,1352847,0
FCUV.US,D,20211013,000000,5.56667,6.56667,5.50667,5.89333,1921416,0
FCUV.US,D,20211014,000000,5.77333,6.99333,5.4,5.9,1786668,0
FCUV.US,D,20211015,000000,5.74667,5.90667,5.48693,5.6,247555.5,0
FCUV.US,D,20211018,000000,5.48667,5.66667,5.34667,5.46,250509,0
FCUV.US,D,20211019,000000,5.46667,5.57333,5.35333,5.4,102225,0
FCUV.US,D,20211020,000000,5.46667,5.68,5.33333,5.36667,301714.5,0
FCUV.US,D,20211021,000000,5.39333,5.51773,5.34667,5.43333,154708.5,0
FCUV.US,D,20211022,000000,5.36667,5.3866,5.08667,5.24,326319,0
FCUV.US,D,20211025,000000,5.12667,5.26,5.06667,5.13333,99825,0
FCUV.US,D,20211026,000000,5.12,5.21687,5.08667,5.18,224544,0
FCUV.US,D,20211027,000000,5.18,5.22,5.06667,5.13333,112696.5,0
FCUV.US,D,20211028,000000,5.11333,5.14,5.03333,5.07333,47092.5,0
FCUV.US,D,20211029,000000,5.06667,5.13333,4.93333,5.02,108090,0
FCUV.US,D,20211101,000000,5.02,5.2688,5.01333,5.24,153714,0
FCUV.US,D,20211102,000000,5.18,5.22667,5.0534,5.19333,86010,0
FCUV.US,D,20211103,000000,5.1,5.24,5.08,5.18,39768,0
FCUV.US,D,20211104,000000,5.2,5.4,5.14,5.28,196980,0
FCUV.US,D,20211105,000000,5.3,5.3,5.14667,5.17333,49140,0
FCUV.US,D,20211108,000000,5.15333,5.30667,5.14667,5.25333,84355.5,0
FCUV.US,D,20211109,000000,5.2,5.66667,5.16,5.52667,443877,0
FCUV.US,D,20211110,000000,5.36,5.56,5.25333,5.54,83322,0
FCUV.US,D,20211111,000000,5.48,6.9866,5.4256,6.09333,2182147.5,0
FCUV.US,D,20211112,000000,6.08,6.2,5.52,5.88667,450457.5,0
FCUV.US,D,20211115,000000,5.76667,6.11667,5.27333,5.33333,193732.5,0
FCUV.US,D,20211116,000000,5.34,5.95993,5.25333,5.87333,304641,0
FCUV.US,D,20211117,000000,5.87333,6.51333,5.64667,5.94,1094308.5,0
FCUV.US,D,20211118,000000,5.90667,6.24,5.78,5.96667,493807.5,0
FCUV.US,D,20211119,000000,5.96667,6.64,5.95333,6.55333,779787,0
FCUV.US,D,20211122,000000,6.65333,7.56667,6.43333,7.09333,1352989.5,0
FCUV.US,D,20211123,000000,6.83333,7.19333,6.03333,6.05333,318291,0
FCUV.US,D,20211124,000000,6,6.36393,6,6.12667,110784,0
FCUV.US,D,20211126,000000,6,6.56667,5.866,6.54667,50829,0
FCUV.US,D,20211129,000000,6.54,7.22,6.41333,7.19333,219580.5,0
FCUV.US,D,20211130,000000,7.08,7.75333,6.84,7.74667,205375.5,0
FCUV.US,D,20211201,000000,7.71333,8.26,7.57333,8.16667,365823,0
FCUV.US,D,20211202,000000,8.06667,8.06667,7.55153,7.97333,155353.5,0
FCUV.US,D,20211203,000000,7.97333,8.97593,7.59333,8.06,382816.5,0
FCUV.US,D,20211206,000000,7.67547,9.16667,7.64,8.96667,413578.5,0
FCUV.US,D,20211207,000000,8.84667,9.10667,8.60007,8.90667,164745,0
FCUV.US,D,20211208,000000,9,9.53333,8.95333,9.18667,344007,0
FCUV.US,D,20211209,000000,9.3,9.65333,9.18,9.57333,190870.5,0
FCUV.US,D,20211210,000000,9.59333,10.3467,9.59333,10.0067,362422.5,0
FCUV.US,D,20211213,000000,10.16,10.3267,8.00667,8.01333,335878.5,0
FCUV.US,D,20211214,000000,7.93333,9.29333,7.85333,8.68,438585,0
FCUV.US,D,20211215,000000,8.41333,9.17667,8.33333,9.16,424909.5,0
FCUV.US,D,20211216,000000,9.02,9.33333,8.5,8.69333,401932.5,0
FCUV.US,D,20211217,000000,8.52,9.05333,7.87333,7.99333,1576692,0
FCUV.US,D,20211220,000000,7.62667,7.98,7.01333,7.06,346731,0
FCUV.US,D,20211221,000000,7.12,7.48667,7.12,7.34,233262,0
FCUV.US,D,20211222,000000,7.08667,7.26667,6.71333,6.77333,110376,0
FCUV.US,D,20211223,000000,6.8,7.28667,6.68667,6.72667,83704.5,0
FCUV.US,D,20211227,000000,6.71333,7.24667,6.71333,7.24,99879,0
FCUV.US,D,20211228,000000,7.13333,7.13333,6.68667,6.74,84433.5,0
FCUV.US,D,20211229,000000,6.66667,6.73327,6.23333,6.33333,104173.5,0
FCUV.US,D,20211230,000000,6.24667,6.73333,6.24667,6.25333,68185.5,0
FCUV.US,D,20211231,000000,6.22667,6.36,5.90667,5.90667,70767,0
FCUV.US,D,20220103,000000,5.88667,6.28667,5.88667,6.14667,39463.5,0
FCUV.US,D,20220104,000000,6.1,6.15,5.8,5.86667,59913,0
FCUV.US,D,20220105,000000,5.72667,6,5.68,5.92,31831.5,0
FCUV.US,D,20220106,000000,5.94,6.35687,5.80667,6.00667,38059.5,0
FCUV.US,D,20220107,000000,5.99333,6.02,5.7,5.86667,64654.5,0
FCUV.US,D,20220110,000000,5.94333,5.94333,5.2,5.27333,91428,0
FCUV.US,D,20220111,000000,5.26667,5.88667,5.26,5.78667,81373.5,0
