<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BNOX.US,D,20211216,000000,22,22,12.735,14.73,180310,0
BNOX.US,D,20211217,000000,13,14.5,12.35,13,67845,0
BNOX.US,D,20211220,000000,13,13,12.25,12.85,17594,0
BNOX.US,D,20211221,000000,12.85,13.7,12.5205,12.75,26015,0
BNOX.US,D,20211222,000000,12.54,13.3,12.34,12.4,65019,0
BNOX.US,D,20211223,000000,12.51,12.76,12.35,12.35,9443,0
BNOX.US,D,20211227,000000,12.84,12.84,12.05,12.54,39928,0
BNOX.US,D,20211228,000000,12.7499,12.7499,12.29,12.561,6407,0
BNOX.US,D,20211229,000000,12.6,12.65,12.35,12.38,5157,0
BNOX.US,D,20211230,000000,12.99,13,12.507,12.507,1311,0
BNOX.US,D,20211231,000000,12.74,12.74,12.35,12.55,7849,0
BNOX.US,D,20220103,000000,12.55,12.55,12.36,12.502,9599,0
BNOX.US,D,20220104,000000,12.55,12.62,10.72,11.76,9007,0
BNOX.US,D,20220105,000000,11.879,11.89,10.8501,11.77,2347,0
BNOX.US,D,20220106,000000,11.52,11.52,11.52,11.52,738,0
BNOX.US,D,20220107,000000,10.53,12.55,10.53,11.55,11105,0
BNOX.US,D,20220110,000000,12.36,12.4999,11.7253,11.7253,7719,0
BNOX.US,D,20220111,000000,11.94,12.54,11.93,12.51,4730,0
BNOX.US,D,20220112,000000,13.76,13.76,12.4127,12.55,7734,0
BNOX.US,D,20220113,000000,13.5,13.5,12.05,12.4,4845,0
BNOX.US,D,20220114,000000,12.42,12.585,12.42,12.42,10396,0
BNOX.US,D,20220118,000000,12.9,12.9,12.6559,12.66,5437,0
BNOX.US,D,20220119,000000,12.7,12.86,11.75,12.49,6686,0
BNOX.US,D,20220120,000000,12.785,12.785,11.95,12.01,7208,0
BNOX.US,D,20220121,000000,12.92,12.96,12.09,12.42,3062,0
BNOX.US,D,20220124,000000,12.42,12.533,11.51,11.8035,15660,0
BNOX.US,D,20220125,000000,11.68,12.97,11.67,12.97,9542,0
BNOX.US,D,20220126,000000,12.97,12.97,11.88,11.88,1120,0
BNOX.US,D,20220127,000000,11.04,11.5,10.12,10.7,3186,0
BNOX.US,D,20220128,000000,10.85,11.3899,10.85,10.85,2851,0
BNOX.US,D,20220131,000000,11.23,11.65,11.2,11.2286,4339,0
BNOX.US,D,20220201,000000,11.3005,11.35,10.65,11.35,1329,0
BNOX.US,D,20220202,000000,11.7,11.7,10.28,11.34,12871,0
BNOX.US,D,20220203,000000,10.75,12.37,10.635,12,18117,0
BNOX.US,D,20220204,000000,12.99,12.99,11.69,11.69,4933,0
BNOX.US,D,20220208,000000,11.75,12.49,11.7,12.49,8760,0
BNOX.US,D,20220209,000000,12.5,12.5,12.5,12.5,392,0
BNOX.US,D,20220210,000000,11.365,12.45,11.365,11.93,10025,0
BNOX.US,D,20220211,000000,11.5,11.5838,10.93,10.93,7056,0
BNOX.US,D,20220214,000000,11,11,10.7,10.7,1968,0
BNOX.US,D,20220215,000000,10.5,11.65,10,10.52,13780,0
BNOX.US,D,20220216,000000,10.3,10.3,10.15,10.2,4680,0
BNOX.US,D,20220217,000000,10,10.63,10,10.3,4347,0
BNOX.US,D,20220218,000000,10.4,10.4,10.3,10.3,2022,0
BNOX.US,D,20220222,000000,10.26,10.375,10,10,7712,0
BNOX.US,D,20220223,000000,9,10.29,8.89,10,5802,0
BNOX.US,D,20220225,000000,9.7,9.7,9.7,9.7,676,0
BNOX.US,D,20220228,000000,9.98,10.2,9.34,10.2,3037,0
BNOX.US,D,20220303,000000,10.03,10.7501,10.03,10.75,1879,0
