<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BANL.US,D,20230323,000000,4.21,4.54,4.17,4.42,1346500,0
BANL.US,D,20230324,000000,4.52,4.55,4.3804,4.41,136602,0
BANL.US,D,20230327,000000,4.55,7,4.51,6.13,834010,0
BANL.US,D,20230328,000000,6.35,8.5,6.21,6.81,903773,0
BANL.US,D,20230329,000000,7.35,10,7.35,9.21,2397162,0
BANL.US,D,20230330,000000,8.6,10.99,8.25,10,836070,0
BANL.US,D,20230331,000000,10.39,10.5,9.5,9.5,375413,0
BANL.US,D,20230403,000000,8.6,8.99,8.09,8.81,205933,0
BANL.US,D,20230404,000000,8.9,8.99,8.1,8.17,178365,0
BANL.US,D,20230405,000000,8.06,10.49,8.03,9.83,132876,0
BANL.US,D,20230406,000000,9.4,12,9.4,11.76,389222,0
BANL.US,D,20230410,000000,12.38,14.77,12.15,14.35,241279,0
BANL.US,D,20230411,000000,14.7,14.7,12.0801,12.81,110881,0
BANL.US,D,20230412,000000,12.91,14.334,12.91,13.87,77463,0
BANL.US,D,20230413,000000,14.79,18.9224,14.0485,18.35,380962,0
BANL.US,D,20230414,000000,18.01,20.9407,17.42,19.95,305372,0
BANL.US,D,20230417,000000,18.61,19.2,16.2,18,121401,0
BANL.US,D,20230418,000000,17.28,17.765,13.5501,14.2,119735,0
BANL.US,D,20230419,000000,14.14,15.44,14.04,14.47,71158,0
BANL.US,D,20230420,000000,14.36,14.99,11.3,12.92,1022854,0
BANL.US,D,20230421,000000,12.92,19.99,12.92,17.41,257918,0
BANL.US,D,20230424,000000,17.32,21.53,17.15,19.89,277473,0
BANL.US,D,20230425,000000,18.34,19.02,16.71,17.11,88161,0
BANL.US,D,20230426,000000,16.51,17.81,16.06,17,21920,0
BANL.US,D,20230427,000000,16.28,16.9892,15.16,16.8112,106035,0
BANL.US,D,20230428,000000,15.5042,16.51,14.21,14.65,93874,0
BANL.US,D,20230501,000000,14,14.04,3.2501,4.06,4527074,0
BANL.US,D,20230502,000000,3.54,3.88,2.3,3.19,1037125,0
BANL.US,D,20230503,000000,3.01,3.4,2.74,3.05,589894,0
BANL.US,D,20230504,000000,2.96,3.12,2.41,2.69,519602,0
BANL.US,D,20230505,000000,2.6,3.14,2.6,2.97,618359,0
BANL.US,D,20230508,000000,3.02,3.35,3,3.03,317583,0
BANL.US,D,20230509,000000,3.05,3.2,2.7,2.76,235658,0
BANL.US,D,20230510,000000,2.89,2.95,2.7,2.77,92286,0
BANL.US,D,20230511,000000,2.73,2.8797,2.6,2.6,169642,0
BANL.US,D,20230512,000000,2.6001,2.9,2.54,2.83,304845,0
BANL.US,D,20230515,000000,2.99,2.9972,2.43,2.61,182055,0
BANL.US,D,20230516,000000,2.55,2.59,2.32,2.41,127830,0
BANL.US,D,20230517,000000,2.44,2.48,2.3201,2.41,43359,0
BANL.US,D,20230518,000000,2.42,2.85,2.38,2.73,844673,0
BANL.US,D,20230519,000000,2.81,3.44,2.76,3.12,562514,0
BANL.US,D,20230522,000000,2.95,3.37,2.85,3.05,276915,0
BANL.US,D,20230523,000000,3.04,3.23,2.77,2.9,176866,0
BANL.US,D,20230524,000000,2.98,3.07,2.9161,2.99,104447,0
BANL.US,D,20230525,000000,2.92,2.98,2.7702,2.89,73402,0
BANL.US,D,20230526,000000,2.96,2.96,2.6,2.7101,95521,0
BANL.US,D,20230530,000000,2.7,2.89,2.6481,2.79,26998,0
BANL.US,D,20230531,000000,2.77,3.03,2.725,2.95,51354,0
BANL.US,D,20230601,000000,2.88,2.96,2.71,2.72,21266,0
BANL.US,D,20230602,000000,2.74,2.818,2.7,2.71,15309,0
BANL.US,D,20230605,000000,2.89,2.89,2.725,2.775,434865,0
BANL.US,D,20230606,000000,2.7,2.88,2.56,2.88,119371,0
BANL.US,D,20230607,000000,2.79,2.87,2.7465,2.75,34296,0
BANL.US,D,20230608,000000,2.67,2.78,2.6,2.61,24725,0
BANL.US,D,20230609,000000,2.67,2.8299,2.67,2.73,107255,0
BANL.US,D,20230612,000000,2.8,2.8489,2.71,2.72,111822,0
BANL.US,D,20230613,000000,2.8058,2.9199,2.7361,2.91,117857,0
BANL.US,D,20230614,000000,2.82,2.8807,2.68,2.68,67976,0
BANL.US,D,20230615,000000,2.65,2.8,2.65,2.8,48621,0
BANL.US,D,20230616,000000,2.8,2.9,2.785,2.9,41088,0
BANL.US,D,20230620,000000,2.83,3,2.81,2.97,390559,0
BANL.US,D,20230621,000000,2.98,3.115,2.9,3.09,283646,0
BANL.US,D,20230622,000000,2.98,3.098,2.92,2.99,75623,0
BANL.US,D,20230623,000000,2.9,3.0994,2.9,3.08,88633,0
BANL.US,D,20230626,000000,3.07,3.18,3,3.05,73741,0
BANL.US,D,20230627,000000,3.01,3.5458,3.01,3.14,312923,0
BANL.US,D,20230628,000000,3.05,3.3692,3.03,3.06,106453,0
BANL.US,D,20230629,000000,3.1,3.2,3.07,3.15,41739,0
BANL.US,D,20230630,000000,3.17,3.1885,3.12,3.14,17054,0
BANL.US,D,20230703,000000,3.18,3.46,3.18,3.46,259963,0
BANL.US,D,20230705,000000,3.43,3.82,3.22,3.28,578228,0
BANL.US,D,20230706,000000,3.28,3.69,3.28,3.69,82565,0
BANL.US,D,20230707,000000,3.72,3.9129,3.67,3.8,56168,0
BANL.US,D,20230710,000000,4.22,4.52,3.72,4.44,898583,0
BANL.US,D,20230711,000000,4.58,4.99,4.3003,4.99,204380,0
BANL.US,D,20230712,000000,4.9,5.49,2.4,2.8,7580528,0
BANL.US,D,20230713,000000,2.73,2.73,2.4,2.45,826388,0
BANL.US,D,20230714,000000,2.44,2.48,1.95,2.21,1511408,0
BANL.US,D,20230717,000000,2.16,2.16,1.99,2.09,615125,0
BANL.US,D,20230718,000000,2.05,2.24,1.98,2.14,580794,0
BANL.US,D,20230719,000000,2.1,2.23,2.02,2.13,278171,0
BANL.US,D,20230720,000000,2.07,2.1379,2.02,2.06,165066,0
BANL.US,D,20230721,000000,2.06,2.09,1.99,2.01,124893,0
BANL.US,D,20230724,000000,2,2.0249,1.95,1.97,189443,0
BANL.US,D,20230725,000000,1.99,1.99,1.64,1.74,316575,0
BANL.US,D,20230726,000000,1.74,1.74,1.62,1.62,150574,0
BANL.US,D,20230727,000000,1.68,1.69,1.45,1.46,264279,0
BANL.US,D,20230728,000000,1.54,1.63,1.4999,1.58,114466,0
BANL.US,D,20230731,000000,1.6,1.78,1.6,1.73,174919,0
BANL.US,D,20230801,000000,1.74,2.15,1.6613,1.72,797434,0
