<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GDHG.US,D,20230412,000000,4,4.58,3.6,4.01,899200,0
GDHG.US,D,20230413,000000,3.64,4.14,3.24,4.01,1285371,0
GDHG.US,D,20230414,000000,3.97,4.01,3.41,4,114220,0
GDHG.US,D,20230417,000000,3.81,4.01,3.65,3.99,66538,0
GDHG.US,D,20230418,000000,3.85,4,3.8,3.99,53404,0
GDHG.US,D,20230419,000000,3.82,3.98,3.82,3.97,12561,0
GDHG.US,D,20230420,000000,3.99,4.02,3.42,3.85,86601,0
GDHG.US,D,20230421,000000,3.935,4,3.4773,3.84,49006,0
GDHG.US,D,20230424,000000,3.8001,3.84,3.709,3.709,3492,0
GDHG.US,D,20230425,000000,3.76,3.85,3.65,3.71,3372,0
GDHG.US,D,20230426,000000,3.68,3.98,3.24,3.78,67426,0
GDHG.US,D,20230427,000000,3.66,3.9,3.62,3.78,24758,0
GDHG.US,D,20230428,000000,4,5.04,3.76,4.09,152602,0
GDHG.US,D,20230501,000000,4.1,4.4,3.81,4.22,132883,0
GDHG.US,D,20230502,000000,4.04,4.15,3.33,3.87,137467,0
GDHG.US,D,20230503,000000,4.08,4.12,3.7,3.95,24404,0
GDHG.US,D,20230504,000000,3.8,4.1,3.8,3.9501,99542,0
GDHG.US,D,20230505,000000,3.73,4,3.6,3.83,22982,0
GDHG.US,D,20230508,000000,3.75,3.95,3.75,3.9398,4622,0
GDHG.US,D,20230509,000000,4.06,4.49,4.045,4.21,135633,0
GDHG.US,D,20230510,000000,4.35,4.37,3.7351,4.24,606782,0
GDHG.US,D,20230511,000000,4.03,4.4548,4.03,4.23,245725,0
GDHG.US,D,20230512,000000,4.25,5.23,4.08,4.2,274808,0
GDHG.US,D,20230515,000000,4.14,4.49,4.09,4.22,323033,0
GDHG.US,D,20230516,000000,4.3,4.9399,4.3,4.41,250377,0
GDHG.US,D,20230517,000000,4.266,4.73,4.23,4.3,25458,0
GDHG.US,D,20230518,000000,4.262,4.63,4.2,4.39,127165,0
GDHG.US,D,20230519,000000,4.4501,4.7497,4.21,4.28,211116,0
GDHG.US,D,20230522,000000,4.31,4.398,4.225,4.26,120707,0
GDHG.US,D,20230523,000000,4.28,4.45,4.25,4.25,233834,0
GDHG.US,D,20230524,000000,4.32,4.58,4.29,4.35,164587,0
GDHG.US,D,20230525,000000,4.3943,4.5897,4.3943,4.42,82736,0
GDHG.US,D,20230526,000000,4.6,4.64,4.36,4.36,56356,0
GDHG.US,D,20230530,000000,4.45,4.75,4.39,4.39,178053,0
GDHG.US,D,20230531,000000,4.36,4.565,3.8,4.05,128572,0
GDHG.US,D,20230601,000000,4.09,4.49,4.09,4.13,22573,0
GDHG.US,D,20230602,000000,4.28,4.28,4.06,4.17,3957,0
GDHG.US,D,20230605,000000,4.2,4.248,4,4.04,8859,0
GDHG.US,D,20230606,000000,4.2,4.38,4.19,4.28,53870,0
GDHG.US,D,20230607,000000,4.2527,4.33,4.2071,4.22,17658,0
GDHG.US,D,20230608,000000,4.16,4.45,4.16,4.42,43212,0
GDHG.US,D,20230609,000000,4.32,4.4,4.25,4.3,15647,0
GDHG.US,D,20230612,000000,4.24,4.85,4.22,4.66,123652,0
GDHG.US,D,20230613,000000,4.68,5.0246,4.68,4.79,36384,0
GDHG.US,D,20230614,000000,4.77,4.9,4.23,4.35,76015,0
GDHG.US,D,20230615,000000,4.3,4.69,4.1894,4.33,6995,0
GDHG.US,D,20230616,000000,4.4,4.69,4.4,4.47,38484,0
GDHG.US,D,20230620,000000,4.47,4.538,4.152,4.35,11711,0
GDHG.US,D,20230621,000000,4.19,4.19,4.022,4.15,2263,0
GDHG.US,D,20230622,000000,4.2,4.25,4.03,4.04,9264,0
GDHG.US,D,20230623,000000,4.27,4.69,4.21,4.46,52872,0
GDHG.US,D,20230626,000000,4.5027,4.51,4.502,4.51,1000,0
