<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZENV.US,D,20210722,000000,10.35,11.2,9.49,10.2,5429339,0
ZENV.US,D,20210723,000000,10.16,10.6,10.16,10.2,906983,0
ZENV.US,D,20210726,000000,10.2,10.94,10.2,10.63,1095592,0
ZENV.US,D,20210727,000000,10.57,10.83,10.1,10.1,1702538,0
ZENV.US,D,20210728,000000,10.1,10.47,10.01,10.47,254076,0
ZENV.US,D,20210729,000000,10.26,11.07,10.26,11,271469,0
ZENV.US,D,20210730,000000,10.92,11.15,10.77,11.14,162845,0
ZENV.US,D,20210802,000000,11.14,11.8999,11.14,11.6,217969,0
ZENV.US,D,20210803,000000,11.55,11.89,11.2707,11.63,144807,0
ZENV.US,D,20210804,000000,11.52,11.87,11.2635,11.65,121552,0
ZENV.US,D,20210805,000000,11.6,11.88,11.37,11.38,226416,0
ZENV.US,D,20210806,000000,11.3,11.62,10.7075,11.36,210825,0
ZENV.US,D,20210809,000000,11.37,11.7,11.17,11.2,135288,0
ZENV.US,D,20210810,000000,11.31,11.535,11.07,11.37,143082,0
ZENV.US,D,20210811,000000,11.03,11.52,11.02,11.4,120767,0
ZENV.US,D,20210812,000000,11.26,11.48,11.11,11.4,283054,0
ZENV.US,D,20210813,000000,11.49,11.49,11.0401,11.39,98652,0
ZENV.US,D,20210816,000000,11.77,12.77,11.6,12.49,720109,0
ZENV.US,D,20210817,000000,12.26,13.08,12.12,12.36,394914,0
ZENV.US,D,20210818,000000,12.29,12.69,12.08,12.27,152828,0
ZENV.US,D,20210819,000000,12.19,13.4,12.19,12.99,600649,0
ZENV.US,D,20210820,000000,13.15,14.1399,13.15,13.84,552886,0
ZENV.US,D,20210823,000000,13.94,15.87,13.94,15.74,508203,0
ZENV.US,D,20210824,000000,15.82,16.69,15.24,16.35,316615,0
ZENV.US,D,20210825,000000,16.27,18.36,15.6073,17.12,442529,0
ZENV.US,D,20210826,000000,17.29,17.36,15.84,16.72,219980,0
ZENV.US,D,20210827,000000,16.99,19.87,16.3325,17.85,365895,0
ZENV.US,D,20210830,000000,18.07,19.53,17.99,19,353629,0
ZENV.US,D,20210831,000000,19.17,20.015,18.39,18.98,309770,0
ZENV.US,D,20210901,000000,19.1,19.54,17.52,17.99,293568,0
ZENV.US,D,20210902,000000,17.7262,18.98,17.27,17.86,188844,0
ZENV.US,D,20210903,000000,18.01,19,18.01,18.48,129069,0
ZENV.US,D,20210907,000000,18.73,18.98,16.371,17.64,278085,0
ZENV.US,D,20210908,000000,17.59,17.59,16.23,16.68,176278,0
ZENV.US,D,20210909,000000,16.58,17.23,16.21,16.5,182005,0
ZENV.US,D,20210910,000000,16.62,17.5,16.5238,17.31,265584,0
ZENV.US,D,20210913,000000,17.36,17.49,15.6717,16.34,278040,0
ZENV.US,D,20210914,000000,16.4699,16.4699,15.5101,15.96,138517,0
ZENV.US,D,20210915,000000,15.81,17.34,15.26,17.11,181671,0
ZENV.US,D,20210916,000000,16.95,17.48,16.755,17.2,99275,0
ZENV.US,D,20210917,000000,17.24,17.38,16.06,16.1,195086,0
ZENV.US,D,20210920,000000,15.37,16.13,15.08,16.01,167857,0
ZENV.US,D,20210921,000000,16.03,16.4699,15.77,16.2,167371,0
ZENV.US,D,20210922,000000,16.49,17.4499,15.94,16.34,164433,0
ZENV.US,D,20210923,000000,16.46,17.4,15.63,16.05,152948,0
ZENV.US,D,20210924,000000,16,16.34,14.25,15.16,234569,0
ZENV.US,D,20210927,000000,15,15.53,14.01,14.36,229593,0
ZENV.US,D,20210928,000000,14.07,15.63,13.68,15.43,314523,0
ZENV.US,D,20210929,000000,15.49,15.49,14,14.2,296611,0
ZENV.US,D,20210930,000000,14.22,14.5,13.11,13.75,154031,0
ZENV.US,D,20211001,000000,14.02,14.49,13.72,14.09,85093,0
ZENV.US,D,20211004,000000,13.88,14.3,13.6082,14.3,65719,0
ZENV.US,D,20211005,000000,14.45,15,14.25,14.76,169684,0
ZENV.US,D,20211006,000000,14.75,15.14,13.16,13.71,193224,0
ZENV.US,D,20211007,000000,13.8,14.43,13.8,14.24,189812,0
ZENV.US,D,20211008,000000,14.21,14.7399,14.04,14.48,130121,0
ZENV.US,D,20211011,000000,14.32,14.52,13.85,13.97,118632,0
ZENV.US,D,20211012,000000,14.17,14.6552,14.01,14.44,66403,0
ZENV.US,D,20211013,000000,14.51,14.73,13.5,13.75,57842,0
ZENV.US,D,20211014,000000,14.04,14.14,13,13.33,91619,0
ZENV.US,D,20211015,000000,13.4,13.7,13.33,13.64,44793,0
ZENV.US,D,20211018,000000,13.52,14,13.35,13.94,88751,0
ZENV.US,D,20211019,000000,14.14,14.49,13.802,13.96,78638,0
ZENV.US,D,20211020,000000,14.07,14.5,13.761,13.85,34843,0
ZENV.US,D,20211021,000000,13.75,14.04,12.92,12.95,75028,0
ZENV.US,D,20211022,000000,13,13.0362,11.52,11.9,179534,0
ZENV.US,D,20211025,000000,12.03,12.67,11.78,11.79,71647,0
ZENV.US,D,20211026,000000,11.77,12.285,11.3306,11.5,143945,0
ZENV.US,D,20211027,000000,11.54,11.81,10.76,10.92,120214,0
ZENV.US,D,20211028,000000,10.9,11.34,10.4052,10.69,81921,0
ZENV.US,D,20211029,000000,10.77,11.265,10.2401,10.37,146993,0
ZENV.US,D,20211101,000000,10.49,10.87,9.72,9.91,197065,0
ZENV.US,D,20211102,000000,10,10.59,9.92,10.08,209513,0
ZENV.US,D,20211103,000000,11.13,11.57,10.9,11.31,223835,0
ZENV.US,D,20211104,000000,11.39,11.5,10.31,10.66,125868,0
ZENV.US,D,20211105,000000,10.82,10.95,10.11,10.27,46072,0
ZENV.US,D,20211108,000000,10.38,11.03,10,10.03,123010,0
ZENV.US,D,20211109,000000,10.14,10.551,9.9,10.15,83832,0
ZENV.US,D,20211110,000000,10,10.81,9.99,10.64,106255,0
ZENV.US,D,20211111,000000,10.71,11.34,10.5,11.21,117729,0
ZENV.US,D,20211112,000000,11.23,11.76,11.01,11.57,174998,0
ZENV.US,D,20211115,000000,11.55,11.55,10.99,11.03,143331,0
ZENV.US,D,20211116,000000,11.01,11.12,10.33,10.41,181639,0
ZENV.US,D,20211117,000000,10.8,11.45,9.96,10.52,228977,0
ZENV.US,D,20211118,000000,10.6,11.1899,10,10.16,95590,0
ZENV.US,D,20211119,000000,10.38,10.4374,9.7401,10.08,64097,0
ZENV.US,D,20211122,000000,10.03,10.24,8.91,8.97,102844,0
ZENV.US,D,20211123,000000,8.93,9.06,8.6001,8.9,157844,0
ZENV.US,D,20211124,000000,8.97,9.17,8.86,8.96,346174,0
ZENV.US,D,20211126,000000,8.86,9.1643,8.25,8.51,113573,0
ZENV.US,D,20211129,000000,8.72,8.85,8.27,8.58,46037,0
ZENV.US,D,20211130,000000,8.64,8.8644,7.6404,7.91,115754,0
ZENV.US,D,20211201,000000,7.9,8.53,7.6862,8.53,91088,0
ZENV.US,D,20211202,000000,8.34,9.0236,8.3022,8.58,83430,0
