<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WRND.US,D,20220630,000000,20.4185,20.4185,20.4185,20.4185,301.19698956,0
WRND.US,D,20220701,000000,20.4415,20.4415,20.4415,20.4415,2.0079799304,0
WRND.US,D,20220705,000000,20.4683,20.4683,20.4683,20.4683,301.19698956,0
WRND.US,D,20220706,000000,20.4584,20.4584,20.4584,20.4584,200.79799304,0
WRND.US,D,20220707,000000,20.9066,20.9066,20.9066,20.9066,301.19698956,0
WRND.US,D,20220708,000000,20.9379,20.9379,20.9379,20.9379,1.0039899652,0
WRND.US,D,20220711,000000,20.498,20.498,20.498,20.498,4.0159598608,0
WRND.US,D,20220712,000000,20.3943,20.3943,20.3943,20.3943,4.0159598608,0
WRND.US,D,20220713,000000,20.3588,20.3588,20.3588,20.3588,200.79799304,0
WRND.US,D,20220714,000000,20.2193,20.2193,20.2193,20.2193,200.79799304,0
WRND.US,D,20220715,000000,20.6,20.6,20.6,20.6,4.0159598608,0
WRND.US,D,20220718,000000,21.0062,21.1357,20.5635,20.5635,7332.1387158556,0
WRND.US,D,20220719,000000,21.1467,21.1467,21.1467,21.1467,4.0159598608,0
WRND.US,D,20220720,000000,21.2154,21.2154,21.2154,21.2154,905.5989486104,0
WRND.US,D,20220721,000000,21.4644,21.4644,21.4644,21.4644,301.19698956,0
WRND.US,D,20220722,000000,21.1089,21.1089,21.1089,21.1089,4.0159598608,0
WRND.US,D,20220725,000000,21.1213,21.1213,21.1213,21.1213,3.0119698956,0
WRND.US,D,20220726,000000,20.8249,20.8249,20.8249,20.8249,3.0119698956,0
WRND.US,D,20220727,000000,21.4245,21.4245,21.4245,21.4245,302.2009795252,0
WRND.US,D,20220728,000000,21.5042,21.5042,21.5042,21.5042,200.79799304,0
WRND.US,D,20220729,000000,21.6282,21.6282,21.6282,21.6282,3.0119698956,0
WRND.US,D,20220801,000000,21.6138,21.6138,21.6138,21.6138,202.8059729704,0
WRND.US,D,20220802,000000,21.4743,21.4743,21.4743,21.4743,301.19698956,0
WRND.US,D,20220803,000000,21.8428,21.8428,21.8428,21.8428,301.19698956,0
WRND.US,D,20220804,000000,21.9126,21.9126,21.9126,21.9126,301.19698956,0
WRND.US,D,20220805,000000,21.7477,21.7477,21.7477,21.7477,3.0119698956,0
WRND.US,D,20220808,000000,21.7813,21.7813,21.7813,21.7813,2.0079799304,0
WRND.US,D,20220809,000000,21.5486,21.5486,21.5486,21.5486,2.0079799304,0
WRND.US,D,20220810,000000,22.0919,22.0919,22.0919,22.0919,100.39899652,0
WRND.US,D,20220811,000000,21.9516,21.9516,21.9516,21.9516,2.0079799304,0
WRND.US,D,20220812,000000,22.311,22.311,22.311,22.311,204.8139529008,0
WRND.US,D,20220815,000000,22.311,22.311,22.311,22.311,301.19698956,0
WRND.US,D,20220816,000000,22.301,22.301,22.301,22.301,100.39899652,0
WRND.US,D,20220817,000000,22.0222,22.0222,22.0222,22.0222,2.0079799304,0
WRND.US,D,20220818,000000,22.0092,22.0092,22.0092,22.0092,2.0079799304,0
WRND.US,D,20220819,000000,21.7333,21.7333,21.7333,21.7333,100.39899652,0
WRND.US,D,20220822,000000,21.2113,21.2113,21.2113,21.2113,2.0079799304,0
WRND.US,D,20220823,000000,21.1711,21.1711,21.1711,21.1711,2.0079799304,0
WRND.US,D,20220824,000000,21.2051,21.2051,21.2051,21.2051,2.0079799304,0
WRND.US,D,20220825,000000,21.6038,21.6038,21.6038,21.6038,100.39899652,0
WRND.US,D,20220826,000000,20.8966,20.8966,20.8966,20.8966,301.19698956,0
WRND.US,D,20220829,000000,20.7572,20.7572,20.7572,20.7572,401.59598608,0
WRND.US,D,20220830,000000,20.5879,20.5879,20.5879,20.5879,401.59598608,0
WRND.US,D,20220831,000000,20.5181,20.5181,20.5181,20.5181,301.19698956,0
WRND.US,D,20220901,000000,20.4531,20.4531,20.4531,20.4531,2.0079799304,0
WRND.US,D,20220902,000000,20.2072,20.2072,20.2072,20.2072,2.0079799304,0
WRND.US,D,20220906,000000,20.1098,20.1098,20.1098,20.1098,220.877792344,0
WRND.US,D,20220907,000000,20.3773,20.3773,20.3773,20.3773,3.0119698956,0
WRND.US,D,20220908,000000,20.4144,20.4144,20.4144,20.4144,20.079799304,0
WRND.US,D,20220909,000000,20.8464,20.8464,20.8464,20.8464,20.079799304,0
WRND.US,D,20220912,000000,21.0859,21.0859,21.0859,21.0859,100.39899652,0
WRND.US,D,20220913,000000,21.0859,21.0859,20.148,20.148,20.079799304,0
WRND.US,D,20220914,000000,20.2361,20.2361,20.2361,20.2361,1.0039899652,0
WRND.US,D,20220915,000000,20.0503,20.0503,20.0503,20.0503,2.0079799304,0
WRND.US,D,20220916,000000,19.93,19.93,19.93,19.93,411,0
WRND.US,D,20220919,000000,19.9659,19.9659,19.9659,19.9659,20,0
WRND.US,D,20220920,000000,19.664,19.664,19.664,19.664,1,0
WRND.US,D,20220921,000000,19.3504,19.3504,19.3504,19.3504,3,0
WRND.US,D,20220922,000000,19.26,19.26,19.26,19.26,402,0
WRND.US,D,20220923,000000,18.8291,18.8291,18.8291,18.8291,2,0
WRND.US,D,20220926,000000,18.68,18.68,18.68,18.68,207,0
WRND.US,D,20220927,000000,18.6111,18.6111,18.6111,18.6111,1,0
WRND.US,D,20220928,000000,19.0871,19.0871,19.0871,19.0871,1,0
WRND.US,D,20220929,000000,18.6025,18.6025,18.6025,18.6025,8,0
WRND.US,D,20220930,000000,18.3783,18.3783,18.3783,18.3783,8,0
WRND.US,D,20221003,000000,18.7831,18.7831,18.7831,18.7831,1,0
WRND.US,D,20221004,000000,19.4728,19.4728,19.4728,19.4728,8,0
WRND.US,D,20221005,000000,19.4036,19.4036,19.4036,19.4036,8,0
WRND.US,D,20221006,000000,19.2415,19.2415,19.2415,19.2415,8,0
WRND.US,D,20221007,000000,18.98,18.98,18.7246,18.7246,321,0
WRND.US,D,20221010,000000,18.5345,18.5345,18.5345,18.5345,8,0
WRND.US,D,20221011,000000,18.3546,18.3546,18.3546,18.3546,1,0
WRND.US,D,20221012,000000,18.35,18.35,18.35,18.35,200,0
WRND.US,D,20221013,000000,18.7114,18.7114,18.7114,18.7114,8,0
WRND.US,D,20221014,000000,18.52,18.52,18.3113,18.3113,108,0
WRND.US,D,20221017,000000,18.8614,18.8614,18.8614,18.8614,9,0
WRND.US,D,20221018,000000,18.8614,18.8614,18.8614,18.8614,9,0
WRND.US,D,20221019,000000,18.7622,18.7622,18.7622,18.7622,1,0
WRND.US,D,20221020,000000,18.7167,18.7167,18.7167,18.7167,1,0
WRND.US,D,20221021,000000,18.66,19.1412,18.66,19.1412,400,0
WRND.US,D,20221024,000000,19.11,19.11,19.11,19.11,2,0
WRND.US,D,20221025,000000,19.4901,19.4901,19.4901,19.4901,1,0
WRND.US,D,20221026,000000,19.4156,19.4156,19.4156,19.4156,1,0
WRND.US,D,20221027,000000,19.0144,19.0144,19.0144,19.0144,6,0
WRND.US,D,20221028,000000,19.2974,19.2974,19.2974,19.2974,1,0
WRND.US,D,20221031,000000,19.1032,19.1032,19.1032,19.1032,1,0
WRND.US,D,20221101,000000,19.1249,19.1249,19.1249,19.1249,1,0
WRND.US,D,20221102,000000,18.7315,18.7315,18.7315,18.7315,6,0
WRND.US,D,20221103,000000,18.5212,18.5212,18.5212,18.5212,2,0
WRND.US,D,20221104,000000,19.0374,19.0374,19.0374,19.0374,2,0
WRND.US,D,20221107,000000,19.2219,19.2219,19.2219,19.2219,2,0
WRND.US,D,20221108,000000,19.3791,19.3791,19.3791,19.3791,2,0
WRND.US,D,20221109,000000,19.0625,19.0625,19.0625,19.0625,2,0
WRND.US,D,20221110,000000,20.2023,20.2023,20.2023,20.2023,2,0
WRND.US,D,20221111,000000,20.5238,20.5238,20.5238,20.5238,2,0
WRND.US,D,20221114,000000,20.39,20.39,20.39,20.39,12,0
WRND.US,D,20221115,000000,20.6772,20.6772,20.6772,20.6772,1,0
WRND.US,D,20221116,000000,20.4147,20.4147,20.4147,20.4147,1,0
WRND.US,D,20221117,000000,20.4105,20.4105,20.4105,20.4105,1,0
WRND.US,D,20221118,000000,20.4384,20.4384,20.4384,20.4384,1,0
WRND.US,D,20221121,000000,20.2577,20.2577,20.2577,20.2577,1,0
WRND.US,D,20221122,000000,20.5134,20.5134,20.5134,20.5134,1,0
WRND.US,D,20221123,000000,20.6401,20.6401,20.6401,20.6401,2,0
WRND.US,D,20221125,000000,20.6032,20.6032,20.6032,20.6032,1,0
WRND.US,D,20221128,000000,20.3784,20.3784,20.3784,20.3784,77,0
WRND.US,D,20221129,000000,20.4163,20.4163,20.4163,20.4163,5,0
WRND.US,D,20221130,000000,21.086,21.086,21.086,21.086,74,0
WRND.US,D,20221201,000000,21.1535,21.1535,21.1535,21.1535,74,0
WRND.US,D,20221202,000000,21.1511,21.1511,21.1511,21.1511,2,0
WRND.US,D,20221205,000000,20.8465,20.8465,20.8465,20.8465,1,0
WRND.US,D,20221206,000000,20.52,20.5366,20.5199,20.5366,204,0
WRND.US,D,20221208,000000,20.7144,20.7144,20.7144,20.7144,50,0
WRND.US,D,20221209,000000,20.635,20.635,20.635,20.635,74,0
WRND.US,D,20221212,000000,20.778,20.778,20.778,20.778,106,0
WRND.US,D,20221213,000000,21.057,21.057,21.057,21.057,74,0
WRND.US,D,20221214,000000,21.18,21.18,21.0472,21.0472,2018,0
WRND.US,D,20221215,000000,20.3996,20.3996,20.3996,20.3996,74,0
WRND.US,D,20221216,000000,20.12,20.1382,20.12,20.1382,253,0
WRND.US,D,20221219,000000,19.9674,19.9674,19.9674,19.9674,36,0
WRND.US,D,20221220,000000,19.9524,19.9524,19.9524,19.9524,36,0
WRND.US,D,20221221,000000,20.1698,20.1698,20.1698,20.1698,36,0
WRND.US,D,20221222,000000,19.8743,19.8743,19.8743,19.8743,56,0
WRND.US,D,20221223,000000,19.92,19.92,19.92,19.92,1,0
WRND.US,D,20221227,000000,19.8841,19.8841,19.8841,19.8841,46,0
WRND.US,D,20221228,000000,19.5844,19.5844,19.5844,19.5844,46,0
WRND.US,D,20221229,000000,20.0127,20.0127,20.0127,20.0127,46,0
WRND.US,D,20221230,000000,19.87,19.8963,19.8699,19.8963,1498,0
WRND.US,D,20230103,000000,20.0342,20.0342,20.0342,20.0342,46,0
WRND.US,D,20230104,000000,20.3788,20.3788,20.3788,20.3788,46,0
WRND.US,D,20230105,000000,20.18,20.18,20.18,20.18,46,0
WRND.US,D,20230106,000000,20.69,20.69,20.69,20.69,46,0
WRND.US,D,20230109,000000,20.7483,20.7483,20.7483,20.7483,46,0
WRND.US,D,20230110,000000,20.92,20.92,20.92,20.92,46,0
WRND.US,D,20230111,000000,21.1644,21.1644,21.1644,21.1644,46,0
WRND.US,D,20230112,000000,21.22,21.31,21.22,21.31,1019,0
WRND.US,D,20230113,000000,21.4,21.4,21.4,21.4,1,0
WRND.US,D,20230117,000000,21.3386,21.3386,21.3386,21.3386,1,0
WRND.US,D,20230118,000000,21.1324,21.1324,21.1324,21.1324,1,0
WRND.US,D,20230119,000000,21.14,21.14,21.06,21.0891,2304,0
WRND.US,D,20230120,000000,21.4639,21.4639,21.4639,21.4639,2,0
WRND.US,D,20230123,000000,21.7516,21.7516,21.7516,21.7516,1,0
WRND.US,D,20230124,000000,21.67,21.67,21.67,21.67,5,0
WRND.US,D,20230125,000000,21.7734,21.7734,21.7734,21.7734,15,0
WRND.US,D,20230126,000000,21.9734,21.9734,21.9734,21.9734,15,0
WRND.US,D,20230127,000000,22.11,22.11,22.0929,22.0929,2100,0
WRND.US,D,20230130,000000,21.66,21.66,21.66,21.66,11,0
WRND.US,D,20230131,000000,21.9051,21.9051,21.9051,21.9051,1,0
WRND.US,D,20230201,000000,22.2512,22.2512,22.2512,22.2512,9,0
WRND.US,D,20230202,000000,22.74,22.788,22.74,22.788,4800,0
WRND.US,D,20230203,000000,22.41,22.41,22.41,22.41,3,0
WRND.US,D,20230206,000000,22.2151,22.2151,22.2151,22.2151,1,0
WRND.US,D,20230207,000000,22.5481,22.5481,22.5481,22.5481,1,0
WRND.US,D,20230208,000000,22.2526,22.2526,22.2526,22.2526,1,0
WRND.US,D,20230209,000000,22.157,22.157,22.157,22.157,3,0
WRND.US,D,20230210,000000,22.0288,22.0288,22.0288,22.0288,1,0
WRND.US,D,20230213,000000,22.28,22.28,22.28,22.28,1,0
WRND.US,D,20230214,000000,22.74,22.74,22.3416,22.3416,11,0
WRND.US,D,20230215,000000,22.3,22.3,22.3,22.3,3,0
WRND.US,D,20230216,000000,22.049,22.049,22.049,22.049,1,0
WRND.US,D,20230217,000000,22.0407,22.0407,22.0407,22.0407,33,0
WRND.US,D,20230221,000000,21.66,21.66,21.66,21.66,10,0
WRND.US,D,20230222,000000,21.599,21.599,21.599,21.599,12,0
WRND.US,D,20230223,000000,21.7172,21.7172,21.7172,21.7172,21,0
WRND.US,D,20230224,000000,21.3089,21.3089,21.3089,21.3089,12,0
WRND.US,D,20230227,000000,21.44,21.44,21.44,21.44,12,0
