<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZTEK.US,D,20220323,000000,3.7,3.78,3.16,3.4,11656400,0
ZTEK.US,D,20220324,000000,3.22,3.24,2.91,3.02,1240387,0
ZTEK.US,D,20220325,000000,2.94,3.03,2.7836,2.86,1266691,0
ZTEK.US,D,20220328,000000,3.02,3.02,2.8,2.89,303275,0
ZTEK.US,D,20220329,000000,2.8,3.1296,2.79,3.09,445898,0
ZTEK.US,D,20220330,000000,2.98,3.35,2.95,3.21,291481,0
ZTEK.US,D,20220331,000000,3.25,3.27,3.03,3.05,145130,0
ZTEK.US,D,20220401,000000,3.03,3.16,2.96,3.08,243791,0
ZTEK.US,D,20220404,000000,3.12,3.14,2.95,3.02,132038,0
ZTEK.US,D,20220405,000000,2.97,2.99,2.86,2.88,154654,0
ZTEK.US,D,20220406,000000,2.86,2.86,2.7,2.75,111340,0
ZTEK.US,D,20220407,000000,2.75,3.1,2.63,2.95,209519,0
ZTEK.US,D,20220408,000000,2.98,2.98,2.78,2.83,82753,0
ZTEK.US,D,20220411,000000,2.82,2.89,2.37,2.65,187472,0
ZTEK.US,D,20220412,000000,2.68,2.75,2.6,2.72,62665,0
ZTEK.US,D,20220413,000000,2.69,2.75,2.64,2.7,67455,0
ZTEK.US,D,20220414,000000,2.69,2.75,2.62,2.69,39963,0
ZTEK.US,D,20220418,000000,2.77,2.77,2.5765,2.615,37617,0
ZTEK.US,D,20220419,000000,2.68,2.68,2.53,2.58,93976,0
ZTEK.US,D,20220420,000000,2.51,2.545,2.4,2.45,73882,0
ZTEK.US,D,20220421,000000,2.42,2.4703,2.37,2.4,79068,0
ZTEK.US,D,20220422,000000,2.59,2.59,2.3714,2.43,56596,0
ZTEK.US,D,20220425,000000,2.48,2.48,2.3887,2.39,33681,0
ZTEK.US,D,20220426,000000,2.35,2.4,2.27,2.28,57383,0
ZTEK.US,D,20220427,000000,2.3,2.47,2.24,2.35,65502,0
ZTEK.US,D,20220428,000000,2.45,2.45,2.3378,2.42,26178,0
ZTEK.US,D,20220429,000000,2.5,2.62,2.42,2.59,34748,0
ZTEK.US,D,20220502,000000,2.63,2.63,2.47,2.51,26828,0
ZTEK.US,D,20220503,000000,2.42,2.57,2.42,2.5,20554,0
ZTEK.US,D,20220504,000000,2.41,2.5493,2.41,2.53,52459,0
ZTEK.US,D,20220505,000000,2.59,2.59,2.35,2.35,22543,0
ZTEK.US,D,20220506,000000,2.35,2.49,2.27,2.42,32195,0
ZTEK.US,D,20220509,000000,2.48,2.48,1.89,2.12,94688,0
ZTEK.US,D,20220510,000000,2.12,2.195,1.88,1.98,180039,0
ZTEK.US,D,20220511,000000,1.98,2.0785,1.81,1.89,137855,0
ZTEK.US,D,20220512,000000,1.89,1.9566,1.7,1.71,194564,0
ZTEK.US,D,20220513,000000,1.79,2.2,1.71,1.97,74328,0
ZTEK.US,D,20220516,000000,2.17,2.17,1.92,1.92,19536,0
ZTEK.US,D,20220517,000000,1.9,2.0579,1.77,1.92,16870,0
ZTEK.US,D,20220518,000000,1.9,1.95,1.75,1.76,23456,0
ZTEK.US,D,20220519,000000,1.85,1.939,1.84,1.88,36508,0
ZTEK.US,D,20220520,000000,1.81,1.9109,1.7412,1.8413,28449,0
ZTEK.US,D,20220523,000000,1.78,1.8,1.51,1.52,28332,0
ZTEK.US,D,20220524,000000,1.68,1.82,1.68,1.79,52900,0
ZTEK.US,D,20220525,000000,1.87,1.9,1.76,1.83,25249,0
ZTEK.US,D,20220526,000000,1.76,2.15,1.76,2.14,60031,0
ZTEK.US,D,20220527,000000,2.17,2.31,2.0201,2.26,80990,0
ZTEK.US,D,20220531,000000,2.34,2.34,2.08,2.23,22902,0
ZTEK.US,D,20220601,000000,2.11,2.29,2.04,2.23,22334,0
ZTEK.US,D,20220602,000000,2.25,2.25,1.91,2,100019,0
ZTEK.US,D,20220603,000000,2.09,2.09,1.96,2.03,22196,0
ZTEK.US,D,20220606,000000,2.03,2.05,1.95,1.975,51654,0
ZTEK.US,D,20220607,000000,1.91,2.0499,1.91,1.97,18559,0
ZTEK.US,D,20220608,000000,2.12,2.12,1.9,2.03,32011,0
ZTEK.US,D,20220609,000000,2.04,2.04,1.9336,1.96,14412,0
ZTEK.US,D,20220610,000000,2.04,2.1,1.9,1.99,39786,0
ZTEK.US,D,20220613,000000,1.96,1.96,1.75,1.75,22912,0
ZTEK.US,D,20220614,000000,1.86,1.9078,1.7,1.7445,32529,0
ZTEK.US,D,20220615,000000,2.06,2.06,1.77,1.85,36701,0
ZTEK.US,D,20220616,000000,1.8,1.9,1.77,1.83,14015,0
ZTEK.US,D,20220617,000000,1.7999,1.7999,1.71,1.75,10450,0
ZTEK.US,D,20220621,000000,1.76,1.86,1.76,1.84,36606,0
ZTEK.US,D,20220622,000000,1.84,1.93,1.8337,1.896,28337,0
ZTEK.US,D,20220623,000000,1.93,1.93,1.84,1.86,61442,0
ZTEK.US,D,20220624,000000,1.94,1.94,1.81,1.88,17018,0
ZTEK.US,D,20220627,000000,1.8,1.91,1.78,1.83,34216,0
ZTEK.US,D,20220628,000000,1.9,1.9,1.76,1.8,28884,0
ZTEK.US,D,20220629,000000,1.7601,1.79,1.7,1.73,33334,0
ZTEK.US,D,20220630,000000,1.83,1.88,1.7,1.81,16035,0
ZTEK.US,D,20220701,000000,1.8,1.8,1.7,1.7,14140,0
ZTEK.US,D,20220705,000000,1.8,1.9,1.75,1.9,21159,0
ZTEK.US,D,20220706,000000,1.88,1.97,1.8214,1.93,12570,0
ZTEK.US,D,20220707,000000,1.94,1.9975,1.88,1.94,33818,0
ZTEK.US,D,20220708,000000,1.98,2.07,1.9511,1.97,25465,0
ZTEK.US,D,20220711,000000,2.05,2.19,2.01,2.18,50541,0
ZTEK.US,D,20220712,000000,2.19,2.3096,2.1375,2.2,47763,0
ZTEK.US,D,20220713,000000,2.2,2.42,2.11,2.304,57486,0
ZTEK.US,D,20220714,000000,2.31,2.36,2.15,2.32,9654,0
