<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNTI.US,D,20210526,000000,10,10.04,9.92,9.98,1913914,0
SNTI.US,D,20210527,000000,9.95,10.05,9.93,10.05,313142,0
SNTI.US,D,20210528,000000,10.01,10.1485,9.96,10,174074,0
SNTI.US,D,20210601,000000,9.96,10.03,9.93,9.99,114154,0
SNTI.US,D,20210602,000000,10.03,10.03,9.95,9.99,22700,0
SNTI.US,D,20210603,000000,9.95,9.99,9.95,9.97,8849,0
SNTI.US,D,20210604,000000,10.16,10.3923,9.98,10,52618,0
SNTI.US,D,20210607,000000,10.12,10.12,9.95,9.99,51840,0
SNTI.US,D,20210608,000000,10.01,10.05,9.96,10,29200,0
SNTI.US,D,20210609,000000,9.97,10.02,9.94,9.95,88114,0
SNTI.US,D,20210610,000000,10.4029,10.4029,9.95,9.97,36169,0
SNTI.US,D,20210611,000000,10.03,10.03,9.9636,9.99,18195,0
SNTI.US,D,20210614,000000,10.1,10.287,9.99,10.04,23887,0
SNTI.US,D,20210615,000000,10.13,10.13,9.97,9.97,35827,0
SNTI.US,D,20210616,000000,9.97,10.12,9.92,9.94,152744,0
SNTI.US,D,20210617,000000,10.11,10.1111,9.95,9.96,16362,0
SNTI.US,D,20210618,000000,10.06,10.115,9.943,9.98,64268,0
SNTI.US,D,20210621,000000,10.05,10.05,9.81,9.91,72083,0
SNTI.US,D,20210622,000000,9.95,9.975,9.9,9.95,17110,0
SNTI.US,D,20210623,000000,9.94,10,9.91,9.94,6018,0
SNTI.US,D,20210624,000000,9.92,10.167,9.91,10,28729,0
SNTI.US,D,20210625,000000,10.065,10.18,9.85,9.95,347301,0
SNTI.US,D,20210628,000000,10.04,10.04,9.9,10,59449,0
SNTI.US,D,20210629,000000,10.25,10.25,9.9401,9.98,15529,0
SNTI.US,D,20210630,000000,9.9603,9.9752,9.94,9.94,16418,0
SNTI.US,D,20210701,000000,9.94,9.97,9.92,9.92,33123,0
SNTI.US,D,20210702,000000,9.95,9.967,9.91,9.95,49967,0
SNTI.US,D,20210706,000000,9.95,9.955,9.94,9.94,48418,0
SNTI.US,D,20210707,000000,9.9,9.94,9.9,9.9,18993,0
SNTI.US,D,20210708,000000,9.9,9.94,9.9,9.92,15679,0
SNTI.US,D,20210709,000000,9.8962,9.95,9.8962,9.94,8486,0
SNTI.US,D,20210712,000000,9.9,9.95,9.88,9.9,114567,0
SNTI.US,D,20210713,000000,9.92,9.95,9.86,9.86,49940,0
SNTI.US,D,20210714,000000,9.93,9.93,9.83,9.83,247097,0
SNTI.US,D,20210715,000000,9.86,9.86,9.81,9.85,12048,0
SNTI.US,D,20210716,000000,9.87,9.87,9.8,9.84,20195,0
SNTI.US,D,20210719,000000,9.78,9.86,9.78,9.78,6178,0
SNTI.US,D,20210720,000000,9.76,9.99,9.76,9.99,7700,0
SNTI.US,D,20210721,000000,9.95,9.95,9.8212,9.94,3384,0
SNTI.US,D,20210722,000000,9.95,9.95,9.92,9.92,2141,0
SNTI.US,D,20210723,000000,9.99,9.99,9.88,9.88,3439,0
SNTI.US,D,20210726,000000,9.88,9.88,9.83,9.84,6609,0
SNTI.US,D,20210727,000000,9.86,9.86,9.76,9.76,9075,0
SNTI.US,D,20210728,000000,9.78,9.8,9.75,9.8,59261,0
SNTI.US,D,20210729,000000,9.82,9.82,9.8,9.82,9193,0
SNTI.US,D,20210730,000000,9.8,9.84,9.7613,9.84,213676,0
SNTI.US,D,20210802,000000,9.78,9.82,9.72,9.72,14858,0
SNTI.US,D,20210803,000000,9.7,9.87,9.58,9.71,182978,0
SNTI.US,D,20210804,000000,9.7,9.77,9.66,9.72,47529,0
SNTI.US,D,20210805,000000,9.74,9.79,9.71,9.79,2797,0
SNTI.US,D,20210806,000000,9.75,9.8,9.75,9.785,4937,0
SNTI.US,D,20210809,000000,9.77,9.8,9.75,9.77,6525,0
SNTI.US,D,20210810,000000,9.76,9.78,9.75,9.76,3466,0
SNTI.US,D,20210811,000000,9.76,9.78,9.72,9.73,28601,0
SNTI.US,D,20210812,000000,9.7,9.8,9.67,9.77,206178,0
SNTI.US,D,20210813,000000,9.71,9.755,9.69,9.75,38497,0
SNTI.US,D,20210816,000000,9.69,9.74,9.66,9.67,33517,0
SNTI.US,D,20210817,000000,9.66,9.75,9.66,9.66,69203,0
SNTI.US,D,20210818,000000,9.7,9.85,9.7,9.76,112916,0
SNTI.US,D,20210819,000000,9.7,9.83,9.7,9.7,27100,0
SNTI.US,D,20210820,000000,9.7,9.83,9.69,9.73,15370,0
SNTI.US,D,20210823,000000,9.78,9.83,9.71,9.75,4613,0
SNTI.US,D,20210824,000000,9.76,9.8,9.76,9.8,3669,0
SNTI.US,D,20210825,000000,9.8,9.9,9.8,9.84,5609,0
SNTI.US,D,20210826,000000,9.8985,9.9,9.8,9.885,6374,0
SNTI.US,D,20210827,000000,9.94,9.99,9.89,9.94,66107,0
SNTI.US,D,20210830,000000,9.99,10,9.9,9.99,452715,0
SNTI.US,D,20210831,000000,9.93,9.99,9.89,9.92,22558,0
SNTI.US,D,20210901,000000,9.85,10.54,9.85,9.94,13589,0
SNTI.US,D,20210902,000000,9.941,9.99,9.921,9.93,3490,0
SNTI.US,D,20210903,000000,9.91,9.98,9.9,9.9,31279,0
SNTI.US,D,20210907,000000,9.93,9.95,9.9,9.95,22778,0
SNTI.US,D,20210908,000000,10,10,9.9,9.9,5453,0
SNTI.US,D,20210909,000000,9.91,9.95,9.9,9.95,5858,0
SNTI.US,D,20210910,000000,9.9,9.95,9.9,9.91,11995,0
SNTI.US,D,20210913,000000,9.91,10,9.9,9.91,10431,0
SNTI.US,D,20210914,000000,9.9131,9.94,9.9,9.92,8922,0
SNTI.US,D,20210915,000000,9.9,10.03,9.9,9.99,41863,0
SNTI.US,D,20210916,000000,9.91,10,9.91,9.98,3093,0
SNTI.US,D,20210917,000000,9.98,9.98,9.91,9.95,28754,0
SNTI.US,D,20210920,000000,9.91,9.92,9.86,9.86,47719,0
SNTI.US,D,20210921,000000,9.94,9.94,9.86,9.93,34192,0
SNTI.US,D,20210922,000000,9.9033,9.94,9.88,9.92,31095,0
SNTI.US,D,20210923,000000,9.91,9.92,9.88,9.91,13842,0
SNTI.US,D,20210924,000000,9.86,9.94,9.82,9.85,30087,0
SNTI.US,D,20210927,000000,9.9,9.94,9.89,9.91,9824,0
SNTI.US,D,20210928,000000,9.89,9.92,9.87,9.87,23800,0
SNTI.US,D,20210929,000000,9.87,9.93,9.77,9.88,28523,0
SNTI.US,D,20210930,000000,10,10,9.9,9.94,47636,0
SNTI.US,D,20211001,000000,9.9,9.94,9.87,9.88,15504,0
SNTI.US,D,20211004,000000,9.8801,9.94,9.78,9.87,40193,0
SNTI.US,D,20211005,000000,9.92,9.92,9.87,9.89,2779,0
SNTI.US,D,20211006,000000,9.87,9.94,9.82,9.87,38704,0
SNTI.US,D,20211007,000000,9.9212,9.98,9.87,9.9,15180,0
SNTI.US,D,20211008,000000,9.98,9.98,9.87,9.91,20985,0
SNTI.US,D,20211011,000000,9.91,9.93,9.88,9.88,8635,0
SNTI.US,D,20211012,000000,9.8722,9.89,9.8722,9.89,690,0
SNTI.US,D,20211013,000000,9.91,9.99,9.89,9.98,7789,0
SNTI.US,D,20211014,000000,9.98,10,9.97,9.99,74527,0
SNTI.US,D,20211015,000000,10,10.03,9.92,9.95,7430,0
SNTI.US,D,20211018,000000,9.92,9.9273,9.89,9.9,58683,0
SNTI.US,D,20211019,000000,9.92,10.01,9.92,10,29068,0
SNTI.US,D,20211020,000000,10,10.04,9.9353,10.04,6964,0
SNTI.US,D,20211021,000000,10.04,10.1482,9.95,9.96,12549,0
SNTI.US,D,20211022,000000,10.1,10.15,9.95,9.96,10626,0
SNTI.US,D,20211025,000000,9.98,10.1,9.98,9.98,22126,0
SNTI.US,D,20211026,000000,10.1,10.14,9.99,10.08,133652,0
SNTI.US,D,20211027,000000,10.07,10.1,10,10.05,116065,0
SNTI.US,D,20211028,000000,10.04,10.1023,10.04,10.08,6160,0
SNTI.US,D,20211029,000000,10.1186,10.1186,10.07,10.09,1235,0
SNTI.US,D,20211101,000000,10.06,10.2,10.06,10.2,11747,0
SNTI.US,D,20211102,000000,10.13,10.25,10.09,10.24,8038,0
SNTI.US,D,20211103,000000,10.23,10.25,10.1,10.2,4394,0
SNTI.US,D,20211104,000000,10.25,10.25,10.05,10.1,26003,0
SNTI.US,D,20211105,000000,10.1837,10.1837,10,10.04,43053,0
SNTI.US,D,20211108,000000,10.02,10.12,10.02,10.09,55245,0
SNTI.US,D,20211109,000000,10.04,10.12,10.02,10.11,35977,0
SNTI.US,D,20211110,000000,10.075,10.11,9.96,10.11,55168,0
SNTI.US,D,20211111,000000,10.02,10.02,9.95,10.02,39014,0
SNTI.US,D,20211112,000000,10,10.05,9.96,9.99,59534,0
SNTI.US,D,20211115,000000,9.99,10.08,9.97,10.03,75790,0
SNTI.US,D,20211116,000000,10.02,10.09,9.99,10.05,54670,0
SNTI.US,D,20211117,000000,10,10.05,9.96,9.98,70071,0
SNTI.US,D,20211118,000000,9.98,10.03,9.94,10.01,91045,0
SNTI.US,D,20211119,000000,9.97,10.06,9.95,10,376187,0
SNTI.US,D,20211122,000000,9.98,10.0136,9.96,9.98,57832,0
SNTI.US,D,20211123,000000,9.94,9.99,9.9201,9.99,49920,0
SNTI.US,D,20211124,000000,9.95,10.03,9.94,9.94,33885,0
SNTI.US,D,20211126,000000,9.95,9.99,9.95,9.98,13284,0
SNTI.US,D,20211129,000000,9.97,9.99,9.89,9.93,43879,0
SNTI.US,D,20211130,000000,9.89,9.94,9.84,9.88,28580,0
SNTI.US,D,20211201,000000,9.86,9.89,9.78,9.87,60665,0
SNTI.US,D,20211202,000000,9.8005,9.89,9.8,9.89,4629,0
SNTI.US,D,20211203,000000,9.9,9.9,9.77,9.9,82773,0
SNTI.US,D,20211206,000000,9.82,10,9.8,9.99,48096,0
SNTI.US,D,20211207,000000,9.91,10.35,9.9,9.92,109550,0
SNTI.US,D,20211208,000000,10,10.2,9.95,9.95,84600,0
SNTI.US,D,20211209,000000,10.05,10.05,9.9,9.94,15672,0
SNTI.US,D,20211210,000000,9.88,9.91,9.87,9.89,6253,0
SNTI.US,D,20211213,000000,9.9,9.91,9.81,9.9,59025,0
SNTI.US,D,20211214,000000,9.84,9.93,9.79,9.93,57097,0
SNTI.US,D,20211215,000000,9.96,10.09,9.89,10.09,81709,0
SNTI.US,D,20211216,000000,10.09,10.09,9.87,9.87,21228,0
SNTI.US,D,20211217,000000,9.88,10.19,9.84,10.04,33931,0
SNTI.US,D,20211220,000000,9.93,10.02,9.88,9.88,4261838,0
SNTI.US,D,20211221,000000,9.91,9.93,9.87,9.9,64374,0
SNTI.US,D,20211222,000000,9.87,9.9,9.85,9.85,72408,0
SNTI.US,D,20211223,000000,9.85,9.87,9.85,9.85,879252,0
SNTI.US,D,20211227,000000,9.88,9.9,9.84,9.9,64080,0
SNTI.US,D,20211228,000000,9.85,9.91,9.83,9.89,312266,0
SNTI.US,D,20211229,000000,9.85,9.86,9.85,9.85,61282,0
SNTI.US,D,20211230,000000,9.85,10,9.83,9.86,249938,0
SNTI.US,D,20211231,000000,9.86,9.91,9.85,9.86,166836,0
SNTI.US,D,20220103,000000,9.84,9.9,9.82,9.86,72421,0
SNTI.US,D,20220104,000000,9.9,9.9,9.86,9.9,8074,0
SNTI.US,D,20220105,000000,9.9,9.92,9.84,9.85,58953,0
SNTI.US,D,20220106,000000,9.9095,9.92,9.84,9.86,144615,0
SNTI.US,D,20220107,000000,9.89,9.9,9.85,9.85,24397,0
SNTI.US,D,20220110,000000,9.85,9.871,9.76,9.85,69426,0
SNTI.US,D,20220111,000000,9.83,9.86,9.83,9.85,30479,0
SNTI.US,D,20220112,000000,9.88,9.9,9.85,9.85,17755,0
SNTI.US,D,20220113,000000,9.84,9.855,9.83,9.83,47041,0
SNTI.US,D,20220114,000000,9.82,9.88,9.82,9.85,40076,0
SNTI.US,D,20220118,000000,9.89,9.89,9.85,9.85,61914,0
SNTI.US,D,20220119,000000,9.89,9.9,9.83,9.85,73110,0
SNTI.US,D,20220120,000000,9.84,9.9,9.81,9.83,42910,0
SNTI.US,D,20220121,000000,9.84,9.95,9.81,9.84,54492,0
SNTI.US,D,20220124,000000,9.74,9.9,9.74,9.88,110038,0
SNTI.US,D,20220125,000000,9.98,9.98,9.78,9.78,98747,0
SNTI.US,D,20220126,000000,9.82,9.94,9.82,9.83,39031,0
SNTI.US,D,20220127,000000,9.83,9.89,9.83,9.86,269387,0
SNTI.US,D,20220128,000000,9.83,9.87,9.83,9.86,313660,0
SNTI.US,D,20220131,000000,9.86,9.9,9.86,9.9,28964,0
SNTI.US,D,20220201,000000,9.91,9.92,9.83,9.85,138774,0
SNTI.US,D,20220202,000000,9.85,9.87,9.84,9.84,12470,0
SNTI.US,D,20220203,000000,9.8518,9.89,9.8417,9.85,96063,0
SNTI.US,D,20220204,000000,9.84,9.87,9.84,9.85,60701,0
SNTI.US,D,20220207,000000,9.85,9.89,9.85,9.86,38904,0
SNTI.US,D,20220208,000000,9.8573,9.88,9.85,9.85,32975,0
SNTI.US,D,20220209,000000,9.89,9.89,9.85,9.865,42607,0
SNTI.US,D,20220210,000000,9.89,9.89,9.85,9.85,8943,0
SNTI.US,D,20220211,000000,9.855,9.88,9.83,9.87,55073,0
SNTI.US,D,20220214,000000,9.85,9.9,9.85,9.87,18285,0
SNTI.US,D,20220215,000000,9.85,9.89,9.85,9.89,13142,0
SNTI.US,D,20220216,000000,9.86,9.89,9.86,9.89,12225,0
SNTI.US,D,20220217,000000,9.92,9.94,9.86,9.875,12725,0
SNTI.US,D,20220218,000000,9.86,9.89,9.86,9.89,521896,0
SNTI.US,D,20220222,000000,9.87,9.89,9.86,9.87,471437,0
SNTI.US,D,20220223,000000,9.86,9.91,9.86,9.89,266252,0
SNTI.US,D,20220224,000000,9.9,9.91,9.8565,9.885,33789,0
SNTI.US,D,20220225,000000,9.95,9.95,9.86,9.9,19143,0
SNTI.US,D,20220228,000000,9.86,9.96,9.86,9.96,93003,0
SNTI.US,D,20220301,000000,9.9044,9.95,9.9,9.93,36719,0
SNTI.US,D,20220302,000000,9.96,9.97,9.89,9.91,14734,0
SNTI.US,D,20220303,000000,9.89,9.9,9.89,9.89,18636,0
SNTI.US,D,20220304,000000,9.9,9.9,9.87,9.89,11799,0
SNTI.US,D,20220307,000000,9.87,9.88,9.86,9.87,8549,0
SNTI.US,D,20220308,000000,9.87,9.89,9.86,9.87,18428,0
SNTI.US,D,20220309,000000,9.87,9.94,9.87,9.88,15970,0
SNTI.US,D,20220310,000000,9.86,9.95,9.85,9.88,67289,0
SNTI.US,D,20220311,000000,9.88,9.9,9.86,9.88,38567,0
SNTI.US,D,20220314,000000,9.94,9.94,9.86,9.9,56272,0
SNTI.US,D,20220315,000000,9.92,9.92,9.865,9.88,49969,0
SNTI.US,D,20220316,000000,9.88,9.89,9.86,9.87,24667,0
SNTI.US,D,20220317,000000,9.89,9.9,9.87,9.9,17022,0
SNTI.US,D,20220318,000000,9.92,9.92,9.85,9.85,37709,0
SNTI.US,D,20220321,000000,9.92,9.95,9.86,9.9,12159,0
SNTI.US,D,20220322,000000,9.91,9.92,9.89,9.89,6687,0
SNTI.US,D,20220323,000000,9.9,9.9,9.87,9.87,7178,0
SNTI.US,D,20220324,000000,9.89,9.89,9.87,9.87,211606,0
SNTI.US,D,20220325,000000,9.87,9.9,9.86,9.9,19914,0
SNTI.US,D,20220328,000000,9.87,9.88,9.8683,9.87,6361,0
SNTI.US,D,20220329,000000,9.91,9.95,9.87,9.95,55245,0
SNTI.US,D,20220330,000000,9.9,9.92,9.85,9.88,148276,0
SNTI.US,D,20220331,000000,9.86,9.88,9.85,9.87,212512,0
SNTI.US,D,20220401,000000,9.86,9.9,9.86,9.89,23610,0
SNTI.US,D,20220404,000000,9.9,9.92,9.87,9.87,16613,0
SNTI.US,D,20220405,000000,9.8804,9.89,9.87,9.89,9711,0
SNTI.US,D,20220406,000000,9.9,9.99,9.87,9.89,13173,0
SNTI.US,D,20220407,000000,9.9,9.9,9.87,9.88,203537,0
SNTI.US,D,20220408,000000,9.87,9.88,9.86,9.87,26261,0
SNTI.US,D,20220411,000000,9.87,9.87,9.86,9.86,20403,0
SNTI.US,D,20220412,000000,9.86,9.9,9.86,9.87,33517,0
SNTI.US,D,20220413,000000,9.913,9.92,9.91,9.91,4804,0
SNTI.US,D,20220414,000000,9.95,9.99,9.87,9.94,23394,0
SNTI.US,D,20220418,000000,9.87,9.95,9.87,9.94,1402,0
SNTI.US,D,20220419,000000,9.91,10,9.91,10,1713,0
SNTI.US,D,20220420,000000,9.91,9.91,9.87,9.88,6724,0
SNTI.US,D,20220421,000000,9.91,9.91,9.88,9.89,53835,0
SNTI.US,D,20220422,000000,9.89,9.91,9.86,9.87,19063,0
SNTI.US,D,20220425,000000,9.9,9.93,9.87,9.895,113706,0
