<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LATG.US,D,20220321,000000,9.95,9.95,9.89,9.95,104935,0
LATG.US,D,20220322,000000,9.9301,9.9301,9.9301,9.9301,105,0
LATG.US,D,20220323,000000,9.92,9.93,9.92,9.93,202401,0
LATG.US,D,20220329,000000,9.96,9.97,9.96,9.97,365,0
LATG.US,D,20220401,000000,9.9001,9.9001,9.9001,9.9001,1325,0
LATG.US,D,20220406,000000,9.93,9.9301,9.93,9.9301,4650,0
LATG.US,D,20220413,000000,9.93,9.9301,9.93,9.9301,2652,0
LATG.US,D,20220422,000000,9.98,10.505,9.97,9.97,3279,0
LATG.US,D,20220425,000000,9.98,10,9.95,9.96,913,0
LATG.US,D,20220428,000000,9.96,9.96,9.96,9.96,358337,0
LATG.US,D,20220510,000000,9.95,9.95,9.95,9.95,1127,0
LATG.US,D,20220511,000000,9.96,9.96,9.96,9.96,101,0
LATG.US,D,20220523,000000,9.95,9.95,9.95,9.95,85800,0
LATG.US,D,20220531,000000,9.93,9.93,9.93,9.93,65799,0
LATG.US,D,20220601,000000,9.93,9.93,9.93,9.93,202,0
LATG.US,D,20220603,000000,10.03,10.03,9.93,9.97,3420,0
LATG.US,D,20220607,000000,9.97,10,9.97,9.97,10940,0
LATG.US,D,20220608,000000,9.95,9.96,9.95,9.95,26830,0
LATG.US,D,20220617,000000,9.97,9.97,9.97,9.97,10700,0
LATG.US,D,20220622,000000,9.97,9.97,9.97,9.97,474,0
LATG.US,D,20220627,000000,10.005,10.005,10.005,10.005,1328,0
LATG.US,D,20220705,000000,9.97,9.97,9.97,9.97,50002,0
LATG.US,D,20220713,000000,9.99,9.99,9.99,9.99,159,0
LATG.US,D,20220715,000000,9.99,9.99,9.99,9.99,2001,0
LATG.US,D,20220718,000000,9.98,9.98,9.98,9.98,179800,0
LATG.US,D,20220721,000000,9.98,9.98,9.98,9.98,17600,0
LATG.US,D,20220722,000000,9.98,9.99,9.98,9.99,3203,0
LATG.US,D,20220725,000000,10,10.005,10,10,2803,0
LATG.US,D,20220727,000000,10,10,10,10,89300,0
LATG.US,D,20220823,000000,10.03,10.05,10.03,10.05,7844,0
LATG.US,D,20220901,000000,10.08,10.08,10.02,10.02,3704,0
LATG.US,D,20220902,000000,10.04,10.04,10.04,10.04,1300,0
LATG.US,D,20220906,000000,10.04,10.05,10.04,10.04,1300,0
LATG.US,D,20220907,000000,10.03,10.05,10,10.04,102373,0
LATG.US,D,20220909,000000,10.06,10.07,10.06,10.07,16028,0
LATG.US,D,20220912,000000,10.06,10.0799,10.06,10.0799,75300,0
LATG.US,D,20220913,000000,10.07,10.07,10.07,10.07,126,0
LATG.US,D,20220916,000000,10.07,10.07,10.07,10.07,258,0
LATG.US,D,20220920,000000,10.07,10.07,10.065,10.065,2802,0
LATG.US,D,20220921,000000,10.07,10.08,10.065,10.08,22600,0
LATG.US,D,20220926,000000,10.05,10.08,10.05,10.08,15801,0
