<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MCAA.US,D,20211230,000000,9.98,9.98,9.98,9.98,60058,0
MCAA.US,D,20211231,000000,9.9825,10,9.98,10,205476,0
MCAA.US,D,20220104,000000,10.04,10.04,9.99,10.005,100100,0
MCAA.US,D,20220105,000000,10.08,10.08,10.01,10.01,13760,0
MCAA.US,D,20220106,000000,10,10.03,10,10.01,128178,0
MCAA.US,D,20220107,000000,10,10,10,10,39412,0
MCAA.US,D,20220110,000000,10,10,9.99,9.99,51559,0
MCAA.US,D,20220111,000000,10,10,10,10,400,0
MCAA.US,D,20220112,000000,10,10,10,10,20005,0
MCAA.US,D,20220114,000000,10.04,10.05,10,10,1562,0
MCAA.US,D,20220121,000000,9.99,9.99,9.98,9.98,201073,0
MCAA.US,D,20220124,000000,10,10.03,9.97,9.97,147400,0
MCAA.US,D,20220125,000000,9.99,9.99,9.99,9.99,1761,0
MCAA.US,D,20220126,000000,9.97,9.97,9.97,9.97,300,0
MCAA.US,D,20220127,000000,9.97,9.97,9.96,9.96,99821,0
MCAA.US,D,20220128,000000,9.97,9.97,9.96,9.97,60752,0
MCAA.US,D,20220131,000000,9.96,10,9.96,9.96,1520,0
MCAA.US,D,20220201,000000,10,10.015,10,10.015,13123,0
MCAA.US,D,20220202,000000,10,10,10,10,1662,0
MCAA.US,D,20220203,000000,10.01,10.01,10.01,10.01,100,0
MCAA.US,D,20220214,000000,10.04,10.04,10.02,10.02,1500,0
MCAA.US,D,20220216,000000,10.01,10.04,10,10.02,24406,0
MCAA.US,D,20220218,000000,10.01,10.05,10.01,10.05,963,0
MCAA.US,D,20220223,000000,10.0243,10.0243,10.0243,10.0243,218,0
MCAA.US,D,20220224,000000,10.03,10.03,10.02,10.03,99278,0
MCAA.US,D,20220225,000000,10.0227,10.0227,10.02,10.02,2000,0
MCAA.US,D,20220301,000000,10.05,10.07,10.05,10.07,41451,0
MCAA.US,D,20220302,000000,10.04,10.05,10.04,10.04,88131,0
MCAA.US,D,20220303,000000,10.05,10.05,10.05,10.05,409,0
MCAA.US,D,20220304,000000,10.05,10.05,10.05,10.05,101,0
MCAA.US,D,20220309,000000,10.05,10.06,10.05,10.06,3198,0
MCAA.US,D,20220310,000000,10.07,10.07,10.07,10.07,17302,0
MCAA.US,D,20220311,000000,10.07,10.07,10.06,10.065,110300,0
MCAA.US,D,20220316,000000,10.07,10.07,10.07,10.07,200000,0
MCAA.US,D,20220317,000000,10.07,10.08,10.06,10.06,845,0
MCAA.US,D,20220318,000000,10.07,10.07,10.06,10.07,289650,0
MCAA.US,D,20220321,000000,10.07,10.07,10.07,10.07,403,0
MCAA.US,D,20220322,000000,10.07,10.08,10.06,10.06,4103,0
MCAA.US,D,20220323,000000,10.08,10.09,10.08,10.09,14485,0
MCAA.US,D,20220328,000000,10.07,10.075,10.07,10.07,10639,0
MCAA.US,D,20220329,000000,10.07,10.1,10.02,10.1,357097,0
MCAA.US,D,20220330,000000,10.08,10.0999,10.08,10.08,5604,0
MCAA.US,D,20220331,000000,10.08,10.08,10.08,10.08,26159,0
MCAA.US,D,20220401,000000,10.09,10.09,10.08,10.08,2125,0
MCAA.US,D,20220404,000000,10.07,10.085,10.07,10.085,474187,0
MCAA.US,D,20220405,000000,10.096,10.096,10.08,10.09,44498,0
MCAA.US,D,20220406,000000,10.06,10.09,10.06,10.09,2436,0
MCAA.US,D,20220407,000000,10.08,10.0802,10.08,10.08,1584,0
MCAA.US,D,20220411,000000,10.0801,10.0805,10.08,10.08,603,0
MCAA.US,D,20220412,000000,10.0827,10.0827,10.0827,10.0827,199,0
MCAA.US,D,20220413,000000,10.1097,10.1097,10.1097,10.1097,1002,0
MCAA.US,D,20220414,000000,10.11,10.11,10.11,10.11,2801,0
MCAA.US,D,20220419,000000,10.1,10.12,10.1,10.1184,2668,0
MCAA.US,D,20220420,000000,10.13,10.13,10.12,10.13,115319,0
MCAA.US,D,20220421,000000,10.13,10.13,10.12,10.12,50146,0
MCAA.US,D,20220425,000000,10.13,10.13,10.13,10.13,50007,0
MCAA.US,D,20220426,000000,10.13,10.13,10.13,10.13,89976,0
MCAA.US,D,20220427,000000,10.13,10.13,10.12,10.1286,68098,0
MCAA.US,D,20220428,000000,10.13,10.14,10.13,10.14,65801,0
MCAA.US,D,20220429,000000,10.14,10.14,10.13,10.13,55401,0
MCAA.US,D,20220502,000000,10.13,10.14,10.13,10.13,18462,0
MCAA.US,D,20220503,000000,10.13,10.13,10.13,10.13,2819,0
MCAA.US,D,20220504,000000,10.13,10.13,10.13,10.13,1906,0
MCAA.US,D,20220505,000000,10.13,10.13,10.12,10.13,361685,0
MCAA.US,D,20220509,000000,10.1224,10.1224,10.1025,10.12,83771,0
MCAA.US,D,20220510,000000,10.11,10.11,10.11,10.11,1878,0
MCAA.US,D,20220511,000000,10.11,10.11,10.1,10.11,120014,0
MCAA.US,D,20220512,000000,10.11,10.11,10.09,10.11,13089,0
MCAA.US,D,20220513,000000,10.11,10.11,10.11,10.11,32700,0
MCAA.US,D,20220516,000000,10.11,10.11,10.11,10.11,5500,0
MCAA.US,D,20220517,000000,10.11,10.11,10.11,10.11,5534,0
MCAA.US,D,20220520,000000,10.1,10.1,10.1,10.1,2681,0
MCAA.US,D,20220525,000000,10.09,10.09,10.09,10.09,7216,0
MCAA.US,D,20220527,000000,10.105,10.105,10.105,10.105,25791,0
MCAA.US,D,20220531,000000,10.09,10.09,10.09,10.09,31729,0
MCAA.US,D,20220601,000000,10.09,10.1,10.09,10.1,62184,0
MCAA.US,D,20220602,000000,10.1,10.1,10.09,10.09,7322,0
MCAA.US,D,20220603,000000,10.09,10.11,10.09,10.11,8328,0
MCAA.US,D,20220606,000000,10.11,10.11,10.11,10.11,1000,0
MCAA.US,D,20220607,000000,10.12,10.12,10.1,10.11,29231,0
MCAA.US,D,20220608,000000,10.12,10.125,10.1,10.105,27411,0
MCAA.US,D,20220609,000000,10.11,10.12,10.1,10.11,51868,0
MCAA.US,D,20220610,000000,10.12,10.14,10.11,10.14,105337,0
MCAA.US,D,20220613,000000,10.15,10.15,10.12,10.125,1833,0
MCAA.US,D,20220614,000000,10.11,10.11,10.11,10.11,4245,0
MCAA.US,D,20220615,000000,10.1,10.1,10.1,10.1,118305,0
MCAA.US,D,20220622,000000,10.6,10.6,10.11,10.11,569,0
MCAA.US,D,20220627,000000,10.13,10.13,10.1,10.1,2919,0
MCAA.US,D,20220628,000000,10.12,10.14,10.1,10.14,29007,0
MCAA.US,D,20220630,000000,10.12,10.12,10.12,10.12,85900,0
MCAA.US,D,20220701,000000,10.12,10.12,10.115,10.12,30412,0
MCAA.US,D,20220705,000000,10.12,10.12,10.12,10.12,250,0
MCAA.US,D,20220706,000000,10.14,10.14,10.14,10.14,50100,0
MCAA.US,D,20220708,000000,10.12,10.13,10.12,10.13,341872,0
MCAA.US,D,20220711,000000,10.13,10.13,10.125,10.125,30034,0
MCAA.US,D,20220713,000000,10.12,10.12,10.12,10.12,100,0
MCAA.US,D,20220715,000000,10.14,10.14,10.14,10.14,1084,0
MCAA.US,D,20220722,000000,10.15,10.17,10.15,10.155,132270,0
MCAA.US,D,20220725,000000,10.16,10.16,10.16,10.16,20000,0
MCAA.US,D,20220728,000000,10.17,10.17,10.15,10.155,25200,0
MCAA.US,D,20220729,000000,10.16,10.16,10.14,10.14,4216,0
MCAA.US,D,20220801,000000,10.17,10.17,10.17,10.17,1300,0
MCAA.US,D,20220802,000000,10.17,10.17,10.17,10.17,45100,0
MCAA.US,D,20220803,000000,10.165,10.1675,10.165,10.1675,4617,0
MCAA.US,D,20220808,000000,10.17,10.19,10.16,10.185,173605,0
MCAA.US,D,20220809,000000,10.19,10.19,10.19,10.19,400,0
MCAA.US,D,20220810,000000,10.17,10.17,10.17,10.17,52859,0
MCAA.US,D,20220811,000000,10.16,10.16,10.16,10.16,43035,0
MCAA.US,D,20220815,000000,10.18,10.18,10.18,10.18,347,0
MCAA.US,D,20220816,000000,10.18,10.18,10.18,10.18,10035,0
MCAA.US,D,20220817,000000,10.18,10.18,10.17,10.17,10901,0
MCAA.US,D,20220819,000000,10.19,10.19,10.19,10.19,104,0
MCAA.US,D,20220823,000000,10.17,10.17,10.17,10.17,11016,0
MCAA.US,D,20220824,000000,10.17,10.17,10.17,10.17,10204,0
MCAA.US,D,20220831,000000,10.17,10.18,10.17,10.18,450719,0
MCAA.US,D,20220908,000000,10.21,10.21,10.21,10.21,112,0
MCAA.US,D,20220909,000000,10.2,10.21,10.185,10.2,18789,0
MCAA.US,D,20220912,000000,10.2,10.21,10.2,10.21,10101,0
MCAA.US,D,20220913,000000,10.22,10.22,10.22,10.22,435,0
MCAA.US,D,20220914,000000,10.21,10.21,10.21,10.21,5000,0
MCAA.US,D,20220915,000000,10.22,10.22,10.21,10.21,554,0
MCAA.US,D,20220916,000000,10.22,10.22,10.21,10.21,729,0
MCAA.US,D,20220920,000000,10.22,10.22,10.215,10.22,11410,0
MCAA.US,D,20220922,000000,10.23,10.23,10.21,10.22,204945,0
MCAA.US,D,20220930,000000,10.24,10.24,10.23,10.23,8514,0
MCAA.US,D,20221003,000000,10.24,10.24,10.23,10.23,76600,0
MCAA.US,D,20221006,000000,10.24,10.24,10.24,10.24,50000,0
MCAA.US,D,20221007,000000,10.25,10.25,10.25,10.25,2669,0
MCAA.US,D,20221014,000000,10.27,10.27,10.27,10.27,800,0
MCAA.US,D,20221017,000000,10.24,10.24,10.24,10.24,1600,0
MCAA.US,D,20221019,000000,10.26,10.26,10.26,10.26,107028,0
MCAA.US,D,20221020,000000,10.27,10.27,10.27,10.27,3057,0
MCAA.US,D,20221021,000000,10.27,10.27,10.27,10.27,6201,0
MCAA.US,D,20221025,000000,10.27,10.27,10.27,10.27,1000,0
MCAA.US,D,20221026,000000,10.28,10.29,10.28,10.28,6900,0
MCAA.US,D,20221027,000000,10.29,10.29,10.29,10.29,8400,0
MCAA.US,D,20221101,000000,10.3,10.305,10.3,10.305,21388,0
MCAA.US,D,20221103,000000,10.31,10.32,10.31,10.31,6795,0
MCAA.US,D,20221104,000000,10.31,10.31,10.31,10.31,25875,0
MCAA.US,D,20221108,000000,10.31,10.31,10.31,10.31,5055,0
MCAA.US,D,20221109,000000,10.31,10.31,10.31,10.31,5229,0
MCAA.US,D,20221110,000000,10.31,10.31,10.305,10.31,133035,0
MCAA.US,D,20221111,000000,10.31,10.31,10.31,10.31,281523,0
MCAA.US,D,20221114,000000,10.32,10.32,10.32,10.32,886,0
MCAA.US,D,20221117,000000,10.31,10.3101,10.31,10.3101,200,0
MCAA.US,D,20221118,000000,10.33,10.33,10.33,10.33,100,0
MCAA.US,D,20221122,000000,10.33,10.33,10.33,10.33,20020,0
MCAA.US,D,20221123,000000,10.33,10.36,10.33,10.36,25600,0
MCAA.US,D,20221128,000000,10.37,10.37,10.34,10.34,759389,0
MCAA.US,D,20221129,000000,10.34,10.35,10.34,10.35,295227,0
MCAA.US,D,20221130,000000,10.35,10.4,10.35,10.355,576073,0
MCAA.US,D,20221201,000000,10.355,10.36,10.35,10.35,5020,0
MCAA.US,D,20221202,000000,10.35,10.35,10.35,10.35,36844,0
MCAA.US,D,20221205,000000,10.35,10.35,10.35,10.35,3267,0
MCAA.US,D,20221206,000000,10.36,10.36,10.35,10.36,52059,0
MCAA.US,D,20221207,000000,10.33,10.36,10.33,10.36,21064,0
MCAA.US,D,20221208,000000,10.39,10.39,10.39,10.39,1504,0
MCAA.US,D,20221209,000000,10.36,10.36,10.35,10.355,7270,0
MCAA.US,D,20221213,000000,10.355,10.36,10.355,10.36,12825,0
MCAA.US,D,20221215,000000,10.36,10.36,10.36,10.36,26609,0
MCAA.US,D,20221219,000000,10.36,10.37,10.36,10.37,26296,0
MCAA.US,D,20221223,000000,10.36,10.38,10.36,10.38,7305,0
MCAA.US,D,20230103,000000,10.39,10.39,10.39,10.39,13061,0
MCAA.US,D,20230104,000000,10.4,10.4,10.39,10.39,500,0
MCAA.US,D,20230105,000000,10.4,10.4,10.4,10.4,2200,0
MCAA.US,D,20230106,000000,10.39,10.39,10.39,10.39,100,0
MCAA.US,D,20230109,000000,10.39,10.39,10.39,10.39,844,0
MCAA.US,D,20230111,000000,10.41,10.42,10.41,10.42,21735,0
MCAA.US,D,20230112,000000,10.43,10.43,10.41,10.41,360148,0
MCAA.US,D,20230113,000000,10.41,10.42,10.41,10.42,256948,0
MCAA.US,D,20230117,000000,10.42,10.42,10.42,10.42,40000,0
MCAA.US,D,20230118,000000,10.42,10.42,10.42,10.42,5000,0
MCAA.US,D,20230120,000000,10.43,10.43,10.42,10.43,137086,0
MCAA.US,D,20230123,000000,10.43,10.44,10.43,10.44,218471,0
MCAA.US,D,20230124,000000,10.43,10.45,10.43,10.45,5640,0
MCAA.US,D,20230125,000000,10.44,10.44,10.44,10.44,538101,0
MCAA.US,D,20230126,000000,10.44,10.45,10.44,10.45,500,0
MCAA.US,D,20230127,000000,10.45,10.45,10.45,10.45,8203,0
MCAA.US,D,20230130,000000,10.46,10.66,10.46,10.49,3005983,0
MCAA.US,D,20230131,000000,10.5013,10.52,10.5,10.51,24512,0
MCAA.US,D,20230201,000000,10.5,10.51,10.47,10.48,1154731,0
MCAA.US,D,20230202,000000,10.5,10.51,10.5,10.51,222873,0
MCAA.US,D,20230203,000000,10.5,10.51,10.5,10.5,121364,0
MCAA.US,D,20230206,000000,10.51,10.51,10.47,10.47,200,0
MCAA.US,D,20230207,000000,10.5,10.5,10.5,10.5,2300,0
MCAA.US,D,20230208,000000,10.51,10.53,10.51,10.53,63503,0
MCAA.US,D,20230213,000000,10.53,10.55,10.52,10.52,10400,0
MCAA.US,D,20230215,000000,10.55,10.55,10.52,10.52,5222,0
MCAA.US,D,20230221,000000,10.54,10.54,10.54,10.54,482,0
MCAA.US,D,20230222,000000,10.55,10.57,10.55,10.56,6713,0
MCAA.US,D,20230223,000000,10.57,10.57,10.57,10.57,997,0
MCAA.US,D,20230224,000000,10.56,10.6,10.56,10.595,15386,0
MCAA.US,D,20230227,000000,10.595,10.595,10.595,10.595,898,0
MCAA.US,D,20230301,000000,10.58,10.6,10.58,10.6,7197,0
MCAA.US,D,20230302,000000,10.62,10.66,10.6099,10.65,58439,0
MCAA.US,D,20230303,000000,10.65,10.65,10.64,10.64,5500,0
MCAA.US,D,20230306,000000,10.64,10.67,10.64,10.67,5373,0
MCAA.US,D,20230308,000000,10.66,10.715,10.66,10.675,108777,0
MCAA.US,D,20230309,000000,10.67,10.6801,10.67,10.675,29054,0
MCAA.US,D,20230310,000000,10.68,10.68,10.68,10.68,54112,0
MCAA.US,D,20230313,000000,10.622,10.622,10.622,10.622,400,0
MCAA.US,D,20230321,000000,10.69,10.69,10.69,10.69,1300,0
MCAA.US,D,20230328,000000,10.74,10.74,10.74,10.74,1750,0
MCAA.US,D,20230405,000000,10.73,10.73,10.73,10.73,100,0
MCAA.US,D,20230406,000000,10.67,10.7,10.67,10.7,3400,0
MCAA.US,D,20230412,000000,10.69,10.69,10.69,10.69,1500,0
MCAA.US,D,20230418,000000,10.69,10.69,10.69,10.69,109,0
MCAA.US,D,20230419,000000,10.7,10.7,10.69,10.7,46475,0
MCAA.US,D,20230420,000000,10.69,10.69,10.69,10.69,7583,0
MCAA.US,D,20230421,000000,10.69,10.7,10.69,10.69,405302,0
MCAA.US,D,20230424,000000,10.72,10.72,10.69,10.69,3105,0
MCAA.US,D,20230426,000000,10.8,10.8,10.8,10.8,105,0
MCAA.US,D,20230427,000000,10.79,10.79,10.79,10.79,50002,0
MCAA.US,D,20230501,000000,10.79,10.79,10.79,10.79,200001,0
MCAA.US,D,20230502,000000,10.79,10.8,10.78,10.795,541360,0
MCAA.US,D,20230503,000000,10.8,10.81,10.8,10.8,553284,0
MCAA.US,D,20230504,000000,10.8,10.83,10.8,10.81,40456,0
MCAA.US,D,20230505,000000,10.81,10.81,10.81,10.81,121145,0
MCAA.US,D,20230508,000000,10.82,10.82,10.82,10.82,209911,0
MCAA.US,D,20230509,000000,10.82,11.13,10.82,10.82,697320,0
MCAA.US,D,20230510,000000,10.82,10.82,10.82,10.82,1266,0
MCAA.US,D,20230511,000000,10.83,10.83,10.82,10.82,29355,0
MCAA.US,D,20230512,000000,10.84,10.98,10.82,10.825,17692,0
MCAA.US,D,20230515,000000,10.82,10.83,10.82,10.82,87467,0
MCAA.US,D,20230516,000000,10.83,10.89,10.83,10.83,529700,0
MCAA.US,D,20230518,000000,10.85,10.85,10.85,10.85,150000,0
MCAA.US,D,20230522,000000,10.85,10.86,10.8,10.8,157667,0
MCAA.US,D,20230524,000000,10.75,10.8401,10.7,10.83,79689,0
MCAA.US,D,20230525,000000,10.84,10.84,10.84,10.84,3560,0
MCAA.US,D,20230531,000000,10.84,10.84,10.84,10.84,116304,0
MCAA.US,D,20230605,000000,10.83,10.8367,10.83,10.8345,36179,0
MCAA.US,D,20230609,000000,10.87,11.2,10.83,10.83,22530,0
MCAA.US,D,20230612,000000,10.87,10.87,10.87,10.87,210,0
MCAA.US,D,20230613,000000,10.83,10.83,10.83,10.83,551,0
MCAA.US,D,20230614,000000,10.86,11.07,10.85,10.85,29602,0
MCAA.US,D,20230620,000000,10.86,10.97,10.86,10.86,14152,0
MCAA.US,D,20230621,000000,10.86,10.86,10.86,10.86,210,0
MCAA.US,D,20230623,000000,10.86,10.86,10.86,10.86,31263,0
MCAA.US,D,20230627,000000,10.89,10.89,10.89,10.89,100,0
MCAA.US,D,20230628,000000,10.88,10.88,10.88,10.88,513,0
MCAA.US,D,20230707,000000,10.948,10.95,10.92,10.92,673,0
MCAA.US,D,20230710,000000,10.94,10.95,10.94,10.94,6542,0
MCAA.US,D,20230712,000000,10.94,10.94,10.94,10.94,1504,0
MCAA.US,D,20230713,000000,10.95,10.95,10.95,10.95,501,0
MCAA.US,D,20230714,000000,10.94,10.94,10.94,10.94,601,0
MCAA.US,D,20230717,000000,10.94,10.94,10.94,10.94,206,0
MCAA.US,D,20230718,000000,10.94,10.94,10.94,10.94,207,0
MCAA.US,D,20230719,000000,10.95,11.1,10.94,10.94,17843,0
MCAA.US,D,20230721,000000,11,11.01,10.99,10.99,386,0
MCAA.US,D,20230725,000000,10.96,10.96,10.96,10.96,486,0
MCAA.US,D,20230727,000000,10.99,10.99,10.975,10.98,28487,0
MCAA.US,D,20230801,000000,10.98,10.98,10.9781,10.98,4170,0
