<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JMSB.US,D,20220428,000000,22.75,22.86,22.116,22.502,10800,0
JMSB.US,D,20220429,000000,22.314,22.8,22.314,22.8,742,0
JMSB.US,D,20220502,000000,22.81,25.091,22.79,24.298,8554,0
JMSB.US,D,20220503,000000,23.802,25.269,22.85,23.603,43360,0
JMSB.US,D,20220504,000000,23.97,24.645,23.802,24,24835,0
JMSB.US,D,20220505,000000,24,24.664,23.633,23.633,38716,0
JMSB.US,D,20220506,000000,23.851,24.337,23.762,24,58013,0
JMSB.US,D,20220509,000000,24.23,24.23,23.045,24.23,57070,0
JMSB.US,D,20220510,000000,21.8,24.4,21.03,24.39,67889,0
JMSB.US,D,20220511,000000,24.195,24.39,23.9,24.36,43226,0
JMSB.US,D,20220512,000000,23.66,24.4,23.61,24.4,45598,0
JMSB.US,D,20220513,000000,24.34,26,23.9,25.31,109264,0
JMSB.US,D,20220516,000000,25.59,25.59,25.32,25.51,56626,0
JMSB.US,D,20220517,000000,25.32,29,25.32,27.4,47588,0
JMSB.US,D,20220518,000000,27.38,27.935,27.35,27.5,55803,0
JMSB.US,D,20220519,000000,26.845,27.66,26.845,27.44,29225,0
JMSB.US,D,20220520,000000,27.45,27.5,27.1,27.2,15836,0
JMSB.US,D,20220523,000000,27.2,27.75,27.19,27.48,32312,0
JMSB.US,D,20220524,000000,27.32,27.73,27.1499,27.57,30947,0
JMSB.US,D,20220525,000000,27,27.59,26.935,27.34,20529,0
JMSB.US,D,20220526,000000,27.12,27.88,27.12,27.59,24654,0
JMSB.US,D,20220527,000000,27.5,27.93,27.5,27.87,36714,0
JMSB.US,D,20220531,000000,27.97,27.97,27.67,27.67,43673,0
JMSB.US,D,20220601,000000,27.7,27.75,27.5501,27.63,72786,0
JMSB.US,D,20220602,000000,27.6,27.71,27.51,27.6,60880,0
JMSB.US,D,20220603,000000,27.6,27.6,27.41,27.5,49257,0
JMSB.US,D,20220606,000000,27.65,28.65,26.85,28.52,298861,0
JMSB.US,D,20220607,000000,28.41,28.91,25.79,27.26,123848,0
JMSB.US,D,20220608,000000,27.4,28.25,26.24,28,98097,0
JMSB.US,D,20220609,000000,27.84,28.23,27.28,27.59,73811,0
JMSB.US,D,20220610,000000,27.33,28.225,27.33,27.93,73471,0
JMSB.US,D,20220613,000000,27.56,28.2,26.9,27.44,77230,0
JMSB.US,D,20220614,000000,27.68,27.86,26.655,27.61,44714,0
JMSB.US,D,20220615,000000,27.53,28.67,26.1501,28.35,219952,0
JMSB.US,D,20220616,000000,27.93,29.5,27.93,29.36,245835,0
JMSB.US,D,20220617,000000,29,29.25,28.5101,29.08,744972,0
JMSB.US,D,20220621,000000,29.05,29.1679,26.64,27.08,195686,0
JMSB.US,D,20220622,000000,26.78,27.25,24.415,25.49,196396,0
JMSB.US,D,20220623,000000,24.23,26.38,24.23,25.68,98045,0
