<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QOMOR.US,D,20221213,000000,0.08,0.08,0.08,0.08,157500,0
QOMOR.US,D,20221214,000000,0.1,0.1,0.1,0.1,750,0
QOMOR.US,D,20221221,000000,0.15,0.15,0.137626,0.137626,1250,0
QOMOR.US,D,20230103,000000,0.13,0.13,0.13,0.13,365,0
QOMOR.US,D,20230109,000000,0.1,0.1,0.1,0.1,156200,0
QOMOR.US,D,20230110,000000,0.1,0.199,0.1,0.15,479815,0
QOMOR.US,D,20230111,000000,0.16,0.16,0.16,0.16,4057,0
QOMOR.US,D,20230112,000000,0.22,0.22,0.1627,0.1627,702,0
QOMOR.US,D,20230113,000000,0.12,0.12,0.12,0.12,28680,0
QOMOR.US,D,20230117,000000,0.12,0.17,0.12,0.12,1152,0
QOMOR.US,D,20230119,000000,0.15,0.15,0.12,0.12,2901,0
QOMOR.US,D,20230125,000000,0.11,0.11,0.11,0.11,337,0
QOMOR.US,D,20230130,000000,0.1101,0.1101,0.1101,0.1101,200,0
QOMOR.US,D,20230206,000000,0.1201,0.1201,0.1201,0.1201,28519,0
QOMOR.US,D,20230214,000000,0.1201,0.1201,0.1201,0.1201,520,0
QOMOR.US,D,20230216,000000,0.1301,0.1301,0.1301,0.1301,30000,0
QOMOR.US,D,20230221,000000,0.1301,0.1301,0.1301,0.1301,856,0
QOMOR.US,D,20230222,000000,0.1301,0.1301,0.1301,0.1301,25000,0
QOMOR.US,D,20230224,000000,0.135,0.135,0.1301,0.131,75000,0
QOMOR.US,D,20230227,000000,0.131,0.131,0.131,0.131,500,0
QOMOR.US,D,20230301,000000,0.131631,0.132526,0.131631,0.132526,2334,0
QOMOR.US,D,20230308,000000,0.131,0.15,0.131,0.15,5200,0
QOMOR.US,D,20230309,000000,0.15,0.15,0.15,0.15,245000,0
QOMOR.US,D,20230313,000000,0.1647,0.1647,0.1647,0.1647,100,0
QOMOR.US,D,20230314,000000,0.159899,0.16,0.131,0.131,25077,0
QOMOR.US,D,20230320,000000,0.16,0.16,0.16,0.16,2610,0
QOMOR.US,D,20230327,000000,0.16,0.16,0.1497,0.16,8300,0
QOMOR.US,D,20230404,000000,0.176,0.1813,0.176,0.176,8464,0
QOMOR.US,D,20230410,000000,0.1401,0.1401,0.14,0.1401,7014,0
QOMOR.US,D,20230413,000000,0.1401,0.16,0.1401,0.1401,13257,0
QOMOR.US,D,20230414,000000,0.16,0.16,0.1595,0.1595,602,0
QOMOR.US,D,20230417,000000,0.16,0.16,0.16,0.16,2500,0
QOMOR.US,D,20230509,000000,0.17,0.191,0.17,0.1835,2608,0
QOMOR.US,D,20230515,000000,0.21,0.23,0.1401,0.1401,51805,0
QOMOR.US,D,20230516,000000,0.16,0.23,0.14,0.1538,202930,0
QOMOR.US,D,20230517,000000,0.1494,0.1494,0.1494,0.1494,278,0
QOMOR.US,D,20230518,000000,0.140101,0.140101,0.140101,0.140101,700,0
QOMOR.US,D,20230522,000000,0.1401,0.1401,0.1401,0.1401,278,0
QOMOR.US,D,20230530,000000,0.1401,0.1401,0.1401,0.1401,4601,0
QOMOR.US,D,20230531,000000,0.1401,0.1401,0.1401,0.1401,3000,0
QOMOR.US,D,20230608,000000,0.1401,0.1401,0.1401,0.1401,100,0
QOMOR.US,D,20230621,000000,0.145,0.145,0.1401,0.1401,21007,0
QOMOR.US,D,20230622,000000,0.1401,0.1401,0.1401,0.1401,400,0
QOMOR.US,D,20230623,000000,0.1401,0.1401,0.1401,0.1401,22266,0
QOMOR.US,D,20230626,000000,0.14,0.1426,0.14,0.14,14718,0
QOMOR.US,D,20230627,000000,0.1401,0.1421,0.1401,0.1421,40434,0
QOMOR.US,D,20230628,000000,0.1401,0.1401,0.14,0.14,4649,0
QOMOR.US,D,20230710,000000,0.1325,0.1615,0.1121,0.16,3599,0
QOMOR.US,D,20230711,000000,0.126,0.1704,0.1121,0.161,4232,0
QOMOR.US,D,20230712,000000,0.1251,0.1437,0.1251,0.1261,771,0
QOMOR.US,D,20230713,000000,0.1176,0.1444,0.1176,0.1444,428,0
QOMOR.US,D,20230714,000000,0.1486,0.1486,0.1444,0.1445,400,0
QOMOR.US,D,20230801,000000,0.1487,0.1487,0.1409,0.1409,700,0
