<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLAOW.US,D,20220505,000000,0.2001,0.2001,0.2,0.2,187893,0
PLAOW.US,D,20220506,000000,0.2,0.2,0.16,0.1625,698807,0
PLAOW.US,D,20220509,000000,0.22,0.22,0.22,0.22,101,0
PLAOW.US,D,20220512,000000,0.1741,0.2,0.1625,0.2,2500,0
PLAOW.US,D,20220513,000000,0.16,0.16,0.16,0.16,21200,0
PLAOW.US,D,20220516,000000,0.16,0.16,0.15,0.15,71750,0
PLAOW.US,D,20220517,000000,0.16,0.16,0.16,0.16,500,0
PLAOW.US,D,20220523,000000,0.1475,0.15,0.14,0.14,158157,0
PLAOW.US,D,20220527,000000,0.1499,0.1599,0.1499,0.1599,650,0
PLAOW.US,D,20220531,000000,0.16,0.16,0.1599,0.1599,500,0
PLAOW.US,D,20220601,000000,0.13,0.13,0.13,0.13,149,0
PLAOW.US,D,20220706,000000,0.13,0.13,0.13,0.13,11313,0
PLAOW.US,D,20220707,000000,0.127899,0.128,0.12,0.128,69687,0
PLAOW.US,D,20220712,000000,0.12,0.12,0.12,0.12,4439,0
PLAOW.US,D,20220713,000000,0.115,0.14,0.115,0.14,44421,0
PLAOW.US,D,20220714,000000,0.14,0.14,0.14,0.14,250400,0
PLAOW.US,D,20220718,000000,0.14,0.14,0.14,0.14,52200,0
PLAOW.US,D,20220720,000000,0.1401,0.15,0.14,0.15,52253,0
PLAOW.US,D,20220721,000000,0.15,0.1899,0.15,0.1899,61550,0
PLAOW.US,D,20220725,000000,0.16,0.16,0.150101,0.150101,100101,0
PLAOW.US,D,20220726,000000,0.15,0.17,0.15,0.17,11100,0
PLAOW.US,D,20220728,000000,0.15,0.17,0.15,0.17,28300,0
PLAOW.US,D,20220801,000000,0.17,0.17,0.17,0.17,599,0
PLAOW.US,D,20220803,000000,0.14,0.14,0.14,0.14,600,0
PLAOW.US,D,20220808,000000,0.1548,0.17,0.1548,0.17,1012,0
PLAOW.US,D,20220809,000000,0.15,0.17,0.14,0.17,21103,0
PLAOW.US,D,20220811,000000,0.15,0.17,0.15,0.17,1347,0
PLAOW.US,D,20220815,000000,0.17,0.17,0.15,0.17,920,0
PLAOW.US,D,20220824,000000,0.16,0.4906,0.16,0.3249,139290,0
PLAOW.US,D,20220825,000000,0.24,0.24,0.24,0.24,100,0
PLAOW.US,D,20220826,000000,0.2,0.2,0.1562,0.1562,650,0
PLAOW.US,D,20220829,000000,0.1451,0.15,0.1401,0.15,650,0
PLAOW.US,D,20220830,000000,0.13,0.2,0.12,0.12,13487,0
PLAOW.US,D,20220901,000000,0.14,0.16,0.12,0.15,13557,0
PLAOW.US,D,20220902,000000,0.15,0.18,0.1475,0.1475,9450,0
PLAOW.US,D,20220906,000000,0.14,0.18,0.14,0.18,1778,0
PLAOW.US,D,20220908,000000,0.15,0.16,0.15,0.16,10800,0
PLAOW.US,D,20220914,000000,0.17,0.17,0.17,0.17,593,0
PLAOW.US,D,20220915,000000,0.15,0.18,0.15,0.155,235250,0
PLAOW.US,D,20220916,000000,0.15,0.16,0.15,0.15,37883,0
PLAOW.US,D,20220919,000000,0.15,0.15,0.14,0.14,23036,0
PLAOW.US,D,20220920,000000,0.15,0.15,0.15,0.15,9382,0
PLAOW.US,D,20220922,000000,0.14,0.14,0.14,0.14,510,0
PLAOW.US,D,20220923,000000,0.14,0.14,0.14,0.14,464,0
PLAOW.US,D,20220929,000000,0.15,0.18,0.15,0.18,19092,0
PLAOW.US,D,20221004,000000,0.1,0.1,0.1,0.1,29750,0
PLAOW.US,D,20221005,000000,0.1,0.1,0.1,0.1,407,0
PLAOW.US,D,20221010,000000,0.1,0.1,0.1,0.1,8600,0
PLAOW.US,D,20221012,000000,0.09,0.14,0.09,0.14,855,0
PLAOW.US,D,20221017,000000,0.09,0.09,0.09,0.09,557,0
PLAOW.US,D,20221018,000000,0.09,0.115,0.09,0.09,49359,0
PLAOW.US,D,20221019,000000,0.09,0.09,0.0855,0.09,132946,0
PLAOW.US,D,20221020,000000,0.09,0.117,0.08,0.08,408560,0
PLAOW.US,D,20221026,000000,0.08,0.08,0.07,0.07,72512,0
PLAOW.US,D,20221027,000000,0.07,0.07,0.07,0.07,500,0
PLAOW.US,D,20221028,000000,0.07,0.07,0.06,0.06,400,0
PLAOW.US,D,20221101,000000,0.05,0.05,0.05,0.05,50200,0
PLAOW.US,D,20221102,000000,0.07,0.07,0.07,0.07,612,0
PLAOW.US,D,20221103,000000,0.1,0.1,0.08,0.08,5850,0
PLAOW.US,D,20221115,000000,0.04,0.04,0.04,0.04,100,0
PLAOW.US,D,20221116,000000,0.05,0.05,0.05,0.05,1812,0
PLAOW.US,D,20221122,000000,0.04,0.042,0.04,0.0401,59017,0
PLAOW.US,D,20221128,000000,0.04,0.04,0.04,0.04,7444,0
PLAOW.US,D,20221129,000000,0.04,0.04,0.04,0.04,204,0
PLAOW.US,D,20221202,000000,0.05,0.05,0.05,0.05,15000,0
PLAOW.US,D,20221206,000000,0.06,0.06,0.06,0.06,600,0
PLAOW.US,D,20221208,000000,0.06,0.06,0.04,0.04,3800,0
PLAOW.US,D,20221209,000000,0.07,0.07,0.07,0.07,100,0
PLAOW.US,D,20221212,000000,0.0538,0.0538,0.0538,0.0538,100,0
PLAOW.US,D,20221214,000000,0.1,0.1,0.05,0.05,5712,0
PLAOW.US,D,20221215,000000,0.05,0.05,0.05,0.05,338,0
PLAOW.US,D,20221220,000000,0.0548,0.1942,0.0523,0.1644,11171,0
PLAOW.US,D,20221221,000000,0.074,0.0936,0.074,0.0936,2220,0
PLAOW.US,D,20221222,000000,0.08,0.08,0.08,0.08,400,0
PLAOW.US,D,20221223,000000,0.08,0.08,0.08,0.08,100,0
PLAOW.US,D,20221227,000000,0.19,0.19,0.0511,0.0511,5498,0
PLAOW.US,D,20221229,000000,0.0504,0.0504,0.0496,0.0496,200,0
PLAOW.US,D,20221230,000000,0.09,0.09,0.09,0.09,100,0
PLAOW.US,D,20230106,000000,0.1251,0.1251,0.08,0.08,15400,0
PLAOW.US,D,20230109,000000,0.1251,0.1251,0.08,0.08,1303,0
PLAOW.US,D,20230111,000000,0.08,0.08,0.08,0.08,203,0
PLAOW.US,D,20230117,000000,0.0715,0.0789,0.063,0.0658,5802,0
PLAOW.US,D,20230118,000000,0.08,0.1978,0.08,0.082,35711,0
PLAOW.US,D,20230119,000000,0.1269,0.1269,0.09,0.09,9300,0
