<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HYDR.US,D,20210715,000000,23.838,23.938,23.368,23.621,10955,0
HYDR.US,D,20210716,000000,23.633,23.633,23.058,23.058,5199,0
HYDR.US,D,20210719,000000,22.869,23.119,22.518,22.809,9508,0
HYDR.US,D,20210720,000000,23.028,23.608,22.769,23.538,15823,0
HYDR.US,D,20210721,000000,23.868,24.478,23.868,24.448,12176,0
HYDR.US,D,20210722,000000,24.698,24.698,24.078,24.078,10889,0
HYDR.US,D,20210723,000000,24.098,24.098,23.558,23.628,6135,0
HYDR.US,D,20210726,000000,23.568,23.673,23.188,23.308,11674,0
HYDR.US,D,20210727,000000,23.368,23.368,22.729,22.849,3307,0
HYDR.US,D,20210728,000000,23.608,23.798,23.208,23.788,34740,0
HYDR.US,D,20210729,000000,24.598,24.598,23.848,23.859,9665,0
HYDR.US,D,20210730,000000,23.748,23.817,23.618,23.786,6313,0
HYDR.US,D,20210802,000000,23.888,24.008,23.643,23.643,8563,0
HYDR.US,D,20210803,000000,23.688,23.698,23.388,23.488,7250,0
HYDR.US,D,20210804,000000,23.298,23.468,22.789,22.789,17513,0
HYDR.US,D,20210805,000000,22.589,22.919,22.439,22.839,32406,0
HYDR.US,D,20210806,000000,23.078,23.258,22.909,22.909,44744,0
HYDR.US,D,20210809,000000,23.218,23.807,22.874,23.678,13785,0
HYDR.US,D,20210810,000000,24.378,24.478,23.888,24.102,54622,0
HYDR.US,D,20210811,000000,24.338,24.338,23.418,23.698,19695,0
HYDR.US,D,20210812,000000,23.558,23.608,22.989,23.218,12620,0
HYDR.US,D,20210813,000000,22.989,22.989,22.479,22.479,11924,0
HYDR.US,D,20210816,000000,22.139,22.379,21.989,22.009,27325,0
HYDR.US,D,20210817,000000,21.599,21.599,21.279,21.469,12836,0
HYDR.US,D,20210818,000000,22.149,22.739,22.029,22.509,7361,0
HYDR.US,D,20210819,000000,22.049,22.239,21.784,21.799,6256,0
HYDR.US,D,20210820,000000,21.539,21.829,21.539,21.789,22852,0
HYDR.US,D,20210823,000000,21.939,22.559,21.859,22.489,6938,0
HYDR.US,D,20210824,000000,22.809,22.989,22.746,22.989,10065,0
HYDR.US,D,20210825,000000,23.218,23.547,23.063,23.388,28483,0
HYDR.US,D,20210826,000000,23.518,23.598,23.208,23.271,14643,0
HYDR.US,D,20210827,000000,23.138,23.738,23.138,23.528,20532,0
HYDR.US,D,20210830,000000,23.908,23.908,23.248,23.268,32259,0
HYDR.US,D,20210831,000000,23.548,23.828,23.288,23.703,23964,0
HYDR.US,D,20210901,000000,23.878,24.148,23.718,24.038,27402,0
HYDR.US,D,20210902,000000,24.238,24.673,24.238,24.258,25693,0
HYDR.US,D,20210903,000000,24.378,24.508,24.145,24.268,38411,0
HYDR.US,D,20210907,000000,24.468,24.738,24.348,24.488,49650,0
HYDR.US,D,20210908,000000,24.258,24.258,23.238,23.328,98625,0
HYDR.US,D,20210909,000000,23.108,23.663,23.058,23.098,27638,0
HYDR.US,D,20210910,000000,23.188,23.338,22.629,22.629,16844,0
HYDR.US,D,20210913,000000,22.349,22.529,21.989,22.339,82171,0
HYDR.US,D,20210914,000000,22.889,23.088,22.319,22.329,28763,0
HYDR.US,D,20210915,000000,22.339,22.339,22.089,22.239,12223,0
HYDR.US,D,20210916,000000,22.239,22.294,22.01,22.294,25953,0
HYDR.US,D,20210917,000000,22.409,22.599,22.204,22.599,19533,0
HYDR.US,D,20210920,000000,21.999,22.149,21.569,21.778,20015,0
HYDR.US,D,20210921,000000,21.939,21.987,21.519,21.769,13533,0
HYDR.US,D,20210922,000000,21.909,22.377,21.909,22.289,16486,0
HYDR.US,D,20210923,000000,22.759,22.969,22.464,22.969,29756,0
HYDR.US,D,20210924,000000,22.829,22.829,22.389,22.539,15854,0
HYDR.US,D,20210927,000000,22.569,23.238,22.439,23.158,24641,0
HYDR.US,D,20210928,000000,22.989,22.989,22.109,22.149,38930,0
HYDR.US,D,20210929,000000,22.539,22.539,21.699,21.699,12970,0
HYDR.US,D,20210930,000000,21.909,22.019,21.829,21.924,7889,0
HYDR.US,D,20211001,000000,21.889,21.889,21.519,21.829,5078,0
HYDR.US,D,20211004,000000,21.499,21.499,20.66,20.7,34029,0
HYDR.US,D,20211005,000000,20.99,20.99,20.7,20.71,15139,0
HYDR.US,D,20211006,000000,20.36,20.46,20.03,20.46,10026,0
HYDR.US,D,20211007,000000,20.79,21.259,20.79,21.259,8342,0
HYDR.US,D,20211008,000000,21.269,21.419,21.149,21.269,7986,0
HYDR.US,D,20211011,000000,21.349,21.899,21.349,21.669,9007,0
HYDR.US,D,20211012,000000,21.939,22.479,21.839,22.439,77968,0
HYDR.US,D,20211013,000000,23.118,23.778,23.118,23.768,33709,0
HYDR.US,D,20211014,000000,23.908,24.158,23.467,23.638,51275,0
HYDR.US,D,20211015,000000,23.638,23.788,23.403,23.403,21476,0
HYDR.US,D,20211018,000000,23.288,23.788,23.288,23.633,32550,0
HYDR.US,D,20211019,000000,23.818,24.227,23.718,24.028,44057,0
HYDR.US,D,20211020,000000,24.408,24.408,24.038,24.158,18618,0
HYDR.US,D,20211021,000000,24.438,24.958,24.438,24.748,39261,0
HYDR.US,D,20211022,000000,24.518,24.518,23.528,23.618,59562,0
HYDR.US,D,20211025,000000,24.428,24.958,24.158,24.958,43722,0
HYDR.US,D,20211026,000000,25.487,25.777,25.157,25.437,109148,0
