<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MSBIP.US,D,20220830,000000,25.6,25.7,25.49,25.68,243911,0
MSBIP.US,D,20220831,000000,25.67,25.7,25.6,25.7,58694,0
MSBIP.US,D,20220901,000000,25.74,26.01,25.61,26.01,64242,0
MSBIP.US,D,20220902,000000,26.01,26.01,25.89,25.89,9615,0
MSBIP.US,D,20220906,000000,25.9479,25.99,25.85,25.899,12795,0
MSBIP.US,D,20220907,000000,26,26,25.6,25.81,32829,0
MSBIP.US,D,20220908,000000,25.85,25.99,25.7299,25.9632,14518,0
MSBIP.US,D,20220909,000000,25.98,25.99,25.81,25.91,17250,0
MSBIP.US,D,20220912,000000,25.97,25.97,25.84,25.97,31312,0
MSBIP.US,D,20220913,000000,25.85,25.97,25.66,25.68,37307,0
MSBIP.US,D,20220914,000000,25.75,25.86,25.68,25.7,38818,0
MSBIP.US,D,20220915,000000,25.82,25.97,25.69,25.85,38715,0
MSBIP.US,D,20220916,000000,25.82,26,25.76,25.9,25784,0
MSBIP.US,D,20220919,000000,25.92,26,25.8515,25.9,30954,0
MSBIP.US,D,20220920,000000,25.9,26,25.85,25.85,29216,0
MSBIP.US,D,20220921,000000,25.94,26,25.87,25.87,28334,0
MSBIP.US,D,20220922,000000,25.8,26,25.8,25.95,19847,0
MSBIP.US,D,20220923,000000,25.64,25.89,25.56,25.7,53076,0
MSBIP.US,D,20220926,000000,25.689,25.8,25.57,25.67,24358,0
MSBIP.US,D,20220927,000000,25.7,25.797,25.25,25.6,34227,0
MSBIP.US,D,20220928,000000,25.55,26,25.18,25.51,77306,0
MSBIP.US,D,20220929,000000,25.47,25.62,24.45,25.6,77743,0
MSBIP.US,D,20220930,000000,25.59,26.31,25,25.55,535027,0
MSBIP.US,D,20221003,000000,25.2,26.6235,25.2,25.4,57092,0
MSBIP.US,D,20221004,000000,25.54,26.25,25.51,25.64,51480,0
MSBIP.US,D,20221005,000000,25.6,25.6,25.45,25.58,11528,0
MSBIP.US,D,20221006,000000,25.61,25.9,25.61,25.88,6523,0
MSBIP.US,D,20221007,000000,25.815,25.85,25.56,25.75,6645,0
MSBIP.US,D,20221010,000000,25.66,25.8485,25.5,25.55,8187,0
MSBIP.US,D,20221011,000000,25.74,25.75,25.52,25.52,3173,0
MSBIP.US,D,20221012,000000,25.73,25.73,25.3,25.58,6763,0
MSBIP.US,D,20221013,000000,25.58,25.7,25.4,25.64,5327,0
MSBIP.US,D,20221014,000000,25.6,25.74,25.25,25.25,3420,0
MSBIP.US,D,20221017,000000,25.26,25.53,25.25,25.45,5187,0
MSBIP.US,D,20221018,000000,25.45,25.55,25.4,25.525,4864,0
MSBIP.US,D,20221019,000000,25.4,25.75,25.23,25.75,6656,0
MSBIP.US,D,20221020,000000,25.58,25.75,25,25.75,3888,0
MSBIP.US,D,20221021,000000,25.54,25.75,25.02,25.5,12977,0
MSBIP.US,D,20221024,000000,25.98,26.16,25.45,25.6,24470,0
MSBIP.US,D,20221025,000000,26.05,26.07,25.62,25.99,4545,0
MSBIP.US,D,20221026,000000,26.07,26.255,25.51,25.51,2776,0
MSBIP.US,D,20221027,000000,26.22,26.75,25.225,25.27,32333,0
MSBIP.US,D,20221028,000000,25.508,25.508,25.34,25.41,4568,0
MSBIP.US,D,20221031,000000,25.44,26.22,25.3,25.31,16832,0
MSBIP.US,D,20221101,000000,25.7145,25.7145,25.13,25.26,9122,0
MSBIP.US,D,20221102,000000,25.32,25.32,25.055,25.07,3982,0
MSBIP.US,D,20221103,000000,25.16,25.16,25,25,13269,0
MSBIP.US,D,20221104,000000,25.25,25.76,25.105,25.76,4695,0
MSBIP.US,D,20221107,000000,25.555,25.555,25.21,25.22,7493,0
MSBIP.US,D,20221108,000000,25.7,25.7,25.3,25.3,4587,0
MSBIP.US,D,20221109,000000,25.3,25.43,25.25,25.43,9057,0
MSBIP.US,D,20221110,000000,25.34,25.63,25.34,25.5,16729,0
MSBIP.US,D,20221111,000000,25.52,26.58,25.325,26.58,5482,0
MSBIP.US,D,20221114,000000,26,26,25.42,25.65,26096,0
MSBIP.US,D,20221115,000000,25.83,25.83,25.5166,25.69,5499,0
MSBIP.US,D,20221116,000000,25.52,26.3525,25.52,25.54,7951,0
MSBIP.US,D,20221117,000000,25.45,25.65,25.4141,25.42,4036,0
MSBIP.US,D,20221118,000000,25.61,26.015,25.44,25.45,25645,0
MSBIP.US,D,20221121,000000,25.55,25.55,25.5,25.5,3306,0
MSBIP.US,D,20221122,000000,25.44,25.575,25.42,25.45,1834,0
MSBIP.US,D,20221123,000000,25.49,25.53,25.43,25.43,12647,0
MSBIP.US,D,20221125,000000,25.49,25.75,25.49,25.71,1695,0
MSBIP.US,D,20221128,000000,25.49,25.6062,25.4,25.4,14518,0
MSBIP.US,D,20221129,000000,26,26,25.32,25.45,14087,0
MSBIP.US,D,20221130,000000,25.25,26.1464,25.25,25.45,37550,0
MSBIP.US,D,20221201,000000,26.05,26.55,25.7,25.7,6466,0
MSBIP.US,D,20221202,000000,25.74,26.4053,25.7,25.99,3500,0
MSBIP.US,D,20221205,000000,25.99,25.9999,25.73,25.73,5348,0
MSBIP.US,D,20221206,000000,26.02,26.253,25.55,25.55,8050,0
MSBIP.US,D,20221207,000000,26.0604,26.0604,25.68,25.83,4184,0
MSBIP.US,D,20221208,000000,25.97,26.38,25.75,26.035,5341,0
MSBIP.US,D,20221209,000000,25.72,26.25,25.72,26.2,7750,0
MSBIP.US,D,20221212,000000,26.2,26.5399,26.1,26.17,12623,0
MSBIP.US,D,20221213,000000,26.41,26.5499,26.25,26.25,922,0
MSBIP.US,D,20221214,000000,25.8001,26.5499,25.8,26,9061,0
MSBIP.US,D,20221215,000000,25.9999,25.9999,25.212,25.212,5056,0
MSBIP.US,D,20221216,000000,25.65,25.65,25.25,25.33,11186,0
MSBIP.US,D,20221219,000000,25.26,25.5,25.25,25.3,18294,0
MSBIP.US,D,20221220,000000,25.3,25.615,25.2,25.6,9327,0
MSBIP.US,D,20221221,000000,25.65,25.7297,25.31,25.3799,4265,0
MSBIP.US,D,20221222,000000,25.4,25.7499,25.4,25.6,7404,0
MSBIP.US,D,20221223,000000,25.525,25.525,25.36,25.43,2763,0
MSBIP.US,D,20221227,000000,25.54,25.95,25.52,25.52,4148,0
MSBIP.US,D,20221228,000000,25.67,25.95,25.67,25.94,2324,0
MSBIP.US,D,20221229,000000,25.82,25.9117,25.8,25.8,2984,0
MSBIP.US,D,20221230,000000,25.99,25.9999,25.74,25.97,9499,0
MSBIP.US,D,20230103,000000,25.99,25.99,25.39,25.7875,5983,0
MSBIP.US,D,20230104,000000,25.3001,25.5,25.3001,25.5,6751,0
