<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JEWL.US,D,20221209,000000,8.6,11.94,4.0601,4.74,1444116,0
JEWL.US,D,20221212,000000,5.11,5.6,4.6,4.75,550781,0
JEWL.US,D,20221213,000000,4.18,4.72,3.62,3.75,517686,0
JEWL.US,D,20221214,000000,3.65,3.7779,3.1,3.32,630336,0
JEWL.US,D,20221215,000000,3.75,4.1999,3.5,3.94,319671,0
JEWL.US,D,20221216,000000,3.9,4.24,3.74,3.9,226902,0
JEWL.US,D,20221219,000000,3.86,4,3.64,3.65,123773,0
JEWL.US,D,20221220,000000,3.95,4.14,3.7,3.95,140059,0
JEWL.US,D,20221221,000000,3.89,4.18,3.6,3.73,124456,0
JEWL.US,D,20221222,000000,3.6,3.82,3.15,3.6,115249,0
JEWL.US,D,20221223,000000,3.57,3.69,3.4,3.59,58520,0
JEWL.US,D,20221227,000000,3.7,3.7,3.25,3.5,65959,0
JEWL.US,D,20221228,000000,3.43,3.62,2.8102,3.07,62672,0
JEWL.US,D,20221229,000000,2.84,3.4,2.75,3.11,78357,0
JEWL.US,D,20221230,000000,2.92,3.14,2.8,3.1012,47657,0
JEWL.US,D,20230103,000000,3.12,3.24,2.6,2.84,117754,0
JEWL.US,D,20230104,000000,2.75,2.9,2.25,2.64,51852,0
JEWL.US,D,20230105,000000,2.63,2.7923,2.4,2.63,135847,0
JEWL.US,D,20230106,000000,2.67,2.7425,2.3101,2.48,64743,0
JEWL.US,D,20230109,000000,2.74,3.13,2.4599,2.75,91858,0
JEWL.US,D,20230110,000000,2.79,3.1,2.78,3.06,70127,0
JEWL.US,D,20230111,000000,3.05,3.74,3,3.51,281041,0
JEWL.US,D,20230112,000000,3.65,3.72,3.15,3.2,261279,0
JEWL.US,D,20230113,000000,3.25,3.525,2.68,3,98583,0
JEWL.US,D,20230117,000000,2.95,2.95,2.75,2.83,32941,0
JEWL.US,D,20230118,000000,3.25,3.375,2.7,2.84,106440,0
JEWL.US,D,20230119,000000,3,3,2.5,2.5,137187,0
JEWL.US,D,20230120,000000,2.69,2.69,2.31,2.42,166009,0
JEWL.US,D,20230123,000000,2.65,2.77,2.55,2.7001,93955,0
JEWL.US,D,20230124,000000,2.77,2.84,2.5,2.55,51204,0
JEWL.US,D,20230125,000000,2.59,2.65,2.4,2.5609,103000,0
JEWL.US,D,20230126,000000,2.74,2.74,2.45,2.5299,101905,0
JEWL.US,D,20230127,000000,2.56,2.59,2.42,2.49,65751,0
JEWL.US,D,20230130,000000,2.68,2.9399,2.51,2.63,219686,0
JEWL.US,D,20230131,000000,2.64,2.64,2.2,2.2,273342,0
JEWL.US,D,20230201,000000,2.1501,2.3,2.08,2.12,141404,0
JEWL.US,D,20230202,000000,2.24,2.2508,2.03,2.11,163567,0
JEWL.US,D,20230203,000000,2.05,2.22,2.05,2.13,113654,0
JEWL.US,D,20230206,000000,2.17,2.17,2.05,2.13,80805,0
