<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OTLY.US,D,20210520,000000,22.12,22.74,19.99,20.2,43594023,0
OTLY.US,D,20210521,000000,22.2,23.25,21.4,22.46,16954181,0
OTLY.US,D,20210524,000000,22.61,22.92,20.58,20.73,7579968,0
OTLY.US,D,20210525,000000,21.1353,21.42,20.11,21.2,5137443,0
OTLY.US,D,20210526,000000,21.57,21.87,20.99,21.62,2520858,0
OTLY.US,D,20210527,000000,22.3822,23.27,21.8,22.12,4867050,0
OTLY.US,D,20210528,000000,23.135,23.75,22.6,23.71,3247938,0
OTLY.US,D,20210601,000000,25.1,26.6,24.55,25.15,6703668,0
OTLY.US,D,20210602,000000,26.0339,26.0339,23.65,23.81,2961791,0
OTLY.US,D,20210603,000000,24.29,24.49,23.475,23.88,1404157,0
OTLY.US,D,20210604,000000,24.01,24.33,23.7,23.83,1764512,0
OTLY.US,D,20210607,000000,24.29,25.37,24.1001,25,2435286,0
OTLY.US,D,20210608,000000,25.04,27.1898,25.04,26.99,3229634,0
OTLY.US,D,20210609,000000,27.42,27.44,25.55,26.31,2842042,0
OTLY.US,D,20210610,000000,26.5,26.92,25.59,26.65,1380568,0
OTLY.US,D,20210611,000000,27,28.73,26.5,28.73,3666376,0
OTLY.US,D,20210614,000000,28.86,29,26.39,27.37,4358066,0
OTLY.US,D,20210615,000000,27.7426,27.8765,27.1,27.82,2038761,0
OTLY.US,D,20210616,000000,28,29,27.2,27.49,2357276,0
OTLY.US,D,20210617,000000,27.8,28.3,25.63,26.73,3733832,0
OTLY.US,D,20210618,000000,26.26,26.73,25.26,26,2416025,0
OTLY.US,D,20210621,000000,26,26.56,25.52,26.33,1535011,0
OTLY.US,D,20210622,000000,26.3,26.5,25.51,25.8,1419666,0
OTLY.US,D,20210623,000000,26.2027,26.72,25.72,25.84,1675289,0
OTLY.US,D,20210624,000000,25.94,26.65,24.31,24.81,3164839,0
OTLY.US,D,20210625,000000,24.85,24.95,23.3,24.4,2575574,0
OTLY.US,D,20210628,000000,24.67,25.34,24.34,25.3,2000669,0
OTLY.US,D,20210629,000000,25.71,26.59,25.64,25.75,2679087,0
OTLY.US,D,20210630,000000,25.7654,25.93,24.27,24.46,2184067,0
OTLY.US,D,20210701,000000,24.65,24.74,23.27,23.4,2751018,0
OTLY.US,D,20210702,000000,23.57,23.89,22.975,23.09,2633600,0
OTLY.US,D,20210706,000000,23.425,23.5,21.7101,22.21,3756555,0
OTLY.US,D,20210707,000000,22.3,22.7694,22.03,22.45,1937781,0
OTLY.US,D,20210708,000000,21.33,23.55,21.21,23.44,2575614,0
OTLY.US,D,20210709,000000,23.58,23.65,22.761,23,1120209,0
OTLY.US,D,20210712,000000,23.17,23.17,21.93,22.42,1574218,0
OTLY.US,D,20210713,000000,22.5,22.54,21.12,21.13,2296735,0
OTLY.US,D,20210714,000000,20.185,20.97,19.62,20.54,8467332,0
OTLY.US,D,20210715,000000,20,20.36,18.18,19.48,6174798,0
OTLY.US,D,20210716,000000,19.32,20.07,18.9045,19.28,2394350,0
OTLY.US,D,20210719,000000,19.01,19.71,18.6253,19.68,1558628,0
OTLY.US,D,20210720,000000,19.73,20.08,18.9,19.45,2193278,0
OTLY.US,D,20210721,000000,19.81,19.88,18.35,18.87,3301196,0
OTLY.US,D,20210722,000000,19.01,19.12,18.52,19.04,1004996,0
OTLY.US,D,20210723,000000,19.17,19.2,18.37,18.47,1525299,0
OTLY.US,D,20210726,000000,18.57,18.78,18.06,18.65,1486384,0
OTLY.US,D,20210727,000000,18.75,18.75,17.04,17.5,3317323,0
OTLY.US,D,20210728,000000,17.7,18.335,17.5,18.12,1441451,0
OTLY.US,D,20210729,000000,18.19,18.46,17.68,18.29,1469363,0
OTLY.US,D,20210730,000000,18.1,18.37,17.5,17.75,1865561,0
OTLY.US,D,20210802,000000,17.99,18.85,17.57,18.5,1647990,0
OTLY.US,D,20210803,000000,18.69,18.69,18.13,18.45,726830,0
OTLY.US,D,20210804,000000,18.35,18.75,17.85,18.04,1968157,0
OTLY.US,D,20210805,000000,18,18.38,18,18.19,852584,0
OTLY.US,D,20210806,000000,18.45,18.67,18.32,18.47,890976,0
OTLY.US,D,20210809,000000,18.7625,19.19,18.325,19.12,974776,0
OTLY.US,D,20210810,000000,19.35,19.86,19.025,19.07,1634081,0
OTLY.US,D,20210811,000000,19.02,19.19,17.29,17.41,2798041,0
OTLY.US,D,20210812,000000,17.71,17.77,16.87,16.99,2974738,0
OTLY.US,D,20210813,000000,16.91,17.128,16.7,16.87,2762591,0
OTLY.US,D,20210816,000000,17.8126,18.34,16.2723,16.43,4805396,0
OTLY.US,D,20210817,000000,16.47,16.5,14.87,15.93,6447106,0
OTLY.US,D,20210818,000000,15.95,16.1,15.09,15.16,2810440,0
OTLY.US,D,20210819,000000,15.41,16.52,14.94,15.74,3625510,0
OTLY.US,D,20210820,000000,15.83,16.16,15.47,15.63,2398577,0
OTLY.US,D,20210823,000000,15.7,16.38,15.53,16.19,2026183,0
OTLY.US,D,20210824,000000,16.4,18.16,16.29,17.4,4071682,0
OTLY.US,D,20210825,000000,17.5,17.91,17.02,17.69,2202109,0
OTLY.US,D,20210826,000000,17.8,18.04,17.55,17.85,976884,0
OTLY.US,D,20210827,000000,17.76,18.395,17.45,18.3,1294524,0
OTLY.US,D,20210830,000000,18.71,18.91,18.08,18.81,1423141,0
OTLY.US,D,20210831,000000,19,19.14,17.8,18.22,2136658,0
OTLY.US,D,20210901,000000,18.17,18.275,17.635,17.83,1326404,0
OTLY.US,D,20210902,000000,17.84,17.98,17.52,17.66,926358,0
OTLY.US,D,20210903,000000,17.5,17.53,16.55,16.84,2435361,0
OTLY.US,D,20210907,000000,17,17.33,16.85,17.16,750686,0
OTLY.US,D,20210908,000000,17.12,17.18,16.16,16.89,1959280,0
OTLY.US,D,20210909,000000,16.74,16.97,16.36,16.49,985334,0
OTLY.US,D,20210910,000000,16.8635,17.86,16.68,17.45,2262947,0
OTLY.US,D,20210913,000000,17.9,18.55,17.8,17.87,2332794,0
OTLY.US,D,20210914,000000,18.07,18.39,16.84,16.93,2165607,0
OTLY.US,D,20210915,000000,16.7,17.2299,16.52,16.97,1967028,0
OTLY.US,D,20210916,000000,17,17.04,16,16.31,1772279,0
OTLY.US,D,20210917,000000,16.21,16.63,16.02,16.27,4133417,0
OTLY.US,D,20210920,000000,16.05,16.2292,15.64,16.05,2809418,0
OTLY.US,D,20210921,000000,16.08,16.955,15.91,16.48,2245939,0
OTLY.US,D,20210922,000000,16.57,17.08,16.19,16.48,2430192,0
OTLY.US,D,20210923,000000,16.65,17.16,16.55,16.62,2003611,0
OTLY.US,D,20210924,000000,16.56,16.98,16.23,16.3,1104816,0
OTLY.US,D,20210927,000000,16.47,16.56,16.01,16.03,1464725,0
OTLY.US,D,20210928,000000,15.83,16.21,15.695,15.91,1921332,0
OTLY.US,D,20210929,000000,15.96,16.08,14.8,15.11,3755437,0
OTLY.US,D,20210930,000000,15.2,15.66,14.96,15.12,2207405,0
OTLY.US,D,20211001,000000,15.21,15.26,14.3,14.75,3181696,0
OTLY.US,D,20211004,000000,14.79,14.81,13.75,13.81,4457517,0
OTLY.US,D,20211005,000000,13.82,14.34,13.58,13.63,4148234,0
OTLY.US,D,20211006,000000,13.58,13.68,12.8401,13.5,3568360,0
OTLY.US,D,20211007,000000,13.74,14.95,13.45,14.73,7725763,0
OTLY.US,D,20211008,000000,15.76,16.13,14.58,14.6,6694522,0
OTLY.US,D,20211011,000000,14.34,14.57,13.974,14.15,2608285,0
OTLY.US,D,20211012,000000,14.3,14.4183,13.86,14.19,1887294,0
OTLY.US,D,20211013,000000,14.13,14.46,14.08,14.33,1474709,0
OTLY.US,D,20211014,000000,14.66,14.93,14.4,14.87,1710856,0
OTLY.US,D,20211015,000000,15,15.0483,14.47,14.51,1887984,0
OTLY.US,D,20211018,000000,14.49,14.5199,13.9375,14.28,1807731,0
OTLY.US,D,20211019,000000,14.45,14.694,14.16,14.63,1844269,0
OTLY.US,D,20211020,000000,14.66,14.99,14.48,14.51,1496237,0
OTLY.US,D,20211021,000000,14.47,14.6,13.985,14.17,1406607,0
OTLY.US,D,20211022,000000,13.82,14.3293,13.72,14.01,2225031,0
OTLY.US,D,20211025,000000,14.07,14.39,14.01,14.17,1678185,0
OTLY.US,D,20211026,000000,14.28,14.35,13.66,13.89,1516694,0
OTLY.US,D,20211027,000000,13.82,13.89,12.96,12.99,3329115,0
OTLY.US,D,20211028,000000,13.07,13.44,12.89,13.33,3578277,0
OTLY.US,D,20211029,000000,13.4,13.43,12.855,12.89,1956209,0
OTLY.US,D,20211101,000000,12.96,13.45,12.89,13.19,2526973,0
OTLY.US,D,20211102,000000,13.37,13.37,12.63,12.83,2532751,0
OTLY.US,D,20211103,000000,12.95,13.72,12.76,13.67,5482694,0
OTLY.US,D,20211104,000000,13.72,13.94,13.08,13.19,2776464,0
OTLY.US,D,20211105,000000,13.27,13.64,12.77,13.15,1944957,0
OTLY.US,D,20211108,000000,13.08,13.13,12.53,12.67,3951103,0
OTLY.US,D,20211109,000000,12.61,12.91,12.43,12.9,2780525,0
