<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MOND.US,D,20210325,000000,9.64,9.91,9.51,9.91,3109,0
MOND.US,D,20210329,000000,9.68,9.68,9.68,9.68,148223,0
MOND.US,D,20210330,000000,9.51,9.7,9.51,9.69,1284,0
MOND.US,D,20210331,000000,9.75,9.75,9.75,9.75,10849,0
MOND.US,D,20210401,000000,9.66,9.66,9.66,9.66,251337,0
MOND.US,D,20210405,000000,9.65,9.65,9.65,9.65,1005,0
MOND.US,D,20210406,000000,9.7,9.75,9.7,9.75,35019,0
MOND.US,D,20210407,000000,9.8,9.87,9.8,9.85,26220,0
MOND.US,D,20210408,000000,9.8062,9.81,9.8,9.8,3949,0
MOND.US,D,20210409,000000,9.84,9.86,9.8,9.8,17991,0
MOND.US,D,20210412,000000,9.71,9.85,9.71,9.85,12813,0
MOND.US,D,20210413,000000,9.81,9.85,9.76,9.85,13466,0
MOND.US,D,20210414,000000,9.82,9.85,9.8,9.85,45867,0
MOND.US,D,20210415,000000,9.8,9.85,9.8,9.85,33150,0
MOND.US,D,20210416,000000,10,10,9.86,9.86,251,0
MOND.US,D,20210419,000000,9.85,9.86,9.77,9.83,2621,0
MOND.US,D,20210420,000000,9.72,9.85,9.65,9.84,119601,0
MOND.US,D,20210421,000000,9.8,9.85,9.8,9.85,46925,0
MOND.US,D,20210422,000000,9.84,9.85,9.83,9.85,8027,0
MOND.US,D,20210423,000000,9.85,9.85,9.85,9.85,2072,0
MOND.US,D,20210426,000000,9.85,9.85,9.85,9.85,101624,0
MOND.US,D,20210427,000000,9.7,9.7,9.69,9.69,810,0
MOND.US,D,20210429,000000,9.73,9.99,9.66,9.7,50987,0
MOND.US,D,20210430,000000,9.74,9.75,9.73,9.75,5521,0
MOND.US,D,20210503,000000,9.75,9.75,9.71,9.75,9645,0
MOND.US,D,20210504,000000,9.7,9.74,9.68,9.74,6229,0
MOND.US,D,20210506,000000,9.7,9.7,9.7,9.7,301,0
MOND.US,D,20210507,000000,9.73,9.73,9.67,9.69,13425,0
MOND.US,D,20210511,000000,9.61,9.73,9.61,9.73,1964,0
MOND.US,D,20210512,000000,9.68,9.68,9.68,9.68,212,0
MOND.US,D,20210513,000000,9.76,9.7703,9.72,9.72,6186,0
MOND.US,D,20210514,000000,9.71,9.71,9.71,9.71,211,0
MOND.US,D,20210517,000000,9.69,9.72,9.69,9.72,998,0
MOND.US,D,20210525,000000,9.72,9.72,9.72,9.72,35781,0
MOND.US,D,20210526,000000,9.7902,9.8,9.71,9.71,1000,0
MOND.US,D,20210527,000000,9.69,9.71,9.61,9.61,60880,0
MOND.US,D,20210601,000000,9.66,9.71,9.63,9.71,2534,0
MOND.US,D,20210602,000000,9.7,9.72,9.7,9.72,980,0
MOND.US,D,20210604,000000,9.66,9.66,9.6,9.63,102065,0
MOND.US,D,20210607,000000,9.6,9.64,9.6,9.64,112909,0
MOND.US,D,20210608,000000,9.61,9.65,9.61,9.65,1246,0
MOND.US,D,20210609,000000,9.65,9.66,9.64,9.65,18321,0
MOND.US,D,20210610,000000,9.67,9.68,9.66,9.67,2321,0
MOND.US,D,20210611,000000,9.67,9.7,9.67,9.7,17986,0
MOND.US,D,20210614,000000,9.68,9.7,9.62,9.69,11703,0
MOND.US,D,20210615,000000,9.68,9.7,9.68,9.69,4382,0
MOND.US,D,20210617,000000,9.69,9.7,9.64,9.69,12511,0
MOND.US,D,20210618,000000,9.69,9.69,9.69,9.69,103,0
MOND.US,D,20210622,000000,9.68,9.68,9.68,9.68,292,0
MOND.US,D,20210623,000000,9.68,9.7,9.65,9.7,357002,0
MOND.US,D,20210624,000000,9.65,9.68,9.64,9.68,5817,0
MOND.US,D,20210625,000000,9.68,9.68,9.68,9.68,337,0
MOND.US,D,20210628,000000,9.64,9.7,9.64,9.7,274310,0
MOND.US,D,20210630,000000,9.64,9.73,9.62,9.72,180500,0
MOND.US,D,20210702,000000,9.815,9.815,9.75,9.75,337,0
MOND.US,D,20210706,000000,9.82,9.82,9.66,9.69,2033,0
MOND.US,D,20210708,000000,9.669,9.74,9.66,9.74,6095,0
