<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INAQ.US,D,20211028,000000,9.72,9.74,9.72,9.72,20140,0
INAQ.US,D,20211029,000000,9.74,9.78,9.73,9.75,6221,0
INAQ.US,D,20211101,000000,9.75,9.77,9.7101,9.76,10071,0
INAQ.US,D,20211102,000000,9.76,9.8,9.72,9.75,21635,0
INAQ.US,D,20211103,000000,9.75,9.9,9.71,9.76,133363,0
INAQ.US,D,20211104,000000,9.75,9.76,9.75,9.75,649714,0
INAQ.US,D,20211105,000000,9.77,9.77,9.74,9.75,53820,0
INAQ.US,D,20211108,000000,9.77,9.77,9.74,9.77,19869,0
INAQ.US,D,20211109,000000,10,10,9.75,9.75,4365,0
INAQ.US,D,20211110,000000,9.74,9.7799,9.74,9.76,6096,0
INAQ.US,D,20211111,000000,9.75,9.75,9.75,9.75,104,0
INAQ.US,D,20211112,000000,9.76,9.77,9.76,9.77,11343,0
INAQ.US,D,20211115,000000,9.74,9.77,9.74,9.77,17274,0
INAQ.US,D,20211116,000000,9.77,9.78,9.77,9.78,877,0
INAQ.US,D,20211117,000000,9.71,9.79,9.71,9.79,52912,0
INAQ.US,D,20211118,000000,9.71,9.79,9.71,9.79,105874,0
INAQ.US,D,20211119,000000,9.72,9.78,9.72,9.78,22055,0
INAQ.US,D,20211122,000000,9.78,9.81,9.77,9.81,279737,0
INAQ.US,D,20211124,000000,9.75,9.78,9.75,9.78,135100,0
INAQ.US,D,20211126,000000,9.75,9.75,9.75,9.75,222,0
INAQ.US,D,20211129,000000,9.8,9.8,9.76,9.78,798,0
INAQ.US,D,20211130,000000,9.77,9.77,9.77,9.77,162400,0
INAQ.US,D,20211201,000000,9.75,9.78,9.75,9.78,4963,0
INAQ.US,D,20211202,000000,9.77,9.78,9.77,9.78,21003,0
INAQ.US,D,20211206,000000,9.85,9.85,9.76,9.77,50378,0
INAQ.US,D,20211207,000000,9.77,9.77,9.77,9.77,30002,0
INAQ.US,D,20211208,000000,9.85,9.92,9.74,9.77,31577,0
INAQ.US,D,20211209,000000,9.76,9.76,9.76,9.76,373606,0
INAQ.US,D,20211210,000000,9.74,9.78,9.74,9.78,1748,0
INAQ.US,D,20211213,000000,9.7509,9.7509,9.7509,9.7509,106,0
INAQ.US,D,20211214,000000,9.7301,9.75,9.7301,9.75,36478,0
INAQ.US,D,20211215,000000,9.75,9.75,9.75,9.75,20181,0
INAQ.US,D,20211216,000000,9.75,9.75,9.75,9.75,15867,0
INAQ.US,D,20211221,000000,9.75,9.7845,9.75,9.7845,990,0
INAQ.US,D,20211222,000000,9.7046,9.75,9.7046,9.75,1386,0
INAQ.US,D,20211227,000000,9.75,9.75,9.75,9.75,312,0
INAQ.US,D,20211228,000000,9.75,9.79,9.75,9.79,237,0
INAQ.US,D,20211229,000000,9.72,9.76,9.72,9.76,1104,0
INAQ.US,D,20211231,000000,9.74,9.77,9.74,9.765,2933,0
INAQ.US,D,20220103,000000,9.875,9.875,9.76,9.76,38003,0
INAQ.US,D,20220104,000000,9.8,9.85,9.75,9.75,5002,0
INAQ.US,D,20220105,000000,9.75,9.75,9.75,9.75,5541,0
INAQ.US,D,20220106,000000,9.75,9.75,9.75,9.75,696,0
INAQ.US,D,20220107,000000,9.75,9.78,9.75,9.78,609,0
INAQ.US,D,20220111,000000,9.75,9.75,9.74,9.75,450614,0
INAQ.US,D,20220114,000000,9.74,9.74,9.74,9.74,100000,0
INAQ.US,D,20220118,000000,9.74,9.74,9.74,9.74,138,0
INAQ.US,D,20220119,000000,9.76,9.76,9.76,9.76,307,0
INAQ.US,D,20220120,000000,9.74,9.74,9.74,9.74,30826,0
INAQ.US,D,20220124,000000,9.74,9.74,9.74,9.74,452,0
INAQ.US,D,20220125,000000,9.72,9.72,9.71,9.72,248202,0
INAQ.US,D,20220126,000000,9.72,9.72,9.72,9.72,2405,0
INAQ.US,D,20220127,000000,9.72,9.725,9.69,9.69,118531,0
INAQ.US,D,20220128,000000,9.74,9.74,9.74,9.74,106,0
INAQ.US,D,20220131,000000,9.71,9.71,9.71,9.71,55620,0
INAQ.US,D,20220202,000000,9.73,9.73,9.73,9.73,200000,0
INAQ.US,D,20220203,000000,9.73,9.735,9.73,9.73,33300,0
INAQ.US,D,20220207,000000,9.74,9.74,9.74,9.74,140594,0
INAQ.US,D,20220210,000000,9.75,9.76,9.75,9.76,500200,0
INAQ.US,D,20220217,000000,9.77,9.77,9.77,9.77,900,0
INAQ.US,D,20220218,000000,9.76,9.76,9.76,9.76,2366,0
INAQ.US,D,20220225,000000,9.78,9.78,9.77,9.77,1999,0
INAQ.US,D,20220228,000000,9.77,9.77,9.75,9.76,3500,0
INAQ.US,D,20220301,000000,9.77,9.8,9.76,9.8,2425,0
INAQ.US,D,20220302,000000,9.765,9.78,9.74,9.78,43634,0
INAQ.US,D,20220303,000000,9.78,9.78,9.78,9.78,605,0
INAQ.US,D,20220304,000000,9.78,9.78,9.78,9.78,31034,0
INAQ.US,D,20220309,000000,9.85,9.85,9.85,9.85,102,0
INAQ.US,D,20220311,000000,9.8,9.8,9.8,9.8,199,0
INAQ.US,D,20220317,000000,9.8,9.8,9.8,9.8,100,0
INAQ.US,D,20220318,000000,9.79,9.79,9.79,9.79,800,0
INAQ.US,D,20220324,000000,9.78,9.78,9.76,9.77,66306,0
INAQ.US,D,20220325,000000,9.78,9.79,9.775,9.78,33469,0
INAQ.US,D,20220328,000000,9.79,9.79,9.79,9.79,2858,0
INAQ.US,D,20220329,000000,9.79,9.79,9.79,9.79,7698,0
INAQ.US,D,20220331,000000,9.8,9.8,9.8,9.8,3000,0
INAQ.US,D,20220401,000000,9.8,9.81,9.8,9.81,2700,0
INAQ.US,D,20220404,000000,9.8,9.84,9.8,9.84,5590,0
INAQ.US,D,20220405,000000,9.84,9.84,9.84,9.84,1601,0
INAQ.US,D,20220406,000000,9.8,9.8,9.8,9.8,200,0
INAQ.US,D,20220407,000000,9.8,9.82,9.8,9.8,19822,0
